HCH_012_328_000143	克捨死，養罕王稱雄，擁精兵數萬，克捨弟阿沙為太師。
HCH_012_328_000144	成化二十三年，養罕王謀犯邊，哈密罕慎來告。
HCH_012_328_000145	養罕不利去，憾哈密，兵還掠其大土剌。
HCH_012_328_000146	弘治初，瓦剌中稱太師者一曰火兒忽力，一曰火兒古倒溫，皆遣使朝貢。
HCH_012_328_000147	土魯番據哈密，都御史許進以金帛厚啗二部，令以兵擊走之。
HCH_012_328_000148	其部長卜六王者，屯駐把思濶。
HCH_012_328_000149	正德十三年，土魯番犯肅州。
HCH_012_328_000150	守臣陳九疇因遺卜六王綵幣，使乘虛襲破土魯番三城，殺擄以萬計。
HCH_012_328_000151	土魯番畏逼，與之和。
HCH_012_328_000152	嘉靖九年，復以議婚相仇隙。
HCH_012_328_000153	土魯番益強，瓦剌數困敗，又所部輒自殘，多歸中國，哈密復乘間侵掠。
HCH_012_328_000154	卜六王不支，亦求內附。
HCH_012_328_000155	朝廷不許，遣出關，不知所終。
HCH_012_328_000156	朵顏、福餘、泰寧，高皇帝所置三衞也。
HCH_012_328_000157	其地為兀良哈，在黑龍江南，漁陽塞北。
HCH_012_328_000158	漢鮮卑、唐吐谷渾、宋契丹，皆其地也。
HCH_012_328_000159	元為大寧路北境。
HCH_012_328_000160	高皇帝有天下，東蕃遼王、惠寧王、朵顏元帥府相率乞內附。
HCH_012_328_000161	遂即古會州地，置大寧都司營州諸衞，封子權為寧王使鎮焉。
HCH_012_328_000162	已，數為韃靼所抄。
HCH_012_328_000163	洪武二十二年置泰寧、朵顏、福餘三衞指揮使司，俾其頭目各自領其眾，以為聲援。
HCH_012_328_000164	自大寧前抵喜峰口，近宣府，曰朵顏；自錦、義歷廣寧至遼河，曰泰寧；自黃泥窪逾瀋陽、鐵嶺至開原，曰福餘。
HCH_012_328_000165	獨朵顏地險而強。
HCH_012_328_000166	久之皆叛去。
HCH_012_328_000167	成祖從燕起靖難，患寧王躡其後，自永平攻大寧，入之。
HCH_012_328_000168	謀脅寧王，因厚賂三衞說之來。
HCH_012_328_000169	成祖行，寧王餞諸郊，三衞從，一呼皆起，遂擁寧王西入關。
HCH_012_328_000170	成祖復選其三千人為奇兵，從戰。
HCH_012_328_000171	天下既定，徙寧王南昌，徙行都司於保定，遂盡割大寧地畀三衞，以償前勞。
HCH_012_328_000172	帝踐阼初，遣百戶裴牙失里等往告。
HCH_012_328_000173	永樂元年復使指揮蕭尚都齎敕諭之。
HCH_012_328_000174	明年夏，頭目脫兒火察等二百九十四人隨尚都來朝貢馬。
HCH_012_328_000175	命脫兒火察為左軍都督府都督僉事，哈兒兀歹為都指揮同知，掌朵顏衞事；安出及土不申俱為都指揮僉事，掌福餘衞事；忽剌班胡為都指揮僉事，掌泰寧衞事；餘三百五十七人，各授指揮、千百戶等官。
HCH_012_328_000176	賜誥印、冠帶及白金、鈔幣、襲衣。
HCH_012_328_000177	自是，三衞朝貢不絕。
HCH_012_328_000178	三年冬，命來朝頭目阿散為泰寧衞掌衞事、都指揮僉事，其朵兒朵臥等，各陞賞有差。
HCH_012_328_000179	四年冬，三衞饑，請以馬易米。
HCH_012_328_000180	帝命有司第其馬之高下，各倍價給之。
HCH_012_328_000181	久之，陰附韃靼掠邊戍，復假市馬來窺伺。
HCH_012_328_000182	帝下詔切責，令其以馬贖罪。
HCH_012_328_000183	十二年春，納馬三千於遼東，帝敕守將王真，一馬各予布四匹。
HCH_012_328_000184	已，復叛附阿魯台。
HCH_012_328_000185	二十年，帝親征阿魯台還，擊之，大敗其眾於屈烈河，斬馘無算，來降者釋勿殺。
HCH_012_328_000186	仁宗嗣位，詔三衞許自新。
HCH_012_328_000187	洪熙元年，安出奏其印為寇所奪，請更給，許之。
HCH_012_328_000188	冬，三衞頭目阿者禿來歸，授千戶，賜鈔幣、襲衣、鞍馬，仍命有司給供具。
HCH_012_328_000189	自後來歸者，悉如例。
HCH_012_328_000190	宣宗初，三衞掠永平、山海間，帝將親討之，三衞頭目皆謝罪入貢，撫納之如初。
HCH_012_328_000191	七年更給泰寧衞印。
HCH_012_328_000192	秋，以朵顏頭目哈剌哈孫、福餘頭目安出、泰寧頭目脫火赤等恭事朝廷久，加賜織金綵幣表裏有差。
HCH_012_328_000193	正統間，屢寇遼東、大同、延安境。
HCH_012_328_000194	獨石守備楊洪擊敗之，擒其頭目朵欒帖木兒。
HCH_012_328_000195	未幾，復附瓦剌也先，泰寧拙赤妻也先以女，皆陰為之耳目。
HCH_012_328_000196	入貢輒易名，且互用其印，又東合建州兵入廣寧前屯。
HCH_012_328_000197	帝惡其反覆，九年春，命成國公朱勇偕恭順侯吳克忠出喜峰，興安伯徐亨出界嶺，都督馬亮出劉家口，都督陳懷出古北，各將精兵萬人，分剿之。
HCH_012_328_000198	勇等捕其擾邊者致闕下，并奪回所掠人畜。
HCH_012_328_000199	拙赤等拘肥河衞使人，殺之。
HCH_012_328_000200	肥河衞頭目別里格與戰於格魯坤迭連，拙赤大敗。
HCH_012_328_000201	瓦剌復分道截殺，建州亦出兵攻之，三衞大困。
HCH_012_328_000202	十二年春，總兵曹義、參將胡源、都督焦禮等分巡東邊，值三衞入寇，擊之，斬三十二級，擒七十餘人。
HCH_012_328_000203	其年，瓦剌賽刊王復擊殺朵顏乃兒不花，大掠以去。
HCH_012_328_000204	也先繼至，朵顏、泰寧皆不支，乞降，福餘獨走避腦溫江，三衞益衰。
HCH_012_328_000205	畏瓦剌強，不敢背，仍歲來致貢，止以利中國賜賚；又心銜邊將剿殺，故常潛圖報復。
HCH_012_328_000206	十四年夏，大同參將石亨等復擊其盜邊者於箭谿山，擒斬五十人，三衞益怨。
HCH_012_328_000207	秋，導瓦剌大入，英宗遂以是役北狩。
HCH_012_328_000208	景泰初，朝廷仍遣使撫諭。
HCH_012_328_000209	三衞受也先旨，數以非時入貢，多遣使往來伺察中國。
HCH_012_328_000210	既而也先虐使之，復逼徙朵顏所部於黃河母納地，三衞皆不堪，遂陰輸瓦剌情於中國，請得近邊屯駐。
HCH_012_328_000211	舊制，三衞每歲三貢，其貢使俱從喜峰口驗入，有急報則許進永平。
HCH_012_328_000212	時三衞使有自獨石及萬全右衞來者。
HCH_012_328_000213	邊臣以為言，敕止之。
HCH_012_328_000214	天順中，嘗乘間掠諸邊，復竊通韃靼孛來，每為之鄉導。
HCH_012_328_000215	所遣使與孛來使臣偕見。
HCH_012_328_000216	中國待韃靼厚，請加賞不得，大忿，遂益與孛來相結。
HCH_012_328_000217	成化元年，頭目朵羅干等以兵從孛來，大入遼河。
HCH_012_328_000218	已，復西附毛里孩，東合海西兵，數入塞。
HCH_012_328_000219	又時獨出沒廣寧、義州間。
HCH_012_328_000220	九年，遼東總兵歐信以偏將韓斌等敗之於興中，追及麥州，斬六十二級，獲馬畜器械幾數千。
HCH_012_328_000221	其年，喜峰守將吳廣以貪賄失三衞心，三衞入犯，廣下獄死。
HCH_012_328_000222	明年復掠開原，慶雲參將周俊擊退之。
HCH_012_328_000223	十四年詔復三衞馬市。
HCH_012_328_000224	初，國家設遼東馬市三，一城東，一廣寧，皆以待三衞。
HCH_012_328_000225	正統間，以其部眾屢叛，罷之。
HCH_012_328_000226	會韃靼滿都魯暴強，侵掠三衞，三衞頭目皆走避塞下。
HCH_012_328_000227	數饑困，請復馬市再四，不許。
HCH_012_328_000228	至是巡撫陳鉞為帝言，始許之。
