HCH_010_077_000147	太宗崩於欒城，南方州郡多叛，士馬困乏，軍中不知所為。
HCH_010_077_000148	窪與耶律吼定策立世宗，乃令諸將曰：「大行上賓，神器無主，永康王人皇王之嫡長，天人所屬，當立；有不從者，以軍法從事。」
HCH_010_077_000149	諸將皆曰：「諾。」
HCH_010_077_000150	世宗即位，賜宮戶五十，拜於越。
HCH_010_077_000151	卒，年五十四。
HCH_010_077_000152	耶律頹昱，字團寧，孟父楚國王之後。
HCH_010_077_000153	父末掇，嘗為夷離堇。
HCH_010_077_000154	頹昱性端直。
HCH_010_077_000155	會同中，領九石烈部，政濟寬猛。
HCH_010_077_000156	世宗即位，為惕隱。
HCH_010_077_000157	天祿三年，兼政事令，封漆水郡王。
HCH_010_077_000158	及穆宗立，以匡贊功，嘗許以本部大王。
HCH_010_077_000159	後將葬世宗，頹昱懇言於帝曰：「臣蒙先帝厚恩，未能報；幸及大葬，臣請陪位。」
HCH_010_077_000160	帝由是不悅，寢其議。
HCH_010_077_000161	薨。
HCH_010_077_000162	耶律撻烈，字涅魯袞，六院部郎君甗古直之後。
HCH_010_077_000163	沈厚多智，有任重才。
HCH_010_077_000164	年四十未仕。
HCH_010_077_000165	會同間，為邊部令穩。
HCH_010_077_000166	應歷初，升南院大王，均賦役，勸耕稼，部人化之，戶口豐殖。
HCH_010_077_000167	時周人侵漢，以撻烈都統西南道軍援之。
HCH_010_077_000168	周已下太原數城，漢人不敢戰。
HCH_010_077_000169	及聞撻烈兵至，周主遣郭從義、尚鈞等率精騎拒於忻口。
HCH_010_077_000170	撻烈擊敗之，獲其將史彥超，周軍遁歸，復所陷城邑，漢主詣撻烈謝。
HCH_010_077_000171	及漢主殂，宋師來伐，上命撻烈為行軍都統，發諸道兵救之。
HCH_010_077_000172	既出雁門，宋諜知而退。
HCH_010_077_000173	保寧元年，加兼政事令，致政。
HCH_010_077_000174	乾亨初，召之。
HCH_010_077_000175	上見鬚髮皓然，精力猶健，問以政事，厚禮之。
HCH_010_077_000176	以疾薨，年七十九。
HCH_010_077_000177	撻烈凡用兵，賞罰信明，得士卒心。
HCH_010_077_000178	河東單弱，不為周、宋所並者，撻烈有力焉。
HCH_010_077_000179	在治所不修邊幅，百姓無稱，年穀屢稔。
HCH_010_077_000180	時耶律屋質居北院，撻烈居南院，俱有政跡，朝議以為「富民大王」云。
HCH_010_077_000181	贊曰：立嗣以嫡，禮也。
HCH_010_077_000182	太宗崩，非安摶、吼、窪謀而克斷，策立世宗，非屋質直而能諫，杜太后之私，折李胡之暴，以成橫渡之約，則亂將誰定？
HCH_010_077_000183	四臣者，庶幾《春秋》首止之功哉。
HCH_010_077_000184	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
