HCH_012_116_000166	其生也，太祖方御慶成宴，因以為封。
HCH_012_116_000167	永樂元年徙居潞州，坐擅發驛馬，縱軍人為盜，被責，召還太原。
HCH_012_116_000168	十年徙汾州，薨，謚莊惠。
HCH_012_116_000169	曾孫端順王奇湞，正德中，以賢孝聞，賜敕褒獎。
HCH_012_116_000170	生子七十人，嘉靖初，尚書王瓊聞於朝。
HCH_012_116_000171	嗣王表欒樸茂寡言，孝友好文學。
HCH_012_116_000172	嘉靖三十年壽八十，詔書嘉獎，賚以金幣。
HCH_012_116_000173	輔國將軍奇添，端順王弟也，早卒。
HCH_012_116_000174	夫人王氏守節奉姑六十餘年，世宗時以節孝旌。
HCH_012_116_000175	又溫穆王曾孫中尉知𤌷病篤，淑人賀氏欲先死以殉，取澒一勺咽之，左右救奪，遂絕飲食，與知𤌷同時卒。
HCH_012_116_000176	表欒以聞。
HCH_012_116_000177	禮官言《會典》無旌命婦例，世宗特命旌之，謚曰貞烈。
HCH_012_116_000178	西河王奇溯，定王曾孫。
HCH_012_116_000179	三歲而孤。
HCH_012_116_000180	問父所在，即慟哭。
HCH_012_116_000181	長，刻栴檀為父順簡王像，祀之。
HCH_012_116_000182	母病渴，中夜稽顙禱天，俄有甘泉自地湧出。
HCH_012_116_000183	母飲泉，病良已。
HCH_012_116_000184	及卒，哀毀骨立。
HCH_012_116_000185	子表相嗣，亦以仁孝聞，與寧河王表楠、河東嗣王奇淮並為人所稱。
HCH_012_116_000186	新堞，恭王七世孫，家汾州。
HCH_012_116_000187	崇禎十四年由宗貢生為中部知縣。
HCH_012_116_000188	有事他邑，土寇乘間陷其城，坐免官。
HCH_012_116_000189	已而復任。
HCH_012_116_000190	署事者聞賊且至，亟欲解印去，新堞毅然曰：「此我致命之秋也。」
HCH_012_116_000191	即受之。
HCH_012_116_000192	得賊所傳偽檄，怒而碎之，議拒守。
HCH_012_116_000193	邑新遭寇，無應者，乃屬父老速去，而己誓必死。
HCH_012_116_000194	妻盧氏，妾薛氏、馮氏，請先死。
HCH_012_116_000195	許之。
HCH_012_116_000196	有女數歲，拊其背而勉之縊。
HCH_012_116_000197	左右皆泣下。
HCH_012_116_000198	乃書表封印，使人馳送京師，冠帶望闕拜，又望拜其母，遂自經。
HCH_012_116_000199	士民葬之社壇側，以妻女祔。
HCH_012_116_000200	先是，土寇薄城，縣丞光先與戰不勝，自焚死。
HCH_012_116_000201	新堞哭之慟，為之誄曰：「殺身成仁，雖死猶生。」
HCH_012_116_000202	至是，新堞亦死難。
HCH_012_116_000203	周定王橚，太祖第五子。
HCH_012_116_000204	洪武三年封吳王。
HCH_012_116_000205	七年，有司請置護衛於杭州。
HCH_012_116_000206	帝曰：「錢塘財賦地，不可。」
HCH_012_116_000207	十一年改封周王，命與燕、楚、齊三王駐鳳陽。
HCH_012_116_000208	十四年就籓開封，即宋故宮地為府。
HCH_012_116_000209	二十二年，橚棄其國來鳳陽。
