HCH_015_034_000134	喪還，詔曰：「沖喪柩至止，惻愴良深。以其昔在南蕃，特兼憫悼。」
HCH_015_034_000135	車駕出臨沖喪，詔曰：「沖貞詳閒理，志局淹正。誠著蕃朝，績彰出守。不幸早世，朕甚悼之。」
HCH_015_034_000136	追贈太常，諡曰恭子。
HCH_015_034_000137	庾杲之字景行，新野人也。
HCH_015_034_000138	祖深之，雍州刺史。
HCH_015_034_000139	父粲，司空參軍。
HCH_015_034_000140	杲之少而貞立，學涉文義。
HCH_015_034_000141	起家奉朝請，巴陵王征西參軍。
HCH_015_034_000142	郢州舉秀才，除晉熙王鎮西外兵參軍，世祖徵虜府功曹，尚書駕部郎。
HCH_015_034_000143	清貧自業，食唯有韭菹、𤅢韭、生韭雜菜，或戲之曰：「誰謂庾郎貧，食鮭常有二十七種。」
HCH_015_034_000144	言三九也。
HCH_015_034_000145	仍爲世祖撫軍中軍記室，遷員外散騎常侍，正員郎，遷中書郎，領荊、湘二州中正。
HCH_015_034_000146	轉尚書左丞，常侍、領中正如故。
HCH_015_034_000147	出爲王儉衛軍長史，時人呼入儉府爲芙蓉池。
HCH_015_034_000148	儉謂人曰：「昔袁公作衛軍，欲用我爲長史，雖不獲就，要是意向如此。今亦應須如我輩人也。」
HCH_015_034_000149	乃用杲之。
HCH_015_034_000150	遷黃門郎，兼御史中丞，尋卽正。
HCH_015_034_000151	杲之風範和潤，善音吐。
HCH_015_034_000152	世祖令對虜使，兼侍中。
HCH_015_034_000153	上每嘆其風器之美，王儉在座，曰：「杲之爲蟬冕所照，更生風采。陛下故當與其卽眞。」
HCH_015_034_000154	帝意未用也。
HCH_015_034_000155	永明中，諸王年少，不得妄與人接，敕杲之與濟陽江淹五日一詣諸王，使申游好。
HCH_015_034_000156	尋又遷廬陵王中軍長史，遷尚書吏部郎，參大選事。
HCH_015_034_000157	轉太子右衛率，加通直常侍。
HCH_015_034_000158	九年，卒。
HCH_015_034_000159	臨終上表曰：「臣昨夜及旦，更增氣疾，自省綿痼，頃刻危殆，無容復臥。任居隆顯，玷塵明世，乞解所忝，待終私庭。臣以凡庸，謬徼昌運，獎擢之厚，千載難逢。且年逾知命，志事榮顯，脩夭有分，無所厝言。若天鑒微誠，暫借餘歷，傾宗殞元，陳力無遠。仰違庭闕，伏枕鯁戀。送貂蟬及章。」
HCH_015_034_000160	詔不許。
HCH_015_034_000161	杲之歷在上府，以文學見遇。
HCH_015_034_000162	上造崇虛館，使爲碑文。
HCH_015_034_000163	卒時年五十一，上甚惜之。
HCH_015_034_000164	諡曰貞子。
HCH_015_034_000165	時會稽孔廣，字淹源，亦美姿制。
HCH_015_034_000166	歷州治中，卒。
HCH_015_034_000167	王諶字仲和，東海郯人也。
HCH_015_034_000168	祖萬慶，員外常侍。
HCH_015_034_000169	父元閔，護軍司馬。
