HCH_009_013_000001	衛紹王諱永濟，小字興勝，更諱允濟，章宗時避顯宗諱，詔改「允」為「永」。
HCH_009_013_000059	尚書令申王完顏匡薨。
HCH_009_013_000060	右丞相僕散端為左丞相，進封兄郢王永功為譙王，御史大夫張行簡為太保。
HCH_009_013_000061	二年正月庚戌朔，日中有流星出，大如盆，其色碧，向西行，漸如車輪，尾長數丈，沒於濁中，至地複起，光散如火。
HCH_009_013_000062	二月，客星入紫微垣，光散為赤龍。
HCH_009_013_000063	地大震，有聲如雷。
HCH_009_013_000064	以禮部侍郎耿端義為參知政事。
HCH_009_013_000065	四月，校《大金儀禮》。
HCH_009_013_000066	北方有黑氣，如大道，東西亙天。
HCH_009_013_000067	徐、邳州河清五百餘里，以告宗廟社稷。
HCH_009_013_000068	五月，詔儒臣編《續資治通鑒》。
HCH_009_013_000069	六月，大旱。
HCH_009_013_000070	下詔罪已，振貧民闕食者。
HCH_009_013_000071	曲赦西京、太原兩路雜犯，死罪減一等，徒以下免。
HCH_009_013_000072	丙寅，地震。
HCH_009_013_000073	七月，地震。
HCH_009_013_000074	八月，地震。
HCH_009_013_000075	乙丑，立子胙王從恪為皇太子。
HCH_009_013_000076	萬秋節，宋遣使來賀。
HCH_009_013_000077	獵於近郊。
HCH_009_013_000078	夏人侵葭州。
HCH_009_013_000079	九月，地大震。
HCH_009_013_000080	乙未，詔求直言，招勇敢，撫流亡。
HCH_009_013_000081	庚子，遣使慰撫宣德行省軍士。
HCH_009_013_000082	丙午，京師戒嚴。
HCH_009_013_000083	上日出巡撫，百官請視朝，不允。
HCH_009_013_000084	辛亥，宣德行省罷。
HCH_009_013_000085	癸丑，詔撫諭中都、西京、清、滄被兵民戶。
HCH_009_013_000086	十一月，獵於近郊。
HCH_009_013_000087	中都大悲閣東渠內火自出，逾旬乃滅。
HCH_009_013_000088	閣南殺竿下石罅中火自出，人近之即滅，俄複出，如是者複旬日。
HCH_009_013_000089	中都火焮民居。
HCH_009_013_000090	十二月乙卯朔，日有食之。
HCH_009_013_000091	是歲大饑。
HCH_009_013_000092	禁百姓不得傳說邊事。
HCH_009_013_000093	三年正月乙酉朔，宋、高麗、夏遣使來賀。
HCH_009_013_000094	熒惑入氐中。
HCH_009_013_000095	二月，熒惑犯房宿。
HCH_009_013_000096	有大風從北來，髮屋折木，通玄門重關折，東華門重關折。
HCH_009_013_000097	閏月，熒惑犯鍵閉星。
HCH_009_013_000098	三月，大悲閣災，延及民居。
HCH_009_013_000099	有黑氣起北方，廣長若大堤，內有三白氣貫之，如龍虎狀。
HCH_009_013_000100	括民間馬，令職官出馬有差。
HCH_009_013_000101	四月，我大元太祖法天啟運驛武皇帝來征。
HCH_009_013_000102	遣西北路招討使粘合合打乞和。
HCH_009_013_000103	平章政事獨吉千家奴，參知政事胡沙行省事備邊。
HCH_009_013_000104	西京留守紇石烈胡沙虎行樞密院事。
HCH_009_013_000105	參知事奧屯忠孝為尚書右丞。
HCH_009_013_000106	戶部尚書梁𤨠為參知政事。
HCH_009_013_000107	六月壬寅，更定軍前賞罰格。
HCH_009_013_000108	八月，詔獎諭行省官，慰撫軍士。
HCH_009_013_000109	千家奴、胡沙自撫州退軍，駐于宣平。
HCH_009_013_000110	河南大名路軍逃歸，下詔招撫之。
HCH_009_013_000111	九月，千家奴、胡沙敗績於會河堡，居庸關失守。
HCH_009_013_000112	禁男子不得輒出中都城門。
HCH_009_013_000113	大元前軍至中至都，中都戒嚴。
HCH_009_013_000114	參知政事梁𤨠鎮撫京城。
HCH_009_013_000115	十月，每夜初更正，東、西北天明如月初出，經月乃滅。
HCH_009_013_000116	熒惑犯壘壁陣。
HCH_009_013_000117	上京留守徒單鎰遣同知烏古孫兀屯將兵二萬衛中都。
HCH_009_013_000118	泰州刺史朮虎高琪屯通玄門外。
HCH_009_013_000119	上巡撫諸軍。
HCH_009_013_000120	罷宣德行省。
HCH_009_013_000121	十一月，殺河南陳言人郝贊。
HCH_009_013_000122	以上京留守徒單鎰為右丞相。
HCH_009_013_000123	簽中都在城軍。
HCH_009_013_000124	紇石烈胡沙虎棄西京，走還京師，即以為右副元帥，權尚書左丞。
HCH_009_013_000125	是時，德興府、弘州、昌平、懷來、縉山、豐潤、密雲、撫甯、集寧，東過平、灤，南至清、滄，由臨潢過遼河，西南至忻、代，皆歸大元。
HCH_009_013_000126	初，徒單鎰請徒桓、昌、撫百姓入內地。
HCH_009_013_000127	上信梁𤨠議，以責鎰曰：「是自蹙境土也。」
HCH_009_013_000128	及大元已定三州，上悔之。
HCH_009_013_000129	至是，鎰複請置行省事于東京，備不虞。
HCH_009_013_000130	上不悅曰：「無故遣大臣，動搖人心。」
HCH_009_013_000131	未幾，東京不守，上乃大悔。
HCH_009_013_000132	右副元帥胡沙虎請兵二萬屯宣德，詔與三千人屯媯川。
HCH_009_013_000133	平章政事千家奴、參知政事胡沙坐覆全軍，千家奴除名，胡沙責授咸平路兵馬總管。
HCH_009_013_000134	萬戶𠇗頭屯古北口。
HCH_009_013_000135	十二月，簽陝西兩路漢軍五千人赴中都。
HCH_009_013_000136	太保張行簡、左丞相僕散端宿禁中議軍事。
HCH_009_013_000137	左丞相僕散端罷。
HCH_009_013_000138	崇慶元年正月己酉朔，改元，赦。
HCH_009_013_000139	宋、夏遣使來賀。
HCH_009_013_000140	右副元帥胡沙虎請退軍屯南口，詔數其罪，免之。
HCH_009_013_000141	三月，大旱，遺使冊李遵頊為夏國王。
HCH_009_013_000142	以御史大夫福興為參知政事。
HCH_009_013_000143	參知政事孟鑄為御史大夫。
HCH_009_013_000144	夏人犯葭州，延安路兵馬總管完顏奴婢稟之。
HCH_009_013_000145	五月，簽陝西勇敢軍二萬人，射糧軍一萬人，赴中都。
HCH_009_013_000146	括陝西馬。
HCH_009_013_000147	安武軍度使致仕賈鉉起複參知政事。
HCH_009_013_000148	參知政事福典為尚書左丞。
HCH_009_013_000149	詔賣空名敕牒。
HCH_009_013_000150	河東、陝西大饑，斗米錢數千，流莩滿野。
HCH_009_013_000151	以南京留守僕散端為河南、陝西安撫使，提控軍馬。
HCH_009_013_000152	七月，有風自東來，吹帛一段，高數十丈，飛動如龍形，墜於拱辰門。
HCH_009_013_000153	八月，萬秋節，以兵事不設宴。
HCH_009_013_000154	十月，曲赦西京、遼東、北京。
HCH_009_013_000155	十一月，賑河東南路、南京路、陝西東路、山東西路、衛州旱災。
HCH_009_013_000156	十二月，夏國王李遵頊謝封冊。
HCH_009_013_000157	至寧元年正月，賑河東陝西饑。
HCH_009_013_000158	二月，詔撫諭遼東。
HCH_009_013_000159	知大名府事烏古論誼謀不軌，伏誅。
HCH_009_013_000160	三月，太陰、太白與日並見，相去尺餘。
HCH_009_013_000161	五月，改元。
HCH_009_013_000162	詔諭咸平路契丹部人之嘯聚者。
HCH_009_013_000163	起胡沙虎複為右副元帥，領武衛軍三千人屯通玄門外。
HCH_009_013_000164	陝西大旱。
HCH_009_013_000165	六月，夏人犯保安州，殺刺史，犯慶陽府，殺同知府事。
HCH_009_013_000166	以戶部尚書胥鼎、刑部尚書王維翰為參知政事。
HCH_009_013_000167	八月，尚書左丞完顏元奴將兵備邊。
HCH_009_013_000168	詔軍官、軍士賜賚有差。
HCH_009_013_000169	大霧，晝晦。
HCH_009_013_000170	治中福海別將兵屯城北。
HCH_009_013_000171	辛卯，胡沙虎矯詔以誅反者，招福海執而殺之，奪其兵。
HCH_009_013_000172	壬辰，自通玄門入，殺知大興府徒單南平、刑部會郎徒單沒拈于廣陽門西。
HCH_009_013_000173	福海男符寶鄯陽、都統石古乃率眾拒戰，死之。
HCH_009_013_000174	胡沙虎叩東華門，遣人呼守直親軍百戶冬兒、五十戶蒲察六斤，不應。
HCH_009_013_000175	許以世襲猛安三品官職，亦不應。
HCH_009_013_000176	都點檢徒單渭河縋而出，護衛斜烈掊鎖啟門，胡沙虎以兵入宮，盡遂衛士，代以其黨，自稱監國都元帥。
HCH_009_013_000177	癸巳，逼上出宮。
HCH_009_013_000178	以素車載至故邸，以武衛軍二百人錮守之。
HCH_009_013_000179	尚宮左夫人鄭氏為內職，掌寶璽，聞難，端居璽所待變。
HCH_009_013_000180	胡沙虎遣黃門入收璽，鄭曰：「璽，天子所用，胡沙虎人臣，取將何為？」
HCH_009_013_000181	黃門曰：「今天時大變，主上猶且不保，況璽乎？御侍當思自脫計。」
HCH_009_013_000182	鄭厲聲罵曰：「若輩宮中近侍，恩遇尤隆，君難不以死報之，反為逆豎奪璽耶！我死可必，璽必不與。」
HCH_009_013_000183	遂瞑目不語。
HCH_009_013_000184	黃門出，胡沙虎卒取「宣命之寶」，偽除其黨醜奴為德州防禦使、烏古論奪剌順天軍節度使、提控宿直將軍徒單金壽永定軍節度使，及其餘黨凡數十人，皆遷宮。
HCH_009_013_000185	遂使宦者李思中害上于邸。
HCH_009_013_000186	誘奉御和尚作書急召其父左丞元奴議事，元奴以軍來，並其子皆殺之。
HCH_009_013_000187	九月甲辰，宣宗即位。
HCH_009_013_000188	丁未，詣邸臨奠，伏哭盡哀。
HCH_009_013_000189	敕以禮改葬。
HCH_009_013_000190	胡沙虎請廢為庶人，詔百官議於朝堂，議者三百餘人。
HCH_009_013_000191	太子少傅奧屯忠孝、侍讀學士蒲察思忠請從廢黜，戶部尚書武都、拾遣田庭芳等三十人請降為王侯。
HCH_009_013_000192	太子太保張行簡請用漢昌邑王、晉海西公故事，侍郎史完顏訛出等十人請降復王封。
HCH_009_013_000193	胡沙虎固執前議，宣宗不得已，乃降封東海郡侯。
HCH_009_013_000194	昭雪道陵元妃李氏、承御賈氏。
HCH_009_013_000195	十月辛亥，元帥右監軍朮虎高琪殺胡沙虎於其第。
HCH_009_013_000196	胡沙虎者，紇石烈執中也。
HCH_009_013_000197	宣宗乃下詔削其官爵。
HCH_009_013_000198	贈石古乃順州刺史，鄯陽順天軍節度副使，凡從二人拒戰者，千戶賞錢五百貫，謀克三百貫，蒲輦散軍二百貫，各遷官兩階，戰沒者贈賞付其家。
HCH_009_013_000199	冬兒加龍虎衛上將軍，再遷宿進將軍。
HCH_009_013_000200	蒲察六斤加定遠大將軍、武衛軍鈐轄。
HCH_009_013_000201	石古乃子尚幼，給俸八貫石，敕有司，俟其年十五以聞。
HCH_009_013_000202	貞祐四年，詔追複衛王諡曰紹。
HCH_009_013_000203	贊曰：衛紹王政亂於內，兵敗於外，其滅亡已有徵矣。
HCH_009_013_000204	身弑國蹙，記注亡失，南遷後不復紀載。
HCH_009_013_000205	皇朝中統三年，翰林學士承旨王鶚有志論著，求大安、崇慶事不可得，采摭當時詔令，故金部令史竇祥年八十九，耳目聰明，能記憶舊事，從之得二十餘條。
HCH_009_013_000206	司天提點張正之寫災異十六條，張承旨家手本載舊事五條，金禮部尚書楊雲翼日錄四十條，陳老日錄三十條，藏在史館。
HCH_009_013_000207	條件雖多，重復者三之二。
HCH_009_013_000208	惟所載李妃、完顏匡定策，獨吉千家奴兵敗，紇石烈執中作難，及日食、星變、地震、氛昆，不相背盭。
HCH_009_013_000209	今校其重出，刪其繁雜。
HCH_009_013_000210	《章宗實錄》詳其前事，《宜宗實錄》詳其後事。
HCH_009_013_000211	又于金掌奏目女官大明居士王氏所紀，得資明夫人援璽一事，附著於篇，亦可以存其梗概云爾。
