HCH_012_296_000036	又有王宅中、任萬庫、武世捷、孔維章、浦某、褚鹹、孫良輔等，不詳邑裏。
HCH_012_296_000037	皆以孝行旌其門。
HCH_012_296_000038	其同居敦睦者，則有洪武時龍遊夏文昭，四世同居。
HCH_012_296_000039	成化間，霸州秦貴，建德何永敬，蒲圻李玘，句容戴睿，饒陽耿寬，俱七世同居，石首王宗義五世同爨，宿遷張賓八世同爨，安東蘇勒，潞城韓錦、李昇，永州唐汝賢，豐城劉誌清，俱六世同居。
HCH_012_296_000040	弘治間，密雲李琚，合肥鄭元，陵川徐梁，安東朱勇，五世同居，慶都黃鐘，定邊衛韓鵬，俱六世同居，孝感程昂七世同居，泰州王玉八世同爨。
HCH_012_296_000041	正德間，山陽丁震五世同居。
HCH_012_296_000042	嘉靖間，石偉十一世同居，遂安毛彥恭六世同居。
HCH_012_296_000043	萬歷間，蕭梅七世同居，滁州盧守一，長治仇大，六世同居，先後得節烈貞女二十三人，太平楊乙六累世同居。
HCH_012_296_000044	天啟間，南城吳煥八世同居。
HCH_012_296_000045	皆旌曰義門。
HCH_012_296_000046	其輸財助官振濟者，則有正統間千戶胡文郁，訓術李昺，訓科劉文勝，吉安胡有初、謝子寬，浮梁範孔孫，榆次於敏，邳州鞏得海、岑仲暉、高興、葉旺、高宗泰，沭陽葛禎，清河王仲英，山陽鮑越，懷遠廖冠平、張簡，石州張雷，淮安梁辟、李成、俞勝、徐成，潞州李廷玉，羅山王必通，溧陽陸旺，余幹舒彥祥，溫州李倫、鄒有真，四安何仕能、王清。
HCH_012_296_000047	景泰間，江陰陳安常。
HCH_012_296_000048	天順間，潮陽郭吾，太原栗仲仁，代州李斌。
HCH_012_296_000049	弘治中，歸善吳宗益、宗義及宗義子璋。
HCH_012_296_000050	隆慶間，永寧王潔、胥瓚。
HCH_012_296_000051	萬歷間，少卿吳炯，浙江董欽等，臨清張氏，江西胡士琇、丁果、婁世潔、黎金球，山西孫光勛、高自修，亳州李文明，順義楊惟孝。
HCH_012_296_000052	天啟間南城吳煥。
HCH_012_296_000053	崇禎間席本楨等。
HCH_012_296_000054	皆旌為義門，或賜璽書褒勞。
HCH_012_296_000055	鄭濂徐允讓錢瑛姚玭丘鐸崔敏周琬伍洪朱煦劉謹李德成沈德四謝定住權謹趙紳麹祥鄭濂，字仲德，浦江人。
HCH_012_296_000056	其家累世同居，幾三百年。
HCH_012_296_000057	七世祖綺載《宋史·孝義傳》。
