HCH_011_049_000158	天監初，制度雖革，而日不暇給，嶸乃言曰：「永元肇亂，坐弄天爵，勳非卽戎，官以賄就。揮一金而取九列，寄片札以招六校；騎都塞市，郎將填街。服旣纓組，尚爲臧獲之事；職唯黃散，猶躬胥徒之役。名實淆紊，茲焉莫甚。臣愚謂軍官是素族士人，自有清貫，而因斯受爵，一宜削除，以懲僥競。若吏姓寒人，聽極其門品，不當因軍，遂濫清級。若僑雜傖楚，應在綏撫，正宜嚴斷祿力，絕其妨正，直乞虛號而已。謹竭愚忠，不恤衆口。」
HCH_011_049_000159	敕付尚書行之。
HCH_011_049_000160	遷中軍臨川王行參軍。
HCH_011_049_000161	衡陽王元簡出守會稽，引爲寧朔記室，專掌文翰。
HCH_011_049_000162	時居士何胤築室若邪山，山發洪水，漂拔樹石，此室獨存。
HCH_011_049_000163	元簡命嶸作《瑞室頌》以旌表之，辭甚典麗，選西中郎晉安王記室。
HCH_011_049_000164	嶸嘗品古今五言詩，論其優劣，名爲《詩評》。
HCH_011_049_000165	其序曰：頃之，卒官。
HCH_011_049_000166	岏，字長岳，官至府參軍、建康平。
HCH_011_049_000167	著《良吏傳》十卷。
HCH_011_049_000168	嶼字季望，永嘉郡丞。
HCH_011_049_000169	天監十五年，敕學士撰《徧略》，嶼亦預焉。
HCH_011_049_000170	兄弟並有文集。
HCH_011_049_000171	周興嗣字思纂，陳郡項人，漢太子太傅堪後也。
HCH_011_049_000172	高祖凝，晉征西府參軍、宜都太守。
HCH_011_049_000173	興嗣世居姑孰。
HCH_011_049_000174	年十三，遊學京師，積十餘載，遂博通記傳，善屬文。
HCH_011_049_000175	嘗步自姑孰，投宿逆旅，夜有人謂之曰：「子才學邁世，初當見識貴臣，卒被知英主。」
HCH_011_049_000176	言終，不測所之。
HCH_011_049_000177	齊隆昌中，侍中謝朏爲吳興太守，唯與興嗣談文史而已。
HCH_011_049_000178	及罷郡還，因大相稱薦。
HCH_011_049_000179	本州舉秀才，除桂陽郡丞，太守王嶸素相賞好，禮之甚厚。
HCH_011_049_000180	高祖革命，興嗣奏《休平賦》，其文甚美，高祖嘉之。
HCH_011_049_000181	拜安成王國侍郎，直華林省。
HCH_011_049_000182	其年，河南獻儛馬，詔興嗣與待詔到沆、張率爲賦，高祖以興嗣爲工。
HCH_011_049_000183	擢員外散騎侍郎，進直文德、壽光省。
HCH_011_049_000184	是時，高祖以三橋舊宅爲光宅寺，敕興嗣與陸倕各制寺碑。
HCH_011_049_000185	及成俱奏，高祖用興嗣所制者。
HCH_011_049_000186	自是《銅表銘》、《柵塘碣》、《北伐檄》、《次韻王羲之書千字》，並使興嗣爲文；每奏，高祖輒稱善，加賜金帛。
HCH_011_049_000187	九年，除新安郡丞，秩滿，復爲員外散騎侍郎，佐撰國史。
HCH_011_049_000188	十二年，遷給事中，撰文如故。
HCH_011_049_000189	興嗣兩手先患風疽，是年又染癘疾，左目盲，高祖撫其手，嗟曰：「斯人也而有斯疾也！」
HCH_011_049_000190	手疏治疽方以賜之。
HCH_011_049_000191	其見惜如此。
HCH_011_049_000192	任昉又愛其才，常言曰：「周興嗣若無疾，旬日當至御史中丞。」
HCH_011_049_000193	十四年，除臨川郡丞。
HCH_011_049_000194	十七年，復爲給事中，直西省。
HCH_011_049_000195	左衛率周捨奉敕注高祖所制歷代賦，啓興嗣助焉。
HCH_011_049_000196	普通二年，卒。
HCH_011_049_000197	所撰《皇帝實錄》、《皇德記》、《起居注》、《職儀》等百餘卷，文集十卷。
HCH_011_049_000198	吳均字叔庠，吳興故鄣人也。
HCH_011_049_000199	家世寒賤，至均好學有俊才。
HCH_011_049_000200	沈約嘗見均文，頗相稱賞。
