HCH_012_274_000259	剛乃上疏言：「臣請陛下三年之內，宮室不必修，百官禮樂不必備。惟日救天下才，智者決策，廉者理財，勇者禦敵。爵賞無出此三者，則國富兵強，大敵可服。若以驕悍之將馭無制之兵，空言恢復，是卻行而求前也。優遊歲月，潤色偏安，錮豪傑于草間，迫梟雄為盜賊，是株守以待盡也。惟廟堂不以浮文取士，而以實績課人，則真才皆為國用，而議論亦省矣。分遣使者羅草澤英豪，得才多者受上賞，則梟傑皆畢命封疆，而盜魁亦少矣。東南人滿，徙之江北，或賜爵，或贖罪，則豪右皆盡力南畝，而軍餉亦充矣。」
HCH_012_274_000260	時不能用。
HCH_012_274_000261	尋進本司員外郎，以其兵隸史可法。
HCH_012_274_000262	可法大喜得剛，剛亦自喜遇可法知已。
HCH_012_274_000263	士英惡之，出剛遵義知府。
HCH_012_274_000264	可法垂涕曰：「子去，吾誰仗？」
HCH_012_274_000265	剛亦泣，願死生無相背。
HCH_012_274_000266	逾月，揚州被圍，佐可法拒守。
HCH_012_274_000267	城破，投井死。
HCH_012_274_000268	吳爾壎，崇德人。
HCH_012_274_000269	崇禎十六年進士，授庶起士。
HCH_012_274_000270	賊敗南還，謁可法，請從軍贖罪，可法遂留參軍事。
HCH_012_274_000271	其父子屏方督學福建，爾壎斷一指畀故人祝淵曰：「君歸語我父母，悉出私財畀我餉軍。我他日不歸，以指葬可也。」
HCH_012_274_000272	從高傑北征至睢州，傑被難，爾壎流寓祥符。
HCH_012_274_000273	遇一婦人，自言福王妃。
HCH_012_274_000274	爾壎因守臣附疏以進，詔斥其妄言，逮之，可法為救免。
HCH_012_274_000275	後守揚州新城，投井死。
HCH_012_274_000276	高弘圖，字研文，膠州人。
HCH_012_274_000277	萬曆三十八年進士。
HCH_012_274_000278	授中書舍人，擢御史。
HCH_012_274_000279	柧棱自持，不依麗人。
HCH_012_274_000280	天啟初，陳時政八患，請用鄒元標、趙南星。
HCH_012_274_000281	巡按陝西，題薦屬吏，趙南星糾之，弘圖不能無望，代還，移疾去。
HCH_012_274_000282	魏忠賢亟攻東林，其黨以弘圖嘗與南星有隙，召起弘圖故官。
HCH_012_274_000283	入都，則楊漣、左光鬥、魏大中等已下詔獄，鍛煉嚴酷。
HCH_012_274_000284	弘圖果疏論南星，然言「國是已明，雷霆不宜頻擊」，「詔獄諸臣，生殺宜聽司敗法」，則頗謂忠賢過當者。
HCH_012_274_000285	疏中又引漢元帝乘船事，忠賢方導帝遊幸，不悅，矯旨切責之。
HCH_012_274_000286	後諫帝毋出蹕東郊，又極論前陝西巡撫喬應甲罪，又嘗語刺崔呈秀。
HCH_012_274_000287	呈秀、應甲皆忠賢黨，由是忠賢大怒，擬順天巡按不用。
HCH_012_274_000288	弘圖乞歸，遂令閑住。
HCH_012_274_000289	莊烈帝即位，起故官。
HCH_012_274_000290	劾罪田詔、劉志選、梁夢環。
HCH_012_274_000291	擢太僕少卿，復移疾去。
HCH_012_274_000292	三年春，召拜左僉都御史，進左副都御史。
HCH_012_274_000293	五年遷工部右侍郎。
HCH_012_274_000294	方入署，總理戶、工二部中官張彝憲來會，弘圖恥之，不與共坐，七疏乞休。
HCH_012_274_000295	帝怒，遂削籍歸，家居十年不起。
HCH_012_274_000296	十六年，召拜南京兵部右侍郎，就遷戶部尚書。
HCH_012_274_000297	明年三月，京師陷，福王立，改弘圖禮部尚書兼東閣大學士。
HCH_012_274_000298	疏陳新政八事。
HCH_012_274_000299	一，宣義問。
HCH_012_274_000300	請聲逆賊之罪，鼓發忠義。
HCH_012_274_000301	一，勤聖學。
HCH_012_274_000302	請不俟釋服，日禦講筵。
HCH_012_274_000303	一，設記注。
HCH_012_274_000304	請召詞臣入侍，日記言動。
HCH_012_274_000305	一，睦親籓。
HCH_012_274_000306	請如先朝踐極故事，遣官齎璽書慰問。
HCH_012_274_000307	一，議廟祀。
HCH_012_274_000308	請權附列聖神主於奉先殿，仍於孝陵側望祀列聖山陵。
HCH_012_274_000309	一，嚴章奏。
HCH_012_274_000310	請禁奸宄小人藉端妄言，脫罪僥倖。
HCH_012_274_000311	一，收人心。
HCH_012_274_000312	請蠲江北、河南、山東田租，毋使賊徒藉口。
HCH_012_274_000313	一，擇詔使。
HCH_012_274_000314	請遣官招諭朝鮮，示牽制之勢。
HCH_012_274_000315	並褒納焉。
HCH_012_274_000316	當是時，朝廷大議多出弘圖手。
HCH_012_274_000317	馬士英疏薦阮大鋮，弘圖不可。
HCH_012_274_000318	士英曰：「我自任之。」
HCH_012_274_000319	乃命大鋮假冠帶陛見。
HCH_012_274_000320	大鋮入見，曆陳冤狀，以弘圖不附東林引為證。
HCH_012_274_000321	弘圖則力言逆案不可翻，大鋮、士英並怒。
HCH_012_274_000322	一日，閣中語及故庶起士張溥，士英曰：「我故人也，死，酹而哭之。」
HCH_012_274_000323	薑曰廣笑曰：「公哭東林者，亦東林耶？」
HCH_012_274_000324	士英曰：「我非畔東林者，東林拒我耳。」
HCH_012_274_000325	弘圖因縱臾之，士英意解。
HCH_012_274_000326	而劉宗周劾疏自外至，大鋮宣言曰廣實使之，於是士英怒不可止。
HCH_012_274_000327	而薦張捷、謝升之疏出，朝端益水火矣。
HCH_012_274_000328	內劄用戶部侍郎張有譽為尚書，弘圖封還，具奏力諫，卒以廷推簡用。
HCH_012_274_000329	中官議設東廠，弘圖爭不得。
HCH_012_274_000330	遂乞休，不許，加太子少師，改戶部尚書，文淵閣。
HCH_012_274_000331	尋以太后至，進太子太保。
HCH_012_274_000332	其年十月，弘圖四疏乞休，乃許之。
HCH_012_274_000333	弘圖既謝政，無家可歸，流寓會稽。
HCH_012_274_000334	國破，逃野寺中，絕粒而卒。
HCH_012_274_000335	姜曰廣，字居之，新建人。
HCH_012_274_000336	萬曆末，舉進士，授庶起士，進編修。
HCH_012_274_000337	天啟六年奉使朝鮮，不攜中國一物往，不取朝鮮一錢歸，朝鮮人為立懷潔之碑。
HCH_012_274_000338	明年夏，魏忠賢黨以曰廣東林，削其藉。
HCH_012_274_000339	崇禎初，起右中充。
HCH_012_274_000340	九年，積官至吏部右侍郎。
HCH_012_274_000341	坐事左遷南京太常卿，遂引疾去。
HCH_012_274_000342	十五年，起詹事，掌南京翰林院。
HCH_012_274_000343	莊烈帝嘗言：「曰廣在講筵，言詞激切，朕知其人。」
HCH_012_274_000344	每優容之。
HCH_012_274_000345	北都變聞，諸大臣議所立。
HCH_012_274_000346	曰廣、呂大器用周鑣、雷縯祚言，主立潞王，而諸帥奉福籓至江上。
HCH_012_274_000347	於是文武官並集內官宅，韓贊周令各署名籍。
HCH_012_274_000348	曰廣曰：「無遽，請祭告奉先殿而後行。」
HCH_012_274_000349	明日至奉先殿，諸勳臣語侵史可法，曰廣呵之，於是群小鹹目攝曰廣。
HCH_012_274_000350	廷推閣臣，以曰廣異議不用，用史可法、高弘圖、馬士英。
HCH_012_274_000351	及再推詞臣，以王鐸、陳子壯、黃道周名上，而首曰廣。
HCH_012_274_000352	乃改曰廣禮部尚書兼東閣大學士，與鐸並命。
HCH_012_274_000353	鐸未至，可法督師揚州，曰廣與弘圖協心輔政。
