HCH_012_171_000110	而會川衛訓導詹英抗疏劾之，大略謂：「驥等多役民夫，舁彩繒，散諸土司以邀厚利。擅用腐刑，詭言進禦，實充私役。師行無紀，十五萬人一日起行，互相蹂踐。每軍負米六斗，跋陟山谷，自縊者多。抵金沙江，徬徨不敢渡；既渡不敢攻；攻而失都指揮路宣、翟亨等。俟賊解，多捕魚戶為俘。以地分木邦、緬甸，掩敗為功。此何異李宓之敗，而楊國忠以捷聞也。」
HCH_012_171_000111	奏下法司。
HCH_012_171_000112	王振左右之，得不問。
HCH_012_171_000113	而命英從驥軍自效。
HCH_012_171_000114	英知往且獲罪，匿不去。
HCH_012_171_000115	當是時，湖廣、貴州諸苗，所在蜂起，圍平越及諸城堡，貴州東路閉。
HCH_012_171_000116	驥至武昌，詔還軍討苗。
HCH_012_171_000117	會英宗北狩，群臣劾王振並及驥。
HCH_012_171_000118	以驥方在軍，且倚之平苗，置弗問。
HCH_012_171_000119	命佩平蠻將軍印，充總兵官，侍郎侯琎總督軍務。
HCH_012_171_000120	已而苗益熾，眾至十餘萬。
HCH_012_171_000121	平越被圍半歲，巡按御史黃鎬死守，糧盡掘草根食之，而驥頓軍辰、沅不進。
HCH_012_171_000122	景泰元年，鎬草疏置竹筒中，募人自間道出，聞於朝。
HCH_012_171_000123	更命保定伯梁缶為平蠻將軍，益兵二萬人。
HCH_012_171_000124	侯琎自雲南督之前，疾戰，大破賊，盡解諸城圍。
HCH_012_171_000125	而驥亦俘刬平王蟲富等以獻。
HCH_012_171_000126	驥還，命總督南京機務。
HCH_012_171_000127	其冬，乞世券，與之。
HCH_012_171_000128	南畿軍素偷惰。
HCH_012_171_000129	驥至，以所馭軍法教之。
HCH_012_171_000130	于謙弗重也，朝廷以其舊臣寵禮之。
HCH_012_171_000131	三年四月，賜敕解任，奉朝請。
HCH_012_171_000132	驥年七十餘，躍馬食肉，盛聲伎如故。
HCH_012_171_000133	久之，石亨、徐有貞等奉英宗復辟，驥與謀。
HCH_012_171_000134	賞稍後，上章自訟，言：「臣子祥入南城，為諸將所擠，墮地幾死。今論功不及，疑有蔽之者。」
HCH_012_171_000135	帝乃官祥指揮僉事。
HCH_012_171_000136	而命驥仍兵部尚書，理部事，加號奉天翊衛推誠宣力守正文臣、光祿大夫，余如故。
HCH_012_171_000137	數月請老，又三年乃卒，年八十三。
HCH_012_171_000138	贈靖遠侯，謚忠毅。
HCH_012_171_000139	傳子常及孫添。
HCH_012_171_000140	添尚嘉善長公主。
HCH_012_171_000141	再傳至孫瑾。
HCH_012_171_000142	嘉靖初，提督三千營，協守南京，還掌左府。
HCH_012_171_000143	久之，佩征蠻將軍印，鎮兩廣。
HCH_012_171_000144	廣東新寧、新興、思平間多高山叢箐，亡命者輒入諸瑤中，吏不得問，眾至萬餘人，流劫高要、陽江諸縣。
HCH_012_171_000145	官軍討之，輒失利。
