HCH_009_129_000089	海陵喜曰：「向者梁珫嘗為朕言，宋有劉貴妃者姿質豔美，蜀之華蕊、吳之西施所不及也。今一舉而兩得之，俗所謂'因行掉手'也。江南聞我舉兵，必遠竄耳。」
HCH_009_129_000090	欽與與信俱對曰：「海島、蠻越，臣等皆知道路，彼將安往？」
HCH_009_129_000091	欽又曰：「臣在宋時，嘗帥軍征蠻，所以知也。」
HCH_009_129_000092	海陵謂習失曰：「汝敢戰乎？」
HCH_009_129_000093	對曰：「受恩日久，死亦何避。」
HCH_009_129_000094	海陵曰：「汝料彼敢出兵否，彼若出兵，汝果能死敵乎？」
HCH_009_129_000095	習失良久曰：「臣雖懦弱，亦將與之為敵矣。」
HCH_009_129_000096	海陵曰：「彼將出兵何地？」
HCH_009_129_000097	曰：「不過淮上耳。」
HCH_009_129_000098	海陵曰：「然則天與我也。」
HCH_009_129_000099	既而曰：「朕舉兵滅宋，遠不過二三年，然後討平高麗、夏國。一統之後，論功遷秩，分賞將士，彼必忘勞矣。」
HCH_009_129_000100	四年三月，仲軻死。
HCH_009_129_000101	冬至前一夕，海陵夢仲軻求酒，既覺，嗟悼良久，遣使者奠其墓。
HCH_009_129_000102	李通，以便辟側媚得幸於海陵。
HCH_009_129_000103	累官右司郎中，遷吏部尚書。
HCH_009_129_000104	請謁賄賂輻輳其門。
HCH_009_129_000105	正隆二年正月乙酉，詔左右司禦史中丞以下奏事便殿，海陵曰：「知子莫若父，知臣莫若君，朕嘗試之矣。朕詢及人材，汝等若不舉同類，必舉其相善者。朕聞女直、契丹之仕進者，必賴刑部尚書烏帶、簽書樞密遙設為之先容，左司員外郎阿裏骨列任其事。渤海、漢人仕進者，必賴吏部尚書李通、戶部尚書許霖為之先容，左司郎中王蔚任其事。凡在仕版，朕識者寡，不識者眾，莫非人臣，豈有遠近親疏之異哉。苟奉職無愆，尚書侍郎節度使便可得，萬一獲罪，必罰無赦。」
HCH_009_129_000106	頃之，拜參知政事。
HCH_009_129_000107	海陵恃累世強盛，欲大肆征伐，以一天下，嘗曰：「天下一家，然後可以為正統。」
HCH_009_129_000108	通揣知其意，遂與張仲軻、馬欽、宦者梁珫近習群小輩，盛談江南富庶，子女玉帛之多，逢其意而先道之。
HCH_009_129_000109	海陵信其言，以通為謀主，遂議興兵伐江南。
HCH_009_129_000110	四年二月，海陵諭宰相曰「宋國雖臣服，有誓約而無誠實，比聞沿邊買馬及招納叛亡，不可不備。」
HCH_009_129_000111	遣使籍諸路猛安部族、及州縣渤海丁莊充軍，仍括諸道民馬。
HCH_009_129_000112	於是，遣使分往上京、速頻路、胡裏改路、曷懶路、蒲與路、泰州、咸平府、東京、婆速路、曷蘇館、臨潢府、西南招討司、西北招討司、北京、河間府、真定府、益都府、東平府、大名府、西京路，凡年二十以上、五十以下者皆籍之，雖親老丁多，求一子留侍，亦不聽，五年十一月，使益都尹京等三十一人押諸路軍器於軍行要會處安置，俟軍至分給之。
HCH_009_129_000113	其分給之餘與繕完不及者，皆聚而焚之。
HCH_009_129_000114	六年正月，海陵使通諭旨宋使徐度等曰：「朕昔從梁王嘗居南京，樂其風土。帝王巡狩，自古有之。淮右多隙地，欲校獵其間，從兵不逾萬人。汝等歸告汝主，令有司宣諭朕意，使淮南之民無懷疑懼。」
HCH_009_129_000115	二月，通進拜右丞，詔曰：「卿典領繕完兵械，今已畢功，朕嘉卿忠謹，故有是命，俟江南事畢，別當旌賞。」
HCH_009_129_000116	四月，簽書樞密院事高景山為賜宋帝生日使，右司員外郎王全副之，海陵謂全曰：「汝見宋主，即面數其焚南京宮室、沿邊買馬、招致叛亡之罪，當令大臣某人某人來此，朕將親詰問之，且索漢、淮之地，如不從，即厲聲詆責之，彼必不敢害汝。」
HCH_009_129_000117	海陵蓋使王全激怒宋主，將以為南伐之名也。
HCH_009_129_000118	謂景山曰：「回日，以全所言奏聞。」
HCH_009_129_000119	全至宋，一如海陵之言詆責宋主，宋主謂全曰：「聞公北方名家，何乃如是？」
HCH_009_129_000120	全複曰：「趙桓今已死矣。」
HCH_009_129_000121	宋主遽起發哀而罷。
HCH_009_129_000122	海陵至南京，宋遣使賀遷都，海陵使韓汝嘉就境上止之曰：「朕始至此，比聞北方小警，欲複歸中都，無庸來賀。」
HCH_009_129_000123	宋使乃還。
HCH_009_129_000124	於是，大括天下騾馬，官至七品聽留一馬，等而上之。
HCH_009_129_000125	並舊籍民馬，其在東者給西軍，在西者給東軍，東西交相往來，晝夜絡繹不絕，死者狼籍于道。
HCH_009_129_000126	其亡失多者，官吏懼罪或自殺。
HCH_009_129_000127	所過蹂踐民田，調發牽馬夫役。
HCH_009_129_000128	詔河南州縣所貯糧米以備大軍，不得他用，而騾馬所至當給芻粟，無可給，有司以為請，海陵曰：「此方比歲民間儲畜尚多，今禾稼滿野，騾馬可就牧田中，借令再歲不獲，亦何傷乎。」
HCH_009_129_000129	及徵發諸道工匠至京師，疫死者不可勝數，天下始騷然矣。
HCH_009_129_000130	調諸路馬以戶口為率，富室有至六十匹者。
HCH_009_129_000131	凡調馬五十六萬餘匹，仍令本家養飼，以俟師期。
HCH_009_129_000132	海陵因出獵，遂至通州觀造戰船，籍諸路水手得三萬餘人。
HCH_009_129_000133	及東海縣人張旺、徐元反，遣都水監徐文等率師浮海討之，海陵曰：「朕意不在一邑，將試舟師耳。」
HCH_009_129_000134	於是民不堪命，盜賊蜂起，大者連城邑，小者保山澤，遣護衛普連二十四人，各授甲士五十人，分往山東、河北、河東、中都等路節鎮州郡屯駐，捕捉盜賊。
HCH_009_129_000135	以護衛頑犀為定武軍節度副使，尚賢為安武軍節度副使，蒲甲為昭義軍節度副使，皆給銀牌，使督責之。
HCH_009_129_000136	是時，山東賊犯沂州，臨沂令胡撒力戰而死。
HCH_009_129_000137	大名府賊王九等據城叛，眾至數萬。
HCH_009_129_000138	契丹邊六斤、王三輩皆以十數騎張旗幟，白晝公行，官軍不敢誰何，所過州縣，開劫府庫物置於市，令人攘取之，小人皆喜賊至，而良民不勝其害。
HCH_009_129_000139	太府監高彥福、大理正耶律道、翰林待制大穎出使還朝，皆言盜賊事。
HCH_009_129_000140	海陵惡聞，怒而杖之，穎仍除名，自是人人不復敢言。
HCH_009_129_000141	海陵自將，分諸道兵為神策、神威、神捷、神銳、神毅、神翼、神勇、神果、神略、神鋒、武勝、武定、武威、武安、武捷、武平、武成、武毅、武銳、武揚、武翼、武震、威定、威信、威勝、威捷、威烈、威毅、威震、威略、威果、威勇三十二軍，置都總管、副總管各一員，分隸左右領軍大都督及三道都統制府。
HCH_009_129_000142	置諸軍巡察使、副各一員。
HCH_009_129_000143	乙太保奔睹為左領軍大提督，通為副大都督。
HCH_009_129_000144	海陵以奔睹舊將，使帥諸軍以從人望，實使通專其事。
HCH_009_129_000145	海陵召諸將授方略，賜宴於尚書省。
HCH_009_129_000146	海陵曰：「太師梁王連年南伐，淹延歲月。今舉兵必不如彼，遠則百日，近止旬月。惟爾將士無以征行為勞，戮力一心，以成大功，當厚加旌賞，其或弛慢，刑茲無赦。」
HCH_009_129_000147	海陵恐糧運不繼，命諸軍渡江無以僮僕從行，聞者莫不怨咨。
HCH_009_129_000148	徒單後與太子光英居守，尚書令張浩、左丞相蕭玉、參知政事敬嗣暉留治省事。
HCH_009_129_000149	九月甲午，海陵戎服乘馬，具裝啟行。
HCH_009_129_000150	明日，妃嬪皆行，宮中慟哭久之。
HCH_009_129_000151	十月乙巳，陰晦失路，是夜二更始至蒙城。
HCH_009_129_000152	丁未，大軍渡淮，至中流，海陵拜而酹之。
HCH_009_129_000153	至宿次，見築繚垣者，殺四方館使張永鈐。
HCH_009_129_000154	將至廬州，見白兔，馳射不中。
HCH_009_129_000155	既而後軍獲之以進，海陵大喜，以金帛賜之，顧謂李通曰：「昔武王伐紂，白魚躍於舟中。今朕獲此，亦吉兆也。」
HCH_009_129_000156	癸亥，海陵至和州，百官表奉起居，海陵謂其使：「汝等欲伺我動靜邪？自今勿複來，俟平江南始進賀表。」
HCH_009_129_000157	是時，梁山濼水涸，先造戰船不得進，乃命通更造戰船，督責苛急，將士七八日夜不得休息，壞城中民居以為材木，煮死人膏為油用之。
HCH_009_129_000158	遂築台于江上，海陵被金甲登臺，殺黑馬以祭天，以一羊一豕投于江中。
HCH_009_129_000159	召都督昂、副都督蒲盧渾謂之曰：「舟楫已具，可以濟江矣。」
HCH_009_129_000160	蒲盧渾曰：「臣觀宋舟甚大，我舟小而行遲，恐不可濟。」
HCH_009_129_000161	海陵怒曰：「爾昔從梁王追趙構入海島，豈皆大舟邪？明日汝與昂先濟。」
