HCH_012_257_000118	彥任都司楊國棟、廖棟，而檄所部練民兵，增諸要地守卒。
HCH_012_257_000119	請留京操班軍及廣東援遼軍，以備征調。
HCH_012_257_000120	薦起故大同總兵官楊肇基為山東總兵官，討賊。
HCH_012_257_000121	賊乘肇基未至，襲兗州，為滋陽知縣楊炳所卻。
HCH_012_257_000122	棟等擊敗賊，復鄆城。
HCH_012_257_000123	其別部犯鉅野，知縣趙延慶固守不下，國棟兵至，敗之，又敗其犯兗州者。
HCH_012_257_000124	遂偕棟等合攻鄒縣。
HCH_012_257_000125	兵潰，遊擊張榜戰死，賊遂圍曲阜、郯城。
HCH_012_257_000126	旋敗去，遂復嶧縣。
HCH_012_257_000127	七月，彥視師兗州。
HCH_012_257_000128	甫出城，遇賊萬餘，彥縋入城。
HCH_012_257_000129	肇基急迎戰，而令國棟及棟夾擊，大敗之橫河。
HCH_012_257_000130	時賊精銳聚鄒、滕中道，彥欲攻鄒、滕。
HCH_012_257_000131	副使徐從治曰：「攻鄒、滕難下，不如搗其中堅，兩城可圖也。」
HCH_012_257_000132	彥乃與肇基令遊兵綴賊鄒城，而以大軍擊賊精銳於黃陰、紀王城，大敗賊，蹙而殪之嶧山，遂圍鄒。
HCH_012_257_000133	大小數十戰，城未下，令天津僉事來斯行及國棟等乘間復滕縣。
HCH_012_257_000134	國棟又大破賊沙河，乃築長圍以攻鄒。
HCH_012_257_000135	鴻儒抗守三月，食盡，賊黨盡出降；鴻儒單騎走，被擒。
HCH_012_257_000136	撫其眾四萬七千餘人。
HCH_012_257_000137	彥乃紀績，告廟獻俘，磔鴻儒於市。
HCH_012_257_000138	鴻儒躪山東二十年，徒黨不下二百萬，至是始伏誅。
HCH_012_257_000139	於弘誌亦於是年六月據武邑白家屯，將取景州應鴻儒。
HCH_012_257_000140	斯行方赴援山東，還軍討之。
HCH_012_257_000141	弘誌突圍走，為諸生葉廷珍所獲，凡舉事七日而滅。
HCH_012_257_000142	好賢亦捕得伏誅。
HCH_012_257_000143	彥已加兵部侍郎，論功，進尚書兼右副都御史，再加太子太保，蔭子錦衣世僉事，賚銀幣加等。
HCH_012_257_000144	奏請振濟，且捐鄒、滕賦三年，鄆城、嶧、滋陽、曲阜一年，鉅野半之，皆報許。
HCH_012_257_000145	三年八月，召代董漢儒為兵部尚書，極陳邊將克餉、役軍、虛伍、占馬諸弊，因條列綜核事宜。
HCH_012_257_000146	帝稱善，立下諸邊舉行。
HCH_012_257_000147	參將王楹行邊，為哈剌慎部襲殺，彥請核實論罪，並敕諸邊撫賞毋增故額。
HCH_012_257_000148	有傳我大清兵欲入喜峰口者，彥憂之，畫上八事，帝皆褒納。
HCH_012_257_000149	楊漣劾魏忠賢二十四罪，彥亦抗疏劾之，自是為忠賢所惡。
