HCH_012_228_000112	而學曾以賊求撫為之請，帝切責。
HCH_012_228_000113	及是，城中百戶姚欽、武生張遐齡射書城外，約內應，夜半舉火。
HCH_012_228_000114	外兵不至，賊殺其黨五十人，欽縋城出，來奔。
HCH_012_228_000115	當是時，賊外以求撫緩兵，而陰結寇為助，然糧盡，勢且困。
HCH_012_228_000116	七月，學曾與夢熊、國楨定計，決黃河大壩水灌之，水抵城下。
HCH_012_228_000117	時套寇卜失兔、莊禿賴以三萬騎犯定邊、小鹽池，用土昧鐵雷為前鋒，而別遣宰僧以萬騎從花馬池西沙湃口入，為拜聲援。
HCH_012_228_000118	麻貴擊之右溝，寇稍挫，分趨下馬關及鳴沙洲。
HCH_012_228_000119	學曾令遊擊龔子敬扼沙湃口，而檄延綏總兵官董一元搗土昧鐵雷巢，斬首百三十餘級，寇大驚引去。
HCH_012_228_000120	遇子敬，圍之十重，子敬死，寇亦去，賊援遂絕。
HCH_012_228_000121	學曾益決大壩水。
HCH_012_228_000122	八月，河決堤壞，復繕治之，城外水深八九尺，東西城崩百餘丈。
HCH_012_228_000123	著力兔、宰僧復入李剛堡。
HCH_012_228_000124	如松、貴等擊敗之，追奔至賀蘭山。
HCH_012_228_000125	賊益懼求款，未決，會學曾得罪罷。
HCH_012_228_000126	朝命以夢熊代，夢熊遂成功。
HCH_012_228_000127	初，學曾之遣人招東旸、朝也，留固原十餘日以俟之，帝責其玩寇；李句渡河又稍遲，松山、河套寇先入，官軍用是再失利。
HCH_012_228_000128	學曾嘗上疏令監軍無與兵事，帝為飭國楨如其言，國楨頗憾之。
HCH_012_228_000129	及至軍，劾諸將觀望，而頗以玩寇為學曾罪。
HCH_012_228_000130	給事中許子偉亦劾學曾惑於招撫，誤國事。
HCH_012_228_000131	國楨又言僉事隨府從城上躍下，賊令四人下取，我軍咫尺不敢前；又北寇數萬斷我糧道，殺戮無算，匿不以奏。
HCH_012_228_000132	帝遂大怒，逮學曾至京。
HCH_012_228_000133	然學曾逮未逾月，城壞而大軍入，賊竟以破滅。
HCH_012_228_000134	夢熊既代學曾，亦賜尚方劍。
HCH_012_228_000135	時調度靈州，獨國楨監軍寧夏。
HCH_012_228_000136	賊被圍久，食盡無援，而城受水浸，益大崩。
HCH_012_228_000137	國楨挾諸將趨南關。
HCH_012_228_000138	秉忠先登，國楨大呼，諸將畢登。
HCH_012_228_000139	賊退據大城，攻數日不下。
HCH_012_228_000140	國楨使間紿東旸、朝、承恩互相殺，以降貰其罪。
HCH_012_228_000141	三人內猜疑，東旸、朝遂先誘殺承恩黨文秀。
HCH_012_228_000142	承恩亦與其黨周國柱誘東旸、朝殺之；盡懸東旸、朝、文秀首城上，開門降。
HCH_012_228_000143	如松率兵圍拜家。
HCH_012_228_000144	拜倉皇縊，闔室自焚死。
HCH_012_228_000145	夢熊自靈州馳至，下令盡誅拜黨及降人二千，慰問宗室士庶。
HCH_012_228_000146	寧夏平。
HCH_012_228_000147	夢熊、正色、國楨各上捷奏，而俘承恩獻京師。
HCH_012_228_000148	帝御門受賀，詔磔承恩於市，夢熊、正色、國楨各蔭世官，如松功第一，如薰、貴、秉忠等加恩有差。
HCH_012_228_000149	學曾初奪職為民，敘功，以原官致仕。
HCH_012_228_000150	學曾任事勞勚。
HCH_012_228_000151	灌城招降之策，本其所建。
HCH_012_228_000152	及宣捷，帝召見大學士趙誌臯、張位，誌臯、位力為學曾解，尚書星以下多白學曾無罪。
HCH_012_228_000153	國楨亦上疏言：「學曾應變稍緩，臣請責諸將以振士氣，而逮學曾之命，發自臣疏，竊自悔恨。學曾不早雪，臣將受萬世譏。」
HCH_012_228_000154	如松亦言：「學曾被逮時，三軍雨泣。」
HCH_012_228_000155	夢熊亦推功學曾。
HCH_012_228_000156	帝初不聽，既而復其官。
HCH_012_228_000157	居家數年卒。
HCH_012_228_000158	夢熊以功進右都御史。
HCH_012_228_000159	初，卜失兔為都督，其部長切盡臺吉最用事。
HCH_012_228_000160	切盡臺吉死，卜失兔不能制諸部。
HCH_012_228_000161	經略鄭洛專事羈縻。
HCH_012_228_000162	學曾以洮河之變，惡諸部為逆，襲殺明安。
HCH_012_228_000163	會拜反，著力兔、宰僧遂聲言與拜為一家，而卜失兔、莊禿賴亦引兵助之。
HCH_012_228_000164	及拜誅，切盡臺吉之比吉率著力兔、宰僧、莊禿賴等頓首花馬池塞下，悔罪求款。
HCH_012_228_000165	夢熊為奏請。
HCH_012_228_000166	帝以夢熊初主學曾，責其前後異議，令要諸部縛叛贖罪。
HCH_012_228_000167	著力兔等求款益堅，夢熊乃與巡撫田樂奏上四鎮款戰機宜，俟朝議。
HCH_012_228_000168	中外相仗莫敢決，卜失兔遂率諸部大入定邊。
HCH_012_228_000169	總兵官麻貴等擊卻之，夢熊以功加太子少保。
HCH_012_228_000170	未幾，切盡臺吉從子青把都兒犯甘肅，總兵官楊浚、副總兵何崇德禦之，斬首六百餘級。
HCH_012_228_000171	夢熊復加太子太保、兵部尚書。
HCH_012_228_000172	尋入為南京工部尚書，而以都御史李汶代。
HCH_012_228_000173	自洮河變後，寇頗輕中國。
HCH_012_228_000174	招撫議既絕，諸部數入犯，四鎮遂頻歲用兵雲。
HCH_012_228_000175	夢熊雖功多，其品望遠出學曾下。
HCH_012_228_000176	卒官。
HCH_012_228_000177	國楨既招降承恩，以夢熊貪功殺降，劾其罪。
HCH_012_228_000178	夢熊奏辨，言：「拜所畜家人皆死士，緩一二日，東旸、朝黨復集，必再亂。臣寧負殺降名，以絕禍本。」
HCH_012_228_000179	帝為下詔和解之。
HCH_012_228_000180	論功，擢國楨太僕少卿。
HCH_012_228_000181	逾年，遷右僉都御史，巡撫大同。
HCH_012_228_000182	久之，遷兵部右侍郎，總督宣、大、山西軍務。
HCH_012_228_000183	在鎮三年，節省市賞銀十五萬兩有奇。
HCH_012_228_000184	父喪歸，未起而卒。
HCH_012_228_000185	贈右都御史。
HCH_012_228_000186	李化龍，字於田，長垣人。
HCH_012_228_000187	萬歷二年進士。
HCH_012_228_000188	除嵩縣知縣。
HCH_012_228_000189	年甫二十，胥吏易之。
HCH_012_228_000190	化龍陰察其奸，悉召置之法，縣中大治。
HCH_012_228_000191	遷南京工部主事，歷右通政使。
HCH_012_228_000192	二十二年夏，擢右僉都御史，巡撫遼東。
HCH_012_228_000193	初，總兵官李成梁破殺泰寧速把亥，其子把兔兒弟炒花據舊遼陽以北，居兩河之中，益結土蠻為患。
HCH_012_228_000194	其年四月，把兔兒圍遼陽，朵顏小歹青、福余伯言兒分犯錦、義，掠清細河，巡撫韓取善坐免。
