HCH_012_316_000116	上復優詔報之。
HCH_012_316_000117	巡撫郭子章許疆臣以應龍平後還播所侵水西烏江地六百里以酬功，於是疆臣兵從沙溪入。
HCH_012_316_000118	有蜚語水西佐賊者，總督李化龍檄詰之，疆臣遂執賊二十餘人，率所部奪落濛關，至大水田，焚桃溪莊。
HCH_012_316_000119	應龍伏誅。
HCH_012_316_000120	初，應龍之祖以內難走水西，客死。
HCH_012_316_000121	宣慰萬銓挾之，索水煙、天旺地，聽還葬，其地遂為水西所據。
HCH_012_316_000122	及播州平，分其地為遵義、平越二府，分隸蜀、黔，以渭河中心為界。
HCH_012_316_000123	總督王象乾代化龍，命疆臣歸所侵播州地。
HCH_012_316_000124	子章奏言：「侵地始於萬銓，而非疆臣。安氏迫取於楊相喪亂之時，非擅取於應龍蕩平之日。且臣曾許其裂土，今反奪其故地，臣無面目以謝疆臣，願罷去。」
HCH_012_316_000125	象乾疏言：「疆臣征番，殲應龍子惟棟不實，首功可知。至佯敗棄陣，送藥往來，欺君助逆，跡已昭然。令還侵地，不咎既往，已屬國家寬大。若因其挾而予之，彼不為恩，我且示弱。疆臣既無功，不與之地，正所以全撫臣之信。宜留撫臣罷臣，以為重臣無能與蕞爾苗噂沓者之戒。」
HCH_012_316_000126	於是清疆之議，累年不決。
HCH_012_316_000127	兵部責令兩省巡按御史勘報，而南北言官交章詆象乾貪功起釁。
HCH_012_316_000128	科臣呂邦耀復劾子章納賄縱奸，子章求去益力。
HCH_012_316_000129	象乾執疆臣所遣入京行賄之人與金，以聞於朝。
HCH_012_316_000130	然議者多右疆臣，尚書蕭大亨遂主巡按李時華疏，謂：「征播之役，水西不惟假道，且又助兵。矧失之土司，得之土司，播固輸糧，水亦納賦，不宜以土地之故傷字小之仁，地宜歸疆臣。」
HCH_012_316_000131	於是疆臣增官進秩，其母得賜祭，水西尾大之患，亦於是乎不可制矣。
HCH_012_316_000132	三十六年，疆臣死，弟堯臣襲。
HCH_012_316_000133	四十一年，烏撒土舍謀逐安效良，堯臣以追印為名，領兵數萬長驅入滇，直薄沾益州，所過焚掠，備極慘毒。
HCH_012_316_000134	朝廷方以越境擅兵欲加堯臣罪，而堯臣死。
HCH_012_316_000135	子位幼，命其妻奢社輝攝事。
HCH_012_316_000136	社輝，永寧宣撫奢崇明女弟。
HCH_012_316_000137	崇明子寅獷悍，與社輝爭地，相仇恨。
HCH_012_316_000138	而安邦彥者，位之叔父也，素懷異志，陰與崇明合。
HCH_012_316_000139	及崇明反，調兵水西，邦彥遂挾位叛以應之，位幼弱不能制。
HCH_012_316_000140	邦彥更招故宣慰土舍宋萬化為助，率兵趨畢節，陷之，分兵破安順、平壩、沾益。
