HCH_013_077_000198	四月壬寅，舒城陷。
HCH_013_077_000199	時舒城無令，參將孔庭訓以兵千人，同編修胡守恆率民共守七閱月，廷訓降於賊，勾賊攻城。
HCH_013_077_000200	守恆倡舒人死守，賊以洞車穴城，穿者數處，守恆督軍民補塞之。
HCH_013_077_000201	賊射書脅降，守恆燔其書於城上。
HCH_013_077_000202	越三日城陷，賊執守恆，刃其腹，被數十創以死。
HCH_013_077_000203	獻忠屯舒城，改曰得勝州。
HCH_013_077_000204	令降將孔廷訓攻霍山。
HCH_013_077_000205	河南賊袁時中以兵會獻忠。
HCH_013_077_000206	乙巳，獻忠合諸賊陷六安。
HCH_013_077_000207	五月甲戌，張獻忠襲破廬州。
HCH_013_077_000208	先是，獻忠遣英、霍遊民陽爲貿易者，潛入廬州城。
HCH_013_077_000209	適督學御史以校士至郡，獻忠遣賊數百，負書卷，衣青衿，雜諸生應試者，旅寓城中。
HCH_013_077_000210	甲戌夜漏三下，獻忠捲甲疾馳入郡，城中賊縱火應之。
HCH_013_077_000211	城陷，學使者及備兵副使蔡如蘅俱走，知府鄭履祥死之。
HCH_013_077_000212	廬州城池高深，賊屢攻不能克，至是，一夕而陷。
HCH_013_077_000213	獻忠斂兵退屯巢湖，略含山、巢縣。
HCH_013_077_000214	六月辛亥，獻忠襲陷廬江，焚戮一空，還兵舒城。
HCH_013_077_000215	八月辛丑，獻忠分三軍：一軍上六安，一軍趨廬州，一軍往廬江三河。
HCH_013_077_000216	掠雙橋巨舟二百艘。
HCH_013_077_000217	復大治舟艦於巢湖習水師，因大會羣賊，合水陸五十六營，集於皖口。
HCH_013_077_000218	壬子，獻忠復陷六安，將州民盡斷一臂，男左女右。
HCH_013_077_000219	總兵黃得功、劉良佐兵救六安，營於夾山嶺，再戰敗績，得功歸定遠。
HCH_013_077_000220	獻忠再陷六安，挫得功、良佐兵，謀渡江入南京，遂僭號改元，刻僞寶，選自宮男子，僞署總兵以下官。
HCH_013_077_000221	九月，黃得功復以大兵逐之。
HCH_013_077_000222	己卯，賊悉走潛山，命賊將一堵牆爲殿。
HCH_013_077_000223	營於山上，步騎九十哨，分營爲四，前阻大溝，後枕山險，爲持久計。
HCH_013_077_000224	得功、良佐捲甲疾趨，夜半緣山後譟而升。
HCH_013_077_000225	賊驚起失措，且前阻大溝，不能成列。
HCH_013_077_000226	官軍奮擊，賊踰崖跳澗四潰。
HCH_013_077_000227	追奔六十里，斬首萬餘。
HCH_013_077_000228	獻忠潰圍走，一堵牆伏林中，焚殺之。
HCH_013_077_000229	塡屍溢溪壑，臭達百里。
HCH_013_077_000230	奪馬騾數萬，賊腹心謀士婦豎俱盡。
HCH_013_077_000231	十月丙午，劉良佐再破獻忠於安慶，奪馬騾五千，救回難民萬餘。
HCH_013_077_000232	獻忠引兵西走蘄水。
HCH_013_077_000233	十一月，獻忠西入楚。
HCH_013_077_000234	劉良佐旋師淮安，黃得功旋師定遠。
HCH_013_077_000235	十二月，獻忠復東去，陷桐城，屠之。
HCH_013_077_000236	初，獻忠西遁，諸軍俱勦袁時中於潁，故獻忠乘虛突出。
HCH_013_077_000237	丙戌，陷無爲州，遂陷黃梅。
HCH_013_077_000238	壬辰，陷太湖。
