HCH_012_330_000153	帝嘉其父恭順，賚之銀幣，即以牛羊賜其部人，為惡者付之自治，仍許貢市，俺答益感德。
HCH_012_330_000154	而火落赤侵掠番族不休，守臣檄切盡台吉約束之，亦引罪輸服。
HCH_012_330_000155	及俺答卒，傳至孫扯力克，勢輕，不能制諸酋。
HCH_012_330_000156	十六年九月，永邵卜部眾有闌入西寧者，副總兵李奎方被酒，躍馬而前。
HCH_012_330_000157	部眾控鞍欲訴，奎拔刀斫之，眾遂射奎死。
HCH_012_330_000158	部卒馳救之，亦多死。
HCH_012_330_000159	守臣不能討，遣使詰責，但獻首惡，還人畜而止。
HCH_012_330_000160	以故無所憚，愈肆侵盜。
HCH_012_330_000161	時丙兔及切盡台吉亦皆死，丙兔子真相移駐莽剌川，火落赤移駐捏工川，逼近西寧，日蠶食番族。
HCH_012_330_000162	番不能支，則折而為寇用。
HCH_012_330_000163	扯力克又西行助之，勢益熾。
HCH_012_330_000164	十八年六月入舊洮州，副總兵李聯芳率三千人御之，盡覆。
HCH_012_330_000165	七月復深入，大掠河州、臨洮、渭源。
HCH_012_330_000166	總兵官劉承嗣與游擊孟孝臣各將一軍御之，皆敗績，游擊李芳等死焉，西陲大震。
HCH_012_330_000167	事聞，命尚書鄭洛出經略。
HCH_012_330_000168	洛前督宣大軍，撫順義王及忠順夫人有恩。
HCH_012_330_000169	遣使趣扯力克東歸，而大布招番之令，來者率善遇之，自是歸附者不絕。
HCH_012_330_000170	火、真二酋自知罪重，又聞套酋卜失兔來助，大敗於水泉口，扯力克復將還巢，始懼。
HCH_012_330_000171	徙帳去，留其黨可卜兔等於莽剌川。
HCH_012_330_000172	明年，總兵官尤繼先破走之。
HCH_012_330_000173	洛更進兵青海，焚仰華寺，逐其餘眾而還。
HCH_012_330_000174	番人復業者至八萬餘人，西陲暫獲休息。
HCH_012_330_000175	已，復聚於青海。
HCH_012_330_000176	二十三年增設臨洮總兵官，以劉綎任之。
HCH_012_330_000177	未幾，永邵卜諸部犯南川，參將達雲大破之。
HCH_012_330_000178	已，連火、真二酋犯西川，雲又擊破之。
HCH_012_330_000179	明年，諸酋復掠番族，將窺內地。
HCH_012_330_000180	綎部將周國柱御之莽剌川，又大破之。
HCH_012_330_000181	二十七年糾叛苗犯洮、岷，總兵官蕭如薰等敗之，斬番人二百五十餘級，寇八十二級，撫降番族五千餘人。
HCH_012_330_000182	三十四年復入鎮番黑古城，為總兵官柴國柱所敗。
HCH_012_330_000183	自是屢入鈔掠，不能大得志。
HCH_012_330_000184	時為陝西患者，有三大寇：一河套，一松山，一青海。
HCH_012_330_000185	青海土最沃，且有番人屏蔽，故患猶不甚劇。
HCH_012_330_000186	崇禎十一年，李自成屢為官軍擊敗，自洮州軼出番地。
HCH_012_330_000187	諸將窮追，復奔入塞內，番族亦遭蹂躪。
HCH_012_330_000188	十五年，西寧番族作亂，總抹官馬爌督諸將五道進剿，斬首七百有奇，撫降三十八族而還。
HCH_012_330_000189	明年冬，李自成遣將陷甘州，獨西寧不下。
