HCH_012_123_000172	士誠復不報。
HCH_012_123_000173	初，士誠既得平江，即以兵攻嘉興。
HCH_012_123_000174	元守將苗帥楊完者數敗其兵。
HCH_012_123_000175	乃遣士德間道破杭州。
HCH_012_123_000176	完者還救，復敗歸。
HCH_012_123_000177	明年，耿炳文取長興，徐達取常州，吳良等取江陰，士誠兵不得四出，勢漸蹙。
HCH_012_123_000178	亡何，徐達兵徇宜興，攻常熟。
HCH_012_123_000179	士德迎戰敗，為前鋒趙德勝所擒。
HCH_012_123_000180	士德，小字九六，善戰有謀，能得士心，浙西地皆其所略定。
HCH_012_123_000181	既被擒，士誠大沮。
HCH_012_123_000182	太祖欲留士德以招士誠。
HCH_012_123_000183	士德間道貽士誠書，俾降元。
HCH_012_123_000184	士誠遂決計請降。
HCH_012_123_000185	江浙右丞相達識帖睦邇為言於朝，授士誠太尉，官其將吏有差。
HCH_012_123_000186	士德在金陵竟不食死。
HCH_012_123_000187	士誠雖去偽號，擅甲兵土地如故。
HCH_012_123_000188	達識帖睦邇在杭與楊完者有隙，陰召士誠兵。
HCH_012_123_000189	士誠遣史文炳襲殺完者，遂有杭州。
HCH_012_123_000190	順帝遣使征糧，賜之龍衣禦酒。
HCH_012_123_000191	士誠自海道輸糧十一萬石於大都，歲以為常。
HCH_012_123_000192	既而益驕，令其下頌功德，邀王爵。
HCH_012_123_000193	不許。
HCH_012_123_000194	二十三年九月，士誠復自立為吳王，尊其母曹氏為王太妃，置官屬，別治府第於城中，以士信為浙江行省左丞相，幽達識帖睦邇於嘉興。
HCH_012_123_000195	元征糧不復與。
HCH_012_123_000196	參軍俞思齊者，字中孚，泰州人，諫士誠曰：「向為賊，可無貢；今為臣，不貢可乎？」
HCH_012_123_000197	士誠怒，抵案僕地，思齊即引疾去。
HCH_012_123_000198	當是時，士誠所據，南抵紹興，北逾徐州，達于濟甯之金溝，西距汝、潁、濠、泗，東薄海，二千餘里，帶甲數十萬。
HCH_012_123_000199	以士信及女夫潘元紹為腹心，左丞徐義、李伯升、呂珍為爪牙，參軍黃敬夫、蔡彥文、葉德新主謀議，元學士陳基、右丞饒介典文章。
HCH_012_123_000200	又好招延賓客，所贈遺輿馬、居室、什器甚具。
HCH_012_123_000201	諸僑寓貧無籍者爭趨之。
HCH_012_123_000202	士誠為人，外遲重寡言，似有器量，而實無遠圖。
HCH_012_123_000203	既據有吳中，吳承平久，戶口殷盛，士誠漸奢縱，怠於政事。
HCH_012_123_000204	士信、元紹尤好聚斂，金玉珍寶及古法書名畫，無不充牣。
HCH_012_123_000205	日夜歌舞自娛。
HCH_012_123_000206	將帥亦偃蹇不用命，每有攻戰，輒稱疾，邀官爵田宅然後起。
HCH_012_123_000207	甫至軍，所載婢妾樂器踵相接不絕，或大會游談之士，樗蒲蹴踘，皆不以軍務為意。
HCH_012_123_000208	及喪師失地還，士誠概置不問。
HCH_012_123_000209	已，復用為將。
HCH_012_123_000210	上下嬉娛，以至於亡。
HCH_012_123_000211	太祖與士誠接境。
HCH_012_123_000212	士誠數以兵攻常州、江陰、建德、長興、諸全，輒不利去。
HCH_012_123_000213	而太祖遣邵榮攻湖州，胡大海攻紹興，常遇春攻杭州，亦皆不能下。
HCH_012_123_000214	廖永安被執，謝再興叛降士誠，會太祖與陳友諒相持，未暇及也。
HCH_012_123_000215	友諒亦遣使約士誠夾攻太祖，而士誠欲守境觀變，許使者，卒不行。
HCH_012_123_000216	太祖既平武昌，師還，即命徐達等規取准東，克泰州、通州，圍高郵。
HCH_012_123_000217	士誠以舟師溯江來援，太祖自將擊走之。
HCH_012_123_000218	達等遂拔高郵，取淮安，悉定淮北地。
HCH_012_123_000219	於是移檄平江，數士誠八罪。
HCH_012_123_000220	徐達、常遇春帥兵自太湖趨湖州，吳人迎戰於毘山，又戰於七里橋，皆敗，遂圍湖州。
HCH_012_123_000221	士誠遣硃暹、五太子等以六萬眾來援，屯於舊館，築五砦自固。
HCH_012_123_000222	達、遇春築十壘以遮之，斷其糧道。
HCH_012_123_000223	士誠知事急，親督兵來戰，敗于皁林。
HCH_012_123_000224	其將徐志堅敗於東遷，潘元紹敗于烏鎮，升山水陸寨皆破，舊館援絕，五太子、硃暹、呂珍皆降。
HCH_012_123_000225	五太子者，士誠養子，短小精悍，能平地躍丈餘，又善沒水，珍、暹皆宿將善戰，至是降。
HCH_012_123_000226	達等以徇於湖州。
HCH_012_123_000227	守將李伯升等以城降，嘉興、松江相繼降。
HCH_012_123_000228	潘原明亦以杭州降于李文忠。
HCH_012_123_000229	二十六年十一月，大軍進攻平江，築長圍困之。
HCH_012_123_000230	士誠距守數月。
HCH_012_123_000231	太祖貽書招之曰：「古之豪傑，以畏天順民為賢，以全身保族為智，漢竇融、宋錢俶是也。爾宜三思，勿自取夷滅，為天下笑。」
HCH_012_123_000232	士誠不報，數突圍決戰，不利。
HCH_012_123_000233	李伯升知士誠困甚，遣所善客逾城說士誠曰：「初公所恃者，湖州、嘉興、杭州耳，今皆失矣。獨守此城，恐變從中起，公雖欲死，不可得也。莫若順天命，遣使金陵，稱公所以歸義救民之意，開城門，幅巾待命，當不失萬戶侯。且公之地，譬如博者，得人之物而復失之，于公何損？」
HCH_012_123_000234	士誠仰觀良久曰：「吾將思之。」
HCH_012_123_000235	乃謝客，竟不降。
HCH_012_123_000236	士誠故有勇勝軍號「十條龍」者，皆驍猛善鬥，每被銀鎧錦衣出入陣中，至是亦悉敗，溺萬里橋下死。
HCH_012_123_000237	最後丞相士信中礮死，城中洶洶無固志。
HCH_012_123_000238	二十七年九月，城破，士誠收余眾戰于萬壽寺東街，眾散走。
HCH_012_123_000239	倉皇歸府第，拒戶自縊。
HCH_012_123_000240	故部將趙世雄解之。
HCH_012_123_000241	大將軍達數遣李伯升、潘元紹等諭意，士誠瞑目不答。
HCH_012_123_000242	舁出葑門，入舟，不復食。
HCH_012_123_000243	至金陵，竟自縊死，年四十七。
HCH_012_123_000244	命具棺葬之。
HCH_012_123_000245	方士誠之被圍也，語其妻劉曰：「吾敗且死矣，若曹何為？」
HCH_012_123_000246	劉答曰：「君無憂，妾必不負君。」
HCH_012_123_000247	積薪齊雲樓下。
HCH_012_123_000248	城破，驅群妾登樓，令養子辰保縱火焚之，亦自縊。
HCH_012_123_000249	有二幼子匿民間，不知所終。
