HCH_013_047_000102	時燧疏宸濠逆謀，凡七上。
HCH_013_047_000103	宸濠奸黨邀諸途，皆不得達，燧又以朝廷懿親，不敢先發，故自劾乞休。
HCH_013_047_000104	不報。
HCH_013_047_000105	五月，遣太監賴義、駙馬都尉崔元、都御史顏頤壽戒飭宸濠。
HCH_013_047_000106	時江彬、錢寧有隙，太監張忠等常欲借彬以傾寧。
HCH_013_047_000107	會濠居父喪，矯情飾禮。
HCH_013_047_000108	復令南昌生徒保舉孝行，挾孫燧并巡按御史王金奏其事。
HCH_013_047_000109	燧等欲緩其逆謀，具疏上之。
HCH_013_047_000110	上見奏，驚曰：「百官賢當陞，寧王賢欲何為？且將置我何地耶？」
HCH_013_047_000111	張忠乃乘間密言曰：「朱寧、臧賢交通寧王，謀不軌，陛下不知乎？稱王孝，譏陛下不孝也！稱王早朝，譏陛下不朝也！」
HCH_013_047_000112	上頷之。
HCH_013_047_000113	東廠太監張銳、大學士楊廷和初亦黨濠，為復護衞。
HCH_013_047_000114	已而銳知有反謀，且知上入忠言，乃與廷和謀，欲復革去護衞，以免後患。
HCH_013_047_000115	於是御史蕭淮疏稱：「寧王不遵祖訓，包藏禍心，招納亡命，反形已具。」
HCH_013_047_000116	疏入，江彬、張忠贊其說，遂勅義等往革其護衞。
HCH_013_047_000117	給事中徐之鸞、御史沈灼各上疏宸濠不法事，詔發兵大索宸濠偵卒於臧賢家。
HCH_013_047_000118	時宸濠偵卒林華匿賢家，家多複壁，外鑰木廚，開則長巷，人無覺者。
HCH_013_047_000119	華以是得脫歸，不獲。
HCH_013_047_000120	六月丙子，寧王宸濠反。
HCH_013_047_000121	都御史孫燧、按察司副使許逵死之。
HCH_013_047_000122	先是，朝廷遣賴義、崔元、顏頤壽等行，崔元過楊廷和詢之。
HCH_013_047_000123	廷和曰：「宣德中有疑於趙府，常令駙馬袁泰往，竟得釋，或此意也。」
HCH_013_047_000124	元等遂行，而京師競傳以為且擒治寧王。
HCH_013_047_000125	偵卒林華者，即兼程逃歸，以六月十三日至江西，值濠生日，宴鎮巡三司等官，聞報大驚。
HCH_013_047_000126	蓋舊日擒荊王時，差太監蕭敬、駙馬蔡震、都御史戴珊過南昌，寧王親見之，遂以此必擒我，不復記廷和所云趙府事也。
HCH_013_047_000127	罷宴，遂密召劉養正、劉吉等謀之。
HCH_013_047_000128	養正曰：「事急矣！明早鎮巡三司官入謝宴，可就擒之，殺其不附已者，因而舉事。」
HCH_013_047_000129	乃夜集賊首吳十三、淩十一、閔廿四等飭兵器以候。
HCH_013_047_000130	待旦，急召致仕侍郎李士實入，以謀反告之，士實唯唯而已。
HCH_013_047_000131	尋各官入謝，拜畢，左右帶甲露刃侍衞者數百人。
HCH_013_047_000132	宸濠出立露臺，大言曰：「太后有密旨，令我起兵入朝監國，汝等知之乎？」
HCH_013_047_000133	都御史孫燧毅然曰：「密旨安在？」
HCH_013_047_000134	濠曰：「不必多言，我今往南京，汝保駕否？」
HCH_013_047_000135	燧張目直視濠，厲聲曰：「天無二日，臣安有二君？太祖法制在，誰則敢違？」
HCH_013_047_000136	濠大怒，命縛燧，眾駭愕，相顧失色。
HCH_013_047_000137	按察司副使許逵大呼曰：「孫都御史，朝廷大臣，汝反賊，敢擅殺耶？」
HCH_013_047_000138	顧燧語曰：「我欲先發，不聽，今制於人，尚何言！」
HCH_013_047_000139	濠併縛之。
HCH_013_047_000140	訊逵︰「且何言？」
HCH_013_047_000141	逵曰：「惟有赤心耳，豈從汝反！」
HCH_013_047_000142	且縛且罵。
HCH_013_047_000143	賊捶折燧左臂，并縛逵，喝校尉火信等拽出惠民門外殺之。
HCH_013_047_000144	逵且死，罵曰：「今日賊殺我，明日朝廷必殺賊！」
HCH_013_047_000145	時烈日中，忽陰曀慘淡，城中聞之，無不流涕者。
HCH_013_047_000146	遂執御史王金，主事馬思聰、金山，右布政胡濂，參政陳杲、劉斐，參議許效廉、黃宏，僉事顧鳳，都指揮許清、白昻，并太監王宏，俱械鎖下獄。
HCH_013_047_000147	思聰、黃宏不食死。
HCH_013_047_000148	逆黨舉人劉養正至，宸濠自出城迎之。
HCH_013_047_000149	養正常言帝星明江、漢間，故屬意宸濠。
HCH_013_047_000150	至是，與李士實謀，令參政季斅，僉事潘鵬、師夔持檄諭降諸郡縣。
HCH_013_047_000151	左布政梁宸，廉使楊璋，副使唐錦為所脇，移咨府部，傳檄遠近，革正德年號，指斥乘輿。
HCH_013_047_000152	以李士實、劉養正為左右丞相，參政王綸為兵部尚書、總督軍務大元帥。
HCH_013_047_000153	分遣逆黨婁伯、王春等四出收兵。
HCH_013_047_000154	戊寅，閔廿四、吳十三等奪船順流攻南康，知府陳霖等遁走。
HCH_013_047_000155	進攻九江，兵備副使曹雷、知府汪穎等亦遁，城俱陷，宸濠即令師夔居守。
HCH_013_047_000156	婁伯至進賢，知縣劉源清誅之。
HCH_013_047_000157	提督南贛軍務都御史王守仁移檄遠近，暴露宸濠罪惡，起兵討之。
HCH_013_047_000158	先是，守仁提督江西，致仕侍郎李士實素與宸濠通。
HCH_013_047_000159	一日，守仁見宸濠舉宴，士實亦在座。
HCH_013_047_000160	宸濠因言上政事缺失，外示愁歎。
HCH_013_047_000161	士實曰：「世豈無湯、武耶？」
HCH_013_047_000162	守仁曰：「湯、武亦須伊、呂。」
HCH_013_047_000163	宸濠曰：「有湯、武便有伊、呂。」
HCH_013_047_000164	守仁曰：「有伊、呂何患無夷、齊。」
HCH_013_047_000165	於是守仁陰為之備。
HCH_013_047_000166	會五月間，福州三衞軍人進貴等作亂，兵部尚書王瓊知宸濠且反，謂主事應典曰：「進貴亂，小事，不足煩王守仁；但假此便宜，勅書在彼手中，以待他變可也。」
HCH_013_047_000167	乃具題降勅，令守仁查處福州亂軍。
HCH_013_047_000168	故宸濠之叛，江西守臣俱遇害被執，惟守仁以往勘福建出。
HCH_013_047_000169	六月初九日，自贛起行，十五日，守仁至豐城，知縣顧佖告濠反，守仁易服潛至臨江，幾為宸濠所及。
HCH_013_047_000170	臨江知府戴德孺聞守仁至，喜，迎入城調度。
HCH_013_047_000171	守仁曰：「臨江居大江之濱，與省會近，且當道路之衝，莫若抵吉安為宜。」
HCH_013_047_000172	又以三策籌之曰：「宸濠若出上策，直趨京師，出其不意，則宗社危矣。若出中策，趨南都，則大江南北亦被其害。但據江西省城，則出下策，勤王易為也。」
HCH_013_047_000173	及行至中途，恐其速出，乃為計：佯奉朝廷密旨，先知寧藩反狀，令兩廣、湖廣都御史楊旦、秦金暗伏要害地方，以俟寧藩兵至。
