HCH_013_067_000117	庚子，工科都給事王德完言：「臣入京數月，道路相傳，中宮役使止數人，憂鬱致疾，阽危不保，臣竊謂不然。第臣得風聞言事，若如所傳，則宗社隱憂。臣羨袁盎卻坐之事，祈皇上眷顧中宮，止輦虛受，臣死且不朽。」
HCH_013_067_000118	上震怒，下錦衣衞獄，訊其由。
HCH_013_067_000119	吏部尚書李戴、御史周盤等論救，俱切責之。
HCH_013_067_000120	十一月，戚臣鄭國泰疏請皇子先冠婚，後册立。
HCH_013_067_000121	科臣王士昌糾之。
HCH_013_067_000122	署禮部朱國祚以國泰顛倒其詞，與明旨有背，恐釀無窮之禍。
HCH_013_067_000123	不報。
HCH_013_067_000124	皇長子出閣講學，時嚴寒，皇長子噤甚，講官郭正域大言：「天寒如此，殿下當珍重。」
HCH_013_067_000125	喝班役取火禦寒。
HCH_013_067_000126	時中官圍爐密室，聞正域言，出之。
HCH_013_067_000127	上聞亦不罪。
HCH_013_067_000128	二十九年五月丙午，戚臣鄭國泰請册儲冠婚，奪俸。
HCH_013_067_000129	戊申，禮科右給事楊天民、王士昌等請立儲，俱謫貴州典史。
HCH_013_067_000130	御史周盤等疏救，奪俸。
HCH_013_067_000131	八月甲午，沈一貫上言：「《詩．既醉》之篇，臣祝其君曰：「君子萬年，介爾景福。』繼曰：「君子萬年，永錫祚胤。』則願其子孫之多。又曰：「釐爾女士，從以孫子。』願酬淑媛而生賢子孫也。《斯干》之篇曰：「築室百堵，西南其戶，爰居爰處，爰笑爰語。』美新宮也。繼曰：「吉夢維何？維熊維熊，男子之祥。』言吉祥善事，當生聖子神孫無窮也。今稱觴、萬壽兩宮落成，在廷同祝，而啓天之祥，實自聖心始。皇上大婚及時，故得聖子早。今皇長子大禮必備其儀，推念真情，不如早諧伉儷之為適。皇上孝奉聖母，朝夕起居，不如早遂含飴弄曾孫之為樂。乞今年先皇長子大禮，明春後遞舉諸皇子禮。子復生子，孫復生孫，坐見本支之盛，享令名集完福矣。」上心動，諭俟即日行之。冬十月乙亥，上以典禮未備，欲改期册立。沈一貫封還聖諭，力言不可。十五日己卯，册立皇長子為皇太子，暨册封福王、瑞王、惠王、桂王，詔告天下，上特諭在籍輔臣申時行、王錫爵知之。壬辰，皇太子加冠，福、瑞諸王俱冠。三十年春正月丁巳，增東宮官屬。己未，福王暫講武英殿西廡。二月丙子，册皇太子妃郭氏，上引疾免賀。三十一年十一月丁卯，有蜚語曰《續憂危竑議》，凡三百餘言，謂：「東宮不得已立之，而從官不備，
HCH_013_067_000132	寓後日改易之意。
HCH_013_067_000133	其特用朱賡。
HCH_013_067_000134	賡者，更也。
HCH_013_067_000135	內外官附賡者，文則戎政尚書王世揚，巡撫孫瑋，總督李汶，御史張養志；武則錦衣都督王之禎，都督僉事陳汝忠，錦衣千戶王名世、王承恩，錦衣指揮僉事鄭國賢。
HCH_013_067_000136	又有陳矩朝夕帝前，以為之主。
HCH_013_067_000137	沈一貫右鄭左王，規福避禍，他日必有靖難勤王之事。
HCH_013_067_000138	吏科都給事中項應祥撰，四川道監察御史喬應甲刊。
HCH_013_067_000139	其書一夕間自宮門迄於衢巷皆遍，厥明，舉朝失色，莫敢言。
HCH_013_067_000140	大學士朱賡得於私宅，以聞，請緝其人，乞歸，不允。
HCH_013_067_000141	上大怒，令廠、衞搜緝，務得造書主名，責項應祥、喬應甲回奏。
HCH_013_067_000142	沈一貫請嚴跡之，偵校塞路，購賞格五千金，官指揮僉事。
HCH_013_067_000143	或曰：「妖書似出清流之口，將以傾沈一貫者。」
HCH_013_067_000144	或曰：「此奸人作之，以陷郭正域。」
HCH_013_067_000145	正域時有清流領袖之目，見忌一貫。
HCH_013_067_000146	已，喬應甲、項應祥各回奏，奸書謗人，無自名理。
HCH_013_067_000147	不問。
HCH_013_067_000148	召皇太子慰安之，太子泣，上亦泣。
HCH_013_067_000149	隨令內豎以慰安太子語諭內閣。
HCH_013_067_000150	時一貫方以楚宗事恨郭正域。
HCH_013_067_000151	正域，輔臣沈鯉門生也。
HCH_013_067_000152	鯉素踽踽，尤負望，供「天啓聖聰」牌於閣，入則禮之。
HCH_013_067_000153	時開告密，鯉語人曰：「此事何必張皇也！」
HCH_013_067_000154	一貫大不懌。
HCH_013_067_000155	正域放歸，待凍潞河之楊村，聞問不絕，一貫益側目。
HCH_013_067_000156	十二月壬午，給事錢夢臯直指正域併及沈鯉，御史康丕揚佐之。
HCH_013_067_000157	初，僑醫吳江、沈令譽多貴遊，丕揚巡城跡捕之，搜得楚王揭華趆副封，及刑部主事于玉立所致吏部郎中王士騏書，以玉立起官，士騏與正域左右之。
HCH_013_067_000158	又前漢中府同知荊門胡化、首渠縣訓導阮明卿撰妖書，廉問無據，而明卿為夢臯姻，故夢臯首攻正域。
