HCH_010_048_000171	圣宗統和二十三年改安抚使司。
HCH_010_048_000172	易州飞狐兵马司。
HCH_010_048_000173	道宗咸雍四年改易州安抚司。
HCH_010_048_000174	西南面招安使司。
HCH_010_048_000175	耶律合住，景宗保宁初为西南面招安使。
HCH_010_048_000176	巡检使司。
HCH_010_048_000177	耶律合住，景宗保宁中为巡检使。
HCH_010_048_000178	五州都总管府。
HCH_010_048_000179	耶律速撒，穆宗应历初为义、霸、祥、顺、圣五州都总管。
HCH_010_048_000180	山后五州都管司。
HCH_010_048_000181	圣宗统和四年见蒲奴宁为山后五州都管。
HCH_010_048_000182	五州制置使司。
HCH_010_048_000183	圣宗开泰九年见霸、建、宜、白川、锦五州制置使。
HCH_010_048_000184	三州处置使司。
HCH_010_048_000185	韩德枢，太宗时为平、滦、营三州处置使。
HCH_010_048_000186	霸州处置使。
HCH_010_048_000187	統和二十七年废。
HCH_010_048_000188	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
