HCH_009_034_000166	立秋，祭西嶽華山于華州、西鎮吳山於隴州，望祭西海、西瀆於河中府。
HCH_009_034_000167	立冬，祭北嶽恆山於定州、北鎮醫巫閭山于廣寧府，望祭北海、北瀆大濟于孟州。
HCH_009_034_000168	其封爵並仍唐、宋之舊。
HCH_009_034_000169	明昌間，從沂山道士楊道全請，封沂山為東安王，吳山為成德王，霍山為應靈王，會稽山為永興王，醫巫閭山為廣甯王，淮為長源王，江為會源王，河為顯聖靈源王，濟為清源王。
HCH_009_034_000170	每歲遣使奉禦署祝版奩薌，乘驛詣所在，率郡邑長貳官行事。
HCH_009_034_000171	禮用三獻。
HCH_009_034_000172	讀祝官一、捧祝官二。
HCH_009_034_000173	盥洗官二、爵洗官二、奉爵官一、司尊彝一、禮直官四，以州府司吏充。
HCH_009_034_000174	前三日，應行事執事官散齋二日，治事如故，宿於正寢，如常儀，前二日，有司設行事執事官次於廟門外。
HCH_009_034_000175	掌廟者掃除廟之內外。
HCH_009_034_000176	前一日，有司牽牲詣祠所，享官以下常服閱饌物，視牲充腯。
HCH_009_034_000177	享日醜前五刻，執事者設祝版於神位之右，置於玷，及以血豆設於饌所。
HCH_009_034_000178	次設祭器，皆藉以席，掌饌者實之。
HCH_009_034_000179	左十籩為三行，以右為上，實以乾裛、乾棗、形鹽、魚鱐、鹿脯、榛實、乾桃、菱、芡、栗。
HCH_009_034_000180	右十豆為三行，以左為上，實以芹菹、筍菹、韭菹、葵菹、菁菹、魚醢、兔醢、豚拍。
HCH_009_034_000181	鹿臡、醓醢。
HCH_009_034_000182	左簠二，實以粱、稻。
HCH_009_034_000183	右簋二，實以稷、黍。
HCH_009_034_000184	俎二，實以牲體。
HCH_009_034_000185	次設犧樽二、象樽二，在堂上東南隅，北向西上。
HCH_009_034_000186	犧樽在前，實以法酒。
HCH_009_034_000187	犧樽，初獻官酌。
HCH_009_034_000188	象樽，亞、終獻酌。
HCH_009_034_000189	又設太樽一、山樽一，在神位前，設而不酌。
HCH_009_034_000190	有司設燭於神位前。
HCH_009_034_000191	洗二，在東階之下，直東霤北向，罍在洗東，加勺。
HCH_009_034_000192	篚在洗西，南肆，實以巾。
HCH_009_034_000193	執罍篚者位於其後。
HCH_009_034_000194	又設揖位於廟門外，初獻在西，東向，亞、終及祝在東，南向，北上。
HCH_009_034_000195	開瘞坎於廟內廷之壬地。
HCH_009_034_000196	享日醜前五刻，執事官各就次。
HCH_009_034_000197	掌饌者帥其屬，實饌具畢。
HCH_009_034_000198	凡祭官各服其服，與執事官行止皆贊者引，點視陳設訖，退就次。
HCH_009_034_000199	引初獻以下詣廟南門外揖位，立定，贊禮者贊：「揖。」
HCH_009_034_000200	次引祝升堂就位立。
HCH_009_034_000201	次引初獻詣盥洗位北向立，搢笏、盥手、帨手、執笏，詣爵洗位北向立，搢笏，洗爵，以爵授執事者，執笏，升堂，詣酌樽所西向立。
HCH_009_034_000202	執事者以爵授初獻。
HCH_009_034_000203	初獻搢笏執爵，執樽者舉冪，執事者酌酒。
HCH_009_034_000204	初獻以爵授執事者，執笏，詣神位前北向立，搢笏，跪，執事者以爵授初獻。
HCH_009_034_000205	初獻執爵三祭酒，奠爵訖，執笏，俯伏，興，少立。
HCH_009_034_000206	次引祝詣神位前東向立。
HCH_009_034_000207	搢笏，跪，讀祝，訖，執笏、興、退復位。
HCH_009_034_000208	初獻再拜，贊禮者引初獻復位。
HCH_009_034_000209	次引亞獻酌獻，並如初獻之儀，次引終獻，並如亞獻之儀。
HCH_009_034_000210	贊者引初獻官詣神位前北向立，執事者以爵酌清酒，進初獻之右，初獻跪，祭酒，啐酒，奠爵。
HCH_009_034_000211	執事者以俎進，減神座前胙肉前腳第二節，共置一俎上，以授初獻，初獻以授執事者。
HCH_009_034_000212	初獻取爵，遂飲，卒爵，執事者進受爵，複於坫。
HCH_009_034_000213	初獻興，再拜，贊者引初獻復位。
HCH_009_034_000214	贊者曰：「再拜。」
HCH_009_034_000215	已飲福、受胙者不拜。
HCH_009_034_000216	亞獻官以下皆再拜，拜訖，次引初獻已下就望瘞位，以饌物置於坎，東西廂各二人，贊者曰：「可瘞。」
HCH_009_034_000217	置土關坎，又曰：「禮畢。」
HCH_009_034_000218	遂引初獻官已下出。
HCH_009_034_000219	祝與執樽罍篚冪者俱復位立定，贊者曰：「再拜。」
HCH_009_034_000220	再拜訖，遂出。
HCH_009_034_000221	祝版燔於齋所。
