HCH_009_078_000121	貞祐二年，轉左宣徽使。
HCH_009_078_000122	明年，致仕，遷一官。
HCH_009_078_000123	上曰：「卿舊人也，今朝廷多故，豈宜去位。朕自東宮薨後，思慮不周，俟稍寧息，即以上郡處卿。」
HCH_009_078_000124	頃之，起為知開封府。
HCH_009_078_000125	四年正月元日，攝左宣徽使。
HCH_009_078_000126	再請老，未半歲複起為御史中丞。
HCH_009_078_000127	詔安撫河南路，捕盜賊。
HCH_009_078_000128	坐與保靜軍節度使會飲，解職。
HCH_009_078_000129	起為太子詹事，遷太子少師。
HCH_009_078_000130	詹事院欲辟廣東宮周牆，頍請于皇太子曰：「師旅饑饉之際，何為興此役。」
HCH_009_078_000131	遂止。
HCH_009_078_000132	尋卒。
HCH_009_078_000133	時立愛，字昌壽，涿州新城人。
HCH_009_078_000134	父承謙，以財雄鄉里，歲饑發倉廩賑貧乏，假貸者與之折券。
HCH_009_078_000135	遼太康九年，中進士第，調泰州幕官。
HCH_009_078_000136	丁父憂，服除，調同知春州事。
HCH_009_078_000137	未逾年，遷雲內縣令，再除文德令。
HCH_009_078_000138	樞密院選為吏房副都承旨，轉都承旨。
HCH_009_078_000139	累遷御史中丞，剛正敢言，忤權貴。
HCH_009_078_000140	除燕京副留守，丁母憂，起復舊職，遷遼興軍節度使兼漢軍都統。
HCH_009_078_000141	太祖已定燕京，訪求得平州人韓詢持詔招諭平州。
HCH_009_078_000142	是時，奚王回離保在盧能嶺，立愛未敢即朝見，先使人來送款曰：「民情愚執，不即順從，願降寬恩，以慰反側。」
HCH_009_078_000143	詔曰：「朕親巡西土，底定全燕，號令所加，城邑皆下。爰嘉忠款，特示優恩，應在彼大小官員可皆充舊職，諸囚禁配隸並從釋免。」
HCH_009_078_000144	於是，遼帝尚在天德，平州雖降，民心未固。
HCH_009_078_000145	奚王回離保軍所在保聚，薊州已降複叛。
HCH_009_078_000146	民間流言謂：「金人所下城邑，始則存撫，後則俘掠。」
HCH_009_078_000147	時立愛雖開諭而不肯信，乃上表：「乞下明詔，遣官分行郡邑，宣諭德義。他日兵臨于宋，順則撫之，逆則討之，兵不勞而天下定矣。」
HCH_009_078_000148	上覽表嘉之，詔答曰：「卿始率吏民歸附，複條利害，悉合朕意，嘉歎不忘。山西部族緣遼主未獲，恐陰相連結，故遷處於嶺東。西京人民既無異望，皆按堵如故。或有將卒貪悍，冒犯紀律，輒掠降人者。已諭諸部及軍帥，約束兵士，秋毫有犯，必刑無赦。今遣斡羅阿裏等為卿副貳，以撫斯民，其告諭所部，使知朕意。」
HCH_009_078_000149	其後，以平州為南京，用張覺為留守，時立愛遂去平州。
HCH_009_078_000150	而張覺遂因燕京人東徙，其眾怨望，覺遂叛入于宋。
HCH_009_078_000151	立愛既去平州歸鄉里，太祖以燕、薊與宋，新城入于宋。
HCH_009_078_000152	宋累詔立愛，立愛見宋政日壞，不肯起，戒其宗族不得求仕。
HCH_009_078_000153	及宗望再取燕山，立愛詣幕府上謁，拜同中書門下平章事，任其子侄數人。
HCH_009_078_000154	立愛從宗望軍數年，謀畫居多，封陳國公。
HCH_009_078_000155	表求解機務，不從。
HCH_009_078_000156	九年，為侍中、知樞密院事。
HCH_009_078_000157	久之，加中書令。
HCH_009_078_000158	天會十五年，致仕，加開府儀同三司、鄭國公。
HCH_009_078_000159	薨於家，年八十二。
HCH_009_078_000160	賻贈錢布繒帛有差。
HCH_009_078_000161	詔同簽書燕京樞密院事趙慶襲護喪事，葬用皆官給之。
