HCH_012_132_000200	嘗佔東昌民田，御史按問，玉怒，逐御史。
HCH_012_132_000201	北征還，夜扣喜峰關。
HCH_012_132_000202	關吏不時納，縱兵毀關入。
HCH_012_132_000203	帝聞之不樂。
HCH_012_132_000204	又人言其私元主妃，妃慚自經死，帝切責玉。
HCH_012_132_000205	初，帝欲封玉梁國公，以過改為涼，仍鐫其過於券。
HCH_012_132_000206	玉猶不悛，侍宴語傲慢。
HCH_012_132_000207	在軍擅黜陟將校，進止自專，帝數譙讓。
HCH_012_132_000208	西征還，命為太子太傅。
HCH_012_132_000209	玉不樂居宋、潁兩公下，曰：「我不堪太師耶！」
HCH_012_132_000210	比奏事多不聽，益怏怏。
HCH_012_132_000211	二十六年二月，錦衣衛指揮蔣瓛告玉謀反，下吏鞫訊。
HCH_012_132_000212	獄辭云：「玉同景川侯曹震、鶴慶侯張翼、舳艫侯硃壽、東莞伯何榮及吏部尚書詹徽、戶部侍郎傅友文等謀為變，將伺帝出耤田舉事。」
HCH_012_132_000213	獄具，族誅之。
HCH_012_132_000214	列侯以下坐黨夷滅者不可勝數。
HCH_012_132_000215	手詔佈告天下，條列爰書為《逆臣錄》。
HCH_012_132_000216	至九月，乃下詔曰：「藍賊為亂，謀泄，族誅者萬五千人。自今胡黨、藍黨概赦不問。」
HCH_012_132_000217	胡謂丞相惟庸也。
HCH_012_132_000218	於是元功宿將相繼盡矣。
HCH_012_132_000219	凡列名《逆臣錄》者，一公、十三侯、二伯。
HCH_012_132_000220	葉升前坐事誅，胡玉等諸小侯皆別見。
HCH_012_132_000221	其曹震、張翼、張溫、陳桓、硃壽、曹興六侯，附著左方。
HCH_012_132_000222	曹震，濠人。
HCH_012_132_000223	從太祖起兵，累官指揮使。
HCH_012_132_000224	洪武十二年，以征西番功封景川侯，祿二千石。
HCH_012_132_000225	從藍玉征雲南，分道取臨安諸路，至威楚，降元平章閻乃馬歹等。
HCH_012_132_000226	雲南平，因請討容美、散毛諸洞蠻及西番朵甘、思曩日諸族。
HCH_012_132_000227	詔不許。
HCH_012_132_000228	又請以貴州、四川二都司所易番馬，分給陝西、河南將士。
HCH_012_132_000229	又言：「四川至建昌驛，道經大渡河，往來者多死瘴癘。詢父老，自眉州峨眉至建昌，有古驛道，平易無瘴毒，已令軍民修治。請以瀘州至建昌驛馬，移置峨眉新驛。」
HCH_012_132_000230	從之。
HCH_012_132_000231	二十一年，與靖寧侯葉升分道討平東川叛蠻，俘獲五千餘人。
HCH_012_132_000232	尋覆命理四川軍務，同藍玉核征南軍士。
HCH_012_132_000233	會永寧宣慰司言，所轄地有百九十灘，其八十餘灘道梗不利。
HCH_012_132_000234	詔震疏治之。
HCH_012_132_000235	震至瀘州按視，有支河通永寧，乃鑿石削崖，令深廣以通漕運。
HCH_012_132_000236	又辟陸路，作驛舍、郵亭，駕橋立棧。
HCH_012_132_000237	自茂州，一道至松潘，一道至貴州，以達保寧。
HCH_012_132_000238	先是行人許穆言：「松州地磽瘠，不宜屯種。戍卒三千，糧運不給，請移戍茂州，俾就近屯田。」
HCH_012_132_000239	帝以松州控制西番，不可動。
HCH_012_132_000240	至是運道既通，松潘遂為重鎮。
HCH_012_132_000241	帝嘉其勞。
HCH_012_132_000242	逾年復奏四事：一，請於雲南大寧境就井煮鹽，募商輸粟以贍邊。
HCH_012_132_000243	一，令商入粟雲南建昌，給以重慶、綦江市馬之引。
HCH_012_132_000244	一，請蠲馬湖逋租。
HCH_012_132_000245	一，施州衛軍儲仰給湖廣，溯江險遠，請以重慶粟順流輸之。
HCH_012_132_000246	皆報可。
HCH_012_132_000247	震在蜀久，諸所規畫，並極周詳。
HCH_012_132_000248	蜀人德之。
HCH_012_132_000249	藍玉敗，謂與震及硃壽誘指揮庄成等謀不軌，論逆黨，以震為首，並其子炳誅之。
HCH_012_132_000250	張翼，臨淮人。
HCH_012_132_000251	父聚，以前翼元帥從平江南、淮東，積功為大同衛指揮同知，致仕。
HCH_012_132_000252	翼隨父軍中，驍勇善戰，以副千戶嗣父職。
HCH_012_132_000253	從征陝西，擒叛寇。
HCH_012_132_000254	擢都指揮僉事，進僉都督府事。
HCH_012_132_000255	從藍玉征雲南，克普定、曲靖。
HCH_012_132_000256	取鶴慶、麗江，剿七百房山寨。
HCH_012_132_000257	搗劍川，擊石門。
HCH_012_132_000258	十七年論功封鶴慶侯，祿二千五百石，予世券。
HCH_012_132_000259	二十六年坐玉黨死。
HCH_012_132_000260	張溫，不詳何許人。
HCH_012_132_000261	從太祖渡江，授千戶。
HCH_012_132_000262	積功至天策衛指揮僉事。
HCH_012_132_000263	從大軍收中原，克陝西，攻下蘭州，守之。
HCH_012_132_000264	元將擴廓偵大將軍南還，自甘肅帥步騎奄至。
HCH_012_132_000265	諸將請固守以待援。
HCH_012_132_000266	溫曰：「彼遠來，未知我虛實，乘幕擊之，可挫其銳。倘彼不退，固守未為晚也。」
HCH_012_132_000267	於是整兵出戰，元兵少卻。
HCH_012_132_000268	已而圍城數重，溫斂兵固守，敵攻不能下，乃引去。
HCH_012_132_000269	太祖稱為奇功，擢大都督府僉事。
HCH_012_132_000270	已，又命兼陝西行都督府僉事。
HCH_012_132_000271	當蘭州之受圍也，元兵乘夜梯城而登。
HCH_012_132_000272	千戶郭佑被酒臥，他將巡城者擊退之。
HCH_012_132_000273	圍既解，溫將斬佑，天策衛知事硃有聞爭曰：「當賊犯城時，將軍斬佑以令眾，軍法也。賊既退，始追戮之，無及於事，且有擅殺名。」
HCH_012_132_000274	溫謝曰：「非君，不聞是言。」
HCH_012_132_000275	遂杖佑釋之。
HCH_012_132_000276	帝聞而兩善焉，並賞有聞綺帛。
HCH_012_132_000277	其明年，以參將從傅友德伐蜀，功多。
HCH_012_132_000278	十一年，以副將會王弼等討西羌。
HCH_012_132_000279	明年論功封會寧侯，祿二千石。
HCH_012_132_000280	又明年命往理河南軍務。
HCH_012_132_000281	十四年從傅友德征雲南。
HCH_012_132_000282	二十年秋帥師討納哈出余眾，從北伐，皆有功。
HCH_012_132_000283	後以居室器用僭上，獲罪，遂坐玉黨死。
HCH_012_132_000284	陳桓，濠人。
HCH_012_132_000285	從克滁、和。
HCH_012_132_000286	渡江，克集慶先登。
HCH_012_132_000287	從取寧國、金華。
HCH_012_132_000288	戰龍江、彭蠡。
HCH_012_132_000289	收淮東、浙西。
HCH_012_132_000290	平中原。
HCH_012_132_000291	累功授都督僉事。
HCH_012_132_000292	洪武四年從伐蜀。
HCH_012_132_000293	十四年從征雲南，與胡海、郭英帥兵五萬，由永寧趨烏撒。
HCH_012_132_000294	道險隘，自赤河進師，與烏撒諸蠻大戰，敗走之。
HCH_012_132_000295	再破芒部士酋，走元右丞實卜，遂城烏撒。
HCH_012_132_000296	降東川烏蒙諸蠻，進克大理。
HCH_012_132_000297	略定汝寧、靖寧諸州邑。
HCH_012_132_000298	十七年封普定侯，祿二千五百石，予世券。
HCH_012_132_000299	二十年同靖寧侯葉升征東川，俘獲甚眾。
HCH_012_132_000300	就令總制雲南諸軍。
HCH_012_132_000301	再平九溪洞蠻，立營堡，屯田。
HCH_012_132_000302	還，坐玉黨死。
HCH_012_132_000303	硃壽，未詳何許人。
HCH_012_132_000304	以萬戶從渡江，下江東郡邑，進總管。
HCH_012_132_000305	收常、婺，克武昌。
HCH_012_132_000306	平蘇、湖，轉戰南北。
HCH_012_132_000307	積功為橫海衛指揮，進都督僉事。
HCH_012_132_000308	與張赫督漕運，有功。
HCH_012_132_000309	洪武二十年封舳艫侯，祿二千石，予世券。
HCH_012_132_000310	坐玉黨死。
HCH_012_132_000311	曹興，一名興才，未詳何許人。
HCH_012_132_000312	從平武昌，授指揮僉事。
HCH_012_132_000313	取平江，進指揮使。
HCH_012_132_000314	克蘇九疇炭山寨。
HCH_012_132_000315	進都督僉事，兼太原衛指揮。
HCH_012_132_000316	進山西行省參政，領衛事，為晉王相。
HCH_012_132_000317	洪武十一年，從沐英討洮州羌，降朵甘酋，擒三副使等。
HCH_012_132_000318	師還，封懷遠侯，世襲指揮使。
HCH_012_132_000319	理軍務山西，從北征有功。
HCH_012_132_000320	後數年，坐玉黨死。
HCH_012_132_000321	同時以黨連坐者，都督則有黃輅、湯泉、馬俊、王誠、聶緯、王銘、許亮、謝熊、汪信、蕭用、楊春、張政、祝哲、陶文、茆鼎凡十餘人，多玉部下偏裨。
HCH_012_132_000322	於是勇力武健之士芟夷略盡，罕有存者。
HCH_012_132_000323	謝成，濠人。
HCH_012_132_000324	從克滁、和。
HCH_012_132_000325	渡江，定集慶，授總管。
HCH_012_132_000326	克寧國、婺州，進管軍千戶。
HCH_012_132_000327	戰鄱陽，平武昌，下蘇、湖，進指揮僉事。
HCH_012_132_000328	從大軍征中原，克元都，攻慶陽，搗定西。
HCH_012_132_000329	為都督僉事、晉王府相。
HCH_012_132_000330	從沐英征朵甘，降乞失迦，平洮州十八族。
HCH_012_132_000331	洪武十二年封永平侯，祿二千石，世指揮使。
HCH_012_132_000332	二十年同張溫追討納哈出余眾，召還。
HCH_012_132_000333	二十七年坐事死，沒其田宅。
HCH_012_132_000334	李新，濠州人。
HCH_012_132_000335	從渡江，數立功。
HCH_012_132_000336	戰龍灣，授管軍副千戶。
HCH_012_132_000337	取江陵，進龍驤衛正千戶。
HCH_012_132_000338	克平江，遷神武衛指揮僉事，調守茶陵衛，屢遷至中軍都督府僉事。
HCH_012_132_000339	十五年，以營孝陵，封崇山侯，歲祿千五百石。
HCH_012_132_000340	二十二年命改建帝王廟於雞鳴山。
HCH_012_132_000341	新有心計，將作官吏視成畫而已。
HCH_012_132_000342	明年遣還鄉，頒賜金帛田宅。
HCH_012_132_000343	時諸勛貴稍僭肆，帝頗嫉之，以黨事緣坐者眾。
HCH_012_132_000344	新首建言：公、侯家人及儀從戶各有常數，余者宜歸有司。
HCH_012_132_000345	帝是之，悉發鳳陽隸籍為民，命禮部纂《稽制錄》，嚴公侯奢侈逾越之禁。
HCH_012_132_000346	於是武定侯英還佃戶輸稅，信國公和還儀從戶，曹國公景隆還莊田，皆自新發之。
HCH_012_132_000347	二十六年，督有司開胭脂河於溧水，西達大江，東通兩浙，以濟漕運。
HCH_012_132_000348	河成，民甚便之。
HCH_012_132_000349	二十八年以事誅。
HCH_012_132_000350	贊曰：治天下不可以無法，而草昧之時法尚疏，承平之日法漸密，固事勢使然。
HCH_012_132_000351	論者每致慨於鳥盡弓藏，謂出於英主之猜謀，殊非通達治體之言也。
HCH_012_132_000352	夫當天下大定，勢如磐石之安，指麾萬里，奔走恐後，復何所疑忌而芟薙之不遺余力哉？
HCH_012_132_000353	亦以介胄之士桀驁難馴，乘其鋒銳，皆能豎尺寸於疆場。
HCH_012_132_000354	迨身處富貴，志滿氣溢，近之則以驕恣啟危機，遠之則以怨望扞文網。
HCH_012_132_000355	人主不能廢法而曲全之，亦出於不得已，而非以剪除為私計也。
HCH_012_132_000356	亮祖以下諸人，既昧明哲保身之幾，又違制節謹度之道，駢首就僇，亦其自取焉爾。
