HCH_009_010_000131	壬戌，命增定捕盜官被殺賻錢及官賞格。
HCH_009_010_000132	甲子，都水監官王汝嘉等坐河決，各削官兩階，杖七十，罷之。
HCH_009_010_000133	乙丑，上禦睿思殿，諸路提刑使入見。
HCH_009_010_000134	戊辰，初令民買撲隨處金、銀、銅冶。
HCH_009_010_000135	命參知政事馬琪往視河決，仍許便宜從事。
HCH_009_010_000136	壬申，宋主遣使來告哀。
HCH_009_010_000137	戊寅，以知大興府事尼厖古等為鑒宋國弔祭使。
HCH_009_010_000138	敕尚書省，集百官議備邊事。
HCH_009_010_000139	壬午，特推恩東宮舊人司經王伯溫等八人官有差。
HCH_009_010_000140	甲申，命上京等九路並諸抹及糺等處選軍三萬，俟來春調發，仍命諸路並北阻棨以六年夏會兵臨潢。
HCH_009_010_000141	冬十月庚寅，右丞相夾谷清臣等表請上尊號，不允。
HCH_009_010_000142	宋遺使獻遣留物。
HCH_009_010_000143	壬寅，右丞相清臣複清上尊號，國子祭酒劉璣亦率六學諸生上表陳請，不允。
HCH_009_010_000144	遣戶部員外郎何格賑河決被災人戶。
HCH_009_010_000145	庚戌，張汝弼妻高陀斡以謀逆，伏誅。
HCH_009_010_000146	壬子，尚書省奏，升提刑司所察廉官南皮縣令史肅以下十有二人，而大興主簿蒙括蠻都亦在選中，上知其人，曰：「蠻都澆浮人也，升之可乎？與其任澆浮，孰若用淳厚。況蠻都常才，才智過人猶不當用，恐敗風俗，況常才耶！其再察之。」
HCH_009_010_000147	閏月戊午朔，宋主遣使報即位。
HCH_009_010_000148	甲子，親王、百官各奉表請上尊號，不允。
HCH_009_010_000149	丙寅，以代國公歡都等五人配享祖廟廷。
HCH_009_010_000150	甲戌，以河東南、北提刑使王啟等為賀宋主即位使。
HCH_009_010_000151	乙亥，獵於近郊。
HCH_009_010_000152	戊寅，上問輔臣曰：「孔子廟諸處何如？」
HCH_009_010_000153	平章政事守貞曰：「諸縣見議建立。」
HCH_009_010_000154	上因曰：「僧徒修飾宇像甚嚴，道流次之，惟儒者於孔子廟最為滅裂。」
