HCH_013_045_000127	至是攻濟寧，焚運船千二百艘，執工部主事王寵，釋之。
HCH_013_045_000128	給事中竇明言弭盜、安民、擇將事，下獄。
HCH_013_045_000129	太監張永選團營驍卒聽征。
HCH_013_045_000130	擢山東樂陵知縣許逵為山東按察司僉事，備兵武定州。
HCH_013_045_000131	逵，河南固始人，令樂陵期月，令行禁止。
HCH_013_045_000132	時流賊橫行河北，逵修城濬隍，踰月而成。
HCH_013_045_000133	又使民家各築牆，高踰屋簷，仍開牆竇如圭，僅可容一人。
HCH_013_045_000134	家令一壯丁執刀俟於竇內，其餘人皆入隊伍。
HCH_013_045_000135	令守號令，視旗皷進退，違者無赦。
HCH_013_045_000136	又設伏巷中，洞開城門。
HCH_013_045_000137	未幾，賊果至，旗舉伏發，賊火無所施，兵無所加，盡擒斬之。
HCH_013_045_000138	自是賊不敢近樂陵。
HCH_013_045_000139	撫按交薦其才，擢是職。
HCH_013_045_000140	十一月，趙鐩等至宿遷。
HCH_013_045_000141	初，鐩等攻破靈山衞及日照諸縣，南攻徐州不下，至是至宿遷。
HCH_013_045_000142	淮安知府劉祥率兵逆賊，不戰自潰，溺水死者無算。
HCH_013_045_000143	祥被執縱還，遂渡河，殺高郵等衞官軍三百餘人，執指揮陳鵬。
HCH_013_045_000144	攻靈壁，知縣陳伯安戰敗被執。
HCH_013_045_000145	攻宿州不克，焚其西關。
HCH_013_045_000146	欲降伯安，不屈，劉三欲殺之，鐩止之得釋。
HCH_013_045_000147	又破虹縣、永城、夏邑、虞城等縣，執虞城知縣，尋亦釋之。
HCH_013_045_000148	又破歸德府，守備萬都司率眾追至亳州，武平縣指揮石堅率兵千人、僧兵三百人邀戰，皆敗，殺僧兵七十餘人。
HCH_013_045_000149	至白龍王廟，渡小黃河，武平衞百戶夏時扼之河。
HCH_013_045_000150	楊虎率壯士黃寧九騎渡河，時兵不知其為虎也，擊之，虎奪舟欲濟，官軍以土石擊覆其舟，虎溺水死。
HCH_013_045_000151	鐩等推劉三為主。
HCH_013_045_000152	總兵白玉擊劉三於泰和縣小南門，敗績，殺官軍一千五百餘人，失亡盔甲鎗刀二千，神器七十餘。
HCH_013_045_000153	攻破霍丘，殺萬人，執指揮潘翀，釋之。
HCH_013_045_000154	殺都指揮王保，射殺河南布政司經歷任傑，軍民死者千餘人。
HCH_013_045_000155	至鹿邑，鹿邑潰，執守城千戶。
HCH_013_045_000156	有陳翰者，自稱兵部主事，乞為劉三子。
HCH_013_045_000157	至新蔡，致仕知府張釋率眾遺劉三金帛萬計，不攻去。
HCH_013_045_000158	當是時，河淮南北官吏，望風遁。
HCH_013_045_000159	諸將利劫掠，戰不力，賊勢日盛。
HCH_013_045_000160	劉三妄欲舉大事，與陳翰、甯龍謀兵無主必亂，共推劉三為奉天征討大元帥，趙鐩更名懷忠，稱副元帥，小張永前軍，管四後軍，劉資左軍，馬武右軍，邢老虎中軍，並稱都督，陳翰為侍謀軍國元帥長史。
HCH_013_045_000161	分二十八營，應二十八宿，各樹大旗為號。
HCH_013_045_000162	置金旗二，大書：「虎賁三千，直抵幽、燕之地；龍飛九五，重開混沌之天。」
HCH_013_045_000163	又造鈞牌，令所至官吏修道路橋樑，備芻糧酒肉供軍，降者秋毫無犯，拒者寸草不遺。
HCH_013_045_000164	劉六等攻徐州，掠淮西。
HCH_013_045_000165	劉七等覘知谷大用、毛銳等駐軍臨清，復擁眾走霸州。
HCH_013_045_000166	賊以十二月朔車駕出郊宮省牲，圖犯御蹕。
HCH_013_045_000167	時兵部尚書何鑑未寢，左右無一吏卒，乃自具帖子，令廁卒遞入長安門。
HCH_013_045_000168	逐門遞入司禮監，轉奉上知。
HCH_013_045_000169	復傳示各衙門，嚴加防守。
HCH_013_045_000170	又縋城齎報通州、良鄉、涿州各守備官，整備兵馬，兼以常制駕出南郊，分調軍馬於南海子、蘆溝橋、羊房角三處下營，以防衝突。
HCH_013_045_000171	處分甫定，漏下五皷矣。
HCH_013_045_000172	有頃，上命司禮監太監召鑑至左順門，問︰「今日駕可出否？」
HCH_013_045_000173	對曰：「駕當早出，以安人心。」
HCH_013_045_000174	車駕遂出，迄暮方迴。
HCH_013_045_000175	賊知有備，不敢犯。
HCH_013_045_000176	十二月，劉六等西奔，掠新城、雄縣、定興、安肅、易州、淶水而南，破高陽、蠡縣、博野、容城、深澤、束鹿，覘知祁州有備，乃迂道竟攻臨城、高邑、成安、饒陽，由真定掠趙州、安平，直抵晉州、藁城、柏鄉、內丘、南河、衡水等處。
HCH_013_045_000177	鑑計賊非東向臨清，必南奔彰德，移文促陸完督軍分道追襲。
HCH_013_045_000178	至彰德，賊方圍湯陰，聞官軍至，望風遁去。
HCH_013_045_000179	許泰、馮禎、郤永、金輔、李瑾、張俊、成釗追戰敗之，渡河溺死者無算。
HCH_013_045_000180	劉七等復糾眾萬餘，圍李瑾、馮禎營，許泰與禎、瑾內外夾攻，敗之，賊遁去。
HCH_013_045_000181	劉六、劉七、齊彥名、劉三、趙鐩、邢老虎等復分掠山東、河南。
HCH_013_045_000182	賊欲牽制官軍，故分寇，其勢益熾。
HCH_013_045_000183	劉三等攻陷上蔡縣，知縣霍瑄死之。
HCH_013_045_000184	前鋒臨商水，知縣率吏民降。
HCH_013_045_000185	進攻西平，知縣王佐拒敵，被執，駡不絕口，賊支解之。
HCH_013_045_000186	乘勝攻破舞陽，劫獄，獄有僧德靜，偽稱唐府宮人子，賊黨賈勉兒留之。
HCH_013_045_000187	至葉縣，執知縣唐天恩，并其父殺之。
HCH_013_045_000188	攻襄城，襄城人餽銀馬，不攻。
HCH_013_045_000189	攻破寶［豐］縣，僉事孫盤齎黃榜撫賊。
HCH_013_045_000190	趙鐩復書曰：「群奸在朝，濁亂海內，誅殺諫臣，屏斥元老。乞皇上獨斷，梟［羣奸］之首以謝天下，斬臣之首以謝羣奸。」
HCH_013_045_000191	有掠縣令妻子者，鐩殺之。
HCH_013_045_000192	破裕州，殺都指揮詹濟、同知郁采，屠其城。
HCH_013_045_000193	命遼東巡撫都御史彭澤提督軍務，以咸寧伯仇鉞為平賊將軍，充總兵官，帥延綏、榆林諸路軍馬討河南賊。
HCH_013_045_000194	澤至，大陳軍容，擐甲引見諸大校，責以退縮，嚴軍政，論行法，建纛，諸大校無不惕息，頓首請自効。
HCH_013_045_000195	良久釋之，遂皷行前。
HCH_013_045_000196	時河南親藩告急，何鑑建議復於宣府、大同、遼東、延綏諸將部下，續調未發官軍，分道赴之。
HCH_013_045_000197	復以諸賊分責諸將，計日勦滅。
HCH_013_045_000198	七年春正月，劉六等復攻霸州。
HCH_013_045_000199	何鑑續調宣府邊兵在涿州者遏之，賊遁去。
HCH_013_045_000200	先是，陸完聞賊北奔，恐犯京師，即調許泰、郤永追至德州。
HCH_013_045_000201	泰、永方恐後期獲罪，而賊東遁之報忽至，泰、永驚喜久之，乃知遏賊宣府續調兵也。
HCH_013_045_000202	嘗語人曰：「何公此舉，既解霸州之危，復舒吾輩之罪。」
HCH_013_045_000203	既而遼東續調軍亦至，郤永率邊軍追賊，至山東，大敗賊李隆於穆陵關。
HCH_013_045_000204	隆奔劉七營，劉七惡其反覆，斬之，并其眾復歸河南。
HCH_013_045_000205	陸完分調諸將許泰等大敗賊眾於汴北。
HCH_013_045_000206	時撫治鄖陽李士實亦發兵夾攻，賊奔商水，倉皇阻河，不能渡。
HCH_013_045_000207	官軍併力蹙之，方可殄滅，而紀功御史雷宗力勸諸將朝崇府。
HCH_013_045_000208	盤薄久之，賊因得渡商水。
HCH_013_045_000209	何鑑劾宗阻誤兵機，逮下獄。
HCH_013_045_000210	伏羌伯毛銳至真定，敗績。
HCH_013_045_000211	銳衰老怯懦，所領京軍萬餘，皆怯不諳戰。
HCH_013_045_000212	谷大用擁眾觀望，不敢進。
HCH_013_045_000213	銳帥師至真定，遇劉七等，與戰大敗；適許泰援至，銳僅以身免。
HCH_013_045_000214	失亡所佩將軍印，徵回京師，以與大用同事不問，罷歸第。
HCH_013_045_000215	二月，趙鐩等攻唐縣。
HCH_013_045_000216	先後二十八日，不破。
HCH_013_045_000217	邢老虎病死，鐩併其眾，號十三萬，騎五千，轉掠襄陽、樊城、棗陽、隨州、新野。
HCH_013_045_000218	破泌陽，前大學士焦芳僅以身免，盡發其先世冢墓無遺骸。
HCH_013_045_000219	取芳衣冠被庭樹，歷數其惡，命劍士斬之，曰：「吾手誅此賊，以謝天下。」
HCH_013_045_000220	進攻鈞州，不克，賊黨聲言欲屠城。
HCH_013_045_000221	趙鐩以馬文升家在圍中，引眾去之。
HCH_013_045_000222	總制彭澤、咸寧伯仇鉞督各邊將帥敗鐩於西［平］縣，殺賊二千餘人，奪回馬騾器械無算。
HCH_013_045_000223	鐩奔鄢陵，焚掠而過。
HCH_013_045_000224	至新鄭、鄭州，攻城不能入，遂至滎陽、汜水，攻偃師。
HCH_013_045_000225	陞陸完右副都御史。
HCH_013_045_000226	先是，楊一清議擒斬賊三名者，陞一級。
HCH_013_045_000227	時劉六、劉七、齊彥名雖擁眾數萬，然多劫掠脇從之徒，其親信驍勇善騎射者，不及千人。
HCH_013_045_000228	官軍每追及，賊首驅脇從良民對敵，并棄所掠財帛奔逸而去。
HCH_013_045_000229	官軍競取財帛，斬獲脇從首級，屢報捷音。
HCH_013_045_000230	陸完、谷大用降敕獎勵十餘次，前後報功萬計；而正賊卒無獲者，甚至賊已去而官軍遇平民，亦殺之以報功。
HCH_013_045_000231	大同游擊江彬過冀州，入民家，殺二十三人。
HCH_013_045_000232	有司申狀，大用、完皆不問。
HCH_013_045_000233	大用復奏帶權勢子弟僕從坐功冒級，日費餼廩。
HCH_013_045_000234	自出師以來，芻糧犒賞，費太倉銀二百餘萬，府庫為之虛耗。
HCH_013_045_000235	三月，劉三、趙鐩等至河南府，參將金輔懼，不敢渡河。
HCH_013_045_000236	總兵馮禎率榆林兵方列陣，而姚信所部京軍馳越禎前，失利先遁。
HCH_013_045_000237	賊麾眾突至，禎下馬力戰死。
HCH_013_045_000238	賊亦殺傷多，乘夜奔汝州，復犯汝寧府，殺湖廣土軍數十人。
HCH_013_045_000239	入潁州朱臯鎮，官軍追敗之。
HCH_013_045_000240	前後斬賊及渡河淹死人馬五千有餘，沿途逃散者甚眾。
HCH_013_045_000241	鐩等由光山、六安州攻破舒城，劫掠人馬。
HCH_013_045_000242	夏四月，桐柏知縣李聚率鄉兵敗趙鐩於縣外，生擒潘僧等八名。
HCH_013_045_000243	泌陽縣劉機率鄉兵擒獲逆盜劉喜等。
HCH_013_045_000244	總制彭澤督官軍敗趙鐩於六安州，殺獲四百餘人。
HCH_013_045_000245	追至定遠，連敗之。
