HCH_010_115_000209	二月，元昊以加上尊號，遣使來賀。
HCH_010_115_000210	耶律敵烈等使夏國還，奏元昊罷兵，遣使報宋。
HCH_010_115_000211	四月，夏國遣使進馬、駝。
HCH_010_115_000212	七月，元昊上表請伐宋，不從。
HCH_010_115_000213	十月，夏人侵党項，遣延昌宮使高家奴讓之。
HCH_010_115_000214	十三年四月，党項及山西部族節度使屈烈以五部叛入西夏，詔徵諸道兵討之。
HCH_010_115_000215	六月，阻卜酋長烏八遣其子執元昊所遣求援使窊邑改來。
HCH_010_115_000216	八月，夏使對不以情，覊之。
HCH_010_115_000217	使復來，詢事宜不實對，笞之。
HCH_010_115_000218	十月，元昊上表謝罪，欲收集叛黨以獻，從之；進方物，命北院樞密副使蕭革迓之。
HCH_010_115_000219	元昊親率党項三部來降，詰其納叛背盟，元昊伏罪。
HCH_010_115_000220	初，夏人執蕭胡覩，至是，請以被執者來歸。
HCH_010_115_000221	詔所留夏使亦還其國。
HCH_010_115_000222	十二月，胡覩來歸，又遣使來貢。
HCH_010_115_000223	十七年，元昊薨，其子諒祚遣使來告，上其父遺留物。
HCH_010_115_000224	鐵不得國乞以本部軍助攻夏國，不許。
HCH_010_115_000225	十八年，復議伐夏，留其賀正使不遣，遣北院樞密副使蕭惟信以伐夏告宋。
HCH_010_115_000226	六月，夏國遣使來貢，留之。
HCH_010_115_000227	七月，親征。
HCH_010_115_000228	八月，渡河，夏人遁。
HCH_010_115_000229	九月，蕭惠為夏人所敗。
HCH_010_115_000230	十月，招討使耶律敵古率阻卜軍至賀蘭山，獲元昊妻及其官屬。
HCH_010_115_000231	遇其軍三千來拒，殪之；詳穩蕭慈氏奴、南剋耶律斡里歿于陣。
HCH_010_115_000232	十九年正月，遣使問罪于夏。
HCH_010_115_000233	夏將洼普等攻金肅城，耶律高家奴等破之，洼普被創遁去，殺猥貨乙靈紀。
HCH_010_115_000234	三月，殿前都點檢蕭迭里得與夏軍戰于三角川，敗之。
HCH_010_115_000235	招討使蕭蒲奴、北院大王宜新等帥師伐夏，都部署別古得為監戰。
HCH_010_115_000236	五月，蕭蒲奴等入夏境，不遇敵，縱軍俘掠而還。
HCH_010_115_000237	夏國洼普來降。
HCH_010_115_000238	十月，李諒祚母遣使乞依舊稱臣。
HCH_010_115_000239	十二月，諒祚上表如母訓。
HCH_010_115_000240	二十年二月，遣使索党項叛戶。
HCH_010_115_000241	五月，蕭爻括使夏回，進諒祚母表：乞代党項權進馬駝牛羊等物；又求唐隆鎮，仍乞罷所建城邑。
HCH_010_115_000242	以詔答之。
HCH_010_115_000243	六月，獲元昊妻，及俘到夏人置于蘇州。
HCH_010_115_000244	二十一年十月，諒祚遣使乞弛邊備，遣爻括賫詔諭之。
HCH_010_115_000245	二十二年七月，諒祚進降表，遣林牙高家奴賫詔撫諭。
HCH_010_115_000246	二十三年正月，貢方物。
HCH_010_115_000247	五月，乞進馬、駝，詔歲貢之。
HCH_010_115_000248	七月，諒祚遣使求婚。
HCH_010_115_000249	十月，進誓表。
HCH_010_115_000250	二十四年，興宗崩，遣使報哀于夏。
HCH_010_115_000251	道宗即位，清寧元年，遣使來賀。
HCH_010_115_000252	九月，以先帝遺物賜夏。
HCH_010_115_000253	四年四月，遣使會葬。
HCH_010_115_000254	九年正月，禁民鬻銅于夏。
HCH_010_115_000255	咸雍元年五月，來貢。
HCH_010_115_000256	三年十一月，遣使進回鶻僧、金佛，梵覺經。
HCH_010_115_000257	十二月，諒祚薨。
HCH_010_115_000258	四年二月，諒祚子秉常遣使報哀，即遣使弔祭。
HCH_010_115_000259	秉常上其父遺物。
HCH_010_115_000260	十月，冊秉常為夏國王。
HCH_010_115_000261	十二月，來貢。
HCH_010_115_000262	五年七月，遣使來謝封冊。
HCH_010_115_000263	閏十一月，秉常乞賜印綬。
HCH_010_115_000264	九年，遣使來貢。
HCH_010_115_000265	大康二年正月，仁懿皇后崩，遣使報哀于夏，以皇太后遺物賜之。
HCH_010_115_000266	遣使來弔祭。
HCH_010_115_000267	五年，來貢。
HCH_010_115_000268	八年二月，遣使以所獲宋將張天益來獻。
HCH_010_115_000269	大安元年十月，秉常遣使報其母哀。
HCH_010_115_000270	二年十月，秉常薨，遣使詔其子乾順知國事。
HCH_010_115_000271	十二月，李乾順遣使上其父秉常遺物。
HCH_010_115_000272	四年七月，冊乾順為夏國王。
HCH_010_115_000273	五年六月，遣使來謝封冊。
HCH_010_115_000274	八年六月，夏為宋所侵，遣使乞援。
HCH_010_115_000275	壽隆三年六月，以宋人置壁壘于要地，遣使來告。
HCH_010_115_000276	四年六月，求援。
HCH_010_115_000277	十一月，遣樞密直學士耶律儼使宋，諷與夏和。
HCH_010_115_000278	夏復遣使來求援。
HCH_010_115_000279	五年正月，詔乾順伐拔思母等部。
HCH_010_115_000280	十一月，夏以宋人罷兵，遣使來謝。
HCH_010_115_000281	六年十一月，遣使請尚公主。
HCH_010_115_000282	七年，道宗崩，遣使告哀于夏。
HCH_010_115_000283	遣使來慰奠。
HCH_010_115_000284	天祚即位，乾統元年，夏遣使來賀。
HCH_010_115_000285	二年，復請尚公主。
HCH_010_115_000286	又以為宋所侵，遣李造福、田若水來求援。
HCH_010_115_000287	三年，復遣使請尚公主。
HCH_010_115_000288	十月，使復來求援。
HCH_010_115_000289	四年、五年，李造福等至，乞援。
HCH_010_115_000290	以族女南仙封成安公主下嫁乾順。
HCH_010_115_000291	六年正月，遣牛溫舒使宋，令歸所侵夏地。
HCH_010_115_000292	六月，遣李造福來謝。
HCH_010_115_000293	八年，乾順以成安公主生子，遣使來告。
HCH_010_115_000294	九年，以宋不歸地來告。
HCH_010_115_000295	十年，遣李造福等來貢。
HCH_010_115_000296	天慶三年六月，來貢。
HCH_010_115_000297	保大二年，天祚播遷，乾順率兵來援，為金師所敗，乾順請臨其國。
HCH_010_115_000298	六月，遣使冊乾順為夏國皇帝，而天祚被執歸金矣。
HCH_010_115_000299	論曰：高麗、西夏之事遼，雖嘗請婚下嫁，烏足以得其固志哉？
HCH_010_115_000300	三韓接壤，反覆易知；涼州負遠，納叛侵疆，乘隙輒動；貢使方往，事釁隨生。
HCH_010_115_000301	興師問罪，屢煩親征。
HCH_010_115_000302	取勝固多，敗亦貽悔。
HCH_010_115_000303	昔吳趙咨對魏之言曰：「大國有征伐之兵，小國有備禦之固。」
HCH_010_115_000304	豈其然乎！
HCH_010_115_000305	先王柔遠，以德而不以力，尚矣。
HCH_010_115_000306	遼亡，求援二國，雖能出師，豈金敵哉。
HCH_010_115_000307	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
