HCH_013_040_000091	召肅州指揮楊翥至計事，撫其背曰：「爾諳番情，悉西域道里。今欲擒斬牙蘭，策安出？」
HCH_013_040_000092	翥言：「罕東有間道可進兵，不旬日達哈密。」
HCH_013_040_000093	文升曰：「如若言，以罕東兵三千為前鋒，我師三千後繼，各持數日熟食，兼程襲之若何？」
HCH_013_040_000094	翥稱善。
HCH_013_040_000095	而甘肅巡撫都御史許進亦以方略聞，且曰：「不斬牙蘭則天威不振，土魯番終不知懼。」
HCH_013_040_000096	文升乃即以前策屬之。
HCH_013_040_000097	遣副總兵彭清統銳卒由南山馳至罕東，即調罕東諸番兵，乘夜倍道襲牙蘭。
HCH_013_040_000098	冬十一月，許進及總兵劉寧抵肅州，駐師嘉峪關外。
HCH_013_040_000099	遲罕東兵不至，乃偕彭清循大路行，以水草乏絕不得馳。
HCH_013_040_000100	牙蘭詗知，乘千里馬宵遁，惟餘番人八百，登臺自保。
HCH_013_040_000101	師入哈密，得陝巴妻女并牛羊三千，斬級六十。
HCH_013_040_000102	拔哈密脅從者八百餘人還。
HCH_013_040_000103	我士馬乏糧，多物故。
HCH_013_040_000104	文升徒取空城，竟失牙蘭。
HCH_013_040_000105	然西域亦自是頗憚中國。
HCH_013_040_000106	上念邊吏冒險出塞，進等及太監陸誾皆以功陞秩。
HCH_013_040_000107	九年三月，阿黑麻自將撒他兒等復襲哈密，據之。
HCH_013_040_000108	先是，王師入哈密，牙蘭遁歸。
HCH_013_040_000109	阿黑麻方與赤斤蒙古衛相讐攻，不能大發兵。
HCH_013_040_000110	使別將將輕騎五百，圖復哈密，復為赤斤蒙古所邀，殺殆盡。
HCH_013_040_000111	至是，乃自率兵下之，令撒他兒、奄克孛剌居守。
HCH_013_040_000112	撒他兒不敢守哈密，就剌木城駐軍。
HCH_013_040_000113	奄克孛剌密結瓦剌小列禿，襲斬撒他兒還守哈密。
HCH_013_040_000114	阿黑麻遣兵圍之，哈密人舉火，小列禿來援，退走。
HCH_013_040_000115	十年冬十月，阿黑麻以絕貢失互市。
HCH_013_040_000116	又自許進撫甘肅，小列禿及乜克力等部，中國撓之，窘甚。
HCH_013_040_000117	令其兄馬黑上書，願悔過。
HCH_013_040_000118	還陝巴及金印，易前四十餘使，予貢如故。
HCH_013_040_000119	馬文升恐挾詐，請俟陝巴金印至甘州，始取寫亦滿等于閩、廣。
HCH_013_040_000120	十一月，起前左都御使王越，總制甘、涼等處邊務，經略哈密。
HCH_013_040_000121	十一年秋八月，復封陝巴為哈密忠順王。
HCH_013_040_000122	先是，都御史王越出河西，而陝巴至甘州。
HCH_013_040_000123	越乃令三種都督，回回則寫亦虎仙，畏兀兒則奄克孛剌，哈剌灰則拜迭力迷失，共佐陝巴。
HCH_013_040_000124	奄克孛剌以罕慎弟，與陝巴不協，乃妻陝巴以罕慎女結好。
HCH_013_040_000125	遂賜陝巴蟒玉大帽，為忠順王，而釋寫亦滿等西歸。
HCH_013_040_000126	會越卒，哈密三種人久厭兵，初以國亂，入居甘肅境上，射獵為生，不願歸哈密。
HCH_013_040_000127	文升請留家之半肅州，往來自便。
HCH_013_040_000128	十二年春正月，遣兵護忠順王陝巴還哈密，以都督寫亦虎仙、奄克孛剌、拜迭迷失三種輔之，主國事。
HCH_013_040_000129	土魯番諸部許復入京朝貢，勞賜良厚。
HCH_013_040_000130	已而陝巴嗜酒，掊尅諸部，阿孛剌等咸貳。
HCH_013_040_000131	十七年春三月，阿孛剌陰搆阿黑麻，迎其次子真帖木兒來王哈密，陝巴棄城走沙州。
HCH_013_040_000132	邊吏遣指揮董傑及奄克孛剌往諭部眾，迎陝巴還，阿孛剌不從。
HCH_013_040_000133	傑等遂擒殺阿孛剌并其黨六人，餘怖服。
HCH_013_040_000134	乃別令都指揮朱瑄勒兵送陝巴復王，而以真帖木兒還土魯番。
HCH_013_040_000135	真帖木兒時年十三，其母亦罕慎女也。
HCH_013_040_000136	會阿黑麻死，諸子讐殺，真帖木兒懼，不敢還，願依奄克孛剌，曰：「吾外祖也。」
HCH_013_040_000137	守臣恐與陝巴嫌，乃攜還，使居甘州。
HCH_013_040_000138	而其兄滿速兒尋定國亂，自立。
HCH_013_040_000139	武宗正德元年秋九月，忠順王陝巴死，子拜牙郎嗣位，淫虐不親政事。
HCH_013_040_000140	八年春二月，真帖木兒還土魯番。
HCH_013_040_000141	先是，滿速兒稱速檀朝貢，上書求真帖木兒。
HCH_013_040_000142	兵部議質所愛，不予。
HCH_013_040_000143	尋逸出城，追獲之。
HCH_013_040_000144	七年冬，始令哈密三都督送真帖木兒西還。
HCH_013_040_000145	至哈密，奄克孛剌欲止之，寫亦虎仙、滿剌哈三不可，護至土魯番。
HCH_013_040_000146	以國情輸滿速兒，潛誘拜牙郎叛中國。
HCH_013_040_000147	拜牙郎淫暴，心怵屬部謀害，欲掩奄克孛剌往。
HCH_013_040_000148	不從，奄克孛剌奔肅州。
HCH_013_040_000149	八月，拜牙郎棄城叛歸土魯番，滿速兒令頭目火者他只丁與寫亦虎仙、滿剌哈三取金印，守哈密。
HCH_013_040_000150	又令火者馬黑木等至甘州索賞。
HCH_013_040_000151	哈密諸部乃譯書言：「拜牙郎棄國從番，乞命將守哈密。」
HCH_013_040_000152	巡撫趙鑑謬謂：「滿速兒忠義，守城勤勞。」
HCH_013_040_000153	命撫戎官賜之金幣。
HCH_013_040_000154	撫戎官入哈密，滿速兒亦率眾至，分據拉木等城。
HCH_013_040_000155	真帖木兒又言：「河南大饑，人死亡且半。甘州城南黑河可引灌城。」
HCH_013_040_000156	于是滿速兒及火者他只丁、牙木日夜聚謀侵甘肅矣。
HCH_013_040_000157	九年秋八月，命右都御史彭澤總督甘肅，統延寧、固原諸鎮兵，經略土魯番。
HCH_013_040_000158	滿速兒既據哈密，遺書鎮巡索金幣萬，贖哈密城印。
HCH_013_040_000159	總制都御史鄧璋以聞，故有是命。
HCH_013_040_000160	敕都督奄克孛剌、寫亦虎仙等共守哈密、赤斤等衛，如遇土番內侵，并力捍禦。
HCH_013_040_000161	十年春正月，土魯番火者他只丁寇赤斤、苦峪諸處，殺掠甚慘。
HCH_013_040_000162	彭澤抵甘州。
HCH_013_040_000163	復遺澤書，索金幣。
HCH_013_040_000164	澤度滿速兒強，未易兵定，番戎可以利啖，乃以繒綺二千，白金器，遣通事火信同寫亦虎仙入土魯番，說令和好。
HCH_013_040_000165	滿速兒喜，許增幣歸金印土地。
HCH_013_040_000166	澤不俟報，遽上言：「速檀滿速兒畏威悔禍，已還哈密侵地及金印。」
HCH_013_040_000167	四月，遂召澤還京。
HCH_013_040_000168	巡按甘肅御史馮時雍言：「澤處置失宜，講和辱國。」
HCH_013_040_000169	兵部尚書陸完寢其奏。
HCH_013_040_000170	滿速兒諜知兵罷，益驕，四出侵掠關外諸衛，及結瓦剌寇我河西，且遣人索所許增幣歸印。
HCH_013_040_000171	十一年秋九月，土魯番復據哈密，侵肅州。
HCH_013_040_000172	初，彭澤既召還，趙鑑亦去陝西，左布政使李昆代鑑巡撫甘肅。
