HCH_011_045_000109	霸先謂僧辯曰：「醜虜遊魂，貫盈已稔，逋誅送死，欲爲一決。我衆賊寡，且分其勢。」
HCH_011_045_000110	卽遣強弩二千張，攻賊西面兩城，仍使結陣以當賊。
HCH_011_045_000111	僧辯在後麾軍而進，復大破之。
HCH_011_045_000112	盧暉略聞景戰敗，以石頭城降，僧辯引軍入據之。
HCH_011_045_000113	景之退也，北走朱方，於是景散兵走告僧辯，僧辯令衆將入據臺城。
HCH_011_045_000114	其夜，軍人采梠失火，燒太極殿及東西堂等。
HCH_011_045_000115	時軍人鹵掠京邑，剝剔士庶，民爲其執縛者，衵衣不免。
HCH_011_045_000116	盡驅逼居民以求購贖，自石頭至于東城，緣淮號叫之聲，震響京邑，於是百姓失望。
HCH_011_045_000117	僧辯命侯瑱、裴之橫率精甲五千，東入討景。
HCH_011_045_000118	僧辯收賊黨王偉等二十餘人，送于江陵。
HCH_011_045_000119	偽行臺趙伯超自吳松江降於侯瑱，瑱時送至僧辯。
HCH_011_045_000120	僧辯謂伯超曰：「趙公，卿荷國重恩，遂復同逆。今日之事，將欲何如？」
HCH_011_045_000121	因命送江陵。
HCH_011_045_000122	伯超旣出，僧辯顧坐客曰：「朝廷昔唯知有趙伯超耳，豈識王僧辯？社稷旣傾，爲我所復；人之興廢，亦復何常。」
HCH_011_045_000123	賓客皆前稱歎功德。
HCH_011_045_000124	僧辯瞿然，乃謬答曰：「此乃聖上之威德，羣帥之用命。老夫雖濫居戎首，何力之有焉？」
HCH_011_045_000125	於是逆寇悉平，京都剋定。
HCH_011_045_000126	世祖卽帝位，以僧辯功，進授鎮衛將軍、司徒，加班劍二十人，改封永寧郡公，食邑五千戶，侍中、尚書令、鼓吹並如故。
HCH_011_045_000127	是後湘州賊陸納等攻破衡州刺史丁道貴於淥口，盡收其軍實；李洪雅又自零陵率衆出空靈灘，稱助討納。
HCH_011_045_000128	朝廷未達其心，深以爲慮，乃遣中書舍人羅重歡徵僧辯上就驃騎將軍宜豊侯循南征。
HCH_011_045_000129	僧辯因督杜崱等衆軍，發於建業，師次巴陵。
HCH_011_045_000130	詔僧辯爲都督東上諸軍事，霸先爲都督西上諸軍事。
HCH_011_045_000131	先時霸先讓都督于僧辯，僧辯不受，故世祖分爲東西都督，而俱南討焉。
HCH_011_045_000132	時納等下據車輪，夾岸爲城，前斷水勢，士卒驍猛，皆百戰之餘。
HCH_011_045_000133	僧辯憚之，不與輕進，於是稍作連城以逼賊。
HCH_011_045_000134	賊見不敢交鋒，並懷懈怠。
HCH_011_045_000135	僧辯因其無備，命諸軍水步攻之，親執旗鼓，以誡進止。
HCH_011_045_000136	於是諸軍競出，大戰於車輪，與驃騎循並力苦攻，陷其二城。
HCH_011_045_000137	賊大敗，步走歸保長沙，驅逼居民，入城拒守。
HCH_011_045_000138	僧辯追躡，乃命築壘圍之，悉令諸軍廣建圍柵，僧辯出坐壟上而自臨視。
HCH_011_045_000139	賊望，識僧辯，知不設備，賊黨吳藏、李賢明等乃率銳卒千人，開門掩出，蒙楯直進，徑趨僧辯。
HCH_011_045_000140	時杜崱、杜龕並侍左右，帶甲衛者止百餘人，因下遣人與賊交戰。
HCH_011_045_000141	李賢明乘鎧馬，從者十騎，大呼衝突，僧辯尚據胡床，不爲之動。
HCH_011_045_000142	於是指揮勇敢，遂獲賢明，因卽斬之。
HCH_011_045_000143	賊乃退歸城內。
HCH_011_045_000144	初，陸納阻兵內逆，以王琳爲辭，云「朝廷若放王琳，納等自當降伏」。
HCH_011_045_000145	于時衆軍並進，未之許也。
HCH_011_045_000146	而武陵王擁衆上流，內外駭懼，世祖乃遣琳和解之。
HCH_011_045_000147	至是，湘州平。
HCH_011_045_000148	僧辯旋于江陵，因被詔會衆軍西討，督舟師二萬，輿駕出天居寺餞行。
HCH_011_045_000149	俄而武陵敗績，僧辯自枝江班師于江陵，旋鎮建業。
HCH_011_045_000150	是月，居少時，復回江陵。
HCH_011_045_000151	齊主高洋遣郭元建率衆二萬，大列舟艦於合肥，將謀襲建業，又遣其大將邢景遠、步六汗薩、東方老等率衆繼之。
HCH_011_045_000152	時陳霸先鎮建康，旣聞此事，馳報江陵。
HCH_011_045_000153	世祖卽詔僧辯次于姑孰，卽留鎮焉。
HCH_011_045_000154	先命豫州刺史侯瑱率精甲三千人築壘於東關，以拒北寇；徵吳郡太守張彪、吳興太守裴之橫會瑱於關；因與北軍戰，大敗之，僧辯率衆軍振旅于建業。
HCH_011_045_000155	承聖三年二月甲辰，詔曰：「贊俊遂賢，稱于秦典；自上安下，聞之漢制。所以仰協台曜，俯佐弘圖。使持節、侍中、司徒、尚書令、都督揚、南徐、東揚三州諸軍事、鎮衛將軍、揚州刺史、永寧郡開國公僧辯，器宇凝深，風格詳遠，行爲士則，言表身文，學貫九流，武該七略。頃歲征討，自西徂東；師不疲勞，民無怨讟；王業艱難，實兼夷險。宜其燮此中台，膺茲上將；寄之經野，匡我朝猷。加太尉、車騎大將軍，餘悉如故。」
HCH_011_045_000156	頃之，丁母太夫人憂，世祖遣侍中謁者監護喪事，策諡曰貞敬太夫人。
HCH_011_045_000157	夫人姓魏氏。
HCH_011_045_000158	神念以天監初董率徒衆據東關，退保合肥漅湖西，因娶以爲室，生僧辯。
HCH_011_045_000159	性甚安和，善於綏接，家門內外，莫不懷之。
HCH_011_045_000160	初，僧辯下獄，夫人流淚徒行，將入謝罪，世祖不與相見。
HCH_011_045_000161	時貞惠世子有寵於世祖，軍國大事多關領焉。
HCH_011_045_000162	夫人詣閤，自陳無訓，涕泗嗚咽，衆並憐之。
HCH_011_045_000163	及僧辯免出，夫人深相責勵，辭色俱嚴，云：「人之事君，惟須忠烈，非但保祐當世，亦乃慶流子孫。」
HCH_011_045_000164	及僧辯剋復舊京，功蓋天下，夫人恒自謙損，不以富貴驕物。
HCH_011_045_000165	朝野咸共稱之，謂爲明哲婦人也。
HCH_011_045_000166	及旣薨殞，甚見愍悼。
HCH_011_045_000167	且以僧辯勳業隆重，故喪禮加焉。
HCH_011_045_000168	靈柩將歸建康，又遣謁者至舟渚弔祭。
HCH_011_045_000169	命尚書左僕射王裒爲其文曰：「維爾世基武子，族懋陽元，金相比映，玉德齊溫。旣稱女則，兼循婦言。書圖鏡覽，辭章討論。教貽俎豆，訓及平原。楚發將兵，孟軻成德。盡忠資敬，自家刑國。顯允其儀，惟民之則。反命師旅，旣修我戎；補茲袞職，奄有龜、蒙。母由子貴，亶爾斯崇；嘉命允集，寵章所隆。居高能降，處貴思沖；慶資善始，榮兼令終。崦嵫旣夕，蒹葭早秋；奔駟難返，衝濤詎留。背龍門而西顧，過夏首而東浮；越三宮之遐岳，經三江之派流。鬱鬱增嶺，浮雲蔽虧；滔滔江、漢，逝者如斯。銘旌故旐，宇毀遺碑。卽虛舟而設奠，想徂魂之有知。嗚呼哀哉！」
HCH_011_045_000170	其年十月，西魏相宇文黑泰遣兵及岳陽王衆合五萬，將襲江陵。
HCH_011_045_000171	世祖遣主書李膺徵僧辯於建業，爲大都督、荊州刺史。
HCH_011_045_000172	別敕僧辯云：「黑泰背盟，忽便舉斧。國家猛將，多在下流；荊陝之衆，悉非勁勇。公宜率貔虎，星言就路，倍道兼行，赴倒懸也。」
HCH_011_045_000173	僧辯因命豫州刺史侯瑱等爲前軍，兗州刺史杜僧明等爲後軍。
HCH_011_045_000174	處分旣畢，乃謂膺云：「泰兵驍猛，難與爭銳，衆軍若集，吾便直指漢江，截其後路。凡千里饋糧，尚有饑色，況賊越數千里者乎？此孫臏剋龐涓時也。」
HCH_011_045_000175	俄而京城陷沒，宮車晏駕。
HCH_011_045_000176	及敬帝初卽梁主位，僧辯預樹立之功，承制進驃騎大將軍、中書監、都督中外諸軍事、錄尚書，與陳霸先參謀討伐。
HCH_011_045_000177	時齊主高洋又欲納貞陽侯淵明以爲梁嗣，因與僧辯書曰：「梁國不造，禍難相仍，侯景傾蕩建業，武陵彎弓巴、漢。卿志格玄穹，精貫白日，戮力齊心，芟夷逆醜。凡在有情，莫不嗟尚；況我鄰國，緝事言前。而西寇承間，復相掩襲。梁主不能固守江陵，殞身宗祐。王師未及，便已降敗；士民小大，皆畢寇虜。乃眷南顧，憤歎盈懷。卿臣子之情，念當鯁裂。如聞權立枝子，號令江陰，年甫十餘，極爲沖藐；梁釁未已，負荷諒難。祭則衛君，政由甯氏；幹弱枝強，終古所忌。朕以天下爲家，大道濟物。以梁國淪滅，有懷舊好，存亡拯墜，義在今辰，扶危嗣事，非長伊德。彼貞陽侯，梁武猶子，長沙之胤，以年以望，堪保金陵，故置爲梁主，納于彼國。便詔上党王渙總攝羣將，扶送江表，雷動風馳，助掃冤逆。清河王岳，前救荊城，軍度安陸，旣不相及，憤惋良深。恐及西寇乘流，復躡江左。今轉次漢口，與陸居士相會。卿宜協我良規，厲彼羣帥，部分舟艫，迎接今王，鳩勒勁勇，幷心一力。西羌烏合，本非勍寇，直是湘東怯弱，致此淪胥。今者之師，何往不剋，善建良圖，副朕所望也。」
HCH_011_045_000178	貞陽承齊遣送，將屆壽陽。
HCH_011_045_000179	貞陽前後頻與僧辯書，論還國繼統之意，僧辯不納。
HCH_011_045_000180	及貞陽、高渙至于於東關，散騎常侍裴之橫率衆拒戰，敗績，僧辯因遂謀納貞陽，仍定君臣之禮。
HCH_011_045_000181	啓曰：「自秦兵寇陝，臣便營赴援，才及下船，荊城陷沒，卽遣劉周入國，具表丹誠，左右勳豪，初並同契。周旣多時不還，人情疑阻；比冊降中使，復遣諸處詢謀，物論參差，未甚決定。始得侯瑱信，示西寇權景宣書，令以真跡上呈。觀視將帥，恣欲同泰，若一朝仰違大國，臣不辭灰粉，悲梁祚永絕中興。伏願陛下便事濟江，仰藉皇齊之威，憑陛下至聖之略，樹君以長，雪報可期，社稷再輝，死且非吝。請押別使曹沖馳表齊都，續啟事以聞，伏遲拜奉在促。」
HCH_011_045_000182	貞陽答曰：「姜暠至，枉示具公忠義之懷。家國喪亂，于今積年。三后蒙塵，四海騰沸。天命元輔，匡救本朝。弘濟艱難，建武宗祏。至於丘園板築，尚想來儀；公室皇枝，豈不虛遲。聞孤還國，理會高懷，但近再命行人，或不宣具。公旣詢謀卿士，訪逮籓維，沿溯往來，理淹旬月，使乎屆止，殊副所期。便是再立我蕭宗，重興我梁國。億兆黎庶，咸蒙此恩；社稷宗祧，曾不相愧。近軍次東關，頻遣信裴之橫處，示其可否。答對驕凶，殊駭聞矚。上黨王陳兵見衛，欲敘安危，無識之徒，忽然逆戰。前旌未舉，卽自披猖，驚悼之情，彌以傷惻。上黨王深自矜嗟，不傳首級，更蒙封樹，飾棺厚殯，務從優禮。齊朝大德，信感神民。方仰藉皇威，敬憑元宰，討逆賊於咸陽，誅叛子於雲夢，同心協力，克定邦家。覽所示權景宣書，上流諸將，本有忠略，棄親向讎，庶當不爾，防奸定亂，終在於公。今且頓東關，更待來信，未知水陸何處見迎。夫建國立君，布在方策，入盟出質，有自來矣。若公之忠節，上感蒼旻；羣帥同謀，必匪攜貳。則齊師反斾，義不陵江，如致爽言，誓以無克。韜旗側席，遲復行人。曹沖奉表齊都，卽押送也。渭橋之下，惟遲敘言；汜水之陽，預有號懼。」
HCH_011_045_000183	僧辯又重啟曰：「員外常侍姜暠還，奉敕伏具動止。大齊仁義之風，曲被鄰國，卹災救難，申此大猷。皇家枝戚，莫不榮荷；江東冠冕，俱知憑賴。今歃不忘信，信實由衷，謹遣臣第七息顯，顯所生劉並弟子世珍，往彼充質；仍遣左民尚書周弘正至歷陽奉迎。艫舳浮江，俟一龍之渡；清宮丹陛，候六傳之入。萬國傾心，同榮晉文之反；三善克宣，方流宋昌之議。國祚旣隆，社稷有奉。則羣臣竭節，報厚施于大齊；戮力展愚，效忠誠於陛下。今遣吏部尚書王通奉啓以聞。」
HCH_011_045_000184	僧辯因求以敬帝爲皇太子。
HCH_011_045_000185	貞陽又答曰：「王尚書通至，復枉示，知欲遣賢弟世珍以表誠質，具悉憂國之懷。復以庭中玉樹，掌內明珠，無累胸懷，志在匡救，豈非劬勞我社稷，弘濟我邦家？慚歎之懷，用忘興寢。晉安王東京貽厥之重，西都繼體之賢，嗣守皇家，寧非民望。但世道喪亂，宜立長君，以其蒙孽，難可承業。成、昭之德，自古希儔；沖、質之危，何代無此。孤身當否運，志不圖生。忽荷不世之恩，仍致非常之舉。自惟虛薄，兢懼已深。若建承華，本歸皇胄；心口相誓，惟擬晉安。如或虛言，神明所殛。覽今所示，深遂本懷。戢慰之情，無寄言象。但公憂勞之重，旣稟齊恩；忠義之情，復及梁貳。華夷兆庶，豈不懷風？宗廟明靈，豈不相感？正爾迴斾，仍向歷陽。所期質累，便望來彼。衆軍不渡，已著盟書。斯則大齊聖主之恩規，上黨英王之然諾，得原失信，終不爲也。惟遲相見，使在不賒。鄉國非遙，觸目號咽。」
HCH_011_045_000186	僧辯使送質于鄴。
HCH_011_045_000187	貞陽求渡衛士三千，僧辯慮其爲變，止受散卒千人而已，幷遣龍舟法駕往迎。
HCH_011_045_000188	貞陽濟江之日，僧辯擁檝中流，不敢就岸。
HCH_011_045_000189	後乃同會于江寧浦。
HCH_011_045_000190	貞陽旣踐偽位，仍授僧辯大司馬，領太子太傅、揚州牧，餘悉如故。
HCH_011_045_000191	陳霸先時爲司空、南徐州刺史，惡其飜覆，與諸將議，因自京口舉兵十萬，水陸俱至，襲于建康。
HCH_011_045_000192	於是水軍到，僧辯常處於石頭城，是日正視事，軍人已逾城北而入，南門又馳白有兵來。
HCH_011_045_000193	僧辯與其子頠遽走出閤，左右心腹尚數十人。
HCH_011_045_000194	衆軍悉至，僧辯計無所出，乃據南門樓乞命拜請。
HCH_011_045_000195	霸先因命縱火焚之，方共頠下就執。
HCH_011_045_000196	霸先曰：「我有何辜，公欲與齊師賜討？」
HCH_011_045_000197	又曰：「何意全無防備？」
HCH_011_045_000198	僧辯曰：「委公北門，何謂無備。」
HCH_011_045_000199	爾夜斬之。
HCH_011_045_000200	長子髂，承聖初歷官至侍中。
HCH_011_045_000201	初，僧辯平建業，遣霸先守京口，都無備防。
HCH_011_045_000202	髂屢以爲言，僧辯不聽，竟及於禍。
HCH_011_045_000203	西魏寇江陵，世祖遣髂督城內諸軍事。
