HCH_010_038_000138	統和中伐高麗，以燕軍驍猛，置兩指揮，建城防戍。
HCH_010_038_000139	兵事屬東京統軍司。
HCH_010_038_000140	鐵州，建武軍，刺史。
HCH_010_038_000141	本漢安市縣，高麗爲安市城。
HCH_010_038_000142	唐太宗攻之不下，薛仁貴白衣登城，即此。
HCH_010_038_000143	渤海置州，故縣四：位城、河端、蒼山、龍珍，<八>皆廢。
HCH_010_038_000144	戶一千。
HCH_010_038_000145	在京西南六十里。
HCH_010_038_000146	統縣一：湯池縣。
HCH_010_038_000147	興州，中興軍，節度。
HCH_010_038_000148	本漢海冥縣地。
HCH_010_038_000149	渤海置州，故縣三：盛吉、蒜山、鐵山，皆廢。
HCH_010_038_000150	戶二百。
HCH_010_038_000151	在京西南三百里。
HCH_010_038_000152	湯州。
HCH_010_038_000153	本漢襄平縣地。
HCH_010_038_000154	渤海置州，<九>故縣五：靈峰、常豐、白石、均穀、嘉利，皆廢。
HCH_010_038_000155	戶五百。
HCH_010_038_000156	在京西北一百里。
HCH_010_038_000157	崇州，隆安軍，刺史。
HCH_010_038_000158	本漢長岑縣地。
HCH_010_038_000159	渤海置州，故縣三：崇山、溈水、綠城，皆廢。
HCH_010_038_000160	戶五百。
HCH_010_038_000161	在京東北一百五十里。
HCH_010_038_000162	統縣一：崇信縣。
HCH_010_038_000163	海州，南海軍，節度。
HCH_010_038_000164	本沃沮國地。
HCH_010_038_000165	高麗爲沙卑城，唐李世嘗攻焉。
HCH_010_038_000166	渤海號南京南海府。
HCH_010_038_000167	疊石爲城，幅員九里，都督沃、晴、椒三州。
HCH_010_038_000168	故縣六：沃沮、鷲岩、龍山、濱海、升平、靈泉，皆廢。
HCH_010_038_000169	太平中，大延琳叛，南海城堅守，經歲不下，別部酋長皆被擒，乃降。
HCH_010_038_000170	因盡徙其人於上京，置遷遼縣，移澤州民來實之。
HCH_010_038_000171	戶一千五百。
HCH_010_038_000172	統州二、縣一：臨溟縣。
HCH_010_038_000173	耀州，刺史。
HCH_010_038_000174	本渤海椒州，故縣五，椒山，貂嶺、澌泉、尖山、岩淵，皆廢。
HCH_010_038_000175	戶七百。
HCH_010_038_000176	隸海州。
HCH_010_038_000177	東北至海州二百里。
