HCH_012_066_000103	舄如裳色。
HCH_012_066_000104	玉圭視鎮圭差小，剡上方下，有篆文曰：「討罪安民」。
HCH_012_066_000105	皇帝常服：洪武三年定，烏紗折角向上巾，盤領窄袖袍，束帶間用金、琥珀、透犀。
HCH_012_066_000106	永樂三年更定，冠以烏紗冒之，折角向上，其後名翼善冠。
HCH_012_066_000107	袍黃，盤領，窄袖，前後及兩肩各織金盤龍一。
HCH_012_066_000108	帶用玉，靴以皮為之。
HCH_012_066_000109	先是，洪武二十四年，帝微行至神樂觀，見有結網巾者。
HCH_012_066_000110	翼日，命取網巾，頒示十三布政使司，人無貴賤，皆裹網巾，於是天子亦常服網巾。
HCH_012_066_000111	又《會典》載皇太孫冠禮有云：「掌冠跪加網巾」，而皇帝、皇太子冠服，俱闕而不載。
HCH_012_066_000112	嘉靖七年，更定燕弁服。
HCH_012_066_000113	初，帝以燕居冠服，尚沿習俗，諭張璁考古帝王燕居法服之制。
HCH_012_066_000114	璁乃採《禮書》「玄端深衣。」
HCH_012_066_000115	之文，圖注以進。
HCH_012_066_000116	帝為參定其制，諭璁詳議。
HCH_012_066_000117	璁言：「古者冕服之外，玄端深衣，其用最廣。玄端自天子達於士，國家之命服也。深衣自天子達於庶人，聖賢之法服也。今以玄端加文飾，不易舊制，深衣易黃色，不離中衣，誠得帝王損益時中之道。」
HCH_012_066_000118	帝因諭禮部曰：「古玄端上下通用，今非古人比，雖燕居，宜辨等威。」
HCH_012_066_000119	因酌古制，更名曰：「燕弁」，寓深宮獨處、以燕安為戒之意。
HCH_012_066_000120	其制，冠匡如皮弁之制，冒以烏紗，分十有二瓣，各以金線壓之，前飾五采玉雲各一，後列四山，朱條為組纓，雙玉簪。
HCH_012_066_000121	服如古玄端之制，色玄，邊緣以青，兩肩繡日月，前盤圓龍一，後盤方龍二，邊加龍文八十一，領與兩祛共龍文五九。
HCH_012_066_000122	衽同前後齊，共龍文四九。
HCH_012_066_000123	襯用深衣之制，色黃。
HCH_012_066_000124	袂圓祛方，下齊負繩及踝十二幅。
HCH_012_066_000125	素帶，朱裡青表，綠緣邊，腰圍飾以玉龍九。
HCH_012_066_000126	玄履，朱緣紅纓黃結。
HCH_012_066_000127	白襪。
HCH_012_066_000128	皇后冠服：洪武三年定，受冊、謁廟、朝會，服禮服。
