HCH_012_175_000111	俄命分守貴州。
HCH_012_175_000112	從方瑛討東苗，殲幹把豬。
HCH_012_175_000113	討西堡苗，縶其魁楚得。
HCH_012_175_000114	先後斬首千級，毀其巢而還。
HCH_012_175_000115	旋改右副總兵，鎮守貴州。
HCH_012_175_000116	吉祥誅，玉下吏當斬。
HCH_012_175_000117	以道遠不與謀，免死，謫海南副千戶。
HCH_012_175_000118	六年，帝將以谷登為甘肅副總兵。
HCH_012_175_000119	李賢言登不任，玉老成。
HCH_012_175_000120	乃復以為都督僉事、右副總兵，鎮守涼州。
HCH_012_175_000121	咎咂族叛，會兵平之，進都督同知。
HCH_012_175_000122	成化四年，滿俊亂固原，白圭舉玉為總兵官，統左右參將夏正、劉清討之，兵分為七。
HCH_012_175_000123	玉與總督項忠抵石城，賊已數敗。
HCH_012_175_000124	會毛忠死，玉亦被圍，中流矢，力戰得出。
HCH_012_175_000125	相持兩月，大小百十戰，竟平之。
HCH_012_175_000126	進左都督，掌右府事。
HCH_012_175_000127	自訴前西堡功，命增俸百石，掌耀武營。
HCH_012_175_000128	六年充左副總兵，從朱永出延綏。
HCH_012_175_000129	五月，河套部入犯，玉帥眾禦卻之。
HCH_012_175_000130	逾年卒。
HCH_012_175_000131	贈固原伯，謚毅敏。
HCH_012_175_000132	玉雖起仆隸，勇決過人，善撫士，所至未嘗衄。
HCH_012_175_000133	滿俊之叛，據石城險，屢敗官軍，玉戰最力。
HCH_012_175_000134	及論功，只賜秩一級，時惜其薄。
HCH_012_175_000135	子文，襲指揮使。
HCH_012_175_000136	仇鉞，字廷威，鎮原人。
HCH_012_175_000137	初以傭卒給事寧夏總兵府，大見信愛。
HCH_012_175_000138	會都指揮僉事仇理卒，無嗣，遂令鉞襲其世職，為寧夏前衛指揮同知。
HCH_012_175_000139	理，江都人，故鉞自稱江都仇氏。
HCH_012_175_000140	再以破賊功，進都指揮僉事。
HCH_012_175_000141	正德二年用總制楊一清薦，擢寧夏遊擊將軍。
HCH_012_175_000142	五年，安化王寘鐇及都指揮何錦、周昂，指揮丁廣反。
HCH_012_175_000143	鉞時駐城外玉泉營，聞變欲遁去。
HCH_012_175_000144	顧念妻子在城中，恐為所屠滅，遂引兵入城。
HCH_012_175_000145	解甲覲寘鐇，歸臥家稱病，以所將兵分隸賊營。
HCH_012_175_000146	錦等信之，時時就問計。
HCH_012_175_000147	鉞亦謬輸心腹。
HCH_012_175_000148	而陰結壯士，遣人潛出城，令還報官軍旦夕至。
HCH_012_175_000149	鉞因紿錦、廣，宜急出兵守渡口，遏東岸兵，勿使渡河。
HCH_012_175_000150	錦、廣果傾營出，而昂獨守城。
HCH_012_175_000151	寘鐇以祃牙召鉞，鉞稱病亟。
HCH_012_175_000152	昂來視，鉞方堅臥呻吟。
HCH_012_175_000153	伏卒猝起，捶殺昂。
HCH_012_175_000154	鉞乃被甲橫刀，提其首，躍馬大呼，壯士皆集，徑馳詣寘鐇第，縛之。
HCH_012_175_000155	傳寘鐇令，召錦等還，而密諭其部曲以擒寘鐇狀。
HCH_012_175_000156	眾遂大潰。
HCH_012_175_000157	錦、廣單騎走賀蘭山，為邏卒所獲，舉事凡十八日而敗。
HCH_012_175_000158	先是，中朝聞變，議以神英為總兵官，而命鉞為副。
HCH_012_175_000159	俄傳鉞降賊，欲追敕還。
HCH_012_175_000160	大學士楊廷和曰：「鉞必不從賊，令知朝廷擢用，誌當益堅。不然，棄良將資敵人耳。」
HCH_012_175_000161	乃不追。
HCH_012_175_000162	事果定。
HCH_012_175_000163	而劉瑾匿陜西總兵官曹雄，盡以鉞功歸之，鉞竟無殊擢。
HCH_012_175_000164	巡按御史閻睿訟其功，詔奪俸三月。
HCH_012_175_000165	瑾誅，始進署都督僉事，充寧夏總兵官。
HCH_012_175_000166	尋論功，封鹹寧伯，歲祿千石，予世券。
HCH_012_175_000167	明年冬，召掌三千營。
HCH_012_175_000168	七年二月拜平賊將軍，偕都御史彭澤討河南盜劉惠、趙鐩，以中官陸訚監其軍。
HCH_012_175_000169	未至，而參將馮禎戰死洛南，賊勢益熾。
HCH_012_175_000170	已，聞官軍將至，遂奔汝州。
HCH_012_175_000171	又聞官軍扼要害，乃走寶豐，復由舞陽、遂平轉掠汝州東南，敗奔固始，抵潁州，屯朱臯鎮。
HCH_012_175_000172	永順宣慰彭明輔等擊之，賊倉猝渡河，溺死者二千人。
HCH_012_175_000173	余眾走光山，鉞追及之。
HCH_012_175_000174	命諸將神周、姚信、時源、金輔左右夾擊，賊大敗，斬首千四百有奇。
HCH_012_175_000175	湖廣軍亦破其別部賈勉兒於羅田。
HCH_012_175_000176	賊沿途潰散。
HCH_012_175_000177	自六安陷舒城，復還光山，至商城。
HCH_012_175_000178	官軍追之急，賊復南攻六安。
HCH_012_175_000179	將陷，時源等涉河進，敗之七里岡。
HCH_012_175_000180	賊趨廬州，至定遠西又敗。
HCH_012_175_000181	還至六安，分其眾為二。
HCH_012_175_000182	劉惠與趙鐩二弟鐇、鎬帥萬餘人，北走商城。
HCH_012_175_000183	而鐩道遇其徒張通及楊虎遺黨數千人，勢復振，掠鳳陽，陷泗、宿、睢寧、定遠。
HCH_012_175_000184	於是澤與鉞計，使神周追鐩，時源、金輔追惠，姚信追勉兒。
HCH_012_175_000185	勉兒、鐩復合，周信連敗之宿州，追奔至應山，其眾略盡。
HCH_012_175_000186	鐩發懷度牒，潛至江夏。
HCH_012_175_000187	飯村店，軍士趙成執送京師，伏誅。
HCH_012_175_000188	源、輔追劉惠，連戰皆捷。
