HCH_012_300_000108	成祖起兵，以舍人守北平有功，授千戶，歷官府軍衛指揮僉事。
HCH_012_300_000109	永樂十二年從北征。
HCH_012_300_000110	仁宗即位，拜後府都督同知。
HCH_012_300_000111	宣德初，進左都督掌左府事。
HCH_012_300_000112	四年二月敕諭升曰：「卿舅氏至親，日理劇務，或以吏欺謾連，不問則廢法，問則傷恩，其罷府事，朝朔望，官祿如舊，稱朕優禮保全之意。」
HCH_012_300_000113	九年北征，命掌都督府事，留守京師。
HCH_012_300_000114	英宗立，太皇太后令勿預政。
HCH_012_300_000115	大學士楊士奇稱升賢，宜加委任，終不許。
HCH_012_300_000116	正統五年，兄昶已前卒，太后念外氏惟升一人，封惠安伯，予世襲。
HCH_012_300_000117	明年卒。
HCH_012_300_000118	子沄早亡，孫琮嗣。
HCH_012_300_000119	琮卒，弟瑛嗣。
HCH_012_300_000120	瑛卒，無子，庶兄瓚嗣。
HCH_012_300_000121	瓚卒，子偉嗣。
HCH_012_300_000122	弘治十二年充陜西總兵官，鎮守固原。
HCH_012_300_000123	明年五月，孝宗御平臺，出兵部推舉京營大將疏，歷詢大學士劉健等，僉稱偉才。
HCH_012_300_000124	命提督神機營，御書敕以賜。
HCH_012_300_000125	正德元年令參英國公張懋、保國公朱暉提督團營。
HCH_012_300_000126	三年加太子太保。
HCH_012_300_000127	六年三月充總兵官，偕都御史馬中錫督京兵討流賊劉六等。
HCH_012_300_000128	朝議以偉擁兵自衛，責其玩寇殃民，召還。
HCH_012_300_000129	御史吳堂復劾其罪，兵部請逮偉及中錫，下獄論死。
HCH_012_300_000130	遇赦獲釋，停祿閑住。
HCH_012_300_000131	十年請給祿，詔給其半。
HCH_012_300_000132	十五年復督神機營。
HCH_012_300_000133	嘉靖初，兼提督團營。
HCH_012_300_000134	二年敘奉迎防守功，加太子太傅。
HCH_012_300_000135	十四年卒，贈太傅，謚康靖。
HCH_012_300_000136	子鑭嗣。
HCH_012_300_000137	二十年，言官劾勛戚權豪家置店房、科私稅諸罪，鑭亦預，輸贖還爵。
HCH_012_300_000138	二十七年掌後府事。
HCH_012_300_000139	居三年卒。
HCH_012_300_000140	子元善嗣。
HCH_012_300_000141	隆慶四年僉書後府事。
HCH_012_300_000142	萬歷三十七年卒。
HCH_012_300_000143	子慶臻嗣。
HCH_012_300_000144	四十八年掌左府事。
HCH_012_300_000145	崇禎元年七月命提督京營。
HCH_012_300_000146	慶臻私請內閣，於敕內增入兼管捕營。
HCH_012_300_000147	捕營提督鄭其心訐慶臻侵職，帝怒，詰改敕故。
HCH_012_300_000148	大學士劉鴻訓至遣戍，慶臻以世臣停祿三年。
HCH_012_300_000149	後復起，掌都督府。
HCH_012_300_000150	十七年，賊陷都城，慶臻召親黨盡散貲財，闔家自燔死。
HCH_012_300_000151	南渡時，贈太師、惠安侯，謚忠武，合祀旌忠祠。
HCH_012_300_000152	初，世宗嘉靖八年革外戚世爵，惟彭城、惠安獲存，慶臻卒殉國難。
HCH_012_300_000153	胡榮，濟寧人。
HCH_012_300_000154	洪武中，長女入宮為女官，授錦衣衛百戶。
HCH_012_300_000155	永樂十五年將冊其第三女為皇太孫妃，擢光祿寺卿，子安為府軍前衛指揮僉事，專侍太孫，不蒞事。
HCH_012_300_000156	後太孫踐阼，妃為皇后，安亦屢進官。
HCH_012_300_000157	宣德三年，後廢，胡氏遂不振。
HCH_012_300_000158	孫忠，字主敬，鄒平人。
HCH_012_300_000159	初名愚，宣宗改曰忠。
HCH_012_300_000160	初，以永城主簿督夫營天壽山陵，有勞，遷鴻臚寺序班，選其女入皇太孫宮。
HCH_012_300_000161	宣宗即位，冊貴妃，授忠中軍都督僉事。
HCH_012_300_000162	三年，皇后胡氏廢，貴妃為皇后，封忠會昌伯。
HCH_012_300_000163	嘗謁告歸裏，御製詩賜之，命中官輔行。
HCH_012_300_000164	比還，帝后臨幸慰勞。
HCH_012_300_000165	妻董夫人數召入宮，賜賫弗絕。
HCH_012_300_000166	正統中，皇后為皇太后。
HCH_012_300_000167	忠生日，太后使使賜其家。
HCH_012_300_000168	時王振專權，祭酒李時勉荷校國學門，忠附奏曰：「臣荷恩厚，願赦李祭酒使為臣客。坐無祭酒，臣不歡。」
HCH_012_300_000169	太后立言之帝，時勉獲釋。
HCH_012_300_000170	忠家奴貸子錢於濱州民，規利數倍，有司望風奉行，民不堪，訴諸朝，言官交章劾之。
HCH_012_300_000171	命執家奴戍邊，忠不問。
HCH_012_300_000172	景泰三年卒，年八十五，贈會昌侯，謚康靖。
HCH_012_300_000173	英宗復辟，加贈太傅、安國公，改謚恭憲。
HCH_012_300_000174	成化十五年再贈太師、左柱國。
HCH_012_300_000175	子五人：繼宗、顯宗、紹宗、續宗、純宗。
HCH_012_300_000176	純宗官錦衣衛指揮僉事，早卒。
HCH_012_300_000177	繼宗，字光輔，章皇后兄也。
HCH_012_300_000178	宣德初，授府軍前衛指揮使，改錦衣衛。
HCH_012_300_000179	景泰初，進都指揮僉事，尋襲父爵。
HCH_012_300_000180	天順改元，以奪門功，進侯，加號奉天翊衛推誠宣力武臣，特進光祿大夫、柱國，身免二死，子免一死，世襲侯爵；諸弟官都指揮僉事者，俱改錦衣衛。
HCH_012_300_000181	復自言：「臣與弟顯宗率子、婿、家奴四十三人預奪門功，乞加恩命。」
HCH_012_300_000182	由是顯宗進都指揮同知，子璉授錦衣衛指揮使，婿指揮使武忠進都指揮僉事，蒼頭輩授官者十七人。
HCH_012_300_000183	五月，命督五軍營戎務兼掌後軍都督府事。
HCH_012_300_000184	左右又有為紹宗求官者，帝召李賢謂曰：「孫氏一門，長封侯，次皆顯秩，子孫二十餘人悉得官，足矣。今又請以為慰太后心，不知初官其子弟時，請於太后，數請始允，且不懌者累日，曰：「何功於國，濫授此秩，物盛必衰，一旦有罪，吾不能庇矣。』太后意固如此。」賢稽首頌太后盛德，因從容言祖宗以來，外戚不典軍政。帝曰：「初內侍言京營軍非皇舅無可屬，太后實悔至今。」賢曰：「侯幸淳謹，但後此不得為故事耳。」帝曰：「然。」已，錦衣逯杲奏英國公張懋、太平侯張瑾及繼宗、紹宗並侵官地，立私莊。命各首實，懋等具服，乃宥之，典莊者悉逮問，還其地於官。石亨之獲罪也，繼宗為顯宗、武忠及子孫、家人、軍伴辭職，帝止革家人、軍伴之授職者七人，余不問。五年，曹欽平，進太保。尋以疾奏解兵柄，辭太保，不允。憲宗嗣位，命繼宗提督十二團營兼督五軍營，知經筵事，監修《英宗實錄》。朝有大議，必繼宗為首。再核奪門功，惟繼宗侯如故。乞休，優詔不許。三年八月，《實錄》成，加太傅。十年，兵科給事中章鎰疏言：「繼宗久司兵柄，屍位固寵，亟宜罷退，以全終始。」於是繼宗上疏懇辭，帝優詔許解營務，仍蒞後府事，知經筵，預議大政。復辭，帝不許，免其奏事承旨。自景泰前，戚臣無典兵者，
HCH_012_300_000185	帝見石亨、張軏輩以營軍奪門，故使外戚親臣參之，非故事也。
HCH_012_300_000186	又五年卒，年八十五，贈郯國公，謚榮襄。
HCH_012_300_000187	再傳至曾孫杲，詳《世表》中。
HCH_012_300_000188	吳安，丹徒人。
HCH_012_300_000189	父彥名，有女入侍宣宗於東宮，生景帝。
HCH_012_300_000190	宣德三年冊為賢妃，彥名已卒，授安錦衣衛百戶。
HCH_012_300_000191	景帝嗣位，尊妃為皇太后，安進本衛指揮使。
HCH_012_300_000192	屢遷前府左都督，弟信亦屢擢都督僉事。
HCH_012_300_000193	景泰七年封安安平伯。
HCH_012_300_000194	信早亡，官其弟敬為南京前軍左都督。
HCH_012_300_000195	英宗復辟，太后復稱賢妃，降安為府軍前衛指揮僉事。
HCH_012_300_000196	敬及其群從南京錦衣衛指揮僉事智、府軍前衛指揮同知喜山、指揮僉事廣林、錦衣衛千戶誠，俱革職原籍閑住。
HCH_012_300_000197	尋命安為錦衣衛指揮使，子孫世襲。
HCH_012_300_000198	錢貴，海州人，英宗睿皇后父也。
HCH_012_300_000199	祖整，從成祖起兵，為燕山護衛副千戶。
HCH_012_300_000200	父通嗣職，官至金吾右衛指揮使。
HCH_012_300_000201	貴嗣祖職，數從成祖、宣宗北征，屢遷都指揮僉事。
HCH_012_300_000202	正統七年，後將正位中宮，擢貴中府都督同知。
