HCH_012_140_000176	會方賦鐵造軍器，民爭求售。
HCH_012_140_000177	性曰：「此天所以濟民也，吾何預焉。」
HCH_012_140_000178	悉以充賦。
HCH_012_140_000179	秩滿赴京，坐用棗木染軍衣，謫戍西安。
HCH_012_140_000180	性博學。
HCH_012_140_000181	時四方老師宿儒在西安者數十人，吳人鄒奕曰：「合吾輩所讀書，庶幾羅先生之半。」
HCH_012_140_000182	年七十卒。
HCH_012_140_000183	道同，河間人。
HCH_012_140_000184	其先蒙古族也。
HCH_012_140_000185	事母以孝聞。
HCH_012_140_000186	洪武初，薦授太常司贊禮郎，出為番禺知縣。
HCH_012_140_000187	番禺故號「煩劇」，而軍衛尤橫，數鞭辱縣中佐吏，前令率不能堪。
HCH_012_140_000188	同執法嚴，非理者一切抗弗從，民賴以少安。
HCH_012_140_000189	未幾，永嘉侯朱亮祖至，數以威福撼同，同不為動。
HCH_012_140_000190	土豪數十輩抑買市中珍貨，稍不快意，輒巧詆以罪。
HCH_012_140_000191	同械其魁通衢。
HCH_012_140_000192	諸豪家爭賄亮祖求免。
HCH_012_140_000193	亮祖置酒召同，從容言之。
HCH_012_140_000194	同厲聲曰：「公大臣，奈何受小人役使！」
HCH_012_140_000195	亮祖不能屈也。
HCH_012_140_000196	他日，亮祖破械脫之，借他事笞同。
HCH_012_140_000197	富民羅氏者，納女於亮祖，其兄弟因怙勢為奸。
HCH_012_140_000198	同復按治，亮祖又奪之去。
HCH_012_140_000199	同積不平，條其事奏之。
HCH_012_140_000200	未至，亮祖先劾同訕傲無禮狀。
HCH_012_140_000201	帝不知其由，遂使使誅同。
HCH_012_140_000202	會同奏亦至。
HCH_012_140_000203	帝悟，以為同職甚卑，而敢斥言大臣不法事，其人骨鯁可用。
HCH_012_140_000204	復使使宥之。
HCH_012_140_000205	兩使者同日抵番禺，後使者甫到，則同已死矣。
HCH_012_140_000206	縣民悼惜之，或刻木為主祀於家，卜之輒驗，遂傳同為神雲。
HCH_012_140_000207	當同未死時，布政使徐本雅重同。
HCH_012_140_000208	同方笞一醫未竟，而本急欲得醫，遣卒語同釋之。
HCH_012_140_000209	同岸然曰：「徐公乃亦效永嘉侯耶？」
HCH_012_140_000210	笞竟，始遣。
HCH_012_140_000211	自是上官益嚴憚，然同竟用此取禍。
HCH_012_140_000212	先是有歐陽銘者，亦嘗以事抗將軍常遇春。
HCH_012_140_000213	銘，字日新，泰和人。
HCH_012_140_000214	以薦除江都縣丞。
HCH_012_140_000215	兵燹後，民死徙者十七八。
HCH_012_140_000216	銘招徠拊循，漸次復業。
HCH_012_140_000217	有繼母告子不孝者，呼至案前，委曲開譬，母子泣謝去，卒以慈孝稱。
HCH_012_140_000218	嘗治廨後隙地，得白金百兩，會部符征漆，即市之以輸。
HCH_012_140_000219	遷知臨淄。
HCH_012_140_000220	遇春師過其境，卒入民家取酒，相毆擊，一市盡嘩。
HCH_012_140_000221	銘笞而遣之。
HCH_012_140_000222	卒訴令罵將軍，遇春詰之。
HCH_012_140_000223	曰：「卒，王師，民亦王民也。民毆且死，卒不當笞耶？銘雖愚，何至詈將軍？將軍大賢，奈何私一卒，撓國法？」
HCH_012_140_000224	遇春意解，為責軍士以謝。
HCH_012_140_000225	後大將軍徐達至，軍士相戒曰：「是健吏，曾抗常將軍者，毋犯也。」
