HCH_009_017_000108	召陝西行省及陝州總帥完顏訛可、靈寶總帥紇石烈牙吾塔赴汴議兵事。
HCH_009_017_000109	詔諭陝西兩省，凡戎事三品以下官聽以功過賞罰之，銀二十五萬兩從其給賞。
HCH_009_017_000110	遣中奉大夫完顏履信等為弔祭夏國使。
HCH_009_017_000111	四年春正月辛亥朔。
HCH_009_017_000112	壬戌，增築中京城，浚汴城外濠。
HCH_009_017_000113	二月，蒲阿、牙吾塔複平陽，執知府李七斤，獲馬八千。
HCH_009_017_000114	三月，簽勞效官充軍，有怨言，不果用。
HCH_009_017_000115	以銀贖平陽虜獲男女，分賜官軍者聽自便。
HCH_009_017_000116	大元兵平德順府，節度使愛申、攝府判馬肩龍死之。
HCH_009_017_000117	大元兵複下平陽。
HCH_009_017_000118	己巳，征夏稅二倍。
HCH_009_017_000119	夏五月丁丑，議乞和於大元。
HCH_009_017_000120	大元兵平臨洮府，總管陀滿胡土門死之。
HCH_009_017_000121	陝西行省進三策：上策自將出戰，中策幸陝州，下策棄秦保潼關。
HCH_009_017_000122	不從。
HCH_009_017_000123	六月戊申朔，遣前御史大夫完顏合周為議和使。
HCH_009_017_000124	丙辰，地震。
HCH_009_017_000125	太白入井。
HCH_009_017_000126	賜詞賦經義盧亞以下進士第。
HCH_009_017_000127	秋七月，大元兵自鳳翔徇京兆，關中大震。
HCH_009_017_000128	工部尚書師安石為尚書右丞。
HCH_009_017_000129	壬辰，以中丞烏古孫卜吉、祭酒裴滿阿虎帶兼司農卿，簽民軍，勸率富民入保城聚，兼督秋稅，令百姓知避遷之計。
HCH_009_017_000130	丁酉，赦陝西東、西兩路，賜民今年租。
HCH_009_017_000131	八月庚戌，詔有司罷遣防備丁壯、修城民夫，軍須差發應不急者權停。
HCH_009_017_000132	己巳，萬年節，同知集賢院史公奕進《大定遺訓》，待制呂造進《尚書要略》。
HCH_009_017_000133	是日，大風落左掖門鴟尾，壞丹鳳扉。
HCH_009_017_000134	隕霜，禾盡損。
HCH_009_017_000135	李全自都複入楚州據之，遣總帥完顏訛可、元帥慶山奴守盱眙，與全戰於龜山，敗績。
HCH_009_017_000136	冬十月辛酉，右拾遺李大節、右司諫陳規劾同判睦親府事撒合輦奸贓，不報。
HCH_009_017_000137	壬戌，外台監察禦史諫獵，上怒，以邀名賣直責之。
HCH_009_017_000138	詔贈德順府死事愛申、馬肩龍等官。
HCH_009_017_000139	以淮南王爵招李全。
HCH_009_017_000140	十一月乙未，未時，日上有二白虹貫之。
HCH_009_017_000141	丁酉，獵於近郊。
HCH_009_017_000142	十二月，真授李蹊參知政事。
HCH_009_017_000143	大元兵下商州。
HCH_009_017_000144	壬子，遣使安撫陝西，以牛千頭賜貧民。
HCH_009_017_000145	五年春正月丁丑，親祭三廟。
HCH_009_017_000146	庚辰，遣知開封府事完顏麻斤出如大元吊慰。
HCH_009_017_000147	丙戌，議擊盱眙。
HCH_009_017_000148	辛卯，以龜山之敗，降元帥慶山奴為定國軍節度使。
HCH_009_017_000149	二月乙巳朔，大寒，雷，雨雪，木之華者盡死。
HCH_009_017_000150	癸丑，詔有司以臨洮總管陀滿胡土門塑像入褒忠廟。
HCH_009_017_000151	書死節子孫于禦屏，量材官使之。
HCH_009_017_000152	三月甲戌朔，群臣請依祖宗故事，樞密院聽尚書省節制，不從。
HCH_009_017_000153	乙酉，監察禦史烏古論不魯剌劾近侍張文壽、張仁壽、李麟之受饋遺，曲赦其罪而出之。
HCH_009_017_000154	夏四月甲辰朔，以禦史言三奸不已，凡四日不視朝。
HCH_009_017_000155	八日，議放還西夏人口。
HCH_009_017_000156	丙寅，右丞師安石薨。
HCH_009_017_000157	親衛軍王咬兒酗酒殺其孫，大理寺當以徒刑，特命斬之。
