HCH_012_072_000084	置四輔官，告太廟，以王本、杜佑、襲斅為春官，杜斅、趙民望、吳源為夏官，兼太子賓客。
HCH_012_072_000085	秋、冬官缺，以本等攝之。
HCH_012_072_000086	一月內分司上中下三旬。
HCH_012_072_000087	位列公、侯、都督之次。
HCH_012_072_000088	尋亦罷。
HCH_012_072_000089	十五年，仿宋制，置華蓋殿、武英殿、文淵閣、東閣諸大學士，禮部尚書邵質為華蓋，檢討吳伯宗為武英，翰林學士宋訥為文淵，典籍吳沉為東閣。
HCH_012_072_000090	又置文華殿大學士，徵耆儒鮑恂、餘詮、張長年等為之，以輔導太子。
HCH_012_072_000091	秩皆正五品。
HCH_012_072_000092	二十八年敕諭羣臣：「國家罷丞相，設府、部、院、寺以分理庶務，立法至為詳善。以後嗣君，其毋得議置丞相。臣下有奏請設立者，論以極刑。」
HCH_012_072_000093	當是時，以翰林、春坊詳看諸司奏啟，兼司平駁。
HCH_012_072_000094	大學士特侍左右，備顧問而已。
HCH_012_072_000095	建文中，改大學士為學士。
HCH_012_072_000096	悉罷諸大學士，各設學士一人。
HCH_012_072_000097	又改謹身殿為正心殿，設正心殿學士。
HCH_012_072_000098	成祖即位，特簡解縉、胡廣、楊榮等直文淵閣，參預機務。
HCH_012_072_000099	閣臣之預務自此始。
HCH_012_072_000100	然其時，入內閣者皆編、檢、講讀之官，不置官屬，不得專制諸司。
HCH_012_072_000101	諸司奏事，亦不得相關白。
HCH_012_072_000102	仁宗以楊士奇、楊榮東宮舊臣，升士奇為禮部侍郎兼華蓋殿大學士，榮為太常卿兼謹身殿大學士，謹身殿大學士，仁宗始置，閣職漸崇。
HCH_012_072_000103	其後士奇、榮等皆遷尚書職，雖居內閣，官必以尚書為尊。
HCH_012_072_000104	景泰中，王文始以左都御史進吏部尚書，入內閣。
HCH_012_072_000105	自後，誥敕房、制敕房俱設中書舍人，六部承奉意旨，靡所不領，而閣權益重。
HCH_012_072_000106	世宗時，三殿成，改華蓋為中極，謹身為建極，閣銜因之。
HCH_012_072_000107	嘉靖以後，朝位班次，俱列六部之上。
HCH_012_072_000108	吏部。
HCH_012_072_000109	尚書一人，正二品；左、右侍郎各一人，正三品；其屬司務廳，司務二人，從九品；文選、驗封、稽勳、考功四清吏司，各郎中一人，正五品；員外郎一人，從五品；主事一人，正六品。
HCH_012_072_000110	洪武三十一年增設文選司主事一人。
HCH_012_072_000111	正統十一年增設考功司主事一人。
HCH_012_072_000112	尚書，掌天下官吏選授、封勳、考課之政令，以甄別人才，贊天子治。
HCH_012_072_000113	蓋古塚宰之職，視五部為特重。
HCH_012_072_000114	侍郎為之貳。
HCH_012_072_000115	司務，掌催督、稽緩、勾銷、簿書。
HCH_012_072_000116	明初，設主事、司務各四人，為首領官，有主事印。
HCH_012_072_000117	洪武二十九年改主事為司官，裁司務二人。
HCH_012_072_000118	各部並同。
HCH_012_072_000119	文選，掌官吏班秩遷升、改調之事，以贊尚書。
HCH_012_072_000120	凡文官之品九，品有正從，為級一十八。
HCH_012_072_000121	不及九品曰未入流。
HCH_012_072_000122	凡選，每歲有大選，有急選，有遠方選，有歲貢就教選，間有揀選，有舉人乞恩選。
HCH_012_072_000123	選人或登資簿，釐其流品，平其銓注，而序遷之。
HCH_012_072_000124	凡升必考滿，若員缺當補，不待考滿，曰推升。
HCH_012_072_000125	類推上一人，單推上二人。
HCH_012_072_000126	三品以上，九卿及僉都御史、祭酒，廷推上二人或三人。
HCH_012_072_000127	內閣，吏、兵二部尚書，廷推上二人。
HCH_012_072_000128	凡王官不外調，王姻不內除，大臣之族不得任科道，僚屬同族則以下避上。
HCH_012_072_000129	外官才地不相宜，則酌其繁簡互換之。
HCH_012_072_000130	有傳升、乞升者，並得執奏。
HCH_012_072_000131	以署職、試職、實授奠年資，以開設、裁併、兼攝適繁簡，以薦舉、起廢、徵召振幽滯，以帶俸、添注寄恩冗，以降調、除名馭罪過，以官程督吏治，以寧假悉人情。
HCH_012_072_000132	驗封，掌封爵、襲廕、褒贈、吏算之事，以贊尚書。
HCH_012_072_000133	凡爵非社稷軍功不得封，封號非特旨不得與。
HCH_012_072_000134	或世或不世，皆給誥券。
HCH_012_072_000135	衍聖公及戚裏恩澤封，不給券。
HCH_012_072_000136	凡券，左右各一，左藏內府，右給功臣之家。
HCH_012_072_000137	襲封則徵其誥券，稽其功過，核其宗支，以第其世流降除之等。
HCH_012_072_000138	土官則勘其應襲與否，移文選司注擬。
