HCH_013_064_000160	初，綦江諸苗自分屠城慘戮，罪不赦，又應龍憚綎威名，冀首挫其鋒，屬朝棟悉勁兵間道相角，曰：「爾破綦江，馳南川盡焚積聚，餘無能為也。」
HCH_013_064_000161	及朝棟僅以身免，賊膽落，益為守禦計。
HCH_013_064_000162	諸軍分道並捷，南川則酉陽、石砫二司先登，初八日遂克桑木關。
HCH_013_064_000163	烏江則壩陽、永順兵先登，十一日遂克烏江關。
HCH_013_064_000164	翼日，克河渡關。
HCH_013_064_000165	陳璘及副將陳寅擊四牌賊，各披靡，遂奪天都、三百落諸囤。
HCH_013_064_000166	賊連敗，乃乘隙出奇兵，突犯烏江，詐稱水西、隴澄會哨，誘永順兵，斷橋淹死我師無算。
HCH_013_064_000167	參將楊顯、守備陳雲龍、阮士奇、白明逵，指揮楊續芝等死之。
HCH_013_064_000168	事間，逮總兵童元鎮下於理。
HCH_013_064_000169	時有飛語水西佐賊者，總督檄詰，水西不自安。
HCH_013_064_000170	會賊殺其頭目，澄大［恨］。
HCH_013_064_000171	二十六日，賊託田氏修好賄澄。
HCH_013_064_000172	澄戮其使，擊斬偽將楊惟棟等。
HCH_013_064_000173	安疆臣亦執賊二十餘人，以示不背。
HCH_013_064_000174	二十九日，劉綎戰九盤，入婁山關。
HCH_013_064_000175	關為賊前門，萬峯插天，中通一線。
HCH_013_064_000176	官軍從間道攀藤，魚貫毀柵入。
HCH_013_064_000177	四月朔，屯白石。
HCH_013_064_000178	應龍身率各苗決死戰，陰令楊珠等抄後山奪關，四面合圍，都司王芬中流矢死。
HCH_013_064_000179	劉綎親勒騎衝堅，以遊擊周敦吉、守備周以德分兩翼夾擊，敗之。
HCH_013_064_000180	追奔至養馬城，與南川、永寧路合。
HCH_013_064_000181	連破龍爪、海雲險囤，壓海龍囤而壘。
HCH_013_064_000182	海龍囤，賊所倚天險，飛鳥騰猿，不能踰者。
HCH_013_064_000183	時偏沅巡撫都御史江鐸，已抵任視師，陳將軍璘帥師急攻，以十三日破青蛇囤。
HCH_013_064_000184	安疆臣亦以十六日奪落蒙關，至大水田，焚桃溪莊。
HCH_013_064_000185	賊見勢急，父子相抱哭，上囤死守，每路投降文，緩我師。
HCH_013_064_000186	總督檄賊詭降，即斬使焚書，毋為所紿。
HCH_013_064_000187	虞綎與應龍舊，檄無通賊，綎械其人自明。
HCH_013_064_000188	而吳廣以朔三日入崖門關，營水牛塘，與賊力戰三日，卻之。
HCH_013_064_000189	賊詭令婦人於囤上拜表痛哭云：「田氏且降。」
HCH_013_064_000190	復詐為應龍仰藥死報廣。
HCH_013_064_000191	廣輕信，按兵不動。
HCH_013_064_000192	已，覘知田氏詐降緩攻，而所云應龍死，乃川兵攻囤，以火礮擊死所謂楊珠也。
HCH_013_064_000193	珠驍勇善戰，既死，賊痛如失左右手。
HCH_013_064_000194	廣覺詐，益厲兵協攻，燒二關，奪三山，絕賊樵汲。
HCH_013_064_000195	八路兵大集海龍囤下。
HCH_013_064_000196	五月十八日，始築長圍，更番迭攻。
HCH_013_064_000197	自是賊坐困窮厓，知兵在頸矣。
HCH_013_064_000198	會總督李化龍聞父喪，詔以縗墨視師。
HCH_013_064_000199	化龍跣而草檄，益治軍。
HCH_013_064_000200	念賊囤前陡絕，勢難飛越，令馬孔英率勁兵壁其間，餘併力攻後囤。
HCH_013_064_000201	時天苦雨，將士馳淖中苦戰。
HCH_013_064_000202	六月四日，天忽開朗。
HCH_013_064_000203	五日，劉綎身先士卒，進克土城，應龍益迫，夜散數千金募死士拒戰，諸苗皆駭散無應者。
HCH_013_064_000204	起提刀自巡壘，就四面火光燭天，徬徨長歎，泣語妻子曰：「吾不能復顧若矣。」
HCH_013_064_000205	詰朝，我師遂登囤，破大城入。
HCH_013_064_000206	應龍倉皇同愛妾二，闔室縊，且自焚。
HCH_013_064_000207	吳廣獲其子朝棟及妾田雌鳳，急覓屍出燄中。
HCH_013_064_000208	廣中火毒失聲，幾絕，頃而甦。
HCH_013_064_000209	計出師至滅賊，百十有四日。
HCH_013_064_000210	八路共斬級二萬餘，生獲朝棟、兆龍等百餘人，播賊平。
HCH_013_064_000211	總督露布以聞，劉將軍綎為軍功冠。
HCH_013_064_000212	十二月，獻俘闕下，剉楊應龍尸，磔楊朝棟、兆龍等於市。
HCH_013_064_000213	分播地為二：屬蜀者曰遵義，屬黔者曰平越。
