HCH_011_028_000163	亶歷爲六郡三州，不修產業，祿賜所得，隨散親故。
HCH_011_028_000164	性儉率，居處服用，充足而已，不事華侈。
HCH_011_028_000165	晚年頗好音樂，有妓妾十數人，並無被服姿容。
HCH_011_028_000166	每有客，常隔簾奏之，時謂簾爲夏侯妓衣也。
HCH_011_028_000167	亶二子：誼，損。
HCH_011_028_000168	誼襲封豊城公，歷官太子舍人，洗馬。
HCH_011_028_000169	太清中，侯景入寇，誼與弟損帥部曲入城，並卒圍內。
HCH_011_028_000170	夔字季龍，亶弟也。
HCH_011_028_000171	起家齊南康王府行參軍。
HCH_011_028_000172	中興初，遷司徒屬。
HCH_011_028_000173	天監元年，爲太子洗馬，中舍人，中書郎。
HCH_011_028_000174	丁父憂，服闋，除大匠卿，知造太極殿事。
HCH_011_028_000175	普通元年，爲邵陵王信威長史，行府國事。
HCH_011_028_000176	其年，出爲假節、征遠將軍，隨機北討，還除給事黃門侍郎。
HCH_011_028_000177	二年，副裴邃討義州，平之。
HCH_011_028_000178	三年，代兄亶爲吳興太守，尋遷假節、征遠將軍、西陽、武昌二郡太守。
HCH_011_028_000179	七年，徵爲衛尉，未拜，改授持節、督司州諸軍事、信武將軍、司州刺史，領安陸太守。
HCH_011_028_000180	八年，敕夔帥壯武將軍裴之禮、直閤將軍任思祖出義陽道，攻平靜、穆陵、陰山三關，克之。
HCH_011_028_000181	是時譙州刺史湛僧智圍魏東豫州刺史元慶和於廣陵，入其郛。
HCH_011_028_000182	魏將元顯伯率軍赴援，僧智逆擊破之，夔自武陽會僧智，斷魏軍歸路。
HCH_011_028_000183	慶和於內築柵以自固，及夔至，遂請降。
HCH_011_028_000184	夔讓僧智，僧智曰：「慶和志欲降公，不願降僧智，今往必乖其意；且僧智所將爲烏合募人，不可御之以法。公持軍素嚴，必無犯令，受降納附，深得其宜。」
HCH_011_028_000185	於是夔乃登城拔魏幟，建官軍旗鼓，衆莫敢妄動，慶和束兵以出，軍無私焉。
HCH_011_028_000186	凡降男女口四萬餘人，粟六十萬斛，餘物稱是。
HCH_011_028_000187	顯伯聞之夜遁，衆軍追之，生擒二萬餘人，斬獲不可勝數。
HCH_011_028_000188	詔以僧智領東豫州，鎮廣陵。
HCH_011_028_000189	夔引軍屯安陽。
HCH_011_028_000190	夔又遣偏將屠楚城，盡俘其衆，由是義陽北道遂與魏絕。
HCH_011_028_000191	大通二年，魏郢州刺史元願達請降，高祖敕郢州刺史元樹往迎願達，夔亦自楚城會之，遂留鎮焉。
HCH_011_028_000192	詔改魏郢州爲北司州，以夔爲刺史，兼督司州。
HCH_011_028_000193	三年，遷使持節，進號仁威將軍，封保城縣侯，邑一千五百戶。
HCH_011_028_000194	中大通二年，徵爲右衛將軍，丁所生母憂去職。
HCH_011_028_000195	時魏南兗州刺史劉明以譙城入附，詔遣鎮北將軍元樹帥軍應接，起夔爲雲麾將軍，隨機北討。
HCH_011_028_000196	尋授使持節、督南豫州諸軍事、南豫州刺史。
HCH_011_028_000197	六年，轉使持節、督豫淮陳潁建霍義七州諸軍事、豫州刺史。
HCH_011_028_000198	豫州積歲寇戎，人頗失業，夔乃帥軍人于蒼陵立堰，溉田千餘頃。
HCH_011_028_000199	歲收穀百餘萬石，以充儲備，兼贍貧人，境內賴之。
HCH_011_028_000200	夔兄亶先經此任，至是夔又居焉。
HCH_011_028_000201	兄弟並有恩惠於鄉里，百姓歌之曰：「我之有州，頻仍夏侯；前兄後弟，布政優優。」
HCH_011_028_000202	在州七年，甚有聲績，遠近多附之。
HCH_011_028_000203	有部曲萬人，馬二千匹，並服習精強，爲當時之盛。
HCH_011_028_000204	性奢豪，後房伎妾曳羅縠飾金翠者亦有百數。
HCH_011_028_000205	愛好人士，不以貴勢自高，文武賓客常滿坐，時亦以此稱之。
HCH_011_028_000206	大同四年，卒于州，時年五十六。
HCH_011_028_000207	有詔舉哀，賻錢二十萬，布二百匹。
HCH_011_028_000208	追贈侍中、安北將軍。
HCH_011_028_000209	諡曰桓。
HCH_011_028_000210	子撰嗣，官至太僕卿。
HCH_011_028_000211	撰弟譒，少粗險薄行，常停鄉里，領其父部曲，爲州助防，刺史蕭淵明引爲府長史。
HCH_011_028_000212	淵明彭城戰沒，復爲侯景長史。
HCH_011_028_000213	景尋舉兵反，譒前驅濟江，頓兵城西士林館，破掠邸第及居人富室，子女財貨，盡略有之。
HCH_011_028_000214	淵明在州有四妾，章、於、王、阮，並有國色。
HCH_011_028_000215	淵明沒魏，其妾並還京第，譒至，破第納焉。
HCH_011_028_000216	魚弘，襄陽人。
HCH_011_028_000217	身長八尺，白皙美姿容。
HCH_011_028_000218	累從征討，常爲軍鋒，歷南譙、盱眙、竟陵太守。
HCH_011_028_000219	常語人曰：「我爲郡，所謂四盡：水中魚鱉盡，山中麞鹿盡，田中米穀盡，村里民庶盡。丈夫生世，如輕塵栖弱草，白駒之過隙。人生歡樂富貴幾何時！」
