HCH_012_029_000213	五年二月壬子，南京廣、惠二倉火。
HCH_012_029_000214	萬曆元年十一月己亥，慈寧宮後舍火。
HCH_012_029_000215	三年四月甲戌，工部後廠火。
HCH_012_029_000216	五年十月丙申，禁中火。
HCH_012_029_000217	十一月癸未，宗人府災。
HCH_012_029_000218	十一年十二月庚午夜，慈寧宮災。
HCH_012_029_000219	十二年二月己酉，無逸殿災。
HCH_012_029_000220	十二月癸卯朔，又災。
HCH_012_029_000221	十五年五月甲子，司設監火。
HCH_012_029_000222	十八年三月辛酉，遼東寨山兒堡火，毀城堡器械，傷九十餘人。
HCH_012_029_000223	十九年十二月甲辰，萬法寶殿災。
HCH_012_029_000224	二十一年六月望，太倉公署後樓有砲聲，火藥器械俱燼。
HCH_012_029_000225	二十二年五月壬寅，天火燔鐵嶺衛千餘家。
HCH_012_029_000226	二十四年二月甲寅，潞府門火。
HCH_012_029_000227	三月乙亥，火發坤寧宮，延及乾清宮，俱燼。
HCH_012_029_000228	二十五年二月壬午，杭州火，燒官民房千三百餘間。
HCH_012_029_000229	丙戌，馬湖屏山災，延燔八百餘家，斃二十四人。
HCH_012_029_000230	三月癸卯，泗州大火。
HCH_012_029_000231	燒民房四千餘。
HCH_012_029_000232	盱眙火，燔民房百六十餘間。
HCH_012_029_000233	撥漕糧二萬石以振。
HCH_012_029_000234	六月戊寅，三殿災。
HCH_012_029_000235	火起歸極門，延皇極等殿，文昭、武成二閣，周遭廊房，一時俱燼。
HCH_012_029_000236	十二月甲寅，吏部文選司署火。
HCH_012_029_000237	二十七年十一月壬申，內府火，延燒尚寶司印綬監、工部廊，至銀作局山牆而止。
HCH_012_029_000238	二十八年三月，南陽火，延燒唐府。
HCH_012_029_000239	二十九年正月己巳，鐵嶺衛火，車輛火藥俱燼。
HCH_012_029_000240	八月己卯，大光明東配殿災。
HCH_012_029_000241	三十年二月乙酉，魏國公賜第火。
HCH_012_029_000242	十月丙申，孝陵災。
HCH_012_029_000243	十二月庚子，南海普陀山寺災。
HCH_012_029_000244	三十一年九月戊寅，通州漕艘火。
HCH_012_029_000245	三十三年二月乙丑，御馬監火。
HCH_012_029_000246	五月辛巳，洗白廠火。
HCH_012_029_000247	九月甲午，昭和殿火。
HCH_012_029_000248	丙申，官軍於盔甲廠支火藥，藥年久凝如石，用斧劈之，火突發，聲若震霆，刀槍火箭迸射百步外，軍民死者無數。
HCH_012_029_000249	十一月丁卯，刑部提牢廳火。
HCH_012_029_000250	三十五年二月乙卯，易州神器庫火。
HCH_012_029_000251	四月丁酉，通州西倉火。
HCH_012_029_000252	十月己卯，南京行人司署毀。
HCH_012_029_000253	三十七年正月庚子，慶府火，燔寢宮及帑藏。
HCH_012_029_000254	三月丙戌，武昌火，越二日又火，共燔二百六十餘家。
HCH_012_029_000255	六月，慶府災。
HCH_012_029_000256	十月戊午，朝日壇火。
HCH_012_029_000257	三十八年四月丁丑夜，正陽門箭樓火。
HCH_012_029_000258	三十九年四月戊子，怡神殿災。
HCH_012_029_000259	四十一年五月壬戌，蜀府災，門殿爲燼。
HCH_012_029_000260	四十三年四月壬午，黃花鎮柳溝火，延燒數十里。
HCH_012_029_000261	甲午，蜀府殿庭災。
HCH_012_029_000262	遼東長寧堡自二月至五月，火凡五發，毀房屋人畜無算。
HCH_012_029_000263	閏八月辛亥，通州糧艘火。
HCH_012_029_000264	九月丁丑，湖口稅廨毀。
HCH_012_029_000265	四十四年十一月己巳，隆德殿災。
HCH_012_029_000266	丁亥，南城延喜宮災。
HCH_012_029_000267	四十五年正月壬午，東朝房火，延毀公生門。
HCH_012_029_000268	十一月丙戌，宣禧宮災。
HCH_012_029_000269	四十六年閏四月丁丑夜，開原殷家莊堡臺杆八同時燼。
HCH_012_029_000270	甲申，暖閣廠膳房火。
HCH_012_029_000271	九月壬子，茂陵火。
HCH_012_029_000272	四十七年四月癸酉，盔甲廠火。
HCH_012_029_000273	泰昌元年十月丁卯，噦鸞宮災。
HCH_012_029_000274	天啓元年閏二月丙戌，昭和殿災。
HCH_012_029_000275	三月甲辰，杭州火，延燒六千餘家。
HCH_012_029_000276	八月戊子，復災，城內外延毀萬餘家。
HCH_012_029_000277	二年五月丙申，旗纛廟正殿災，火藥盡焚，匠役多死者。
HCH_012_029_000278	三年七月辛卯，南京大內左傍宮災。
HCH_012_029_000279	六年五月戊申，王恭廠災，地中霹靂聲不絕，火藥自焚，煙塵障空，白晝晦冥，凡四五里。
HCH_012_029_000280	五月癸亥，朝天宮災。
HCH_012_029_000281	七月庚寅，登州城樓火。
HCH_012_029_000282	七年十月庚子，寧遠前屯火，傷男婦二百餘人。
HCH_012_029_000283	崇禎元年四月乙卯，左軍都督府災。
HCH_012_029_000284	五月乙亥，鷹坊司火。
HCH_012_029_000285	丁亥，丁字庫火。
HCH_012_029_000286	七月己卯，公安縣火，毀文廟，延五千餘家。
HCH_012_029_000287	二年十一月庚子，火藥局災。
HCH_012_029_000288	三年三月戊戌，又災。
HCH_012_029_000289	八月癸酉，頭道關災，火器轟擊無餘。
HCH_012_029_000290	六年正月癸丑，濟南舜廟災。
HCH_012_029_000291	七年九月庚申，盔甲廠災。
HCH_012_029_000292	十一年四月戊戌，新火藥局災。
HCH_012_029_000293	傷人甚衆。
HCH_012_029_000294	六月癸巳，安民廠災，震毀城垣廨舍，居民死傷無算。
HCH_012_029_000295	八月丁酉，火藥局又災。
HCH_012_029_000296	成化二十一年正月甲申朔，有火光自中天而少西，墜於下，化爲白氣，復曲折上騰，聲如雷。
HCH_012_029_000297	弘治三年三月庚午，儀隴空中有紅白火焰，長三丈餘，自縣治東北流，至正東六十餘里而墜，聲震如雷。
HCH_012_029_000298	八年三月辛卯，廣寧右衛臺杆火，高五寸，杆如故。
HCH_012_029_000299	十年四月辛丑，阜平有火光，長八九尺，大如轆軸，有聲，自東南至西南而墜。
HCH_012_029_000300	正德元年三月戊申夜，太原有火如斗大，墜寧化王殿前。
HCH_012_029_000301	廣寧墩臺火發旗杆，凡六。
HCH_012_029_000302	七月壬戌夜，火光墜即墨民家，化爲綠石，圓高尺餘。
HCH_012_029_000303	七年三月丁卯夜，大風雷電，餘干仙居寨有光如箭，墜旗竿上，俄如燭龍，光照四野。
HCH_012_029_000304	士卒撼其旗，飛上竿首，既而其火四散，槍首皆有光如星。
HCH_012_029_000305	十二年五月己亥夜，火隕都察院獄，旋轉久之始滅。
HCH_012_029_000306	十五年六月癸未夜，台州火隕三，大如盤，觸草木皆焦。
HCH_012_029_000307	嘉靖五年七月甲申，有火球三，大五六尺，從北墜於東，其光燭天。
HCH_012_029_000308	二十年七月丙戌，火球如鬥，隕左軍都督府中門東，良久乃滅。
HCH_012_029_000309	隆慶二年三月戊午，延綏保寧堡城角旗杆出火，灼灼有聲。
HCH_012_029_000310	萬曆十四年，保定府民間牆壁內出火，三日夜乃熄。
HCH_012_029_000311	十五年二月，綏靖邊城各堡，脊獸旗杆俱出火。
HCH_012_029_000312	軍士以杖撲之，杖亦生火，三更乃熄。
HCH_012_029_000313	二十年三月，陝西空中有火，大如盆，後生三尾，隕於西北。
HCH_012_029_000314	二十一年二月庚辰夜分，大毛山樓上各獸吻俱有火，如雞卵，赤色，即時雨雪，火上嗟嗟有聲。
HCH_012_029_000315	二十三年九月癸巳夜，永寧有火光，形如屋大，隕於西北。
HCH_012_029_000316	永昌、鎮番、寧遠所見同。
HCH_012_029_000317	二十四年二月戊申夜，鄠縣雷雨，遍地火光，十有餘里。
HCH_012_029_000318	二十五年二月癸亥，平涼瓦獸口出火，水灌不滅。
HCH_012_029_000319	八月甲申，肅、涼二州火光在天，形如車輪，尾分三股，約長三丈。
HCH_012_029_000320	天啓六年五月壬寅朔，厚載門火神廟紅球滾出，前門城樓角有數千螢火，併合如車輪。
