HCH_013_029_000136	賜振敕曰：「朕惟旌德報功，帝王大典。忠臣報國，臣子至情。爾振性資忠孝，度量弘深。昔皇曾祖時，特用內臣選拔，事我皇祖。教以詩書，玉成令器。眷愛既隆，勤誠彌篤。肆我皇考，以爾先帝所重，簡朕左右。朕自在春宮，至登大位，幾二十年。爾夙夜在側，寢食弗違，保護贊輔，克盡乃心，正言忠告，裨益實至。特茲敕賞，擢爾後官。《詩》云：「無德不報。』《書》曰：「謹終如始。』朕朝夕念勞，爾其體至意焉。」
HCH_013_029_000137	三月，降巡撫山西、河南兵部侍郎于謙為大理寺左少卿，仍巡撫。
HCH_013_029_000138	謙撫梁、晉十餘年，懼盈滿，舉參政孫原貞、王來自代。
HCH_013_029_000139	時王振方用事，謙每入京，未嘗持一物交當路。
HCH_013_029_000140	又御史有姓名類謙者常忤振，振意以為謙，嗾言官劾之，罷為大理少卿。
HCH_013_029_000141	二省民倍道赴闕乞留，親藩亦以不可無謙請，乃復命巡撫。
HCH_013_029_000142	十三年春二月，修大興隆寺。
HCH_013_029_000143	寺初名慶壽，在禁城西，金章宗建。
HCH_013_029_000144	太監王振言其敝，命役軍民修之，費巨萬，壯麗甲于京都。
HCH_013_029_000145	上臨幸焉。
HCH_013_029_000146	十四年秋七月，瓦剌也先大舉入寇，王振挾帝親征。
HCH_013_029_000147	八月，師潰于土木，帝北狩。
HCH_013_029_000148	護衛將軍樊忠者，從帝旁以所持棰捶死振，曰：「吾為天下誅此賊！」
HCH_013_029_000149	遂突圍殺數十人，死之。
HCH_013_029_000150	報至，廷臣請族誅振。
HCH_013_029_000151	振所親馬順及王、毛二侍一時被擊死。
HCH_013_029_000152	都御史陳鎰奉郕王令旨籍其家，并振從子山臠于市，族屬無少長皆斬。
HCH_013_029_000153	振家當京城內外，凡數處，重堂邃閣，擬于宸居，器服綺麗，尚方不逮，玉盤百面，珊瑚高六七尺者二十餘株，金銀六十餘庫，幣帛珠寶無算。
HCH_013_029_000154	天順元年五月，英宗復辟。
HCH_013_029_000155	思振，諱為忠所殺。
HCH_013_029_000156	詔復振官，刻木為振形，招魂葬之。
HCH_013_029_000157	祀智化寺，賜額曰「旌忠」。
