HCH_012_007_000112	十六年春正月甲寅，交阯黎利反，都督朱廣擊敗之。
HCH_012_007_000113	甲戌，倭陷松門衞，按察司僉事石魯坐誅。
HCH_012_007_000114	興安伯徐亨、都督夏貴備開平。
HCH_012_007_000115	二月辛丑，交阯四忙縣賊殺知縣歐陽智以叛，李彬遣將擊走之。
HCH_012_007_000116	三月甲寅，賜李騏等進士及第、出身有差。
HCH_012_007_000117	都督僉事劉鑑備邊大同。
HCH_012_007_000118	夏五月庚戌，重修太祖實錄成。
HCH_012_007_000119	丁巳，胡廣卒。
HCH_012_007_000120	秋七月己巳，敕責陝西諸司：「比聞所屬歲屢不登，致民流莩，有司坐視不恤，又不以聞，其咎安在。其速發倉儲振之。」
HCH_012_007_000121	贊善梁潛、司諫周冕以輔導皇太子有闕，皆下獄死。
HCH_012_007_000122	冬十二月戊子，諭法司：「朕屢敕中外官潔己愛民，而不肖官吏恣肆自若，百姓苦之。夫良農必去稂莠者，為害苗也。繼今，犯贓必論如法。」
HCH_012_007_000123	辛丑，成山侯王通馳傳振陝西饑。
HCH_012_007_000124	是年，暹羅、占城、爪哇、蘇門答剌、泥八剌、滿剌加、南渤利、哈烈、沙哈魯、千里達、撒馬兒罕入貢。
HCH_012_007_000125	琉球中山入貢者再。
HCH_012_007_000126	十七年春二月乙酉，興安伯徐亨備興和、開平、大同。
HCH_012_007_000127	夏五月丙午，都督方政敗黎利於可藍柵。
HCH_012_007_000128	六月壬午，免順天府去年水災田租。
HCH_012_007_000129	戊子，劉江殲倭寇於望海堝，封江廣寧伯。
HCH_012_007_000130	秋七月庚申，鄭和還。
HCH_012_007_000131	八月，中官馬騏激交阯乂安土知府潘僚反。
HCH_012_007_000132	九月丙辰，慶雲見，禮臣請表賀，不許。
HCH_012_007_000133	冬十二月庚辰，諭法司曰：「刑者，聖人所慎。匹夫匹婦不得其死，足傷天地之和，召水旱之災，甚非朕寬恤之意。自今，在外諸司死罪，咸送京師審錄，三覆奏然後行刑。」
HCH_012_007_000134	乙未，工部侍郎劉仲廉覈實交阯戶口田賦，察軍民利病。
HCH_012_007_000135	是年，哈密、土魯番、失剌思、亦思弗罕、真臘、占城、哈烈、阿魯、南渤利、蘇門答剌、八答黑商、滿剌加入貢。
HCH_012_007_000136	琉球中山入貢者四。
HCH_012_007_000137	十八年春正月癸卯，李彬及都指揮孫霖、徐謜敗黎利於磊江。
HCH_012_007_000138	閏月丙子，翰林院學士楊榮、金幼孜為文淵閣大學士。
HCH_012_007_000139	庚辰，擢人材，布衣馬麟等十三人為布政使、參政、參議。
HCH_012_007_000140	二月己酉，蒲臺妖婦唐賽兒作亂，安遠侯柳升帥師討之。
HCH_012_007_000141	三月辛巳，敗賊於卸石柵寨，都指揮劉忠戰沒，賽兒逸去。
HCH_012_007_000142	甲申，山東都指揮僉事衞青敗賊於安丘，指揮王真敗賊於諸城，獻俘京師。
HCH_012_007_000143	戊子，山東布政使儲埏、張海，按察使劉本等坐縱盜誅。
HCH_012_007_000144	戊戌，以逗留徵柳升下吏，尋釋之。
HCH_012_007_000145	夏五月壬午，左都督朱榮鎮遼東。
HCH_012_007_000146	庚寅，交阯參政侯保、馮貴禦賊，戰死。
HCH_012_007_000147	六月丙午，北京地震。
HCH_012_007_000148	秋七月丁亥，徐亨備開平。
HCH_012_007_000149	八月丁酉朔，日有食之。
HCH_012_007_000150	九月己巳，召皇太子。
HCH_012_007_000151	丁亥，詔自明年改京師為南京，北京為京師。
HCH_012_007_000152	冬十月庚申，李彬遣指揮使方政敗黎利於老撾。
HCH_012_007_000153	十一月戊辰，以遷都北京詔天下。
HCH_012_007_000154	是月，振青、萊饑。
HCH_012_007_000155	十二月己未，皇太子及皇太孫至北京。
HCH_012_007_000156	癸亥，北京郊廟宮殿成。
HCH_012_007_000157	是年，始設東廠，命中官刺事。
HCH_012_007_000158	古麻剌朗王來朝。
HCH_012_007_000159	暹羅、占城、爪哇、滿剌加、蘇門答剌、蘇祿西王入貢。
HCH_012_007_000160	十九年春正月甲子朔，奉安五廟神主於太廟。
HCH_012_007_000161	御奉天殿受朝賀，大宴。
HCH_012_007_000162	甲戌，大祀天地於南郊。
HCH_012_007_000163	戊寅，大赦天下。
HCH_012_007_000164	癸巳，鄭和復使西洋。
HCH_012_007_000165	二月辛丑，都督僉事胡原帥師巡海捕倭。
HCH_012_007_000166	三月辛巳，賜曾鶴齡等進士及第、出身有差。
HCH_012_007_000167	夏四月庚子，奉天、華蓋、謹身三殿災，詔羣臣直陳闕失。
