HCH_012_150_000235	季篪使人懷刀就其裏潛察之。
HCH_012_150_000236	一童子識曰：「此吾家物。」
HCH_012_150_000237	盜乃得。
HCH_012_150_000238	永樂初，纂修《大典》，命姚廣孝、解縉及季篪總其事。
HCH_012_150_000239	八年坐失出下獄，謫外任。
HCH_012_150_000240	逡巡未行，復下獄。
HCH_012_150_000241	久之始釋。
HCH_012_150_000242	命以儒服隸翰林院編纂。
HCH_012_150_000243	尋授工部主事，卒於官。
HCH_012_150_000244	劉辰，字伯靜，金華人。
HCH_012_150_000245	國初，以署典簽使方國珍。
HCH_012_150_000246	國珍飾二姬以進，叱卻之。
HCH_012_150_000247	李文忠駐師嚴州，辟置幕下。
HCH_012_150_000248	元帥葛俊守廣信，盛冬發民浚城濠。
HCH_012_150_000249	文忠止之。
HCH_012_150_000250	不聽。
HCH_012_150_000251	文忠怒，欲臨以兵。
HCH_012_150_000252	辰請往諭之。
HCH_012_150_000253	俊悔謝，事遂已。
HCH_012_150_000254	以親老辭歸。
HCH_012_150_000255	建文中，用薦擢監察御史，出知鎮江府，勤於職事。
HCH_012_150_000256	瀕江田八十餘頃，久淪於水，賦如故，以辰言得除。
HCH_012_150_000257	京口閘廢，轉漕者道新河出江，舟數敗。
HCH_012_150_000258	辰修故閘，公私皆便。
HCH_012_150_000259	漕河易涸，仰練湖益水，三鬥門久廢。
HCH_012_150_000260	辰修築之，運舟既通，湖下田益稔。
HCH_012_150_000261	永樂初，李景隆言辰知國初事，召至，預修《太祖實錄》。
HCH_012_150_000262	遷江西布政司參政，奏蠲九郡荒田糧。
HCH_012_150_000263	歲饑，勸富民貸饑者，蠲其徭役以為之息。
HCH_012_150_000264	官為立券，期年而償。
HCH_012_150_000265	辰居官廉勤尚氣，與都司、按察使不相得，數爭，坐免官。
HCH_012_150_000266	十四年起行部左侍郎，復留南京者三年。
HCH_012_150_000267	帝念其老，賜敕及鈔幣，今致仕。
HCH_012_150_000268	卒於途，年七十八。
HCH_012_150_000269	楊砥，字大用，澤州人。
HCH_012_150_000270	洪武末，由進士授行人司右司副。
HCH_012_150_000271	上疏言：「揚雄為莽大夫，貽譏萬世。董仲舒《天人三策》及正誼明道之言，足以扶翼世教。今孔廟從祀有雄無仲舒，非是。」
HCH_012_150_000272	帝從之。
HCH_012_150_000273	歷官湖廣布政司參議。
HCH_012_150_000274	建文中，言：「帝堯之德始於親九族。今宜惇睦諸藩，無自剪枝葉。」
HCH_012_150_000275	不報。
HCH_012_150_000276	父喪歸。
HCH_012_150_000277	成祖即位，起鴻臚寺卿，乞終制。
HCH_012_150_000278	服闋，擢禮部侍郎，坐視河渠失職，降工部主事，改禮部。
HCH_012_150_000279	永樂十年遷北京行太僕寺卿。
HCH_012_150_000280	時吳橋至天津大水決堤傷稼。
HCH_012_150_000281	砥請開德州東南黃河故道及土河，以殺水勢。
HCH_012_150_000282	帝命工部侍郎藺芳經理之。
HCH_012_150_000283	定牧馬法，請令民五丁養種馬一匹，十馬立群頭一人，五十馬立群長一人，養馬家歲蠲租糧之半。
HCH_012_150_000284	而薊州以東至山海諸衛，土地寬廣，水草豐美，其屯軍人養種馬一匹，租亦免半。
HCH_012_150_000285	帝命軍租盡蠲之，余悉從其議。
HCH_012_150_000286	於是馬大蕃息。
HCH_012_150_000287	砥剛介有守，尤篤孝行。
HCH_012_150_000288	十六年，母喪哀毀，未至家，卒。
HCH_012_150_000289	虞謙，字伯益，金壇人。
HCH_012_150_000290	洪武中，由國子生擢刑部郎中，出知杭州府。
HCH_012_150_000291	建文中請限僧道田，人無過十畝，余以均給貧民。
HCH_012_150_000292	從之。
HCH_012_150_000293	永樂初召為大理寺少卿。
HCH_012_150_000294	時有詔。
HCH_012_150_000295	建文中，上言改舊制者悉面陳。
HCH_012_150_000296	謙乃言前事請罪。
HCH_012_150_000297	帝見謙怖，笑曰：「此秀才辟老、佛耳。」
HCH_012_150_000298	釋弗問。
HCH_012_150_000299	而僧道限田制竟罷。
HCH_012_150_000300	都察院論誆騙罪，準洪武榜例梟首以徇。
