HCH_012_147_000154	既行，禮部郎中李至剛言縉怨望，改交阯，命督餉化州。
HCH_012_147_000155	永樂八年，縉奏事入京，值帝北征，縉謁皇太子而還。
HCH_012_147_000156	漢王言縉伺上出，私覲太子，徑歸，無人臣禮。
HCH_012_147_000157	帝震怒。
HCH_012_147_000158	縉時方偕檢討王偁道廣東，覽山川，上疏請鑿贛江通南北。
HCH_012_147_000159	奏至，逮縉下詔獄，拷掠備至。
HCH_012_147_000160	詞連大理丞湯宗，宗人府經歷高得抃，中允李貫，贊善王汝玉，編修硃紘，檢討蔣驥、潘畿、蕭引高並及至剛，皆下獄。
HCH_012_147_000161	汝玉、貫、紘、引高、得抃皆瘐死。
HCH_012_147_000162	十三年，錦衣衛帥紀綱上囚籍，帝見縉姓名曰：「縉猶在耶？」
HCH_012_147_000163	綱遂醉縉酒，埋積雪中，立死。
HCH_012_147_000164	年四十七。
HCH_012_147_000165	籍其家，妻子宗族徙遼東。
HCH_012_147_000166	方縉居翰林時，內官張興恃寵笞人左順門外，縉叱之，興斂手退。
HCH_012_147_000167	帝嘗書廷臣名，命縉各疏其短長。
HCH_012_147_000168	縉言：「蹇義天資厚重，中無定見。夏原吉有德量，不遠小人。劉俊有才幹，不知顧義。鄭賜可謂君子，頗短於才。李至剛誕而附勢，雖才不端。黃福秉心易直，確有執守。陳瑛刻於用法，尚能持廉。宋禮戇直而苛，人怨不恤。陳洽疏通警敏，亦不失正。方賓簿書之才，駔儈之心。」
HCH_012_147_000169	帝以付太子，太子因問尹昌隆、王汝玉。
HCH_012_147_000170	縉對曰：「昌隆君子而量不弘。汝玉文翰不易得，惜有市心耳。」
HCH_012_147_000171	後仁宗即位，出縉所疏示楊士奇曰：「人言縉狂，觀所論列，皆有定見，不狂也。」
HCH_012_147_000172	詔歸縉妻子宗族。
HCH_012_147_000173	縉初與胡廣同侍成祖宴。
HCH_012_147_000174	帝曰：「爾二人生同里，長同學，仕同官。縉有子，廣可以女妻之。」
HCH_012_147_000175	廣頓首曰：「臣妻方娠，未卜男女。」
HCH_012_147_000176	帝笑曰：「定女矣。」
HCH_012_147_000177	已而果生女，遂約婚。
HCH_012_147_000178	縉敗，子禎亮徙遼東，廣欲離婚。
HCH_012_147_000179	女截耳誓曰：「薄命之婚，皇上主之，大人面承之，有死無二。」
HCH_012_147_000180	及赦還，卒歸禎亮。
HCH_012_147_000181	正統元年八月，詔還所籍家產。
HCH_012_147_000182	成化元年，復縉官，贈朝議大夫。
HCH_012_147_000183	始縉言漢王及安南事得禍。
HCH_012_147_000184	後高煦以叛誅。
HCH_012_147_000185	安南數反，置吏未久，復棄去。
HCH_012_147_000186	悉如縉言。
HCH_012_147_000187	縉兄綸，洪武中亦官御史。
HCH_012_147_000188	性剛直。
HCH_012_147_000189	後改應天教授。
HCH_012_147_000190	子禎期，以書名。
HCH_012_147_000191	黃淮，字宗豫，永嘉人。
HCH_012_147_000192	父性，方國珍據溫州，遁跡避偽命。
HCH_012_147_000193	淮舉洪武末進士，授中書舍人。
HCH_012_147_000194	成祖即位，召對稱旨，命與解縉常立御榻左，備顧問。
HCH_012_147_000195	或至夜分，帝就寢，猶賜坐榻前語，機密重務悉預聞。
HCH_012_147_000196	既而與縉等六人並直文淵閣，改翰林編修，進侍讀。
HCH_012_147_000197	議立太子，淮請立嫡以長。
HCH_012_147_000198	太子立，遷左庶子兼侍讀。
HCH_012_147_000199	永樂五年，解縉黜，淮進右春坊大學士。
HCH_012_147_000200	明年與胡廣、金幼孜、楊榮、楊士奇同輔導太孫。
HCH_012_147_000201	七年，帝北巡，命淮及蹇義、金忠、楊士奇輔皇太子監國。
HCH_012_147_000202	十一年，再北巡，仍留守。
HCH_012_147_000203	明年，帝征瓦剌還，太子遣使迎稍緩，帝重入高煦譖，悉征東宮官屬下詔獄，淮及楊溥、金問皆坐系十年。
HCH_012_147_000204	仁宗即位，復官。
HCH_012_147_000205	尋擢為通政使，兼武英殿大學士，與楊榮、金幼孜、楊士奇同掌內製〔制〕。
HCH_012_147_000206	丁母憂，乞終制。
HCH_012_147_000207	不許。
HCH_012_147_000208	明年，進少保、戶部尚書，兼大學士如故。
HCH_012_147_000209	仁宗崩，太子在南京。
HCH_012_147_000210	漢王久蓄異志，中外疑懼，淮憂危嘔血。
HCH_012_147_000211	宣德元年，帝親征樂安，命淮居守。
HCH_012_147_000212	明年以疾乞休，許之。
HCH_012_147_000213	父性年九十，奉養甚歡。
HCH_012_147_000214	及性卒，賜葬祭，淮詣闕謝。
HCH_012_147_000215	值燈時，賜游西苑，詔乘肩輿登萬歲山。
HCH_012_147_000216	命主會試，比辭歸，餞之太液池，帝為長歌送之，且曰：「朕生日，卿其復來。」
HCH_012_147_000217	明年入賀。
HCH_012_147_000218	英宗立，再入朝。
HCH_012_147_000219	正統十四年六月卒。
HCH_012_147_000220	年八十三，諡文簡。
HCH_012_147_000221	淮性明果，達於治體。
HCH_012_147_000222	永樂中，長沙妖人李法良反。
HCH_012_147_000223	仁宗方監國，命豐城侯李彬討之。
HCH_012_147_000224	漢王忌太子有功，詭言彬不可用。
HCH_012_147_000225	淮曰：「彬，老將，必能滅賊，願急遣。」
HCH_012_147_000226	彬卒擒法良。
HCH_012_147_000227	又時有告黨逆者。
HCH_012_147_000228	淮言於帝曰：「洪武末年已有敕禁，不宜復理。」
HCH_012_147_000229	吏部追論「靖難」兵起時，南人官北地不即歸附者，當編戍。
HCH_012_147_000230	淮曰：「如是，恐示人不廣。」
HCH_012_147_000231	帝皆從之。
HCH_012_147_000232	阿魯台歸款，請得役屬吐蕃諸部。
HCH_012_147_000233	求朝廷刻金作誓詞，磨其金酒中，飲諸酋長以盟。
HCH_012_147_000234	眾議欲許之。
HCH_012_147_000235	淮曰：「彼勢分則易制，一則難圖矣。」
HCH_012_147_000236	帝顧左右曰：「黃淮論事，如立高岡，無遠不見。」
