HCH_015_020_000116	世祖嗣位，運藉休平，壽昌前興，鳳華晚搆，香柏文檉，花梁繡柱，雕金鏤寶，頗用房帷，趙瑟吳趨，承閑奏曲，歲費傍恩，足使充牣，事由私蓄，無損國儲。
HCH_015_020_000117	高宗仗數矯情，外行儉陋，內奉宮業，曾莫云改。
HCH_015_020_000118	東昏喪道，侈風大扇，銷糜海內，以贍浮飾，哲婦傾城，同符殷、夏。
HCH_015_020_000119	嗚呼！
HCH_015_020_000120	所以垂戒於方來〔也〕。
HCH_015_020_000121	贊曰：宣武孝則，識有先知。
HCH_015_020_000122	高昭誕武，世載母儀。
HCH_015_020_000123	裴穆儲閫，位亦從隳。
HCH_015_020_000124	明敬典冊，配在宗枝。
HCH_015_020_000125	秋宮亦遽，軒景前虧。
HCH_015_020_000126	文安廢主，百憂已離，中興秉制，揖讓弘規。
HCH_015_020_000127	本南北朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
