HCH_009_079_000102	未幾，海陵謀伐宋，改行都水監，監造戰船於通州。
HCH_009_079_000103	東海縣人徐元、張旺作亂，縣人房真等三人走海州，及走總管府，上變。
HCH_009_079_000104	州、府皆遣使效隨真等詣東海觀賊形勢，皆為賊所害。
HCH_009_079_000105	州、府合兵攻之，累月不下。
HCH_009_079_000106	海陵且欲伐宋，惡聞其事，詔文與步軍指揮使張弘信、同知大興尹李惟忠、宿直將軍蕭阿窊率舟師九百浮海討之，謂文等曰：「朕意不在一邑，將以試舟師耳。」
HCH_009_079_000107	文等至東海，與賊戰，敗之，斬首五千餘級，獲徐元、張旺，餘眾請降。
HCH_009_079_000108	是役也，張弘信行至萊州，稱疾留止，日與妓樂飲酒。
HCH_009_079_000109	海陵聞之，師還，杖弘信二百。
HCH_009_079_000110	文遷定海軍節度使。
HCH_009_079_000111	房真三人官賞有差。
HCH_009_079_000112	死賊者皆贈官三級，以銀百兩、絹百匹賜其家。
HCH_009_079_000113	大定二年，詣闕自陳年老目昏，懇求致仕。
HCH_009_079_000114	許之。
HCH_009_079_000115	以覃恩遷龍虎衛上將軍，卒于家。
HCH_009_079_000116	施宜生，字明望，邵武人也。
HCH_009_079_000117	博聞強記，未冠，由鄉貢入太學。
HCH_009_079_000118	宋政和四年，擢上舍第，試學官，授潁州教授。
HCH_009_079_000119	及王師入汴，宜生走江南。
HCH_009_079_000120	複以罪北走齊，上書陳取宋之策，齊以為大總管府議事官。
HCH_009_079_000121	失意于劉麟，左遷彰信軍節度判官。
HCH_009_079_000122	齊國廢，擢為太常博士，遷殿中侍御史，轉尚書吏部員外郎，為本部郎中。
HCH_009_079_000123	尋改禮部，出為隰州刺史。
HCH_009_079_000124	天德二年，用參知政事張浩薦宜生可備顧問，海陵召為翰林直學士，撰《太師梁王宗弼墓銘》，進官兩階。
HCH_009_079_000125	正隆元年，出知深州，召為尚書禮部侍郎，遷翰林侍講學士。
HCH_009_079_000126	四年冬，為宋國正旦使。
HCH_009_079_000127	宜生自以得罪北走，恥見宋人，力辭，不許。
HCH_009_079_000128	宋命張燾館之都亭，因間以首丘風之。
HCH_009_079_000129	宜生顧其介不在旁，為廋語曰：「今日北風甚勁。」
HCH_009_079_000130	又取幾間筆扣之曰：「筆來，筆來。」
HCH_009_079_000131	於是宋始警。
HCH_009_079_000132	其副使耶律辟離剌使還以聞，坐是烹死。
HCH_009_079_000133	初，宜生困於場屋，遇僧善風鑒，謂之曰：「子面有權骨，可公可卿。而視子身之毛，皆逆上，且覆腕，必有以合乎此而後可貴也。」
HCH_009_079_000134	宜生聞其言，大喜，竟從范汝為於建、劍。
HCH_009_079_000135	已而汝為敗，變服為傭泰之吳翁家三年。
HCH_009_079_000136	翁異之，一日屏人詰其姓名，宜生曰：「我服傭事惟謹，主人乃亦置疑邪？」
HCH_009_079_000137	翁固詰之，則請其故。
HCH_009_079_000138	翁曰：「日者燕客，執事咸餕，而汝獨孫諸儕，且撤器有歎聲，是以識汝非真傭也。」
HCH_009_079_000139	宜生遂告之故。
HCH_009_079_000140	翁贐之金，夜濟淮以歸。
HCH_009_079_000141	試《一日獲熊三十六賦》擢第一，其後竟如僧言。
HCH_009_079_000142	張中孚，字信甫，其先自安定徙居張義堡。
HCH_009_079_000143	父達，仕宋至太師，封慶國公。
HCH_009_079_000144	中孚以父任補承節郎。
HCH_009_079_000145	宗翰圍太原，其父戰歿，中孚泣涕請跡父屍，乃獨率部曲十余人入大軍中，竟得其屍以還。
