HCH_012_265_000077	廷弼固當誅，爌不為無說，封疆失事，累累有徒，乃欲獨殺一廷弼，豈平論哉？
HCH_012_265_000078	此爌所以閣筆也。
HCH_012_265_000079	然廷弼究不死於封疆而死於局面，不死於法吏而死於奸珰，則又不可謂後之人能殺廷弼，而爌獨不能殺之也。
HCH_012_265_000080	又如詞臣文震孟正學勁骨，有古大臣之品，三月居官，昌言獲罪，人以方之羅倫、舒芬。
HCH_012_265_000081	而今起用之旨再下，謬悠之譚不已，將毋門戶二字不可重提耶？
HCH_012_265_000082	用更端以相遮抑耶？
HCH_012_265_000083	書院、生祠，相勝負者也，生祠毀，書院豈不當修復！
HCH_012_265_000084	時柄國者悉忠賢遺黨，疏入，以論奏不當責之。
HCH_012_265_000085	於是維垣復疏駁元璐。
HCH_012_265_000086	元璐再疏曰：臣前疏原為維垣發也。
HCH_012_265_000087	陛下明旨曰：「分別門戶，已非治征」，曰「化異為同」，曰「天下為公」，而維垣則倡為孫黨、趙黨、熊黨、鄒黨之說。
HCH_012_265_000088	是陛下於方隅無不化，而維垣實未化；陛下於正氣無不伸，而維垣不肯伸。
HCH_012_265_000089	維垣怪臣盛稱東林，以東林嘗推李三才而護熊廷弼也。
HCH_012_265_000090	抑知東林有力擊魏忠賢之楊漣，首劾崔呈秀之高攀龍乎！
HCH_012_265_000091	忠賢窮兇極惡，維垣猶尊稱之曰「廠臣公」、「廠臣不愛錢」、「廠臣知為國為民」，而何責乎三才？
HCH_012_265_000092	五彪五虎之罪，刑官僅擬削奪，維垣不駁正，又何誅乎廷弼？
HCH_012_265_000093	維垣又怪臣盛稱韓爌。
HCH_012_265_000094	夫舍爌昭然忤珰之大節，而加以罔利莫須有之事，已為失平。
HCH_012_265_000095	至廷弼行賄之說，乃忠賢借以誣陷清流，為楊、左諸人追贓地耳，天下誰不知，維垣猶守是說乎？
HCH_012_265_000096	維垣又怪臣盛稱文震孟。
HCH_012_265_000097	夫震孟忤珰削奪，其破帽策蹇傲蟒玉馳驛語，何可非？
HCH_012_265_000098	維垣試觀數年來破帽策蹇之輩，較超階躐級之儔，孰為榮辱。
HCH_012_265_000099	自此義不明，畏破帽策蹇者，相率而頌德建祠，希蟒玉馳驛者呼父、呼九千歲而不怍，可勝嘆哉！
HCH_012_265_000100	維垣又怪臣盛稱鄒元標。
HCH_012_265_000101	夫謂都門聚講為非則可，謂元標講學有他腸則不可。
HCH_012_265_000102	當日忠賢驅逐諸人，毀廢書院者，正欲箝學士大夫之口，恣行不義耳。
HCH_012_265_000103	自元標以偽學見驅，而逆珰遂以真儒自命，學宮之內，儼然揖先聖為平交。
HCH_012_265_000104	使元標諸人在，豈遂至此！
HCH_012_265_000105	維垣又駁臣假借矯激。
HCH_012_265_000106	夫當崔、魏之世，人皆任真率性，頌德建祠。
HCH_012_265_000107	使有一人假借矯激，而不頌不建，豈不猶賴是人哉！
HCH_012_265_000108	維垣以為真小人，待其貫滿可攻去之，臣以為非計也。
HCH_012_265_000109	必待其貫滿，其敗壞天下事已不可勝言，雖攻去之，不已晚乎！
HCH_012_265_000110	即如崔、魏，貫滿久矣，不遇聖明，誰攻去之？
HCH_012_265_000111	維垣終以無可奈何為頌德建祠者解，臣以為非訓也。
HCH_012_265_000112	假令呈秀一人舞蹈稱臣於逆珰，諸臣亦以為無可奈何而從之乎？
HCH_012_265_000113	又令逆珰以兵劫諸臣使從叛逆，諸臣亦靡然從之，以為無可奈何而然乎？
HCH_012_265_000114	維垣又言「今日之忠直，不當以崔、魏為對案」，臣謂正當以崔、魏為對案也。
HCH_012_265_000115	夫人品試之崔、魏而定矣，故有東林之人，為崔、魏所恨其牴觸、畏其才望而必欲殺之逐之者，此正人也。
