HCH_012_326_000283	民富俗厚，或遭禍致貧，眾皆遺以錢帛，共振助之。
HCH_012_326_000284	人多白晰豐偉，婦女出則以紗蔽面，市列廛肆，百物具備。
HCH_012_326_000285	惟禁酒，犯者罪至死。
HCH_012_326_000286	醫卜、技藝，皆類中華。
HCH_012_326_000287	交易用銀錢。
HCH_012_326_000288	書用回回字。
HCH_012_326_000289	王及臣下皆遵回教，婚喪悉用其禮。
HCH_012_326_000290	日齋戒沐浴，虔拜者五。
HCH_012_326_000291	地多咸，不產草木，牛羊馬駝皆啖魚臘。
HCH_012_326_000292	壘石為屋，有三四層者，寢處庖廁及待客之所，咸在其上。
HCH_012_326_000293	饒蔬果，有核桃、把聃、松子、石榴、葡萄、花紅、萬年棗之屬。
HCH_012_326_000294	境內有大山，四面異色。
HCH_012_326_000295	一紅鹽石，鑿以為器，盛食物不加鹽，而味自和；一白土，可涂垣壁；一赤土、一黃土，皆適於用。
HCH_012_326_000296	所貢有獅子、麒麟、駝雞、福祿、靈羊；常貢則大珠、寶石之類。
HCH_012_326_000297	溜山，自錫蘭山別羅里南去，順風七晝夜可至；自蘇門答剌過小帽山西南行，十晝夜可至。
HCH_012_326_000298	永樂十年，鄭和往使其國。
HCH_012_326_000299	十四年，其王亦速福遣使來貢。
HCH_012_326_000300	自後三貢，並與忽魯謨斯諸國偕。
HCH_012_326_000301	宣德五年，鄭和復使其國，後竟不至。
HCH_012_326_000302	其山居海中，有三石門，並可通舟。
HCH_012_326_000303	無城郭，倚山聚居。
HCH_012_326_000304	氣候常熱，土薄谷少，無麥，土人皆捕魚，暴乾以充食。
HCH_012_326_000305	王及群下盡回回人，婚喪諸禮，多類忽魯謨斯。
HCH_012_326_000306	山下有八溜，或言外更有三千溜，舟或失風入其處，即沉溺。
HCH_012_326_000307	又有國曰比剌，曰孫剌。
HCH_012_326_000308	鄭和亦嘗齎敕往賜。
HCH_012_326_000309	以去中華絕遠，二國貢使竟不至。
HCH_012_326_000310	，在西南海中。
HCH_012_326_000311	永樂三年遣使齎璽書、彩幣撫諭其國。
HCH_012_326_000312	六年，鄭和復往使。
HCH_012_326_000313	九年，其王遣使貢方物，與急蘭丹、加異勒諸國偕來。
HCH_012_326_000314	賜其王金織文綺、金繡龍衣、銷金幃幔及傘蓋諸物，命禮官宴賜遣之。
HCH_012_326_000315	十四年再貢。
HCH_012_326_000316	命鄭和與其使偕行，後不復至。
HCH_012_326_000317	加異勒，西洋小國也。
HCH_012_326_000318	永樂六年遣鄭和齎詔招諭，賜以錦綺、紗羅。
HCH_012_326_000319	九年，其酋長葛卜者麻遣使奉表，貢方物。
HCH_012_326_000320	命賜宴及冠帶、彩幣、寶鈔。
HCH_012_326_000321	十年，和再使其國，後凡三入貢。
HCH_012_326_000322	宣德五年，和復使其國。
HCH_012_326_000323	八年又偕阿丹等十一國來貢。
HCH_012_326_000324	甘巴里，亦西洋小國。
HCH_012_326_000325	永樂六年，鄭和使其地，賜其王錦綺、紗羅。
HCH_012_326_000326	十三年遣使朝貢方物。
HCH_012_326_000327	十九年再貢，遣鄭和報之。
HCH_012_326_000328	宣德五年，和復招諭其國。
HCH_012_326_000329	王兜哇剌札遣使來貢，八年抵京師。
HCH_012_326_000330	正統元年附爪哇舟還國，賜敕勞王。
HCH_012_326_000331	其鄰境有阿撥把丹、小阿蘭二國，亦以六年命鄭和齎敕招諭，賜亦同。
HCH_012_326_000332	急蘭丹，永樂九年，王麻哈剌查苦馬兒遣使朝貢。
HCH_012_326_000333	十年命鄭和齎敕獎其王，賚以錦綺、紗羅、彩帛。
HCH_012_326_000334	沙里灣泥，永樂十四年遣使來獻方物，命鄭和齎幣帛還賜之。
HCH_012_326_000335	底里，永樂十年遣使奉璽書招諭其王馬哈木，賜絨錦、金織文綺、彩帛諸物。
HCH_012_326_000336	其地與沼納朴兒近，並賜其王亦不剌金。
HCH_012_326_000337	千里達，永樂十六年遣使貢方物。
HCH_012_326_000338	賜其使冠帶、𦆭絲、紗羅、彩帛及寶鈔。
HCH_012_326_000339	比還，賜其王有加。
HCH_012_326_000340	失剌比，永樂十六年遣使朝貢。
HCH_012_326_000341	賜其使冠帶、金織文綺、襲衣、彩幣、白金有差，其王亦優賜。
HCH_012_326_000342	古里班卒，永樂中，嘗入貢。
HCH_012_326_000343	其土瘠穀少，物產亦薄。
HCH_012_326_000344	氣候不齊，夏多雨，雨即寒。
HCH_012_326_000345	剌泥，永樂元年，其國中回回哈只馬哈沒奇剌泥等來貢方物，因攜胡椒與民市。
HCH_012_326_000346	有司請徵其稅，帝曰：「徵稅以抑逐末之民，豈以為利。今遠人慕義來，乃取其貨，所得幾何，而虧損國體多矣。其已之。」
HCH_012_326_000347	剌泥而外，有數國：曰夏剌比，曰奇剌泥，曰窟察泥，曰舍剌齊，曰彭加那，曰八可意，曰烏沙剌踢，曰坎巴，曰阿哇，曰打回。
HCH_012_326_000348	永樂中，嘗遣使朝貢。
HCH_012_326_000349	其國之風土、物產，無可稽。
HCH_012_326_000350	白葛達，宣德元年遣其臣和者裡一思入貢。
