HCH_015_012_000090	隆昌元年正月壬戌，日於蘭雲中暈，南北帶暈各生一直，同長一丈，須臾消。
HCH_015_012_000091	永元元年十二月乙酉，日中有三黑子。
HCH_015_012_000092	建元四年十月庚寅，月暈五車及參頭。
HCH_015_012_000093	永明元年正月壬辰，是日至十五日，月三暈太微及熒惑。
HCH_015_012_000094	三月庚申至十三日，月三暈太微及熒惑。
HCH_015_012_000095	五年二月乙未，自九日至是日，月三暈太微。
HCH_015_012_000096	六年二月壬戌甲夜、十三日甲夜、十五日甲夜，月並暈太微。
HCH_015_012_000097	永明元年十一月己未，月南北各生一珥，又有一抱。
HCH_015_012_000098	月犯列星建元元年七月丁未，月犯心大星北一寸。
HCH_015_012_000099	丁卯，月入軒轅中犯第二星。
HCH_015_012_000100	十月丙申，月在心大星西北七寸。
HCH_015_012_000101	十一月壬戌，月在氐東南星五寸。
HCH_015_012_000102	十二月乙酉，月犯太微西蕃南頭第一星。
HCH_015_012_000103	庚寅，月行房道中，無所犯。
HCH_015_012_000104	癸巳，月入南斗魁中，無所犯。
HCH_015_012_000105	二年三月癸卯，月犯心大星，又犯後星。
HCH_015_012_000106	五月庚戌，月入南斗。
HCH_015_012_000107	七月己巳，月入南斗。
HCH_015_012_000108	三年二月癸巳，月犯太微上將。
HCH_015_012_000109	四年二月乙亥，月犯輿鬼西北星。
HCH_015_012_000110	丙子，月犯南斗魁第二星。
HCH_015_012_000111	辛未，月犯心大星，又犯後星。
HCH_015_012_000112	四月壬辰，月犯軒轅左民星。
HCH_015_012_000113	庚子，月犯箕東北星。
HCH_015_012_000114	五月丙寅，月犯心後星。
HCH_015_012_000115	戊寅，月掩昴西北星。
HCH_015_012_000116	六月乙未，月犯箕東北星。
HCH_015_012_000117	七月癸亥，月行南斗魁中，無所犯。
HCH_015_012_000118	庚辰，月犯軒轅女主。
HCH_015_012_000119	八月庚子，月犯昴西南星。
HCH_015_012_000120	壬寅，月犯五車東南星。
HCH_015_012_000121	壬申，月犯軒轅少民星。
HCH_015_012_000122	九月丁巳，月犯箕東北星。
HCH_015_012_000123	壬辰，月在營室度，入羽林中。
HCH_015_012_000124	二十日，月入輿鬼，犯積尸。
HCH_015_012_000125	十一月甲戌，月犯五車南星。
HCH_015_012_000126	十二月丁酉，月犯軒轅女主星，又掩女御。
HCH_015_012_000127	永元元年正月己亥，月犯心後星。
HCH_015_012_000128	三月乙未，月犯軒轅女主星。
HCH_015_012_000129	六月癸酉，月犯輿鬼西南星。
HCH_015_012_000130	八月乙丑，月犯南斗第四星，又犯輿鬼星。
HCH_015_012_000131	九月庚辰，月犯太白左蕃度。
HCH_015_012_000132	癸巳，月犯東井北轅西頭第一星。
HCH_015_012_000133	十二月丁卯，月犯心前星，又犯大星。
HCH_015_012_000134	己巳，月犯南斗第五星。
HCH_015_012_000135	二年二月甲子，月犯南斗第四星，又犯第三星。
HCH_015_012_000136	三月丁丑，〔月〕犯東井北轅北頭第一星。
HCH_015_012_000137	四月戊申，月犯軒轅右角。
HCH_015_012_000138	六月丙寅，月犯東井轅頭第一星。
HCH_015_012_000139	八月丙午，月掩心大星。
HCH_015_012_000140	戊申，月犯南斗第三星。
HCH_015_012_000141	戊子，月犯東井北轅西頭第一星。
HCH_015_012_000142	十一月庚辰，月犯昴星。
HCH_015_012_000143	丙戌，月犯軒轅左角。
HCH_015_012_000144	十二月壬戌，月犯心前星，又犯大星。
HCH_015_012_000145	三年二月己未，月犯南斗第五星。
HCH_015_012_000146	三月壬申，月在東井，無所犯。
HCH_015_012_000147	六月丙午，月掩心前星。
HCH_015_012_000148	八月丙辰，月犯東井北轅第二星。
HCH_015_012_000149	九月癸未，月犯東井南轅西頭第一星。
HCH_015_012_000150	四年正月癸酉，月入東井，無所犯。
HCH_015_012_000151	乙亥，月犯輿鬼。
HCH_015_012_000152	閏月辛亥，月犯房。
HCH_015_012_000153	二月丁卯，月犯東井鉞。
HCH_015_012_000154	三月乙未，月入東井，無所犯。
HCH_015_012_000155	七月辛亥，月犯東井。
HCH_015_012_000156	八月戊寅，月犯東井。
HCH_015_012_000157	九月辛卯，月與太白於尾合宿。
HCH_015_012_000158	丙午，月入東井。
HCH_015_012_000159	十一月辛丑，月入東井曠中。
HCH_015_012_000160	辛亥，月犯房北頭第二星。
HCH_015_012_000161	十二月己巳，月犯東井北轅東頭第二星。
HCH_015_012_000162	辛巳，月犯南斗第六星。
HCH_015_012_000163	五年正月丙午，月犯房鉤鈐。
HCH_015_012_000164	二月癸亥，月犯東井南轅西頭第二星。
HCH_015_012_000165	三月癸卯，月犯南斗第二星。
HCH_015_012_000166	六月乙丑，月犯南斗第六星，在南斗七寸。
HCH_015_012_000167	丙寅，月犯西建星北一尺。
HCH_015_012_000168	史臣曰：月令昏明中星，皆二十八宿。
HCH_015_012_000169	箕斗之閒，微為疎闊。
HCH_015_012_000170	故仲春之與孟秋，建星再用，與宿度竝列，亟經陵犯，災之所主，未有舊占。
HCH_015_012_000171	石氏星經云：「斗主爵祿，褒賢進士，故置建星以為輔。若犯建之異，不與斗同。」
HCH_015_012_000172	則據文求義，亦宰相之占也。
HCH_015_012_000173	七月丁未，月行入東井曠中，無所犯。
HCH_015_012_000174	八月壬申，月在畢，犯左股第二星西北三寸。
HCH_015_012_000175	九月戊子，月在填星北二尺八寸，為合宿。
HCH_015_012_000176	十月戊寅，月入氐犯東南星西北一尺餘。
HCH_015_012_000177	十一月戊寅，月入氐。
HCH_015_012_000178	十二月戊午，月在東壁度，在熒惑北，相去二尺七寸，為合宿。
HCH_015_012_000179	甲子，月在東壁度東南九寸，為犯。
HCH_015_012_000180	癸酉，月在歲星南七寸，為犯。
HCH_015_012_000181	六年正月戊戌，月在角星南，相去三寸。
HCH_015_012_000182	二月丁卯，月在氐西南六寸。
HCH_015_012_000183	三月乙未，月入氐中，在歲星南一尺一寸，為合宿。
HCH_015_012_000184	四月癸丑，月犯東井南轅西頭第二星。
HCH_015_012_000185	壬戌，月在氐西南星東南五寸，為犯。
HCH_015_012_000186	漸入氐中，與歲星同在氐度，為合宿。
HCH_015_012_000187	癸亥，月行在房北頭第一星西南一尺，為犯。
HCH_015_012_000188	六月乙卯，月在角星東一寸，為犯。
HCH_015_012_000189	丁巳，月行入氐，無所犯。
HCH_015_012_000190	在歲星東三寸，為合宿。
HCH_015_012_000191	七月乙酉，月入房北頭第二次相星西北八寸，為犯。
HCH_015_012_000192	庚寅，月在牽牛中星南二寸，為犯。
HCH_015_012_000193	庚子，月行在畢左股第一星七寸，為犯。
HCH_015_012_000194	又進入畢。
HCH_015_012_000195	八月壬子，月行在歲星東二尺五寸，同在氐中，為合宿。
HCH_015_012_000196	九月庚辰，月在房北頭第一上相星東北一尺，為犯。
HCH_015_012_000197	又掩犯關楗閉星。
HCH_015_012_000198	丁酉，月行入東井。
HCH_015_012_000199	甲辰，月在左角星西北九寸，為犯。
HCH_015_012_000200	又在熒惑西南一尺六寸，為合宿。
HCH_015_012_000201	十月癸酉，月入氐中，在西南星東北三寸，為犯。
HCH_015_012_000202	閏月壬辰，月行入東井。
HCH_015_012_000203	十一月丙戌，月行入羽林中，無所犯。
HCH_015_012_000204	乙未，月行在東井南轅西頭第二星南一尺，為犯。
HCH_015_012_000205	丙寅，月在左角北八寸，為犯。
HCH_015_012_000206	辛未，月行在太白東北一尺五寸，同在箕度，為合宿。
HCH_015_012_000207	十二月甲申，月行在畢左股第二星北七寸，為犯。
HCH_015_012_000208	乙未，月行入氐西南星東北一尺，為犯。
HCH_015_012_000209	丙申，月在房北頭上相星北一尺，為犯。
HCH_015_012_000210	七年正月甲寅，月入東井曠中，無所犯。
HCH_015_012_000211	戊辰，月掩犯牽牛中星。
HCH_015_012_000212	二月辛巳，月掩犯東井北轅東頭第一星。
HCH_015_012_000213	三月庚申，月在歲星西北三尺，同在箕度，為合宿。
HCH_015_012_000214	四月乙酉，月入氐中，無所犯。
HCH_015_012_000215	丙戌，月犯房星北頭第一上相星北一尺，在楗閉西北四寸，為犯。
HCH_015_012_000216	六月乙酉，月犯牽牛中星。
HCH_015_012_000217	乙未，月入畢，在左股第二星東八寸，為犯。
HCH_015_012_000218	七月丁未，月入氐中，無所犯。
HCH_015_012_000219	戊申，在楗閉星東北一尺，為犯。
HCH_015_012_000220	八月甲戌，月入氐，在西南星東北一尺，為犯。
HCH_015_012_000221	庚寅，月在畢右股第一星東北一尺，為犯。
HCH_015_012_000222	九月丁巳，月掩犯畢右股第一星。
HCH_015_012_000223	庚申，月在東井北轅東頭第一星西北八寸，為犯。
HCH_015_012_000224	十月甲申，月行掩畢左股第三星。
HCH_015_012_000225	丁酉，月行在楗閉星西北八寸，為犯。
HCH_015_012_000226	十二月壬午，月在東井北轅東頭第一星北八寸，為犯。
HCH_015_012_000227	八年正月丁巳，月在亢南頭第二星南七寸，為犯。
HCH_015_012_000228	二月己巳，月行在畢右股第一星東北六寸，為犯。
HCH_015_012_000229	六月甲戌，月在亢南頭第二星西南七寸，為犯。
HCH_015_012_000230	八月乙亥，月在牽牛中星南九寸，為犯。
HCH_015_012_000231	辛卯，月在軒轅女御南八寸，為犯。
HCH_015_012_000232	九月辛酉，月在太微左執法星南四寸，為犯。
HCH_015_012_000233	十月壬午，月入東井曠中，無所犯。
HCH_015_012_000234	戊子，月在太微右執法星東南六寸，為犯。
