HCH_012_168_000001	陳循王文江淵許彬陳文萬安劉珝劉吉尹直陳循，字德遵，泰和人。
HCH_012_168_000296	安遂頓首呼萬歲。
HCH_012_168_000297	欲出，時、輅不得已，皆叩頭退。
HCH_012_168_000298	中官戲朝士曰：「若輩嘗言不召見。及見，止知呼萬歲耳。」
HCH_012_168_000299	一時傳笑，謂之「萬歲閣老」。
HCH_012_168_000300	帝自是不復召見大臣矣。
HCH_012_168_000301	其後尹直入閣，欲請見帝計事。
HCH_012_168_000302	安止之曰：「往彭公請召對，一語不合，輒叩頭呼萬歲，以此貽笑。今吾輩每事盡言，太監擇而聞之，上無不允者，勝面對多矣。」
HCH_012_168_000303	其容悅不識大體，且善歸過於人如此。
HCH_012_168_000304	九年進禮部尚書。
HCH_012_168_000305	久之，改戶部。
HCH_012_168_000306	十三年加太子少保，俄改文淵閣大學士。
HCH_012_168_000307	孝宗出閤，進吏部尚書、謹身殿大學士，尋加太子太保。
HCH_012_168_000308	時彭時已歿，商輅以忤汪直去，在內閣者劉珝、劉吉。
HCH_012_168_000309	而安為首輔，與南人相黨附；珝與尚書尹旻、王越又以北人為黨，互相傾軋。
HCH_012_168_000310	然珝疏淺而安深鷙，故珝卒不能勝安。
HCH_012_168_000311	十八年，汪直寵衰，言官請罷西廠。
HCH_012_168_000312	帝不許。
HCH_012_168_000313	安具疏再言之，報可，中外頗以是稱安。
HCH_012_168_000314	《文華大訓》成，進太子太傅、華蓋殿大學士。
HCH_012_168_000315	復進少傅、太子太師，再進少師。
HCH_012_168_000316	當是時，朝多秕政，四方災傷日告。
HCH_012_168_000317	帝崇信道教，封金闕、玉闕真君為上帝，遣安祭於靈濟宮。
HCH_012_168_000318	而李孜省、鄧常恩方進用，安因彭華潛與結，藉以排異己。
HCH_012_168_000319	於是珝及王恕、馬文升、秦纮、耿裕諸大臣相繼被逐，而華遂由詹事遷吏部侍郎，入內閣。
HCH_012_168_000320	朝臣無敢與安牴牾者。
HCH_012_168_000321	華，安福人，大學士時之族弟，舉景泰五年會試第一。
HCH_012_168_000322	深刻多計數，善陰伺人短，與安、孜省比。
HCH_012_168_000323	嘗嗾蕭彥莊攻李秉，又逐尹旻、羅璟，人皆惡而畏之。
HCH_012_168_000324	逾年，得風疾去。
HCH_012_168_000325	孝宗嗣位，安草登極詔書，禁言官假風聞挾私，中外嘩然。
HCH_012_168_000326	御史湯鼐詣閣。
HCH_012_168_000327	安從容言曰：「此裏面意也。」
HCH_012_168_000328	鼐即以其語奏聞，謂安抑塞言路，歸過於君，無人臣禮。
HCH_012_168_000329	於是庶吉士鄒智，御史文貴、姜洪等交章列其罪狀。
HCH_012_168_000330	先是，歙人倪進賢者，粗知書，無行，諂事安，日與講房中術。
HCH_012_168_000331	安昵之，因令就試，得進士。
HCH_012_168_000332	授為庶吉士，除御史。
HCH_012_168_000333	帝一日於宮中得疏一小篋，則皆論房中術者，末署曰「臣安進」。
HCH_012_168_000334	帝命太監懷恩持至閣曰：「此大臣所為耶？」
HCH_012_168_000335	安愧汗伏地，不能出聲。
HCH_012_168_000336	及諸臣彈章入，復令恩就安讀之。
HCH_012_168_000337	安數跪起求哀，無去意。
HCH_012_168_000338	恩直前摘其牙牌曰：「可出矣。」
HCH_012_168_000339	始惶遽索馬歸第，乞休去。
HCH_012_168_000340	時年已七十餘。
HCH_012_168_000341	尚於道上望三臺星，冀復用。
HCH_012_168_000342	居一年卒，贈太師，謚文康。
HCH_012_168_000343	初，孝穆皇太后之薨，內庭籍籍指萬貴妃。
HCH_012_168_000344	孝宗立，魚臺縣丞徐項上書發其事。
HCH_012_168_000345	廷臣議逮鞫萬氏戚屬曾出入宮掖者。
HCH_012_168_000346	安驚懼不知所為，曰：「我久不與萬氏往來矣。」
HCH_012_168_000347	而劉吉先與萬氏姻，亦自危。
HCH_012_168_000348	其黨尹直尚在閣，共擬旨寢之。
HCH_012_168_000349	孝宗仁厚，亦置不問，安、吉得無事。
HCH_012_168_000350	安在政府二十年，每遇試，必令其門生為考官，子孫甥婿多登第者。
HCH_012_168_000351	子翼，南京禮部侍郎。
HCH_012_168_000352	孫弘璧，翰林編修。
HCH_012_168_000353	安死無幾，翼、弘璧相繼死，安竟無後。
HCH_012_168_000354	劉珝，字叔溫，壽光人。
HCH_012_168_000355	正統十三年進士。
HCH_012_168_000356	改庶吉士，授編修。
HCH_012_168_000357	天順中，歷右中允，侍講東宮。
HCH_012_168_000358	憲宗即位，以舊宮僚屢遷太常卿，兼侍讀學士，直經筵日講。
HCH_012_168_000359	成化十年進吏部左侍郎，充講官如故。
HCH_012_168_000360	珝每進講，反覆開導，詞氣侃侃，聞者為悚。
HCH_012_168_000361	學士劉定之稱為講官第一，憲宗亦愛重之。
HCH_012_168_000362	明年詔以本官兼翰林學士，入閣預機務。
HCH_012_168_000363	帝每呼「東劉先生」，賜印章一，文曰「嘉猷贊翊」。
HCH_012_168_000364	尋進吏部尚書，再加太子少保、文淵閣大學士。
HCH_012_168_000365	《文華大訓》成。
HCH_012_168_000366	加太子太保，進謹身殿大學士。
HCH_012_168_000367	珝性疏直。
HCH_012_168_000368	自以宮僚舊臣，遇事無所回護。
HCH_012_168_000369	員外郎林俊以劾梁芳、繼曉下獄，珝於帝前解之。
HCH_012_168_000370	李孜省輩左道亂政，欲動搖東宮。
HCH_012_168_000371	珝密疏諫，謀少阻。
HCH_012_168_000372	素薄萬安，嘗斥安負國無恥。
HCH_012_168_000373	安積忿，日夜思中珝。
HCH_012_168_000374	初，商輅之劾汪直也，珝與萬安、劉吉助之爭，得罷西廠。
HCH_012_168_000375	他日，珝又折王越於朝，越慚而退。
HCH_012_168_000376	已而西廠復設，珝不能有所諍。
HCH_012_168_000377	至十八年，安見直寵衰，揣知西廠當罷，邀珝同奏。
HCH_012_168_000378	珝辭不與，安遂獨奏。
HCH_012_168_000379	疏上，帝頗訝無珝名。
HCH_012_168_000380	安陰使人訐珝與直有連。
HCH_012_168_000381	會珝子鎡邀妓狎飲，裏人趙賓戲為《劉公子曲》，或增飾穢語，雜教坊院本奏之。
HCH_012_168_000382	帝大怒，決意去珝。
HCH_012_168_000383	遣中官覃昌召安、吉赴西角門，出帝手封書一函示之。
HCH_012_168_000384	安等佯驚救。
HCH_012_168_000385	次日，珝具疏乞休。
HCH_012_168_000386	令馳驛，賜月廩、歲隸、白金、楮幣甚厚。
HCH_012_168_000387	其實排珝使去者，安、吉兩人謀也。
HCH_012_168_000388	時內閣三人，安貪狡，吉陰刻。
HCH_012_168_000389	珝稍優，顧喜譚論，人目為狂躁。
HCH_012_168_000390	珝既倉卒引退，而彭華、尹直相繼入內閣，安、吉之黨乃益固。
HCH_012_168_000391	珝初遭母憂，廬墓三年。
HCH_012_168_000392	比歸，侍父盡孝。
HCH_012_168_000393	父歿，復廬於墓。
HCH_012_168_000394	弘治三年卒，謚文和。
HCH_012_168_000395	嘉靖初，以言官請，賜祠額曰「昭賢」，仍遣官祭之。
HCH_012_168_000396	子鈗，字汝中。
HCH_012_168_000397	八歲時，憲宗召見，愛其聰敏，且拜起如禮，即命為中書舍人。
HCH_012_168_000398	宮殿門閾高，同官楊一清常提之出入。
HCH_012_168_000399	帝慮牙牌易損，命易以銀。
HCH_012_168_000400	歷官五十餘年，嘉靖中至太常卿，兼五經博士，仍供事內閣誥敕房。
HCH_012_168_000401	博學有行誼，與長洲劉棨並淹貫故實，時稱「二劉」。
HCH_012_168_000402	劉吉，字祐之，博野人。
HCH_012_168_000403	正統十三年進士。
HCH_012_168_000404	改庶吉士，授編修，充經筵官。
HCH_012_168_000405	《寰宇通志》成，進修撰。
HCH_012_168_000406	天順四年侍講讀於東宮，以憂歸。
HCH_012_168_000407	憲宗即位。
HCH_012_168_000408	召纂《英宗實錄》。
HCH_012_168_000409	至京，上疏乞終制。
HCH_012_168_000410	不允，進侍讀。
HCH_012_168_000411	《實錄》成，遷侍讀學士，直經筵。
HCH_012_168_000412	累遷禮部左侍郎。
HCH_012_168_000413	成化十一年與劉珝同受命，兼翰林學士，入閣預機務。
