HCH_012_217_000130	鯉初官翰林，中官黃錦緣同鄉以幣交，拒不納。
HCH_012_217_000131	教習內書堂，侍講筵，皆數與巨珰接，未嘗與交。
HCH_012_217_000132	及官愈高，益無所假借，雖上命及政府指，不徇也。
HCH_012_217_000133	十四年春，貴妃鄭氏生子，進封皇貴妃。
HCH_012_217_000134	鯉率僚屬請冊建皇長子，進封其母，不許。
HCH_012_217_000135	未幾，復以為言，且請宥建儲貶官姜應麟等。
HCH_012_217_000136	忤旨譙讓。
HCH_012_217_000137	帝既卻群臣請，因詔諭少俟二三年。
HCH_012_217_000138	至十六年，期已屆，鯉執前旨固請，帝復不從。
HCH_012_217_000139	鯉素鯁亮。
HCH_012_217_000140	其在部持典禮，多所建白。
HCH_012_217_000141	念時俗侈靡，稽先朝典制，自喪祭、冠婚、宮室、器服率定為中制，頒天下。
HCH_012_217_000142	又以士習不端，奏行學政八事。
HCH_012_217_000143	又請復建文年號，重定《景帝實錄》，勿稱郕戾王。
HCH_012_217_000144	大同巡撫胡來貢議移祀北嶽渾源，力駁其無據。
HCH_012_217_000145	太廟侑享，請移親王及諸功臣於兩廡，毋與帝後雜祀。
HCH_012_217_000146	進世廟諸妃葬金山者，配食永陵。
HCH_012_217_000147	諸帝陵祀，請各遣，官毋兼攝。
HCH_012_217_000148	諸王及妃墳祝版稱謂未協者，率請裁定。
HCH_012_217_000149	帝憂旱，步禱郊壇，議分遣大臣禱天下名山大川。
HCH_012_217_000150	鯉言使臣往來驛騷，恐重困民，請齋三日，以告文授太常屬致之，罷寺觀勿禱，帝多可其奏。
HCH_012_217_000151	鄭貴妃父成憲為父請恤，援後父永年伯例，鯉力駁之。
HCH_012_217_000152	詔畀葬資五千金，鯉復言過濫。
HCH_012_217_000153	順義王妻三娘子請封，鯉不予妃號，但稱夫人。
HCH_012_217_000154	真人張國祥言肅皇享國久長，由虔奉玄修所致，勸帝效之，鯉劾國祥詆誣導諛，請正刑辟。
HCH_012_217_000155	事亦寢。
HCH_012_217_000156	秦王誼璟故由中尉入繼，而乞封其弟郡王，中貴為請，申時行助之，鯉不可。
HCH_012_217_000157	唐府違帛請封妾子，執不從，帝並以特旨許之。
HCH_012_217_000158	京師久旱，鯉備陳恤民實政以崇儉戒奢為本，且請減織造。
HCH_012_217_000159	已，京師地震，又請謹天若戒，恤民窮。
HCH_012_217_000160	畿輔大侵，請上下交修，詞甚切。
HCH_012_217_000161	帝以四方災，敕廷臣修省，鯉因請大損供億營建，振救小民。
HCH_012_217_000162	帝每嘉納。
HCH_012_217_000163	初，藩府有所奏請，賄中貴居間，禮臣不敢違，輒如誌。
HCH_012_217_000164	至鯉，一切格之，中貴皆大怨，數以事間於帝。
HCH_012_217_000165	帝漸不能無疑，累加詰責，且奪其俸。
HCH_012_217_000166	鯉自是有去志。
HCH_012_217_000167	而時行銜鯉不附己，亦忌之。
HCH_012_217_000168	一日，鯉請告，遽擬旨放歸。
HCH_012_217_000169	帝曰：「沈尚書好官，奈何使去？」
HCH_012_217_000170	傳旨諭留。
HCH_012_217_000171	時行益忌。
HCH_012_217_000172	其私人給事中陳與郊為人求考官不得，怨鯉，屬其同官陳尚象劾之。
HCH_012_217_000173	與郊復危言撼鯉，鯉求去益力。
HCH_012_217_000174	帝有意大用鯉，微言：「沈尚書不曉人意。」
HCH_012_217_000175	有老宮人從子為內豎者，走告鯉；司禮張誠亦屬鯉鄉人內豎廖某密告之。
HCH_012_217_000176	鯉並拒之，曰：「禁中語，非所敢聞。」
HCH_012_217_000177	皆恚而去。
HCH_012_217_000178	鯉卒屢疏引疾歸。
HCH_012_217_000179	累推內閣及吏部尚書，皆不用。
HCH_012_217_000180	二十二年，起南京禮部尚書，辭弗就。
HCH_012_217_000181	二十九年，趙志臯卒，沈一貫獨當國。
HCH_012_217_000182	廷推閣臣，詔鯉以故官兼東閣大學士，入參機務，與朱賡並命。
HCH_012_217_000183	屢辭不允。
HCH_012_217_000184	明年七月始入朝，時年七十有一矣。
