HCH_013_057_000110	十一月，兵部尚書王憲謂「大同之變，非大發兵誅之不可」。
HCH_013_057_000111	張孚敬主其議，乃以汪桓總兵，擢參政樊繼祖為大同巡撫。
HCH_013_057_000112	繼祖至陽和，與劉源清議大忤，遂上疏請假金牌，單騎入城諭之可立下。
HCH_013_057_000113	且云：「恐賊計無聊，且北走胡，貽患非小也。」
HCH_013_057_000114	疏入，不報。
HCH_013_057_000115	源清於諸關設邏卒，遏城中章疏。
HCH_013_057_000116	又連疏奏：「宗室、諸文武悉已從賊，實天欲棄此城矣。」
HCH_013_057_000117	兵部是其議，有旨命趨攻之。
HCH_013_057_000118	源清乃百道攻城，令郎中李文芝、主事楚書穴城決水灌之，諸叛卒堅守不下。
HCH_013_057_000119	十三年春正月，小王子寇大同塞。
HCH_013_057_000120	初，大同叛卒大掠城中，潛出漠北，誘小王子數萬人大舉入寇。
HCH_013_057_000121	郤永帥師禦之失利，殺傷甚眾。
HCH_013_057_000122	城中叛卒鼓譟以應之，其渠長數十人入城，諸叛卒指代府曰：「兵退以此謝。」
HCH_013_057_000123	小王子留精兵相持，餘眾分掠渾、應、朔、懷諸郡邑，數月乃去。
HCH_013_057_000124	羽檄達京師，中外洶洶。
HCH_013_057_000125	二月，劉源清罷。
HCH_013_057_000126	源清畏北騎猖獗，再請設總制分禦之，而己專事攻城。
HCH_013_057_000127	張孚敬請從之，上納夏言議，不許。
HCH_013_057_000128	下御劄，謂：「叛卒殺主將，法毋赦。然非舉城所為，郤永、劉源清貪功引水灌城，大同北門鎖鑰，源清必欲城破人誅。縱使成功，何由興復？其罪二臣，別遣大臣禦之。密擒逆賊之魁，庶免師老財匱。」
HCH_013_057_000129	劄下，中外始知用兵非朝廷意。
HCH_013_057_000130	源清聞之，乃詣城下索首惡。
HCH_013_057_000131	時郎中詹榮、都指揮紀振、游擊戴廉俱陷賊中，相與謀曰：「總制誠索首惡，當謀為內應。」
HCH_013_057_000132	指揮馬昇者，為賊所擁戴，威令行於城中。
HCH_013_057_000133	榮等激以大義，昇委心焉，遂歃血盟。
HCH_013_057_000134	令鎮撫王掌出告樊繼祖，繼祖深加獎慰。
HCH_013_057_000135	告源清，源清陽許之，令人穴城詐給票，汲水灌之，穴者死焉。
HCH_013_057_000136	昇大恚恨，將不利於榮等，事遂已。
HCH_013_057_000137	源清知不可為，乃謝病乞解任。
HCH_013_057_000138	上大怒，罷斥之，以戶部侍郎張瓚代源清總制。
HCH_013_057_000139	瓚入軍，下令曰：「毋攻城，吾將有請也。」
HCH_013_057_000140	因遣騎招孫允中於懷仁與議，時允中已被劾落職矣。
HCH_013_057_000141	又密遣使諭城中：「主事楚書觀兵城下。」
HCH_013_057_000142	城中登陴請曰：「吾輩非殺將者，畏死自全耳！」
HCH_013_057_000143	請書入，書遂入慰諭之。
HCH_013_057_000144	且言：「用兵非朝廷意。」
HCH_013_057_000145	眾皆望闕呼萬歲。
