HCH_012_010_000140	乙亥，免陝西屯糧十之五。
HCH_012_010_000141	戊寅，賜劉儼等進士及第、出身有差。
HCH_012_010_000142	夏四月甲午，振陝西饑。
HCH_012_010_000143	是月，免山西、河南、山東被災稅糧。
HCH_012_010_000144	五月壬申，論平麓川功，進封蔣貴為侯，王驥靖遠伯。
HCH_012_010_000145	戊寅，立皇后錢氏。
HCH_012_010_000146	丁亥，倭陷大嵩所。
HCH_012_010_000147	六月壬子，戶部侍郎焦宏備倭浙江。
HCH_012_010_000148	秋七月丙寅，振陝西饑民，贖民所鬻子女。
HCH_012_010_000149	八月壬寅，復命王驥總督雲南軍務。
HCH_012_010_000150	九月甲戌，陝西進嘉禾，禮臣請表賀，不許。
HCH_012_010_000151	冬十月壬辰，兀良哈犯廣寧。
HCH_012_010_000152	乙巳，太皇太后崩。
HCH_012_010_000153	十二月，葬誠孝昭皇后於獻陵。
HCH_012_010_000154	是年，占城、瓦剌、哈密、琉球中山、安南、爪哇、土魯番、烏斯藏入貢。
HCH_012_010_000155	八年春正月丁卯，大祀天地於南郊。
HCH_012_010_000156	二月己丑，汰南京冗官。
HCH_012_010_000157	戊戌，淮王瞻墺來朝。
HCH_012_010_000158	丙午，荊王瞻堈來朝。
HCH_012_010_000159	夏五月己巳，復命平蠻將軍蔣貴、王驥帥師征麓川思任發子思機發。
HCH_012_010_000160	戊寅，雷震奉天殿鴟吻，敕修省。
HCH_012_010_000161	壬午，大赦。
HCH_012_010_000162	六月丁亥，侍講劉球陳十事，下錦衣衞獄，太監王振使指揮馬順殺之。
HCH_012_010_000163	甲辰，下大理少卿薛瑄於獄。
HCH_012_010_000164	秋七月戊午，祭酒李時勉荷校於國子監門三日。
HCH_012_010_000165	九月甲子，思機發請降。
HCH_012_010_000166	冬十一月，宣宗廢后胡氏卒。
HCH_012_010_000167	十二月癸未，免山東復業民稅糧二年。
HCH_012_010_000168	丙戌，駙馬都尉焦敬荷校於長安右門。
HCH_012_010_000169	是年，占城、安南、瓦剌、哈密、爪哇入貢。
HCH_012_010_000170	九年春正月甲寅，右都御史王文巡延安、寧夏邊。
HCH_012_010_000171	辛酉，大祀天地於南郊。
HCH_012_010_000172	辛未，成國公朱勇，興安伯徐亨，都督馬亮、陳懷，同太監僧保、曹吉祥、劉永誠、但住分道討兀良哈。
HCH_012_010_000173	二月丙午，王驥擊走思機發，俘其孥以獻。
HCH_012_010_000174	召驥還。
HCH_012_010_000175	三月辛亥朔，新建太學成，釋奠於先師孔子。
HCH_012_010_000176	甲子，朱勇等師還。
HCH_012_010_000177	楊士奇卒。
HCH_012_010_000178	乙丑，敍征兀良哈功，封陳懷平鄉伯，馬亮招遠伯；成國公朱勇等進秩有差。
HCH_012_010_000179	夏四月丙戌，翰林學士陳循直文淵閣，預機務。
HCH_012_010_000180	丁亥，振沙州及赤斤蒙古饑。
HCH_012_010_000181	五月己未，命法司錄在京刑獄，刑部侍郎馬昂錄南京刑獄。
HCH_012_010_000182	六月壬午，振湖廣、貴州蠻饑。
HCH_012_010_000183	秋七月己酉，下駙馬都尉石璟於獄。
HCH_012_010_000184	處州賊葉宗留盜福安銀礦，殺福建參議竺淵，癸丑，免河南被災稅糧。
HCH_012_010_000185	閏月戊寅，復開福建、浙江銀場。
HCH_012_010_000186	甲申，瘞暴骸。
HCH_012_010_000187	壬寅，雷震奉先殿鴟吻。
HCH_012_010_000188	八月庚戌，免陝西被災稅糧，贖民所鬻子女。
HCH_012_010_000189	甲戌，敕邊將備瓦剌也先。
HCH_012_010_000190	九月丁亥，靖遠伯王驥、右都御史陳鎰經理西北邊備。
HCH_012_010_000191	冬十月丙午朔，日有食之。
HCH_012_010_000192	庚午，兀良哈貢馬謝罪。
HCH_012_010_000193	是年，兩畿、山東、河南、浙江、湖廣大水，江河皆溢。
HCH_012_010_000194	暹羅、琉球中山、瓦剌、安南、烏斯藏、滿剌加入貢。
HCH_012_010_000195	十年春正月丙戌，大祀天地於南郊。
HCH_012_010_000196	戊子，詔舉智勇之士。
HCH_012_010_000197	二月丁巳，京師地震。
HCH_012_010_000198	己未，免陝西逋賦。
HCH_012_010_000199	丙寅，兀良哈貢馬，請貸犯邊者罪，不許。
HCH_012_010_000200	壬申，如天壽山。
HCH_012_010_000201	三月丙子，還宮。
HCH_012_010_000202	庚辰，思機發入貢謝罪。
HCH_012_010_000203	庚寅，賜商輅等進士及第、出身有差。
HCH_012_010_000204	夏四月甲辰朔，日有食之。
HCH_012_010_000205	庚申，詔所在有司飼逃民復業及流移就食者。
HCH_012_010_000206	六月乙丑，振陝西饑，免田租三之二。
HCH_012_010_000207	秋七月乙未，減糶河南、懷慶倉粟，濟山、陝饑。
HCH_012_010_000208	八月癸丑，免湖廣旱災秋糧。
HCH_012_010_000209	丙辰，免蘇、松、嘉、湖十四府州水災秋糧。
HCH_012_010_000210	冬十月戊辰，侍讀學士苗衷為兵部侍郎，侍講學士高穀為工部侍郎，並入閣預機務。
HCH_012_010_000211	十二月丙辰，緬甸獲思任發，斬其首送京師。
HCH_012_010_000212	壬戌，輸河南粟振陝西饑。
HCH_012_010_000213	廣西總兵官安遠侯柳溥討平慶遠叛蠻。
HCH_012_010_000214	是年，琉球中山、哈密、亦力把里、安南、占城、滿剌加、錫蘭山、撒馬兒罕、烏斯藏入貢。
HCH_012_010_000215	十一年春正月己卯，大祀天地於南郊。
HCH_012_010_000216	庚辰，予太監王振等弟姪世襲錦衣衞官。
HCH_012_010_000217	二月辛酉，異氣見華蓋、奉天殿，遣官祭告天地。
HCH_012_010_000218	癸亥，詔卹刑獄。
HCH_012_010_000219	三月戊辰，下戶部尚書王佐、刑部尚書金濂、右都御史陳鎰等於錦衣衞獄，尋釋之。
HCH_012_010_000220	壬申，御史柳華督福建、浙江、江西兵討礦賊。
HCH_012_010_000221	癸酉，如天壽山。
HCH_012_010_000222	庚辰，還宮。
HCH_012_010_000223	夏六月丙辰，京師地震。
HCH_012_010_000224	秋七月癸酉，增市廛稅鈔。
HCH_012_010_000225	庚辰，楊溥卒。
HCH_012_010_000226	八月戊戌，免湖廣被災秋糧。
HCH_012_010_000227	庚申，下吏部尚書王直等於獄，尋釋之。
HCH_012_010_000228	九月辛巳，廣西瑤叛，執化州知州茅自得，殺千戶汪義。
HCH_012_010_000229	冬十月甲寅，遣給事中、御史分賚諸邊軍士。
HCH_012_010_000230	十一月壬申，減殊死以下罪。
HCH_012_010_000231	是年，琉球中山、暹羅、安南、爪哇、回回哈密、占城、亦力把里、撒馬兒罕、烏斯藏入貢。
HCH_012_010_000232	十二年春正月癸酉，大祀天地於南郊。
HCH_012_010_000233	三月癸亥，如天壽山。
HCH_012_010_000234	庚午，還宮。
HCH_012_010_000235	丙子，免杭、嘉、湖被災秋糧。
HCH_012_010_000236	夏四月丁巳，免蘇、松、常、鎮被災秋糧。
HCH_012_010_000237	五月己亥，大理少卿張驥振濟寧及淮、揚饑。
HCH_012_010_000238	秋七月甲辰，敕各邊練軍備瓦剌。
HCH_012_010_000239	八月庚申朔，日有食之。
HCH_012_010_000240	九月乙未，馬愉卒。
HCH_012_010_000241	是年，琉球中山、安南、占城、瓦剌、爪哇、哈密、暹羅入貢。
HCH_012_010_000242	十三年春正月丁酉，大祀天地於南郊。
HCH_012_010_000243	三月戊子，詔責孟養宣慰司獻思機發。
HCH_012_010_000244	壬寅，賜彭時等進士及第、出身有差。
HCH_012_010_000245	王驥仍總督軍務，都督同知宮聚為平蠻將軍，充總兵官，帥師討思機發。
HCH_012_010_000246	夏四月，免浙江、江西、湖廣被災秋糧。
HCH_012_010_000247	五月丙戌，遣使捕山東蝗。
HCH_012_010_000248	甲辰，刑部侍郎丁鉉撫輯河南、山東災民。
HCH_012_010_000249	秋七月乙酉，河決大名，沒三百餘里，遣使蠲振。
HCH_012_010_000250	己酉，河決河南，沒曹、濮、東昌，潰壽張沙灣，壞運道，工部侍郎王永和治之。
HCH_012_010_000251	八月乙卯，福建賊鄧茂七作亂。
HCH_012_010_000252	甲戌，命御史丁瑄捕之。
HCH_012_010_000253	冬十一月丙戌，寧陽侯陳懋充總兵官，保定伯梁珤、平江伯陳豫副之，太監曹吉祥、王瑾提督火器，刑部尚書金濂參贊軍務，討鄧茂七。
HCH_012_010_000254	甲辰，處州賊流劫金華諸縣。
HCH_012_010_000255	庚戌，永康侯徐安備倭山東。
HCH_012_010_000256	十二月庚午，廣東瑤賊作亂。
HCH_012_010_000257	是年，琉球中山、安南、占城入貢。
HCH_012_010_000258	瓦剌貢使三千人，賞不如例，遂構釁。
HCH_012_010_000259	十四年春正月甲午，大祀天地於南郊。
HCH_012_010_000260	乙巳，免浙江、福建銀課。
HCH_012_010_000261	二月丁巳，御史丁瑄、指揮劉福擊斬鄧茂七於延平。
HCH_012_010_000262	己巳，王驥破思機發於金沙江，又破之鬼哭山，班師。
HCH_012_010_000263	辛未，指揮僉事徐恭充總兵官，討處州賊葉宗留，工部尚書石璞參贊軍務。
HCH_012_010_000264	三月戊子，如天壽山。
HCH_012_010_000265	癸巳，還宮。
HCH_012_010_000266	夏四月庚戌，處州賊犯崇安，殺都指揮吳剛。
HCH_012_010_000267	壬戌，湖廣、貴州苗賊大起，命王驥討之。
HCH_012_010_000268	乙丑，遣御史十三人同中官督福建、浙江銀課。
HCH_012_010_000269	五月丙戌，陳懋擊破沙縣賊。
HCH_012_010_000270	壬辰，旱，太監金英同法司錄囚。
HCH_012_010_000271	己亥，侍讀學士張益直文淵閣，預機務。
HCH_012_010_000272	庚子，巡按福建御史汪澄棄市，幷殺前巡按御史柴文顯。
HCH_012_010_000273	六月庚戌，靖州苗犯辰溪，都指揮高亮戰死。
HCH_012_010_000274	丙辰，南京謹身諸殿災。
HCH_012_010_000275	甲子，修省。
HCH_012_010_000276	詔河南、山西班軍番休者盡赴大同、宣府。
HCH_012_010_000277	乙丑，西寧侯宋瑛總督大同兵馬。
HCH_012_010_000278	己巳，赦天下。
HCH_012_010_000279	戊寅，平鄉伯陳懷，駙馬都尉井源，都督王貴、吳克勤，太監林壽，分練京軍於大同、宣府，備瓦剌。
HCH_012_010_000280	秋七月己丑，瓦剌也先寇大同，參將吳浩戰死，下詔親征。
HCH_012_010_000281	吏部尚書王直帥羣臣諫，不聽。
HCH_012_010_000282	癸巳，命郕王居守。
HCH_012_010_000283	是日，西寧侯宋瑛、武進伯朱冕與瓦剌戰於陽和，敗沒。
HCH_012_010_000284	甲午，發京師。
HCH_012_010_000285	乙未，次龍虎臺，軍中夜驚。
HCH_012_010_000286	丁酉，次居庸關。
HCH_012_010_000287	辛丑，次宣府。
HCH_012_010_000288	羣臣屢請駐蹕，不許。
HCH_012_010_000289	丙午，次陽和。
HCH_012_010_000290	八月戊申，次大同。
HCH_012_010_000291	鎮守太監郭敬諫，議旋師。
HCH_012_010_000292	己酉，廣寧伯劉安為總兵官，鎮大同。
HCH_012_010_000293	庚戌，師還。
HCH_012_010_000294	丁巳，次宣府。
HCH_012_010_000295	庚申，瓦剌兵大至，恭順侯吳克忠、都督吳克勤戰沒，成國公朱勇、永順伯薛綬救之，至鷂兒嶺遇伏，全軍盡覆。
HCH_012_010_000296	辛酉，次土木，被圍。
HCH_012_010_000297	壬戌，師潰，死者數十萬。
HCH_012_010_000298	英國公張輔，泰寧侯陳瀛，駙馬都尉井源，平鄉伯陳懷，襄城伯李珍，遂安伯陳塤，修武伯沈榮，都督梁成、王貴，尚書王佐、鄺埜，學士曹鼐、張益，侍郎丁鉉、王永和，副都御史鄧棨等，皆死，帝北狩。
HCH_012_010_000299	甲子，京師聞敗，羣臣聚哭於朝，侍講徐珵請南遷，兵部侍郎于謙不可。
HCH_012_010_000300	乙丑，皇太后命郕王監國。
HCH_012_010_000301	戊辰，帝至大同。
HCH_012_010_000302	己巳，皇太后命立皇子見深為皇太子。
HCH_012_010_000303	辛未，帝至威寧海子。
HCH_012_010_000304	甲戌，至黑河。
HCH_012_010_000305	九月癸未，郕王即位，遙尊帝為太上皇帝。
