HCH_012_030_000134	山東春夏大旱，千里如焚。
HCH_012_030_000135	四十四年，陝西旱。
HCH_012_030_000136	秋冬，廣東大旱。
HCH_012_030_000137	四十五年夏，畿南亢旱。
HCH_012_030_000138	四十七年，廣西梧州旱，赤地如焚。
HCH_012_030_000139	泰昌元年，遼東旱。
HCH_012_030_000140	天啓元年，久旱。
HCH_012_030_000141	五年，真、順、保、河四府，三伏不雨，秋復旱。
HCH_012_030_000142	七年，四川大旱。
HCH_012_030_000143	崇禎元年夏，畿輔旱，赤地千里。
HCH_012_030_000144	三年三月，旱，擇日親禱。
HCH_012_030_000145	五年，杭、嘉、湖三府自八月至十月七旬不雨。
HCH_012_030_000146	六年，京師及江西旱。
HCH_012_030_000147	十年夏，京師及河東不雨，江西大旱。
HCH_012_030_000148	十一年，兩京及山東、山西、陝西旱。
HCH_012_030_000149	十二年，畿南、山東、河南、山西、浙江旱。
HCH_012_030_000150	十三年，兩京及登、青、萊三府旱。
HCH_012_030_000151	十四年，兩京、山東、河南、湖廣及宣、大邊地旱。
HCH_012_030_000152	十六年五月辛丑，祈禱雨澤，命臣工痛加修省。
HCH_012_030_000153	太祖吳元年，張士誠弟僞丞相士信及黃敬夫、葉德新、蔡彥文用事。
HCH_012_030_000154	時有十七字謠曰：「丞相做事業，專靠黃、蔡、葉。一朝西風起，乾鱉。」
HCH_012_030_000155	未幾，蘇州平，士信及三人者皆被誅，此其應也。
HCH_012_030_000156	建文初年，有道士歌於途曰：「莫逐燕，逐燕日高飛，高飛上帝畿。」
HCH_012_030_000157	已忽不見，是靖難之讖也。
HCH_012_030_000158	正統二年，京師旱，街巷小兒爲土龍禱雨，拜而歌曰：「雨帝雨帝，城隍土地。雨若再來，還我土地。」
HCH_012_030_000159	說者謂「雨帝。」
HCH_012_030_000160	者，與弟也，帝弟同音。
HCH_012_030_000161	「城隍。」
HCH_012_030_000162	者，郕王。
HCH_012_030_000163	「再來」、「還土地。」
HCH_012_030_000164	者，復辟也。
HCH_012_030_000165	萬曆末年，有道士歌於市曰：「委鬼當頭坐，茄花遍地生。」
HCH_012_030_000166	北人讀客爲楷，茄又轉音，爲魏忠賢、客氏之兆。
HCH_012_030_000167	又成都東門外鎮江橋回瀾塔，萬曆中佈政餘一龍所修也。
HCH_012_030_000168	張獻忠破蜀毀之，穿地取磚，得古碑。
HCH_012_030_000169	上有篆書云：「修塔餘一龍，拆塔張獻忠。歲逢甲乙丙，此地血流紅。妖運終川北，毒氣播川東。吹簫不用竹，一箭貫當胸。漢元興元年，丞相諸葛孔明記。」
HCH_012_030_000170	本朝大兵西征，獻忠被射而死，時肅王爲將。
HCH_012_030_000171	又有謠曰：「鄴臺復鄴臺，曹操再出來。」
HCH_012_030_000172	賊羅汝才自號曹操，此其兆也。
HCH_012_030_000173	弘治九年八月，有黑熊自都城蓮池緣城上西直門，官軍逐之下，不能獲。
HCH_012_030_000174	齧死一人，傷一人。
HCH_012_030_000175	十一年六月，有熊自西直門入城，郎中何孟春曰：「當備盜，亦宜慎火。宋紹興間熊抵永嘉城，州守高世則以熊字能火，戒郡中慎火，果延燒廬舍，此其兆也。」
HCH_012_030_000176	是年，城內多火災。
HCH_012_030_000177	嘉靖五年七月，南城縣有虎，具人手足。
HCH_012_030_000178	四十五年六月，太醫院吏目李乾獻兔，體備五色，以爲瑞兔。
HCH_012_030_000179	嘉靖二十年，民家生一犬，八足四耳四目。
HCH_012_030_000180	萬曆四十七年七月，懷寧民家產一犬，長五寸，高四寸，一頭二身八腳，狀如人。
HCH_012_030_000181	洪武十一年正月元旦甲戌，早朝，殿上金鐘始叩，忽斷爲二。
HCH_012_030_000182	六月丁卯夜，寧夏衛風雨，兜鍪旗槊皆有火光。
HCH_012_030_000183	十二年十二月甲子，徐州衛譙樓銅壺自鳴。
HCH_012_030_000184	乙丑，復鳴。
HCH_012_030_000185	是歲，胡惟庸井中生石筍，去之，筍復旁出者三。
HCH_012_030_000186	次年，惟庸伏誅。
HCH_012_030_000187	建文二年四月乙卯，燕王營於蘇家橋，兵端火光如球，上下相擊，金鐵錚錚，弓弦自鳴。
HCH_012_030_000188	成化十三年六月壬子，雨錢於京師。
HCH_012_030_000189	正德四年三月甲寅，蓋州衛城樓鍾自鳴者三。
HCH_012_030_000190	七年，文登秦始皇廟鐘鼓自鳴。
HCH_012_030_000191	成山衛如之。
HCH_012_030_000192	嘉靖六年五月甲午，京師雨錢。
HCH_012_030_000193	隆慶六年七月七日，有物轟轟，飛至直隸華亭海濱墜於地，乃鍾也。
HCH_012_030_000194	鑄時年月具在，識者謂其來自閩云。
HCH_012_030_000195	萬曆二十一年十月甲申，山東督撫令旗及刀槍頭皆火出，且有聲。
HCH_012_030_000196	二十六年五月庚寅，古浪城樓大鐘自鳴者三。
HCH_012_030_000197	天啓六年五月丁未，京城石獅擲出城外。
HCH_012_030_000198	銀、錢、器皿飄至昌平閱武場中。
HCH_012_030_000199	崇禎六年五月癸巳，有鐵斧飛落霍山縣。
HCH_012_030_000200	八年十二月辛巳，夜四鼓，山東鎮南城樓大砲鳴如鍾，至黎明，大吼一聲乃止。
HCH_012_030_000201	十三年三月丙申，蘄州城隍廟古鐘自鳴。
HCH_012_030_000202	洪熙元年六月庚戌，中天有白氣，東西竟天。
HCH_012_030_000203	宣德元年六月癸未夜，有蒼白氣，東西竟天。
HCH_012_030_000204	八月庚辰，東南有白氣，狀如羣羊驚走。
HCH_012_030_000205	既滅，有黑氣如死蛇，頃之分爲二。
HCH_012_030_000206	弘治五年十二月辛亥夜，東方有白氣，南北亙天，去地五丈。
HCH_012_030_000207	正德元年三月戊申夜，太原空中見紅光，如彎弓，長六七尺。
HCH_012_030_000208	旋變黃，又變白，漸長至二十餘丈，光芒亙天。
HCH_012_030_000209	嘉靖七年十二月望，白氣亙天津。
HCH_012_030_000210	《洪範》曰：「土爰稼穡。」
HCH_012_030_000211	稼穡不成，則土失其性矣。
