HCH_009_052_000137	若曆八任、或任至三十二年注下令，則免差須遍曆而後呈省。
HCH_009_052_000138	所曆之制，初、二下簿，三、四中簿，五、六、七上簿，犯選格者又曆上簿兩任，八、九則注下令，十中令，十一、十二上令。
HCH_009_052_000139	凡武舉，泰和三年格，上甲第一名遷忠勇校尉，第二、第三名遷忠翊校尉。
HCH_009_052_000140	中等遷修武校尉，收充親軍，不拘有無廕，視舊格減一百月出職。
HCH_009_052_000141	下等遷敦武校尉，亦收充親軍，減五十月出職。
HCH_009_052_000142	承安元年格，第一名所曆之職，初都巡、副將，二下令，三中令，四、五上令。
HCH_009_052_000143	第二、第三名，初巡尉、部將，二上簿，三下令，四中令，五、六上令。
HCH_009_052_000144	余人，初副巡、軍轄，二中簿，三下令，四中令，五、六上令。
HCH_009_052_000145	凡軍功有六：一曰川野見陣，最出當先，殺退敵軍。
HCH_009_052_000146	二曰攻打抗拒州縣山寨，奪得敵樓。
HCH_009_052_000147	三曰爭取船橋，越險先登。
HCH_009_052_000148	四曰遠探捕得喉舌。
HCH_009_052_000149	五曰險難之間，遠處報事情成功。
HCH_009_052_000150	六曰謀事得濟，越眾立功。
HCH_009_052_000151	皇統八年格，凡帶官一命昭信校尉正七品以上者，初除主簿及諸司副使正九品，二主簿及諸司使正八品，三下令從七品，四中令正七品，五上令，或通注鎮軍都指揮使正七品及正將。
HCH_009_052_000152	其官不至昭信及無官者，自初至三任通注丞、簿，四下令，五中令，六上令及知城寨從七品。
HCH_009_052_000153	章宗大定二十九年，遷至鎮國者取旨升除後。
HCH_009_052_000154	吏格之所定，女直人昭信校尉以上者，初下簿，二下令，三中令，四、五上令。
HCH_009_052_000155	女直一命遷至昭信校尉、余人至昭信已上者，初下簿，二中簿，三下令，四中令，五、六上令。
HCH_009_052_000156	凡至宣武將軍以上者，初下令，二中令，二中令，三、四上令。
HCH_009_052_000157	凡勞效謂年老千戶、謀克也。
HCH_009_052_000158	大定五年，制河南、陝西統軍司，千戶十年以上擬從七品，三十年千戶、四十年以上之謀克從八品，二十年以上千戶、三十年以上謀克從九品，二十年以上謀克與正班、與差使，十年以上賞銀絹，皆以所曆千戶、謀克、蒲輦單月日通算。
HCH_009_052_000159	二十年，制以先曾充軍管押千戶、謀克、蒲輦二十年以上、六十五歲放罷者，視其強健者與差除、令系班，不則量加遷賞。
HCH_009_052_000160	後更定吏格，若一命遷宣武將軍以上，當授從七品職事者，初下令，二中令，三、四上令。
HCH_009_052_000161	官不至宣武，初授八品者授錄事，二赤劇丞，三下令，四中令，五、六上令。
HCH_009_052_000162	初授九品官者，初下簿，二中簿，三上簿，四下令，五中令，六、七上令。
HCH_009_052_000163	大定九年格，三虞候順德軍千戶四十年以上者與從八品，三十年千戶、四十年以上謀克從九品，二十年以上千戶、三十年以上謀克與正班，以下賞銀絹。
HCH_009_052_000164	大定十四年，定隨路軍官出職，以新制從下創添兩重，舊遷忠武校尉者今遷忠勇校尉。
HCH_009_052_000165	中都永固軍指揮使及隨路埽兵指揮使出職，舊遷敦武校尉者今遷進義校尉。
HCH_009_052_000166	武衛軍，大定十七年定制，其猛安曰都將，謀克曰中尉，蒲輦曰隊正。
HCH_009_052_000167	都將三十月遷一官，至昭信注九品職事。
HCH_009_052_000168	以隊正升中尉。
HCH_009_052_000169	中尉升都將。
HCH_009_052_000170	省令史選之門有四：曰文資，曰女直進士，曰右職，曰宰執子，其出仕之制各異。
HCH_009_052_000171	文資者，舊惟聽左司官舉用，至熙宗皇統八年，省臣謂：「若止循舊例舉勾，久則善惡不分而多僥倖。」
HCH_009_052_000172	遂奏定制，自天眷二年及第榜次姓名，從上次第勾年至五十已上、官資自承直郎從六品至奉德大夫從五品，無公私過者，一闕勾二人試驗，可則收補，若皆可即籍名令還職待補。
HCH_009_052_000173	官至承直郎以上，一考得除正七品以上，從六品以下職事，兩考者除從六品以上、從五品以下。
HCH_009_052_000174	奉直大夫從六品以上，一考者除從六品以上。
HCH_009_052_000175	從五品以下，兩考者除從五品以上、正五品以下，節運同。
HCH_009_052_000176	正隆元年，罷是制，止於密院台及六部吏人令史內選充。
HCH_009_052_000177	大定元年，世宗以胥吏既貪墨，委之外路幹事又不知大體，徒多擾動，至二年，罷吏人而複皇統選進士之制。
HCH_009_052_000178	承直郎以上者，一考正七品，除運判、節察判、軍刺同知。
HCH_009_052_000179	兩考者從六品，除京運判、總府判、防禦同知。
