HCH_011_026_000113	蕭琛字彥瑜，蘭陵人。
HCH_011_026_000114	祖僧珍，宋廷尉卿。
HCH_011_026_000115	父惠訓，太中大夫。
HCH_011_026_000116	琛年數歲，從伯惠開撫其背曰：「必興吾宗。」
HCH_011_026_000117	琛少而朗悟，有縱橫才辯。
HCH_011_026_000118	起家齊太學博士。
HCH_011_026_000119	時王儉當朝，琛年少，未爲儉所識，負其才氣，欲候儉。
HCH_011_026_000120	時儉宴于樂游苑，琛乃著虎皮靴，策桃枝杖，直造儉坐，儉與語，大悅。
HCH_011_026_000121	儉爲丹陽尹，辟爲主簿，舉爲南徐州秀才，累遷司徒記室。
HCH_011_026_000122	永明九年，魏始通好，琛再銜命到桑乾，還爲通直散騎侍郎。
HCH_011_026_000123	時魏遣李道固來使，齊帝宴之。
HCH_011_026_000124	琛於御筵舉酒勸道固，道固不受，曰：「公庭無私禮，不容受勸。」
HCH_011_026_000125	琛徐答曰：「《詩》所謂『雨我公田，遂及我私』。」
HCH_011_026_000126	座者皆服，道固乃受琛酒。
HCH_011_026_000127	遷司徒右長史。
HCH_011_026_000128	出爲晉熙王長史、行南徐州事。
HCH_011_026_000129	還兼少府卿、尚書左丞。
HCH_011_026_000130	東昏初嗣立，時議以無廟見之典，琛議據《周頌烈文》、《閔予》皆爲卽位朝廟之典，於是從之。
HCH_011_026_000131	高祖定京邑，引爲驃騎諮議，領錄事，遷給事黃門侍郎。
HCH_011_026_000132	梁臺建，爲御史中丞。
HCH_011_026_000133	天監元年，遷庶子，出爲宣城太守。
HCH_011_026_000134	徵爲衛尉卿，俄遷員外散騎常侍。
HCH_011_026_000135	三年，除太子中庶子、散騎常侍。
HCH_011_026_000136	九年，出爲寧遠將軍、平西長史、江夏太守。
HCH_011_026_000137	始琛在宣城，有北僧南度，惟賚一葫蘆，中有《漢書序傳》。
HCH_011_026_000138	僧曰：「三輔舊老相傳，以爲班固真本。」
HCH_011_026_000139	琛固求得之，其書多有異今者，而紙墨亦古，文字多如龍舉之例，非隸非篆，琛甚秘之。
HCH_011_026_000140	及是行也，以書饟鄱陽王範，範乃獻于東宮。
HCH_011_026_000141	琛尋遷安西長史、南郡太守，母憂去官，又丁父艱。
HCH_011_026_000142	起爲信武將軍、護軍長史，俄爲貞毅將軍、太尉長史。
HCH_011_026_000143	出爲信威將軍、東陽太守，遷吳興太守。
HCH_011_026_000144	郡有項羽廟，土民名爲憤王，甚有靈驗，遂於郡廳事安施床幕爲神座，公私請禱，前後二千石皆於廳拜祠，而避居他室。
HCH_011_026_000145	琛至，徙神還廟，處之不疑。
HCH_011_026_000146	又禁殺牛解祀，以脯代肉。
HCH_011_026_000147	琛頻蒞大郡，不治產業，有闕則取，不以爲嫌。
HCH_011_026_000148	普通元年，徵爲宗正卿，遷左民尚書，領南徐州大中正，太子右衛率。
HCH_011_026_000149	徙度支尚書，左驍騎將軍，領軍將軍，轉秘書監、後軍將軍，遷侍中。
HCH_011_026_000150	高祖在西邸，早與琛狎，每朝宴，接以舊恩，呼爲宗老。
HCH_011_026_000151	琛亦奉陳昔恩，以「早簉中陽，夙忝同閈，雖迷興運，猶荷洪慈。」
HCH_011_026_000152	上答曰：「雖云早契闊，乃自非同志；勿談興運初，且道狂奴異。」
HCH_011_026_000153	琛常言：「少壯三好，音律、書、酒。年長以來，二事都廢，惟書籍不衰。」
HCH_011_026_000154	而琛性通脫，常自解竈，事畢餕餘，必陶然致醉。
HCH_011_026_000155	大通二年，爲金紫光祿大夫，加特進，給親信三十人。
HCH_011_026_000156	中大通元年，爲雲麾將軍、晉陵太守，秩中二千石。
HCH_011_026_000157	以疾自解，改授侍中、特進、金紫光祿大夫。
HCH_011_026_000158	卒，年五十二。
HCH_011_026_000159	遺令諸子，與妻同墳異藏，祭以蔬菜，葬日止車十乘，事存率素。
HCH_011_026_000160	乘輿臨哭甚哀。
HCH_011_026_000161	詔贈本官，加雲麾將軍，給東園秘器，朝服一具，衣一襲，賻錢二十萬，布百匹。
HCH_011_026_000162	諡曰平子。
HCH_011_026_000163	陸杲字明霞，吳郡吳人。
HCH_011_026_000164	祖徽，宋輔國將軍、益州刺史。
HCH_011_026_000165	父叡，揚州治中。
HCH_011_026_000166	杲少好學，工書畫，舅張融有高名，杲風韻舉動，頗類於融，時稱之曰：「無對日下，惟舅與甥。」
HCH_011_026_000167	起家齊中軍法曹行參軍，太子舍人，衛軍王儉主簿。
HCH_011_026_000168	遷尚書殿中曹郎，拜日，八座丞郎並到上省交禮，而杲至晚，不及時刻，坐免官。
HCH_011_026_000169	久之，以爲司徒竟陵王外兵參軍，遷征虜宜都王功曹史，驃騎晉安王諮議參軍，司徒從事中郎。
HCH_011_026_000170	梁臺建，以爲驃騎記室參軍，遷相國西曹掾。
HCH_011_026_000171	天監元年，除撫軍長史，母憂去職。
HCH_011_026_000172	服闋，拜建威將軍、中軍臨川王諮議參軍，尋遷黃門侍郎，右軍安成王長史。
HCH_011_026_000173	五年，遷御史中丞。
HCH_011_026_000174	杲性婞直，無所顧望。
HCH_011_026_000175	山陰令虞肩在任，贓污數百萬，杲奏收治。
HCH_011_026_000176	中書舍人黃睦之以肩事託杲，杲不答。
HCH_011_026_000177	高祖聞之，以問杲，杲答曰「有之」。
HCH_011_026_000178	高祖曰：「卿識睦之不？」
HCH_011_026_000179	杲答曰：「臣不識其人。」
HCH_011_026_000180	時睦之在御側，上指示杲曰：「此人是也。」
HCH_011_026_000181	杲謂睦之曰：「君小人，何敢以罪人屬南司？」
HCH_011_026_000182	睦之失色。
HCH_011_026_000183	領軍將軍張稷，是杲從舅，杲嘗以公事彈稷，稷因侍宴訴高祖曰：「陸杲是臣通親，小事彈臣不貸。」
HCH_011_026_000184	高祖曰：「杲職司其事，卿何得爲嫌！」
HCH_011_026_000185	杲在臺，號稱不畏強禦。
HCH_011_026_000186	六年，遷秘書監，頃之爲太子中庶子、光祿卿。
HCH_011_026_000187	八年，出爲義興太守，在郡寬惠，爲民下所稱。
HCH_011_026_000188	還爲司空臨川王長史、領揚州大中正。
HCH_011_026_000189	十四年，遷通直散騎侍郎，俄遷散騎常侍，中正如故。
HCH_011_026_000190	十五年，遷司徒左長史。
HCH_011_026_000191	十六年，入爲左民尚書，遷太常卿。
HCH_011_026_000192	普通二年，出爲仁威將軍、臨川內史。
HCH_011_026_000193	五年，入爲金紫光祿大夫，又領揚州大中正。
HCH_011_026_000194	中大通元年，加特進，中正如故。
HCH_011_026_000195	四年，卒，時年七十四。
HCH_011_026_000196	諡曰質子。
HCH_011_026_000197	杲素信佛法，持戒甚精，著《沙門傳》三十卷。
HCH_011_026_000198	弟煦，學涉有思理。
HCH_011_026_000199	天監初，歷中書侍郎，尚書左丞，太子家令，卒。
HCH_011_026_000200	撰《晉書》未就。
HCH_011_026_000201	又著《陸史》十五卷，《陸氏驪泉志》一卷，並行於世。
HCH_011_026_000202	子罩，少篤學，有文才，仕至太子中庶子、光祿卿。
HCH_011_026_000203	史臣曰：范岫、傅昭，並篤行清慎，善始令終，斯石建、石慶之徒矣。
HCH_011_026_000204	蕭琛、陸杲俱以才學著名。
HCH_011_026_000205	琛朗悟辯捷，加諳究朝典，高祖在田，與琛遊舊，及踐天曆，任遇甚隆，美矣。
HCH_011_026_000206	杲性婞直，無所忌憚，旣而執法憲臺，糾繩不避權幸，可謂允茲正色。
HCH_011_026_000207	《詩》云：「彼己之子，邦之司直。」
HCH_011_026_000208	杲其有焉。
HCH_011_026_000209	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
