HCH_010_047_000166	聖宗開泰元年見殿中高可恆。
HCH_010_047_000167	尚舍局。
HCH_010_047_000168	見《遼朝雜禮》。
HCH_010_047_000169	尚衣局奉御。
HCH_010_047_000170	翰林院。
HCH_010_047_000171	掌天子文翰之事。
HCH_010_047_000172	翰林都林牙。
HCH_010_047_000173	興宗重熙十三年見翰林都林牙耶律庶成。
HCH_010_047_000174	南面林牙。
HCH_010_047_000175	耶律磨魯古，聖宗統和初為南面林牙。
HCH_010_047_000176	翰林學士承旨。
HCH_010_047_000177	《趙延壽傳》見翰林學士承旨張礪。
HCH_010_047_000178	翰林學士。
HCH_010_047_000179	太宗大同元年見和凝為瀚林學士。
HCH_010_047_000180	翰林祭酒。
HCH_010_047_000181	韓德崇，景宗保寧初為翰林祭酒。
HCH_010_047_000182	知制誥。
HCH_010_047_000183	室昉，太宗入汴，詔知制誥。
HCH_010_047_000184	翰林畫待詔。
HCH_010_047_000185	聖宗開泰七年見翰林畫待詔陳昇。
HCH_010_047_000186	翰林醫官。
HCH_010_047_000187	天祚保大二年見提舉翰林醫官李奭。
HCH_010_047_000188	國史院。
HCH_010_047_000189	監修國史。
HCH_010_047_000190	聖宗統和九年見監修國史室昉。
HCH_010_047_000191	史館學士。
HCH_010_047_000192	景宗保寧八年見史館學士。
HCH_010_047_000193	史館修撰。
HCH_010_047_000194	劉輝，大安末為史館修撰。
HCH_010_047_000195	修國史。
HCH_010_047_000196	耶律玦，重熙初修國史。
HCH_010_047_000197	宣政殿。
HCH_010_047_000198	宣政殿學士。
HCH_010_047_000199	穆宗應曆元年見宣政殿學士李澣。
HCH_010_047_000200	觀書殿學士。
HCH_010_047_000201	王鼎，壽隆初為觀書殿學士。
HCH_010_047_000202	昭文館直學士。
HCH_010_047_000203	楊遵勗子晦為昭文館直學士。
HCH_010_047_000204	崇文館大學士。
HCH_010_047_000205	韓延徽，太祖時為崇文館大學士。
HCH_010_047_000206	乾文閣學士。
HCH_010_047_000207	王觀，道宗咸雍五年為乾文閣學士。
HCH_010_047_000208	宣徽院。
HCH_010_047_000209	太宗會同元年置。
HCH_010_047_000210	知宣徽院事。
HCH_010_047_000211	馬得臣，統和初知宣徽院事。
HCH_010_047_000212	內省使。
HCH_010_047_000213	聖宗太平九年初見內省使。
HCH_010_047_000214	內藏庫提點。
HCH_010_047_000215	道宗清寧元年見內藏庫提點耶律烏骨。
HCH_010_047_000216	內侍省官，並見《王繼恩》、《趙安仁傳》。
HCH_010_047_000217	客省。
HCH_010_047_000218	太宗會同元年置。
HCH_010_047_000219	都客省。
HCH_010_047_000220	興宗重熙十年見都客省回鶻重哥。
HCH_010_047_000221	客省使。
HCH_010_047_000222	會同五年見客省使耶律化哥。
HCH_010_047_000223	左客省使。
HCH_010_047_000224	蕭護思，應歷初為左客省使。
HCH_010_047_000225	四方館。
HCH_010_047_000226	四方館使。
HCH_010_047_000227	高勳，太宗入汴為四方館使。
HCH_010_047_000228	四方館副使。
HCH_010_047_000229	道宗咸雍五年，詔四方館副使止以契丹人充。
HCH_010_047_000230	引進使。
HCH_010_047_000231	聖宗統和二十八年見引進使韓杞。
HCH_010_047_000232	點簽司。
HCH_010_047_000233	同簽點簽司事。
HCH_010_047_000234	興宗重熙六年見同簽點簽司事耶律圓寧。
HCH_010_047_000235	勾當禮信司。
HCH_010_047_000236	興宗重熙七年見勾當禮信司骨欲。
HCH_010_047_000237	禮賓使。
HCH_010_047_000238	大公鼎曾祖忠為禮賓使。
HCH_010_047_000239	某卿。
HCH_010_047_000240	興宗景福元年見崇祿卿李可封。
HCH_010_047_000241	某少卿。
HCH_010_047_000242	耶律儼子處貞為太常少卿。
HCH_010_047_000243	太常寺。
HCH_010_047_000244	有博士、贊引、太祝、奉禮郎、協律郎。
HCH_010_047_000245	某署令。
HCH_010_047_000246	某署丞。
HCH_010_047_000247	太樂署。
HCH_010_047_000248	鼓吹署。
HCH_010_047_000249	法物庫。
HCH_010_047_000250	《遼朝雜禮》有法物庫所掌圖籍。
HCH_010_047_000251	崇祿寺。
HCH_010_047_000252	本光祿寺，避太宗諱改。
HCH_010_047_000253	宗正寺。
HCH_010_047_000254	職在大惕隱司。
HCH_010_047_000255	太僕寺。
HCH_010_047_000256	有乘黃署。
HCH_010_047_000257	大理寺。
HCH_010_047_000258	有提點大理寺，有大理正，聖宗統和十二年置。
HCH_010_047_000259	某太監。
HCH_010_047_000260	興宗景福元年見少府監馬憚。
HCH_010_047_000261	某少監。
HCH_010_047_000262	興宗重熙十七年見將作少監王企。
HCH_010_047_000263	秘書監。
HCH_010_047_000264	有秘書郎、秘書郎正字。
HCH_010_047_000265	著作佐郎。
HCH_010_047_000266	楊皙，聖宗太平十一年為著作佐郎。
HCH_010_047_000267	校書郎。
HCH_010_047_000268	楊佶，統和中為校書郎。
HCH_010_047_000269	正字。
HCH_010_047_000270	開泰元年見正字李萬。
HCH_010_047_000271	司天監。
HCH_010_047_000272	有太史令，有司歷、靈臺郎、挈壺正、五官正、丞、主簿、五官靈臺郎、保章正、司歷監候、挈壺正、司辰、刻漏博士、典鐘、典鼓國子監。
HCH_010_047_000273	上京國子監，太祖置。
HCH_010_047_000274	博士。
HCH_010_047_000275	武白為上京國子博士。
HCH_010_047_000276	已上文官。
HCH_010_047_000277	大將軍。
HCH_010_047_000278	聖宗開泰七年見皇子宗簡右衛大將軍。
HCH_010_047_000279	上將軍。
HCH_010_047_000280	王繼忠，統和二十二年加左武衛上將軍。
HCH_010_047_000281	將軍。
HCH_010_047_000282	聖宗太平四年見千牛衛將軍蕭順。
HCH_010_047_000283	已上武官。
HCH_010_047_000284	東宮三師府。
HCH_010_047_000285	凡東宮官多見《遼朝雜禮》。
HCH_010_047_000286	太子太師。
HCH_010_047_000287	太宗大同元年見太子太師李崧。
HCH_010_047_000288	太子太傅。
HCH_010_047_000289	世宗天祿五年見太子太傅趙瑩。
HCH_010_047_000290	太子太保。
HCH_010_047_000291	大同元年見太子太保趙瑩。
HCH_010_047_000292	太子少師。
HCH_010_047_000293	聖宗太平十一年見太子少師蕭從順。
HCH_010_047_000294	太子少傅。
HCH_010_047_000295	耶律合里，重熙中為太子少傅。
HCH_010_047_000296	太子少保。
HCH_010_047_000297	大同元年見太子少保馮玉。
HCH_010_047_000298	太子中允。
HCH_010_047_000299	聖宗太平五年見太子中允馮若谷。
HCH_010_047_000300	太子校書郎。
HCH_010_047_000301	聖宗太平五年見太子校書郎韓灤。
HCH_010_047_000302	太子洗馬。
HCH_010_047_000303	劉輝，大安末為太子洗馬。
HCH_010_047_000304	太子校書郎。
HCH_010_047_000305	聖宗太平五年見太子校書郎張昱。
HCH_010_047_000306	某率。
HCH_010_047_000307	興宗重熙十四年見率府率習羅。
HCH_010_047_000308	已上東宮官。
HCH_010_047_000309	王傅。
HCH_010_047_000310	蕭惟信，重熙十五年為燕趙王傅。
HCH_010_047_000311	內史。
HCH_010_047_000312	道宗大康三年見內使吳家奴。
HCH_010_047_000313	諸王教授。
HCH_010_047_000314	姚景行，重熙中為燕趙國王教授。
HCH_010_047_000315	諸王伴讀。
HCH_010_047_000316	聖宗太平八年，長沙郡王宗允等奏選諸王伴讀。
HCH_010_047_000317	已上諸王府官。
HCH_010_047_000318	漢兒行宮都部署院。
HCH_010_047_000319	亦曰南面行宮都部署司。
HCH_010_047_000320	聖宗開泰九年改左僕射。
HCH_010_047_000321	漢兒行宮都部署。
HCH_010_047_000322	開泰七年見漢兒行宮都部署石用中。
HCH_010_047_000323	漢兒行宮副部署。
HCH_010_047_000324	興宗重熙十五年見漢兒行宮副部署耶律敵烈。
HCH_010_047_000325	知南面諸行宮副部署。
HCH_010_047_000326	重熙十年見知南面諸行宮副部署耶律褭里。
HCH_010_047_000327	同知漢兒行宮都部署事。
HCH_010_047_000328	道宗大康三年見同知漢兒行宮都部署事蕭撻不也。
HCH_010_047_000329	同簽部署司事。
HCH_010_047_000330	耶律儼，大康中為同簽部署司事。
HCH_010_047_000331	都部署判官。
HCH_010_047_000332	耶律儼，咸雍中為都部署判官。
HCH_010_047_000333	十二宮南面行宮都部署司職名總目：
