HCH_012_251_000184	無何，武生李琎請括江南富戶，報名輸官，行首實籍沒之法。
HCH_012_251_000185	士升惡之，擬旨下刑部提問，帝不許，同官溫體仁遂改輕擬。
HCH_012_251_000186	士升曰：「此亂本也，當以去就爭之。」
HCH_012_251_000187	乃疏言：「自陳啟新言事，擢置省闥。比來借端幸進者，實繁有徒，然未有誕肆如琎者也。其曰縉紳豪右之家，大者千百萬，中者百十萬，以萬計者不能枚舉。臣不知其所指何地。就江南論之，富家數畝以對，百計者什六七，千計者什三四，萬計者千百中一二耳。江南如此，何況他省。且郡邑有富家，固貧民衣食之源也。地方水旱，有司令出錢粟，均糶濟饑，一遇寇警，令助城堡守禦，富家未嘗無益於國。《周禮》荒政十二，保富居一。今以兵荒歸罪於富家朘削，議括其財而籍沒之，此秦皇不行於巴清、漢武不行於卜式者，而欲行聖明之世乎？今秦、晉、楚、豫已無寧宇，獨江南數郡稍安。此議一倡，無賴亡命相率而與富家為難，不驅天下之民胥為流寇不止。或疑此輩乃流寇心腹，倡橫議以搖人心，豈直借端幸進已哉！」
HCH_012_251_000188	疏入，而琎已下法司提問。
HCH_012_251_000189	帝報曰：「即欲沽名，前疏已足致之，毋庸汲汲。」
HCH_012_251_000190	前疏謂《四箴》也。
HCH_012_251_000191	士升惶懼，引罪乞休，帝即許之。
HCH_012_251_000192	士升初入閣，體仁頗援之。
HCH_012_251_000193	體仁推轂謝升、唐世濟，士升皆為助。
HCH_012_251_000194	文震孟被擠，士升弗能救，論者咎之。
HCH_012_251_000195	至是乃以讜言去位。
HCH_012_251_000196	弟士晉，萬歷中由進士除刑部主事。
HCH_012_251_000197	恤刑畿輔，平反者千百人。
HCH_012_251_000198	崇禎時，以山東右布政擢雲南巡撫。
HCH_012_251_000199	築師宗、新化六城，浚金針、白沙等河，平土官岑、儂兩姓之亂，頗著勞績。
HCH_012_251_000200	已而經歷吳鯤化訐其營賄，體仁即擬嚴旨，且屬同官林釬弗泄，欲因弟以逐其兄。
HCH_012_251_000201	命下，而士晉已卒，事乃已。
HCH_012_251_000202	士升，國變後七年乃卒。
HCH_012_251_000203	成基命，字靖之，大名人，後避宣宗諱，以字行。
HCH_012_251_000204	萬歷三十五年進士。
HCH_012_251_000205	改庶吉士，歷司經局洗馬，署國子監司業事。
HCH_012_251_000206	天啟元年，疏請幸學不先白政府，執政者不悅，令以原官還局，遂請告歸。
HCH_012_251_000207	尋起少詹事。
HCH_012_251_000208	累官禮部右侍郎兼太子賓客，改掌南京翰林院事。
HCH_012_251_000209	六年，魏忠賢以基命為楊漣同門生，落職閑住。
HCH_012_251_000210	崇禎元年，起吏部左侍郎。
HCH_012_251_000211	明年十月，京師戒嚴，基命請召還舊輔孫承宗，省一切浮議，仿嘉靖朝故事，增設樞臣，帝並可之。
HCH_012_251_000212	逾月，拜禮部尚書兼東閣大學士，入閣輔政。
HCH_012_251_000213	庶吉士金聲薦僧申甫為將。
HCH_012_251_000214	帝令基命閱其所部兵，極言不可用，後果一戰而敗。
HCH_012_251_000215	袁崇煥、祖大壽入衛，帝召見平臺，執崇煥屬吏，大壽在旁股栗。
HCH_012_251_000216	基命獨叩頭請慎重者再，帝曰：「慎重即因循，何益？」
HCH_012_251_000217	基命復叩頭曰：「敵在城下，非他時比。」
HCH_012_251_000218	帝終不省。
HCH_012_251_000219	大壽至軍，即擁眾東潰，帝憂之甚。
HCH_012_251_000220	基命曰：「令崇煥作手劄招之，當歸命也。」
HCH_012_251_000221	時兵事孔棘，基命數建白，皆允行。
HCH_012_251_000222	及戒嚴，召對文華殿，帝言法紀廢弛，宜力振刷。
HCH_012_251_000223	基命曰：「治道去太甚，譬理亂絲，當覓其緒，驟紛更益擾亂。」
HCH_012_251_000224	帝曰：「慢則糾之以猛，何謂紛更？」
HCH_012_251_000225	其後溫體仁益導帝以操切，天下遂大亂。
HCH_012_251_000226	三年二月，工部主事李逢申劾基命欲脫袁崇煥罪，故乞慎重。
HCH_012_251_000227	基命求罷，帝為貶逢申一秩。
HCH_012_251_000228	韓爌、李標相繼去，基命遂為首輔，與周延儒、何如寵、錢象坤共事。
HCH_012_251_000229	以恢復永平敘功，並加太子太保，進文淵閣。
HCH_012_251_000230	至六月，溫體仁、吳宗達入，延儒、體仁最為帝所眷，比而傾基命，基命遂不安其位矣。
HCH_012_251_000231	方崇煥之議罪也，基命病足不入直。
HCH_012_251_000232	錦衣張道浚以委卸劾之，工部主事陸澄源疏繼上。
HCH_012_251_000233	基命奏辯曰：「澄源謂臣當兩首廷推，皆韓爌等欲藉以救崇煥。當廷推時，崇煥方倚任，安知後日之敗，預謀救之。其說祖逢申、道浚，不逐臣不止，乞放歸。」
HCH_012_251_000234	帝慰留之。
HCH_012_251_000235	卒三疏自引去。
HCH_012_251_000236	基命性寬厚，每事持大體。
HCH_012_251_000237	先是，四城未復，兵部尚書梁廷棟銜總理馬世龍，將更置之，以撼樞輔承宗，基命力調劑，世龍卒收遵、永功。
HCH_012_251_000238	尚書張鳳翔、喬允升、韓繼思相繼下吏，並為申理。
HCH_012_251_000239	副都御史易應昌下詔獄，以基命言，改下法司。
HCH_012_251_000240	御史李長春、給事中杜齊芳坐私書事，將置重典。
HCH_012_251_000241	基命力救，不聽，長跪會極門，言：「祖宗立法，真死罪猶三覆奏，豈有詔獄一訊遽置極刑？」
HCH_012_251_000242	自辰至酉未起。
HCH_012_251_000243	帝意解，得遣戍。
HCH_012_251_000244	逢申初劾基命，後以炮炸下獄擬戍，帝猶以為輕，亦以基命言得如擬。
HCH_012_251_000245	為首輔者數月，帝欲委政延儒，遂為其黨所逐。
HCH_012_251_000246	八年卒於家。
HCH_012_251_000247	贈少保，謚文穆。
HCH_012_251_000248	何如寵，字康侯，桐城人。
HCH_012_251_000249	父思鰲，知棲霞縣，有德於民。
HCH_012_251_000250	如寵登萬歷二十六年進士，由庶吉士累遷國子監祭酒。
HCH_012_251_000251	天啟時，官禮部右侍郎，協理詹事府。
HCH_012_251_000252	五年正月，廷推左侍郎，魏廣微言如寵與左光鬥同里友善，遂奪職閑住。
HCH_012_251_000253	崇禎元年，起為吏部右侍郎。
HCH_012_251_000254	未至，拜禮部尚書。
HCH_012_251_000255	宗藩婚嫁命名，例請於朝。
HCH_012_251_000256	貧者為部所稽，自萬歷末至是，積疏累千，有白首不能完家室，骨朽而尚未名者。
HCH_012_251_000257	用如寵請，貧宗得嫁娶者六百餘人。
HCH_012_251_000258	大學士劉鴻訓以增敕事，帝怒不測，如寵力為剖析，得免死戍邊。
HCH_012_251_000259	明年冬，京師戒嚴，都人桀黠者，請以私財聚眾助官軍，朝議壯之。
