HCH_012_170_000163	德勝之捷，亨功不加謙而得世侯，內媿，乃疏薦謙子冕。
HCH_012_170_000164	詔赴京師，辭，不允。
HCH_012_170_000165	謙言：「國家多事，臣子義不得顧私恩。且亨位大將，不聞舉一幽隱，拔一行伍微賤，以裨軍國，而獨薦臣子，於公議得乎？臣於軍功，力杜僥倖，決不敢以子濫功。」
HCH_012_170_000166	亨復大恚。
HCH_012_170_000167	都督張軏以征苗失律，為謙所劾，與內侍曹吉祥等皆素憾謙。
HCH_012_170_000168	景泰八年正月壬午，亨與吉祥、有貞等既迎上皇復位，宣諭朝臣畢，即執謙與大學士王文下獄。
HCH_012_170_000169	誣謙等與黃𤣾搆邪議，更立東宮，又與太監王誠、舒良、張永、王勤等謀迎立襄王子。
HCH_012_170_000170	亨等主其議，嗾言官上之。
HCH_012_170_000171	都御史蕭惟禎定讞，坐以謀逆，處極刑。
HCH_012_170_000172	文不勝誣，辯之疾，謙笑曰：「亨等意耳，辯何益？」
HCH_012_170_000173	奏上，英宗尚猶豫曰：「于謙實有功。」
HCH_012_170_000174	有貞進曰：「不殺于謙，此舉為無名。」
HCH_012_170_000175	帝意遂決。
HCH_012_170_000176	丙戌改元天順，丁亥棄謙市，籍其家，家戍邊。
HCH_012_170_000177	遂溪教諭吾豫言謙罪當族，謙所薦舉諸文武大臣並應誅。
HCH_012_170_000178	部議持之而止。
HCH_012_170_000179	千戶白琦又請榜其罪，鏤板示天下。
HCH_012_170_000180	一時希旨取寵者，率以謙為口實。
HCH_012_170_000181	謙自值也先之變，誓不與賊俱生。
HCH_012_170_000182	嘗留宿直廬，不還私第。
HCH_012_170_000183	素病痰，疾作，景帝遣興安、舒良更番往視。
HCH_012_170_000184	聞其服用過薄，詔令上方製賜，至醯菜畢備。
HCH_012_170_000185	又親幸萬歲山，伐竹取瀝以賜。
HCH_012_170_000186	或言寵謙太過，興安等曰：「彼日夜分國憂，不問家產，即彼去，令朝廷何處更得此人？」
HCH_012_170_000187	及籍沒，家無餘貲，獨正室鐍鑰甚固。
HCH_012_170_000188	啟視，則上賜蟒衣、劍器也。
HCH_012_170_000189	死之日，陰霾四合，天下冤之。
HCH_012_170_000190	指揮朵兒者，本出曹吉祥部下，以酒酹謙死所，慟哭。
HCH_012_170_000191	吉祥怒，抶之。
HCH_012_170_000192	明日復酹奠如故。
HCH_012_170_000193	都督同知陳逵感謙忠義，收遺骸殯之。
HCH_012_170_000194	踰年，歸葬杭州。
HCH_012_170_000195	逵，六合人。
HCH_012_170_000196	故舉將才，出李時勉門下者也。
HCH_012_170_000197	皇太后初不知謙死，比聞，嗟悼累日。
HCH_012_170_000198	英宗亦悔之。
HCH_012_170_000199	謙既死，而亨黨陳汝言代為兵部尚書。
HCH_012_170_000200	未一年敗，贓累巨萬。
HCH_012_170_000201	帝召大臣入視，愀然曰：「于謙被遇景泰朝，死無餘貲，汝言抑何多也。」
HCH_012_170_000202	亨俯首不能對。
HCH_012_170_000203	俄有邊警，帝憂形於色。
HCH_012_170_000204	恭順侯吳瑾侍，進曰：「使于謙在，當不令寇至此。」
HCH_012_170_000205	帝為默然。
HCH_012_170_000206	是年，有貞為亨所中，戍金齒。
HCH_012_170_000207	又數年，亨亦下獄死，吉祥謀反族誅，謙事白。
HCH_012_170_000208	成化初，冕赦歸，上疏訟冤，得復官賜祭。
HCH_012_170_000209	誥曰：「當國家之多難，保社稷以無虞，惟公道之獨持，為權奸所並嫉。在先帝已知其枉，而朕心實憐其忠。」
HCH_012_170_000210	天下傳誦焉。
HCH_012_170_000211	弘治二年用給事中孫需言，贈特進光祿大夫、柱國、太傅，諡肅愍，賜祠於其墓曰旌功，有司歲時致祭。
HCH_012_170_000212	萬曆中，改諡忠肅。
HCH_012_170_000213	杭州、河南、山西皆世奉祀不絕。
HCH_012_170_000214	冕，字景瞻，廕授副千戶，坐戍龍門。
HCH_012_170_000215	謙冤既雪，幷復冕官。
HCH_012_170_000216	自陳不願武職，改兵部員外郎。
HCH_012_170_000217	居官有幹局，累遷至應天府尹。
HCH_012_170_000218	致仕卒。
