HCH_009_099_000095	頃之，鎰墜馬傷足在告，聞胡沙虎難作，命駕將入省。
HCH_009_099_000096	或告之曰：「省府相幕皆以軍士守之，不可入矣。」
HCH_009_099_000097	少頃，兵士索人于閭巷，鎰乃還第。
HCH_009_099_000098	胡沙虎意不可測，方猶豫，不能自定，乃詣鎰問疾，從人望也。
HCH_009_099_000099	鎰從容謂之曰：「翼王，章宗之兄，顯宗長子，眾望所屬，元帥決策立之，萬世之功也。」
HCH_009_099_000100	胡沙虎默然而去，乃迎宣宗於彰德。
HCH_009_099_000101	胡沙虎既殺徒單南平，欲執其弟知真定府事銘，鎰說之曰：「車駕道出真定，鎬王家在威州，河北人心易搖，徒單銘有變，朝廷危矣。不如與之金牌，奉迎車駕，銘必感元帥之恩。」
HCH_009_099_000102	胡沙虎從之。
HCH_009_099_000103	至寧、貞祐之際，轉敗為功，惟鎰是賴焉。
HCH_009_099_000104	宣宗即位，進拜左丞相，封廣平郡王，授中都路迭魯都世襲猛安蒲魯吉必剌謀克。
HCH_009_099_000105	鎰尚有足疾，詔侍朝無拜。
HCH_009_099_000106	明年，鎰建議和親。
HCH_009_099_000107	言事者請罷按察司。
HCH_009_099_000108	鎰曰：「今郡縣多殘毀，正須按察司撫集，不可罷。」
HCH_009_099_000109	遂止。
HCH_009_099_000110	宣宗將幸南京，鎰曰：「鑾輅一動，北路皆不守矣。今已講和，聚兵積粟，固守京師，策之上也。南京四面受兵。遼東根本之地，依山負海，其險足恃，備禦一面，以為後圖，策之次也。」
HCH_009_099_000111	不從。
HCH_009_099_000112	是歲，薨。
HCH_009_099_000113	詔賻贈從優厚。
HCH_009_099_000114	鎰明敏方正，學問該貫，一時名士，皆出其門，多至卿相。
HCH_009_099_000115	嘗歎文士委頓，雖巧拙不同，要以仁義道德為本，乃著《學之急》、《道之要》二篇。
HCH_009_099_000116	太學諸生刻之于石。
HCH_009_099_000117	有《弘道集》六卷。
HCH_009_099_000118	賈鉉，字鼎臣，博州博平人。
HCH_009_099_000119	性純厚，好學問。
HCH_009_099_000120	中大定十三年進士，調滕州軍事判官、單州司候，補尚書省令史。
HCH_009_099_000121	章宗為右丞相，深器重之，除陝西東路轉運副使。
HCH_009_099_000122	入為刑部主事，遷監察御史。
HCH_009_099_000123	遷侍御史，改右司諫。
HCH_009_099_000124	上疏論邊戍利害，上嘉納之，遷左諫議大夫兼工部侍郎，與党懷英同刊修《遼史》。
HCH_009_099_000125	鉉上書曰：「親民之官，任情立威，所用決杖，分徑長短不如法式，甚者以鐵刃置於杖端，因而致死。間者陰陽愆戾，和氣不通，未必不由此也。願下州郡申明舊章，檢量封記，按察官其檢察不如法者，具以名聞。內庭敕斷，亦依已定程式。」
HCH_009_099_000126	制可。
HCH_009_099_000127	複上書論山東採茶事，其大概以為「茶樹隨山皆有，一切護邏，已奪民利，因而以揀茶樹執誣小民，嚇取貨賂，宜嚴禁止。仍令按察司約束。」
HCH_009_099_000128	上從之。
HCH_009_099_000129	承安四年，遷禮部尚書，諫議如故。
HCH_009_099_000130	是時有詔，凡奉敕商量照勘公事皆期日聞奏。
HCH_009_099_000131	鉉言：「若如此，恐官吏迫于限期，姑務苟簡，反害事體。況簿書自有常程，御史台治其稽緩，如事有應密，三月未絕者，令具次第以聞。下尚書省議。如省部可即定奪者，須三月擬奏，如取會案牘卒難補勘者，先具次第奏知，更限一月結絕，違者准稽緩制書罪之。」
HCH_009_099_000132	上議置相，欲用鉉，宰臣薦孫即康。
HCH_009_099_000133	張萬公曰：「即康及第在鉉前。」
HCH_009_099_000134	上曰：「用相安問榜次？朕意以為賈鉉才可用也。」
HCH_009_099_000135	然竟用即康焉。
HCH_009_099_000136	泰和二年，興陵崇妃薨，上欲成服苑中，行登門送喪之禮，以問鉉，鉉對曰：「故宋嘗行此禮，古無是也。」
HCH_009_099_000137	遂已。
HCH_009_099_000138	改刑部尚書。
HCH_009_099_000139	泰和三年，拜參知政事。
HCH_009_099_000140	亳州醫者孫士明輒用黃紙大書「敕賜神針先生」等十二字，及於紙尾年月間摹作寶樣硃篆青龍二字，以誑惑市人。
HCH_009_099_000141	有司捕治款伏。
HCH_009_099_000142	值赦，大理寺議宜准偽造禦寶，雖遇赦不應原。
HCH_009_099_000143	已奏可矣。
HCH_009_099_000144	鉉奏：「天子有八寶，其文各異，若偽造，不限用泥及黃蠟。今用筆描成青龍二字，既非八寶文，論以偽造禦寶，非本法意。」
HCH_009_099_000145	上悟，遂以赦原。
HCH_009_099_000146	明日，上謂大臣曰：「已行之事，賈鉉猶執奏，甚可嘉也，群臣亦當如此矣。」
HCH_009_099_000147	泰和六年，禦試，鉉為監試官。
HCH_009_099_000148	上曰：「丞相宗浩嘗言試題頗易，由是進士例不讀書。朕今以《日合天統》為賦題。」
HCH_009_099_000149	鉉曰：「題則佳矣，恐非所以牢籠天下士也。」
HCH_009_099_000150	上曰：「帝王以難題窘舉人，固不可，欲使自今積致學業而已。」
HCH_009_099_000151	遂用之。
HCH_009_099_000152	久之，鉉與審官院掌書大中漏言除授事。
HCH_009_099_000153	上謂鉉曰：「卿罪自知之矣。然卿久參機務，補益弘多，不深罪也。」
HCH_009_099_000154	乃出為安武軍節度使，改知濟南府。
HCH_009_099_000155	致仕。
