HCH_012_086_000114	而富河、罾口河、七渡河、桑乾河、三里河俱會於此，名曰白河。
HCH_012_086_000115	南流經通州，合通惠及榆、渾諸河，亦名潞河。
HCH_012_086_000116	三百六十里，至直沽會衛河入海，賴以通漕。
HCH_012_086_000117	楊村以北，勢若建瓴，底多淤沙。
HCH_012_086_000118	夏秋水漲苦潦，冬春水微苦澀。
HCH_012_086_000119	沖潰徙改頗與黃河同。
HCH_012_086_000120	耎兒渡者，在武清、通州間，尤其要害處也。
HCH_012_086_000121	自永樂至成化初年，凡八決，輒發民夫築堤。
HCH_012_086_000122	而正統元年之決，為害尤甚，特敕太監沐敬、安遠侯柳溥、尚書李友直隨宜區畫，發五軍營卒五萬及民夫一萬築決堤。
HCH_012_086_000123	又命武進伯硃冕、尚書吳中役五萬人，去河西務二十里鑿河一道，導白水入其中。
HCH_012_086_000124	二工並竣，人甚便之，賜河名曰通濟，封河神曰通濟河神。
HCH_012_086_000125	先是，永樂二十一年築通州抵直沽河岸，有沖決者，隨時修築以為常。
HCH_012_086_000126	迨通濟河成，決岸修築者亦且數四。
HCH_012_086_000127	萬曆三十一年從工部議，挑通州至天津白河，深四尺五寸，所挑沙土即築堤兩岸，著為令。
HCH_012_086_000128	大通河者，元郭守敬所鑿。
HCH_012_086_000129	由大通橋東下，抵通州高麗莊，與白河合，至直沽，會衛河入海，長百六十里有奇。
HCH_012_086_000130	十里一閘，蓄水濟運，名曰通惠。
HCH_012_086_000131	又以白河、榆河、渾河合流，亦名潞河。
HCH_012_086_000132	洪武中漸廢。
HCH_012_086_000133	永樂四年八月，北京行部言：「宛平昌平西湖、景東牛欄莊及青龍華家ＢＧ1111山三閘，水沖決岸。」
HCH_012_086_000134	命發軍民修治。
HCH_012_086_000135	明年復言：「自西湖、景東至通流，凡七閘，河道淤塞。自昌平東南白浮村至西湖、景東流水河口一百里，宜增置十二閘。」
HCH_012_086_000136	從之。
HCH_012_086_000137	未幾，閘俱堙，不復通舟。
HCH_012_086_000138	成化中，漕運總兵官楊茂言：「每歲自張家灣舍舟，車轉至都下，僱值不貲。舊通惠河石閘尚存，深二尺許，修閘瀦水，用小舟剝運便。」
HCH_012_086_000139	又有議於三里河從張家灣煙墩橋以西疏河泊舟者。
HCH_012_086_000140	下廷臣集議，遣尚書楊鼎、侍郎喬毅相度。
HCH_012_086_000141	上言：「舊閘二十四座，通水行舟。但元時水在宮牆外，舟得入城內海子灣。今水從皇城金水河出，故道不可復行。且元引白浮泉往西逆流，今經山陵，恐妨地脈。又一畝泉過白羊口山溝，兩水沖截難引。若城南三里河舊無河源，正統間修城壕，恐雨多水溢，乃穿正陽橋東南□□下地，開壕口以泄之，始有三里河名。自壕口八里，始接渾河。舊渠兩岸多廬墓，水淺河窄，又須增引別流相濟。如西湖草橋源出玉匠局、馬跑等地，泉不深遠。元人曾用金口水，洶湧沒民舍，以故隨廢。惟玉泉、龍泉及月兒、柳沙等泉，皆出西北，循山麓而行，可導入西湖。請浚西湖之源，閉分水清龍閘，引諸泉水從高梁河，分其半由金水河出，餘則從都城外壕流轉，會於正陽門東。城壕且閉，令勿入三里河並流。大通橋閘河隨旱澇啟閉，則舟獲近倉，甚便。」
HCH_012_086_000142	帝從其議。
HCH_012_086_000143	方發軍夫九萬修浚，會以災異，詔罷諸役。
HCH_012_086_000144	所司以漕事大，乃命四萬人浚城壕，而西山、玉泉及抵張家灣河道，則以漸及焉。
HCH_012_086_000145	越五年，乃敕平江伯陳銳，副都御史李裕，侍郎翁世資、王詔督漕卒浚通惠河，如鼎、毅前議。
HCH_012_086_000146	明年六月，工成，自大通橋至張家灣渾河口六十餘里，浚泉三，增閘四，漕舟稍通。
HCH_012_086_000147	然元時所引昌平三泉俱遏不行，獨引一西湖，又僅分其半，河窄易盈涸。
HCH_012_086_000148	不二載，澀滯如舊。
HCH_012_086_000149	正德二年嘗一浚之，且修大通橋至通州閘十有二，壩四十有一。
HCH_012_086_000150	嘉靖六年，御史吳仲言：「通惠河屢經修復，皆為權勢所撓。顧通流等八閘遺跡俱存，因而成之，為力甚易，歲可省車費貲二十餘萬。且歷代漕運皆達京師，未有貯國儲於五十里外者。」
HCH_012_086_000151	帝心以為然，命侍郎王軏、何詔及仲偕相度。
HCH_012_086_000152	軏等言：「大通橋地形高白河六丈餘，若浚至七丈，引白河達京城，諸閘可盡罷，然未易議也。計獨浚治河閘，但通流閘在通州舊城中，經二水門，南浦、土橋、廣利三閘皆闤闠衢市，不便轉挽。惟白河濱舊小河廢壩西，不一里至堰水小壩，宜修築之，使通普濟閘，可省四閘兩關轉搬力。」
HCH_012_086_000153	而尚書桂萼言不便，請改修三里河。
HCH_012_086_000154	帝下其疏於大學士楊一清、張璁。
HCH_012_086_000155	一清言：「因舊閘行轉搬法，省運軍勞費，宜斷行之。」
HCH_012_086_000156	璁亦言：「此一勞永逸之計，萼所論費廣功難。」
HCH_012_086_000157	帝乃卻萼議。
HCH_012_086_000158	明年六月，仲報河成，因疏五事，言：「大通橋至通州石壩，地勢高四丈，流沙易淤，宜時加浚治。管河主事宜專委任，毋令兼他務。官吏、閘夫以罷運裁減，宜復舊額。慶豐上閘、平津中閘今已不用，宜改建通州西水關外。剝船造費及遞歲修艌，俱宜酌處。」
HCH_012_086_000159	帝以先朝屢勘行未即功，仲等四閱月工成，詔予賞，悉從其所請。
HCH_012_086_000160	仲又請留督工郎中何棟專理其事，為經久計。
HCH_012_086_000161	從之。
HCH_012_086_000162	九年擢棟右通政，仍管通惠河道。
HCH_012_086_000163	是時，仲出為處州知府，進所編《通惠河志》。
HCH_012_086_000164	帝命送史館，採入《會典》，且頒工部刊行。
HCH_012_086_000165	自此漕艘直達京師，迄於明末。
HCH_012_086_000166	人思仲德，建祠通州祀之。
HCH_012_086_000167	薊州河者，運薊州官軍餉道也。
HCH_012_086_000168	明初，海運餉薊州。
HCH_012_086_000169	天順二年，大河衛百戶閔恭言：「南京並直隸各衛，歲用旗軍運糧三萬石至薊州等衛倉，越大海七十餘里，風濤險惡。新開沽河，北望薊州，正與水套、沽河直，袤四十餘里而徑，且水深，其間阻隔者僅四之一，若穿渠以運，可無海患。」
HCH_012_086_000170	下總兵都督宋勝、巡按御史李敏行視可否。
HCH_012_086_000171	勝等言便，遂開直沽河。
HCH_012_086_000172	闊五丈，深丈五尺。
HCH_012_086_000173	成化二年一浚，二十年再浚，並浚鴉鴻橋河道，造豐潤縣海運糧儲倉。
HCH_012_086_000174	正德十六年，運糧指揮王瓚言：「直沽東北新河，轉運薊州，河流淺，潮至方可行舟。邊關每匱餉，宜浚使深廣。」
HCH_012_086_000175	從之。
HCH_012_086_000176	初，新河三歲一浚。
HCH_012_086_000177	嘉靖元年易二歲，以為常。
HCH_012_086_000178	十七年浚殷留莊大口至舊倉店百十六里。
HCH_012_086_000179	豐潤環香河者，浚自成化間，運粟十餘萬石以餉薊州東路者也。
HCH_012_086_000180	後堙廢，餉改薊州給，大不便。
HCH_012_086_000181	嘉靖四十五年從御史鮑承廕請，復之，且建三閘於北濟、張官屯、鴉鴻橋以瀦水。
HCH_012_086_000182	昌平河，運諸陵官軍餉道也。
HCH_012_086_000183	起鞏華城外安濟橋，抵通州渡口。
HCH_012_086_000184	袤百四十五里，其中淤淺三十里難行。
HCH_012_086_000185	隆慶六年大浚，運給長陵等八衛官軍月糧四萬石，遂成流通。
HCH_012_086_000186	萬曆元年復疏鞏華城外舊河。
HCH_012_086_000187	海運，始於元至元中。
HCH_012_086_000188	伯顏用硃清、張瑄運糧輸京師，僅四萬餘石。
HCH_012_086_000189	其後日增，至三百萬餘石。
HCH_012_086_000190	初，海道萬三千餘里，最險惡，既而開生道，稍徑直。
HCH_012_086_000191	後殷明略又開新道，尤便。
HCH_012_086_000192	然皆出大洋，風利，自浙西抵京不過旬日，而漂失甚多。
HCH_012_086_000193	洪武元年，太祖命湯和造海舟，餉北征士卒。
HCH_012_086_000194	天下既定，募水工運萊州洋海倉粟以給永平。
HCH_012_086_000195	後遼左及迤北數用兵，於是靖海侯吳禎、延安侯唐勝宗、航海侯張赫、舳艫侯硃壽先後轉遼餉，以為常。
HCH_012_086_000196	督江、浙邊海衛軍大舟百餘艘，運糧數十萬。
HCH_012_086_000197	賜將校以下綺帛、胡椒、蘇木、錢鈔有差，民夫則復其家一年，溺死者厚恤。
HCH_012_086_000198	三十年，以遼東軍餉贏羨，第令遼軍屯種其地，而罷海運。
HCH_012_086_000199	永樂元年，平江伯陳瑄督海運糧四十九萬餘石，餉北京、遼東。
HCH_012_086_000200	二年，以海運但抵直沽，別用小船轉運至京，命於天津置露囤千四百所，以廣儲蓄。
HCH_012_086_000201	四年定海陸兼運。
HCH_012_086_000202	瑄每歲運糧百萬，建百萬倉於直沽尹兒灣城。
HCH_012_086_000203	天津衛籍兵萬人戍守。
HCH_012_086_000204	至是，命江南糧一由海運，一由淮、黃，陸運赴衛河，入通州，以為常。
HCH_012_086_000205	陳瑄上言：「嘉定瀕海，當江流之沖，地平衍，無大山高嶼。海舟停泊，或值風濤，觸堅膠淺輒敗。宜於青浦築土為山，立堠表識，使舟人知所避，而海險不為患。」
HCH_012_086_000206	詔從之。
HCH_012_086_000207	十年九月，工成。
HCH_012_086_000208	方百丈，高三十餘丈。
HCH_012_086_000209	賜名寶山。
HCH_012_086_000210	御製碑文紀之。
HCH_012_086_000211	十三年五月復罷海運，惟存遮洋一總，運遼、薊糧。
HCH_012_086_000212	正統十三年減登州衛海船百艘為十八艘，以五艘運青、萊、登布花鈔錠十二萬餘斤，歲賞遼軍。
HCH_012_086_000213	成化二十三年，侍郎丘浚進大學衍義補，請尋海運故道與河漕並行，大略言：「海舟一載千石，可當河舟三，用卒大減。河漕視陸運費省什三，海運視陸省什七，雖有漂溺患，然省牽卒之勞、駁淺之費、挨次之守，利害亦相當。宜訪素知海道者，講求勘視。」
HCH_012_086_000214	其說未行。
HCH_012_086_000215	弘治五年，河決金龍口，有請復海運者，朝議弗是。
HCH_012_086_000216	嘉靖二年，遮洋總漂糧二萬石，溺死官軍五十餘人。
HCH_012_086_000217	五年停登州造船。
HCH_012_086_000218	二十年，總河王以旂以河道梗澀，言：「海運雖難行，然中間平度州東南有南北新河一道，元時建閘直達安東，南北悉由內洋而行，路捷無險，所當講求。」
HCH_012_086_000219	帝以海道迂遠，卻其議。
HCH_012_086_000220	三十八年，遼東巡撫侯汝諒言：「天津入遼之路，自海口至右屯河通堡不及二百里，其中曹泊店、月坨桑、薑女墳、桃花島皆可灣泊。」
HCH_012_086_000221	部覆行之。
HCH_012_086_000222	四十五年，順天巡撫耿隨朝勘海道，自永平西下海，百四十五里至紀各莊，又四百二十六里至天津，皆傍岸行舟。
HCH_012_086_000223	其間開洋百二十里，有建河、糧河、小沽、大沽河可避風。
HCH_012_086_000224	初允其議，尋以御史劉翾疏沮而罷。
HCH_012_086_000225	是年，從給事中胡應嘉言，革遮洋總。
HCH_012_086_000226	隆慶五年，徐、邳河淤，從給事中宋良佐言，復設遮洋總，存海運遺意。
HCH_012_086_000227	山東巡撫梁夢龍極論海運之利，言：「海道南自淮安至膠州，北自天津至海倉，島人商賈所出入。臣遣卒自淮、膠各運米麥至天津，無不利者。淮安至天津三千三百里，風便，兩旬可達。舟由近洋，島嶼聯絡，雖風可依，視殷明略故道甚安便。五月前風順而柔，此時出海可保無虞。」
HCH_012_086_000228	命量撥近地漕糧十二萬石，俾夢龍行之。
HCH_012_086_000229	六年，王宗沐督漕，請行海運。
HCH_012_086_000230	詔令運十二萬石自淮入海。
HCH_012_086_000231	其道，由雲梯關東北曆鷹遊山、安東衛、石臼所、夏河所、齊堂島、靈山衛、古鎮、膠州、鰲山衛、大嵩衛、行村寨，皆海面。
HCH_012_086_000232	自海洋所曆竹島、寧津所、靖海衛，東北轉成山衛、劉公島、威海衛，西曆甯海衛，皆海面。
HCH_012_086_000233	自福山之罘島至登州城北新海口沙門等島，西曆桑島、曵母曵已島，自曵母曵已西曆三山島、芙蓉島、萊州大洋、海倉口；自海倉西曆淮河海口、魚兒鋪，西北曆侯鎮店、唐頭塞；自侯鎮西北大清河、小清河海口，乞溝河入直沽，抵天津衛。
HCH_012_086_000234	凡三千三百九十里。
HCH_012_086_000235	萬曆元年，即墨福山島壞糧運七艘，漂米數千石，溺軍丁十五人。
HCH_012_086_000236	給事、御史交章論其失，罷不復行。
HCH_012_086_000237	二十五年，倭寇作，自登州運糧給朝鮮軍。
