HCH_012_017_000117	夏五月甲戌，賜廬州知府龍誥官秩，詔天下倣誥備荒振濟法。
HCH_012_017_000118	庚辰，作世廟祀獻皇帝。
HCH_012_017_000119	八月戊子，作仁壽宮。
HCH_012_017_000120	冬十月丁亥，作玉德殿，景福、安喜二宮。
HCH_012_017_000121	十二月辛丑，大禮集議成，頒示天下。
HCH_012_017_000122	閏月乙卯朔，日有食之。
HCH_012_017_000123	乙亥，振遼東災。
HCH_012_017_000124	是年，天方入貢。
HCH_012_017_000125	五年春正月乙未，大祀天地於南郊。
HCH_012_017_000126	二月甲寅，命道士邵元節為真人。
HCH_012_017_000127	庚辰，免山西被災稅糧。
HCH_012_017_000128	壬午，振京師饑。
HCH_012_017_000129	三月辛丑，賜龔用卿等進士及第、出身有差。
HCH_012_017_000130	丁未，定有司久任法。
HCH_012_017_000131	夏五月庚子，楊一清復入閣。
HCH_012_017_000132	秋七月庚寅，免四川被災稅糧。
HCH_012_017_000133	八月丙寅，振湖廣饑。
HCH_012_017_000134	九月己亥，章聖皇太后有事於世廟。
HCH_012_017_000135	冬十月辛亥朔，親享如太廟禮。
HCH_012_017_000136	壬子，振南畿、浙江災，免稅糧物料。
HCH_012_017_000137	庚午，頒御製敬一箴於學宮。
HCH_012_017_000138	是年，暹羅入貢。
HCH_012_017_000139	六年春正月癸未，命羣臣陳民間利病。
HCH_012_017_000140	己丑，大祀天地於南郊。
HCH_012_017_000141	二月辛亥，小王子犯宣府，參將王經戰死。
HCH_012_017_000142	癸亥，費宏、石珤致仕。
HCH_012_017_000143	庚午，召謝遷復入閣。
HCH_012_017_000144	三月庚辰，寇復犯宣府，參將關山戰死。
HCH_012_017_000145	甲午，禮部侍郎翟鑾為吏部侍郎兼翰林學士，入閣預機務。
HCH_012_017_000146	夏四月己巳，免廣西被災稅糧。
HCH_012_017_000147	五月丁丑朔，日有食之。
HCH_012_017_000148	丁亥，前南京兵部尚書王守仁兼左都御史，總制兩廣、江西、湖廣軍務，討田州叛蠻。
HCH_012_017_000149	秋八月庚戌，以議李福達獄，下刑部尚書顏頤壽、左都御史聶賢、大理寺卿湯沐等於錦衣衞獄，侍郎桂萼、張璁，少詹事方獻夫署三法司，雜治之。
HCH_012_017_000150	總制尚書王憲擊敗小王子於石臼墩。
HCH_012_017_000151	癸亥，賈詠致仕。
HCH_012_017_000152	庚午，振湖廣水災。
HCH_012_017_000153	九月己卯，免江西、河南、山西被災秋糧。
HCH_012_017_000154	壬午，頒欽明大獄錄於天下。
HCH_012_017_000155	冬十月戊申，兵部侍郎張璁為禮部尚書兼文淵閣大學士，預機務。
HCH_012_017_000156	是年，魯迷入貢。
HCH_012_017_000157	七年春正月癸未，考覈天下巡撫官。
HCH_012_017_000158	丙戌，大祀天地於南郊。
HCH_012_017_000159	三月戊寅，謝遷致仕。
HCH_012_017_000160	癸巳，右都御史伍文定為兵部尚書提督軍務，侍郎梁材督理糧儲，討雲南叛蠻。
HCH_012_017_000161	夏四月甲寅，甘露降，告於郊廟。
HCH_012_017_000162	六月辛丑，明倫大典成，頒示天下。
HCH_012_017_000163	癸卯，定議禮諸臣罪，追削楊廷和等籍。
HCH_012_017_000164	丁卯，雲南蠻平。
HCH_012_017_000165	秋七月己卯，追尊孝惠皇太后為太皇太后，恭穆獻皇帝為恭睿淵仁寬穆純聖獻皇帝。
HCH_012_017_000166	辛巳，尊章聖皇太后為章聖慈仁皇太后。
HCH_012_017_000167	戊子，詔天下。
HCH_012_017_000168	八月壬子，免河南被災稅糧。
HCH_012_017_000169	九月甲戌，王守仁討廣西蠻，悉平之。
HCH_012_017_000170	壬午，振嘉興、湖州災。
HCH_012_017_000171	冬十月丁未，皇后崩。
HCH_012_017_000172	十一月丙寅，立順妃張氏為皇后。
HCH_012_017_000173	十二月丙子，小王子犯大同，指揮趙源戰死。
HCH_012_017_000174	是年，琉球入貢。
HCH_012_017_000175	八年春正月己亥，振山西災。
HCH_012_017_000176	庚戌，大祀天地於南郊。
HCH_012_017_000177	二月癸酉，吏部尚書桂萼兼武英殿大學士，預機務。
HCH_012_017_000178	丁丑，振襄陽饑。
HCH_012_017_000179	甲申，旱，躬禱於南郊。
HCH_012_017_000180	乙酉，禱於社稷。
HCH_012_017_000181	三月丙申，葬悼靈皇后。
HCH_012_017_000182	戊戌，振河南饑。
HCH_012_017_000183	甲寅，賜羅洪先等進士及第、出身有差。
HCH_012_017_000184	秋七月甲午，以議獄不當，下郎中魏應召等於獄，右都御史熊浹削籍。
HCH_012_017_000185	八月丙子，張璁、桂萼罷。
