HCH_012_229_000118	乃上軫恤已至，而下延玩自如，曾未有擔負相屬者，何哉？
HCH_012_229_000119	小民一歲之入，僅足給一歲，無遺力以償負也。
HCH_012_229_000120	近乃定輸不及額者，按撫聽糾，郡縣聽調。
HCH_012_229_000121	諸臣畏譴，督趣倍嚴。
HCH_012_229_000122	致流離接踵，怨咨愁嘆，上徹於天。
HCH_012_229_000123	是豈太平之象，陛下所樂聞者哉？
HCH_012_229_000124	請下明詔，自非官吏幹沒，並曠然除之。
HCH_012_229_000125	民困既蘇，則災沴自弭。
HCH_012_229_000126	陛下登極初，召用直臣石星、李已，臣工無不慶幸。
HCH_012_229_000127	近則趙參魯糾中涓而謫為典史，余懋學陳時政而錮之終身，他如胡執禮、裴應章、侯於趙、趙煥等封事累上，一切置之，如初政何？
HCH_012_229_000128	臣請擢參魯京職，還懋學故官，為人臣進言者勸。
HCH_012_229_000129	疏奏，居正以疏中王安石語侵己，大怒，調旨切責；以其詞及懋學，執下詔獄，窮治黨與。
HCH_012_229_000130	應禎瀕死無所承，乃謫戍定海。
HCH_012_229_000131	給事中嚴用和、御史劉天衢等疏救，不聽。
HCH_012_229_000132	方應禎下獄，給事中徐貞明偕御史李禎、喬巖入視之。
HCH_012_229_000133	錦衣帥余蔭以聞，三人亦坐謫。
HCH_012_229_000134	十一年，用御史孫繼先言，召復官。
HCH_012_229_000135	帝將幸昌平閱壽宮，而薊鎮告警，應禎止帝勿行，且陳邊備甚悉。
HCH_012_229_000136	優詔答之。
HCH_012_229_000137	俄擢南京大理寺丞。
HCH_012_229_000138	將行，奏薦海內知名士三十七人。
HCH_012_229_000139	尋移疾歸，三年而卒。
HCH_012_229_000140	贈本寺右少卿。
HCH_012_229_000141	應禎與同邑劉臺同舉進士，為御史，同忤居正得禍，鄉人並祠祀之。
HCH_012_229_000142	王用汲，字明受，晉江人。
HCH_012_229_000143	為諸生時，郡被倭，客兵橫市中。
HCH_012_229_000144	會御史按部至，用汲言狀。
HCH_012_229_000145	知府曰：「此何與諸生事？」
HCH_012_229_000146	用汲曰：「範希文秀才時，以天下為己任，矧鄉井之禍乃不關諸生耶？」
HCH_012_229_000147	舉隆慶二年進士，授淮安推官。
HCH_012_229_000148	稍遷常德同知，入為戶部員外郎。
HCH_012_229_000149	萬歷六年，首輔張居正歸葬其親，湖廣諸司畢會。
HCH_012_229_000150	巡按御史趙應元獨不往，居正嗛之。
HCH_012_229_000151	及應元事竣得代，即以病請。
HCH_012_229_000152	僉都御史王篆者，居正客也，素憾應元，且迎合居正意，屬都御史陳炌劾應元規避，遂除名。
HCH_012_229_000153	用汲不勝憤，乃上言：御史應元以不會葬得罪輔臣，遂為都御史炌所論，坐托疾欺罔削籍，臣竊恨之。
HCH_012_229_000154	夫疾病人所時有，今在廷大小諸臣，曾以病請者何限。
HCH_012_229_000155	御史陸萬鐘、劉光國、陳用賓皆以巡方事訖引疾，與應元不異也，炌何不並劾之？
HCH_012_229_000156	即炌當世宗朝，亦養病十餘年。
HCH_012_229_000157	後夤緣攀附，驟列要津。
HCH_012_229_000158	以退為進，宜莫如炌。
HCH_012_229_000159	己則行之，而反以責人，何以服天下？
HCH_012_229_000160	陛下但見炌論劾應元，以為恣情趨避，罪當罷斥。
HCH_012_229_000161	至其意所從來，陛下何由知之。
HCH_012_229_000162	如昨歲星變考察，將以弭災也，而所挫抑者，半不附宰臣之人。
HCH_012_229_000163	如翰林習孔教，則以鄒元標之故；禮部張程，則以劉臺之故；刑部浮躁獨多於他部，則以艾穆、沈思孝而推戈；考後劣轉趙誌臯，又以吳中行、趙用賢而遷怒。
HCH_012_229_000164	蓋能得輔臣之心，則雖屢經論列之潘晟，且得以不次蒙恩；茍失輔臣之心，則雖素負才名之張嶽，難免以不及論調。
HCH_012_229_000165	臣不意陛下省災塞咎之舉，僅為宰臣酬恩報怨之私。
HCH_012_229_000166	且凡附宰臣者，亦各藉以酬其私，可不為太息矣哉！
HCH_012_229_000167	孟子曰：「逢君之惡其罪大。」
HCH_012_229_000168	臣則謂逢相之惡其罪更大也。
HCH_012_229_000169	陛下天縱聖明，從諫勿咈。
HCH_012_229_000170	諸臣熟知其然，爭欲碎首批鱗以自見。
HCH_012_229_000171	陛下欲織錦綺，則撫臣、按臣言之；欲采珍異，則部臣、科臣言之；欲取太倉光祿，則臺臣、科臣又言之。
HCH_012_229_000172	陛下悉見嘉納，或遂停止，或不為例。
HCH_012_229_000173	至若輔臣意之所向，不論是否，無敢一言以正其非，且有先意結其歡，望風張其焰者，是臣所謂逢也。
HCH_012_229_000174	今大臣未有不逢相之惡者，炌特其較著者爾。
HCH_012_229_000175	以臣觀之，天下無事不私，無人不私，獨陛下一人公耳。
HCH_012_229_000176	陛下又不躬自聽斷，而委政於眾所阿奉之大臣。
HCH_012_229_000177	大臣益得成其私而無所顧忌，小臣益苦行私而無所訴告，是驅天下而使之奔走乎私門矣。
HCH_012_229_000178	陛下何不日取庶政而勤習之，內外章奏躬自省覽，先以意可否焉，然後宣付輔臣，俾之商榷。
HCH_012_229_000179	閱習既久，智慮益弘，幾微隱伏之間，自無逃於天鑒。
HCH_012_229_000180	夫威福者，陛下所當自出；乾綱者，陛下所當獨攬。
HCH_012_229_000181	寄之於人，不謂之旁落，則謂之倒持。
HCH_012_229_000182	政柄一移，積重難返，此又臣所日夜深慮，不獨為應元一事已也。
HCH_012_229_000183	疏入，居正大怒，欲下獄廷杖。
HCH_012_229_000184	會次輔呂調陽在告，張四維擬削用汲籍，帝從之。
HCH_012_229_000185	居正以罪輕，移怒四維，厲色待之者累日。
HCH_012_229_000186	用汲歸，屏居郭外，布衣講授，足不賤城市。
HCH_012_229_000187	居正死，起補刑部。
HCH_012_229_000188	未上，擢廣東僉事。
HCH_012_229_000189	尋召為尚寶卿，進大理少卿。
HCH_012_229_000190	會法司議胡槚、龍宗武殺吳仕期獄，傅以謫戍。
HCH_012_229_000191	用汲駁奏曰：「按律，刑部及大小官吏，不依法律、聽從上司主使、出入人罪者，罪如之。蓋謂如上文，罪斬、妻子為奴、財產入官之律也。仕期之死，槚非主使者乎？宗武非聽上司主使者乎？今僅謫戍，不知所遵何律也。」
HCH_012_229_000192	上欲用用汲言，閣臣申時行等謂仕期自斃，宜減等，獄遂定。
HCH_012_229_000193	尋遷順天府尹。
HCH_012_229_000194	歷南京刑部尚書，致仕。
HCH_012_229_000195	用汲為人剛正，遇事敢為。
HCH_012_229_000196	自尹京後，累遷皆在南，以強直故也。
HCH_012_229_000197	卒，贈太子太保，謚恭質。
HCH_012_229_000198	吳中行，字子道，武進人。
HCH_012_229_000199	父性，兄可行，皆進士。
HCH_012_229_000200	性，尚寶丞。
HCH_012_229_000201	可行，檢討。
HCH_012_229_000202	中行甫冠，舉鄉試，性誡無躁進，遂不赴會試。
HCH_012_229_000203	隆慶五年成進士，選庶吉士，授編修。
HCH_012_229_000204	大學士張居正，中行座主也。
HCH_012_229_000205	萬歷五年，居正遭父喪，奪情視事。
HCH_012_229_000206	御史曾士楚、吏科都給事中陳三謨倡疏奏留，舉朝和之，中行獨憤。
