HCH_016_008_000112	臣請按師整兵，待其壞敗，隨而襲之，兵不血刃，士不旋踵，吳之君臣為虜矣。
HCH_016_008_000113	臣願大王匿聲無見其動，以觀其靜。
HCH_016_008_000114	”大夫苦成曰：“夫水能浮草木，亦能沉之；地能生萬物，亦能殺之；江海能下谿谷，亦能朝之；聖人能從眾，亦能使之。
HCH_016_008_000115	今吳承闔閭之軍制，子胥之典教，政平未虧，戰勝未敗。
HCH_016_008_000116	大夫嚭者，狂佞之人，達於策慮，輕於朝事；子胥力於戰伐，死於諫議。
HCH_016_008_000117	二人權，必有壞敗。
HCH_016_008_000118	願王虛心自匿，無示謀計，則吳可滅矣。
HCH_016_008_000119	”大夫浩曰：“今吳君驕臣奢，民飽軍勇；外有侵境之敵，內有爭臣之震，其可攻也。
HCH_016_008_000120	”大夫句如曰：“天有四時，人有五勝。
HCH_016_008_000121	昔湯武乘四時之利而制夏殷，桓繆據五勝之便而列六國。
HCH_016_008_000122	此乘其時而勝者也。
HCH_016_008_000123	”王曰：“未有四時之利，五勝之便，願各就職也。
