HCH_010_026_000073	戊午，以安車召醫巫閭山僧誌達。
HCH_010_026_000074	己未，以中京留守韓資讓知樞密院事，同知南院樞密使事蕭藥師奴知右夷離畢。
HCH_010_026_000075	丁丑，西北路統軍司奏討梅裏急捷。
HCH_010_026_000076	四年春正月壬子，如魚兒濼。
HCH_010_026_000077	己巳，徙阻卜等貧民於山前。
HCH_010_026_000078	辛未，宋遣使來饋錦綺。
HCH_010_026_000079	三月庚午，幸春州。
HCH_010_026_000080	丙子，有司奏黃河清。
HCH_010_026_000081	夏四月辛丑，以雨，罷獵。
HCH_010_026_000082	五月癸酉，那也奏北邊捷。
HCH_010_026_000083	甲戌，駐蹕撒裏乃。
HCH_010_026_000084	六月戊寅朔，夏國為宋所攻，遣使求援。
HCH_010_026_000085	丁亥，以遼興軍節度使涅裏為惕隱，前知惕隱事耶律郭三為南京統軍使。
HCH_010_026_000086	甲午，以參知政事牛溫舒兼知中京留守事。
HCH_010_026_000087	秋七月戊午，如黑嶺。
HCH_010_026_000088	冬十月乙亥朔，駐蹕藕絲淀。
HCH_010_026_000089	己卯，以南府宰相斡特剌兼契丹行宮都部署，以傅導燕國王延禧。
HCH_010_026_000090	十一月乙巳朔，知右夷離畢事蕭藥師奴、樞密直學士耶律儼使宋，諷與夏和。
HCH_010_026_000091	辛酉，夏復遣使求援。
HCH_010_026_000092	十二月壬辰，為燕國王延禧行再生禮，曲赦三百里內囚。
HCH_010_026_000093	五年春正月乙巳，如魚兒濼。
HCH_010_026_000094	己酉，詔夏國王李乾順伐拔思母等部。
HCH_010_026_000095	夏五月壬戌，藥師奴等使宋回，奏宋罷兵。
HCH_010_026_000096	癸亥，謁乾陵。
HCH_010_026_000097	戊辰，以南府宰相斡特剌兼西北路招討使，禁軍都統。
HCH_010_026_000098	己巳，駐蹕沿柳湖。
HCH_010_026_000099	六月甲申，以奚六部大王回離保為契丹行宮都部署，知右夷離畢事蕭藥師奴南面林牙，兼知契丹行宮都部署事。
HCH_010_026_000100	乙未，五國部長來朝。
HCH_010_026_000101	戊戌，阻卜來貢。
HCH_010_026_000102	己亥，以興聖宮使耶律郝家奴為右夷離畢。
HCH_010_026_000103	秋七月壬寅朔，惕德長禿的等來貢。
HCH_010_026_000104	辛亥，如大牢古山。
HCH_010_026_000105	閏九月丙子，駐蹕獨盧金。
HCH_010_026_000106	冬十月己亥朔，高麗王颙遣使乞封冊。
HCH_010_026_000107	丁巳，斡特剌奏討耶睹刮捷。
HCH_010_026_000108	丙寅，以同知南京留守事蕭得裏底知北院樞密使事。
HCH_010_026_000109	丁卯，宋遣郭知章、曹平來聘。
HCH_010_026_000110	戌辰，振遼州饑，仍免租賦一年。
HCH_010_026_000111	十一月甲戌，振南、北二糺。
HCH_010_026_000112	乙酉，夏國以宋罷兵，遣使來謝。
HCH_010_026_000113	十二月甲子，以參知政事趙孝嚴為漢人行宮都部署，漢人行宮都部署梁援為遼興軍節度使。
HCH_010_026_000114	六年春正月癸酉，南院大王耶律吾也薨。
HCH_010_026_000115	壬午，以太師致仕禿開起為奚六部大王。
HCH_010_026_000116	丁亥，如春水。
HCH_010_026_000117	辛卯，斡特剌執磨古斯來獻。
HCH_010_026_000118	丙申，詔問民疾苦。
HCH_010_026_000119	二月丁未，以烏古部節度使陳家奴為南院大王。
HCH_010_026_000120	己酉，磔磨古斯於市。
HCH_010_026_000121	癸丑，出絹賜五院貧民。
HCH_010_026_000122	辛酉，宋遣使告宋主煦殂，弟佶嗣位，即日遣使吊祭。
HCH_010_026_000123	三月甲申，馳朔州山林之禁。
HCH_010_026_000124	夏四月丁酉朔，日有食之。
HCH_010_026_000125	癸卯，如炭山。
HCH_010_026_000126	五月壬午，烏古部討茶紥剌，破之。
HCH_010_026_000127	乙酉，漢人行宮都部署趙孝嚴薨。
HCH_010_026_000128	丙戌，駐蹕納葛濼。
HCH_010_026_000129	辛卯，宋遣使饋先帝遺物。
HCH_010_026_000130	乙未，以東京留守何魯掃古為惕隱，南院宣徽使蕭常哥為漢人行宮都部署。
HCH_010_026_000131	六月庚子，遣使賀宋主。
HCH_010_026_000132	辛丑，以有司案牘書宋帝「嗣位」為「登寶位」，詔奪宰相鄭顓以下官，出顓知興中府事，韓資讓為崇義軍節度使，御史中丞韓君義為廣順軍節度使。
HCH_010_026_000133	癸丑，阻卜長來貢。
HCH_010_026_000134	戊午，遣使決五京滯獄。
HCH_010_026_000135	己未，以遼興軍節度使梁援為樞密副使。
HCH_010_026_000136	秋七月庚午，如沙嶺。
HCH_010_026_000137	壬申，耶睹刮諸部寇西北路。
HCH_010_026_000138	八月，斡特剌以兵擊敗之，使來獻捷。
HCH_010_026_000139	九月癸未，望祠木葉山。
HCH_010_026_000140	戊子，駐蹕藕絲淀。
HCH_010_026_000141	冬十月壬寅，以樞密副使王師儒監修國史。
HCH_010_026_000142	癸卯，五國諸部長來貢。
HCH_010_026_000143	甲寅，以平州饑，復其租賦一年。
HCH_010_026_000144	十一月壬申，以天德軍民田世榮三世同居，詔官之，令一子三班院祗候。
HCH_010_026_000145	丙子，詔醫巫閭山僧誌達設壇於內殿。
HCH_010_026_000146	戊子，夏國王李乾順遣使請尚公主。
HCH_010_026_000147	十二月乙未，女直遣使來貢。
HCH_010_026_000148	己亥，以知右夷離畢事郝家奴為北面林牙。
HCH_010_026_000149	辛亥，詔燕國王延禧擬註大將軍以下官。
HCH_010_026_000150	庚申，鐵驪來貢。
HCH_010_026_000151	宋遣使來謝。
HCH_010_026_000152	帝不豫。
HCH_010_026_000153	是歲，封高麗王颙長子俁為三韓國公。
HCH_010_026_000154	放進士康秉儉等八十七人。
HCH_010_026_000155	七年春正月壬戌朔，力疾禦清風殿受百官及諸國使賀。
HCH_010_026_000156	是夜，白氣如練，自天而降。
HCH_010_026_000157	黑雲起於西北，疾飛有聲。
HCH_010_026_000158	北有青赤黑白氣，相雜而落。
HCH_010_026_000159	癸亥，如混同江。
HCH_010_026_000160	甲戌，上崩於行宮，年七十。
