HCH_015_037_000117	時議者多以錢貨轉少，宜更廣鑄，重其銖兩，以防民姦。
HCH_015_037_000118	太祖使諸州郡大市銅炭，會晏駕事寢。
HCH_015_037_000119	永明八年，悛啓世祖曰：「南廣郡界蒙山下，有城名蒙城，可二頃地，有燒鑪四所，高一丈，廣一丈五尺。從蒙城渡水南百許步，平地掘土深二尺，得銅。又有古掘銅坑，深二丈，竝居宅處猶存。鄧通，南安人，漢文帝賜嚴道縣銅山鑄錢，今蒙山近青衣水南，青衣左側竝是故秦之嚴道地。青衣縣又改名漢嘉。且蒙山去南安二百里，案此必是通所鑄。近喚蒙山獠出，云『甚可經略』。此議若立，潤利無極。」
HCH_015_037_000120	幷獻蒙山銅一片，又銅石一片，平州鐵刀一口。
HCH_015_037_000121	上從之。
HCH_015_037_000122	遣使入蜀鑄錢，得千餘萬，功費多，乃止。
HCH_015_037_000123	悛仍代始興王鑑爲持節、監益寧二州諸軍事、益州刺史，將軍如故。
HCH_015_037_000124	悛旣藉舊恩，尤能悅附人主，承迎權貴。
HCH_015_037_000125	賔客閨房，供費奢廣。
HCH_015_037_000126	罷廣、司二州，傾資貢獻，家無留儲。
HCH_015_037_000127	在蜀作金浴盆，餘金物稱是。
HCH_015_037_000128	罷任，以本號還都，欲獻之，而世祖晏駕，鬱林新立，悛奉獻減少，鬱林知之，諷有司收悛付廷尉，將加誅戮。
HCH_015_037_000129	高宗啓救之，見原，禁錮終身。
HCH_015_037_000130	雖見廢黜，而賔客日至。
HCH_015_037_000131	悛婦弟王法顯同宋桂陽事，遂啓別居，終身不復見之。
HCH_015_037_000132	海陵王卽位，以白衣除兼左民尚書，尋除正。
HCH_015_037_000133	高宗立，加領驍騎將軍，復故官，駙馬都尉。
HCH_015_037_000134	建武二年，虜主侵壽陽，詔悛以本官假節出鎮漅湖，遷散騎常侍、右衞將軍。
HCH_015_037_000135	虜寇旣盛，悛又以本官出屯新亭。
HCH_015_037_000136	悛歷朝皆見恩遇。
HCH_015_037_000137	太祖爲鄱陽王鏘納悛妹爲妃，高宗又爲晉安王寶義納悛女爲妃，自此連姻帝室。
HCH_015_037_000138	王敬則反，悛出守琅邪城，轉五兵尚書，領太子左衞率。
HCH_015_037_000139	未拜，明帝崩，東昏卽位，改授散騎常侍，領驍騎將軍，尚書如故。
HCH_015_037_000140	衞送山陵，卒，年六十一。
HCH_015_037_000141	贈太常，常侍、都尉如故。
HCH_015_037_000142	諡曰敬。
HCH_015_037_000143	虞悰字景豫，會稽餘姚人也。
HCH_015_037_000144	祖嘯父，晉左民尚書。
HCH_015_037_000145	父秀之，黃門郎。
HCH_015_037_000146	悰少而謹敕，有至性。
HCH_015_037_000147	秀之於都亡，悰東出奔喪，水漿不入口。
HCH_015_037_000148	州辟主簿，建平王參軍，尚書儀曹郎，太子洗馬，領軍長史，正員郎，累至州治中，別駕，黃門郎。
HCH_015_037_000149	初，世祖始從官，家尚貧薄，悰推國士之眷，數相分與，每行，必呼上同載，上甚德之。
HCH_015_037_000150	昇明中，世祖爲中軍，引悰爲諮議參軍，遣吏部郎江謐持手書謂悰曰：「今因江吏郎有白，以君情顧，意欲相屈。」
HCH_015_037_000151	建元初，轉太子中庶子，遷後軍長史，領步兵校尉，鎮北長史、寧朔將軍、南東海太守。
HCH_015_037_000152	尋爲豫章內史，將軍如故。
HCH_015_037_000153	悰治家富殖，奴婢無游手，雖在南土，而會稽海味無不畢致焉。
HCH_015_037_000154	遷輔國將軍、始興王長史、平蠻校尉、蜀郡太守。
HCH_015_037_000155	轉司徒司馬，將軍如故。
HCH_015_037_000156	悰善爲滋味，和齊皆有方法。
HCH_015_037_000157	豫章王嶷盛饌享賔，謂悰曰：「今日肴羞，寧有所遺不？」
HCH_015_037_000158	悰曰：「恨無黃頷臛，何曾《食疏》所載也。」
HCH_015_037_000159	遷散騎常侍，太子右率。
