HCH_012_327_000132	未幾，阿魯台使來貢馬，仁宗已登極，詔納之。
HCH_012_327_000133	自是，歲修職貢如永樂時。
HCH_012_327_000134	時阿魯台數敗于瓦剌，部曲離散。
HCH_012_327_000135	其屬把的等先後來歸，朝廷皆予官職，賜鈔幣，詔有司給供具。
HCH_012_327_000136	自後來歸者，悉如例。
HCH_012_327_000137	阿魯台日益蹙，乃率其屬東走兀良哈，駐牧遼塞。
HCH_012_327_000138	諸將請出兵掩擊之，帝不聽。
HCH_012_327_000139	宣德九年，阿魯台復為脫脫不花所襲，妻子死，孳畜略盡，獨與其子失捏干等徙居母納山、察罕腦剌等處。
HCH_012_327_000140	未幾，瓦剌脫懽襲殺阿魯台及失捏干，于是阿魯台子阿卜只俺及其孫妻速木答思等喪敗無依，來乞內附。
HCH_012_327_000141	帝憐而撫之。
HCH_012_327_000142	阿魯台既死，其故所立阿台王子及所部朵兒只伯等復為脫脫不花所窘，竄居亦集乃路。
HCH_012_327_000143	外為納款，而數入寇甘、涼。
HCH_012_327_000144	正統元年，將軍陳懋敗朵兒只伯于平川，追及蘇武山，頗有斬獲。
HCH_012_327_000145	二年冬，命都督任禮為總兵官，蔣貴、趙安副之，尚書王驥督師，以便宜行事。
HCH_012_327_000146	明年夏，復敗朵兒只伯等于石城。
HCH_012_327_000147	阿台與朵兒合，復敗之兀魯乃地，追及黑泉，又及之刁力溝，出沙漠千里，東西夾擊，敵幾盡，先後獲其部長一百五十人。
HCH_012_327_000148	於是阿台、朵兒只伯等來歸。
HCH_012_327_000149	未幾，脫脫不花捕阿台等殺之。
HCH_012_327_000150	脫脫不花者，故元後，韃靼長也。
HCH_012_327_000151	瓦剌脫懽既擊殺阿魯台，悉收其部，兼并賢義、安樂二王之眾，欲自立為可汗。
HCH_012_327_000152	眾不可，乃立脫脫不花，以阿魯台眾屬之，自為丞相，陽推奉之，實不承其號令。
HCH_012_327_000153	脫懽死，子也先嗣，益桀驁自雄，諸部皆下之，脫脫不花具可汗名而已。
HCH_012_327_000154	脫脫不花歲來朝貢，天子皆厚報之，比諸蕃有加，書稱之曰達達可汗，賜賚并及其妃。
HCH_012_327_000155	十四年秋，也先謀大舉入寇，脫脫不花止之曰：「吾儕服食，多資大明，何忍為此。」
HCH_012_327_000156	也先不聽，曰：「可汗不為，吾當自為。」
HCH_012_327_000157	遂分道，俾脫脫不花侵遼東，而自擁眾從大同入。
HCH_012_327_000158	帝親征之，駕於土木陷焉。
HCH_012_327_000159	景皇帝自監國即位，尊帝為太上皇帝。
HCH_012_327_000160	明年秋，上皇歸自也先所。
HCH_012_327_000161	事載瓦剌傳。
HCH_012_327_000162	脫脫不花自上皇歸後，修貢益勤。
HCH_012_327_000163	嘗妻也先姊，生子，也先欲立之，不從。
HCH_012_327_000164	也先亦疑其與中國通，將害己，遂治兵相攻。
HCH_012_327_000165	也先殺脫脫不花，收其妻子孳畜，給諸部屬，而自立為可汗。
HCH_012_327_000166	時景皇帝二年也。
HCH_012_327_000167	朝廷稱也先為瓦剌可汗。
HCH_012_327_000168	未幾，為所部阿剌知院所殺。
HCH_012_327_000169	韃靼部長孛來復攻破阿剌，求脫脫不花子麻兒可兒立之，號小王子。
HCH_012_327_000170	阿剌死，而孛來與其屬毛里孩等皆雄視部中，于是韃靼復熾。
HCH_012_327_000171	景泰六年遣使入貢。
HCH_012_327_000172	英宗復辟，遣都督馬政往賜故伯顏帖木兒妻幣。
HCH_012_327_000173	孛來留之，而遣使入賀，欲獻璽。
HCH_012_327_000174	帝敕之曰：「璽已非真，即真，亦秦不祥物耳，獻否從爾便。第無留我使，以速爾禍。」
HCH_012_327_000175	時敵數寇威遠諸衞，夏，定遠伯石彪敗之於磨兒山。
HCH_012_327_000176	天順二年，孛來大舉寇陝西，安遠侯柳溥禦之輒敗，而飾小捷以聞。
HCH_012_327_000177	明年春，敵入安邊營，石彪等破之，都督周賢、指揮李鑑戰死。
HCH_012_327_000178	四年復寇榆林，彰武伯楊信拒卻之。
HCH_012_327_000179	再入，敗之於金雞峪。
HCH_012_327_000180	未幾，復大掠陝西諸邊，廷臣請治各守將罪，帝宥之。
HCH_012_327_000181	五年春，寇入平虜城，誘指揮許顒等入伏，殺之。
HCH_012_327_000182	邊報日亟，命侍郎白圭、都御史王竑往視師。
HCH_012_327_000183	秋，孛來求款，帝使詹昇齎敕往諭。
HCH_012_327_000184	孛來遣使隨昇來貢，請改大同舊貢道，而由陝西蘭縣入，許之。
HCH_012_327_000185	未幾，復糾其屬毛里孩等入河西。
HCH_012_327_000186	明年春，圭等分巡西邊，圭遇敵於固原川，竑遇敵於紅崖子川，皆破之。
HCH_012_327_000187	帝賜璽書獎勵，敕孛來使臣，仍從大同入貢。
HCH_012_327_000188	時麻兒可兒復與孛來相仇殺。
HCH_012_327_000189	麻兒可兒死，眾共立馬可古兒吉思，亦號小王子。
HCH_012_327_000190	自是，韃靼部長益各專擅。
HCH_012_327_000191	小王子稀通中國，傳世次，多莫可考。
HCH_012_327_000192	孛來等每歲入貢，數寇掠，往來塞下，以西攻瓦剌為辭，又數要劫三衞。
HCH_012_327_000193	七年冬，貢使及關，帝卻之，以大學士李賢言乃止。
HCH_012_327_000194	八年春，御史陳選言：「韃靼部落，孛來最強，又密招三衞諸蕃，相結屯住。去冬來朝，要我賞宴，窺我虛實，其犯邊之情已露。而我邊關守臣，因循怠慢，城堡不修，甲仗不利，軍士不操習，甚至富者納月錢而安閒，貧者迫饑寒而逃竄。邊備廢弛，緩急何恃。乞敕在邊諸臣，痛革前弊。其鎮守、備禦等官，亦宜以時黜陟，庶能者知奮，怠者知警。至阨塞要害之處，或益官軍，或設營堡，或用墩臺，咸須處置得宜，歲遣大臣巡視，庶邊防有備，寇氛可戢。」
HCH_012_327_000195	報聞。
HCH_012_327_000196	成化元年春，孛來誘兀良哈九萬騎入遼河，武安侯鄭宏禦卻之。
HCH_012_327_000197	秋，散掠延綏。
HCH_012_327_000198	冬，復大入。
HCH_012_327_000199	命彰武伯楊信率山西兵，都御史項忠率陝西兵禦之，少卻。
HCH_012_327_000200	未幾，復渡河曲，圍黃甫川堡，官軍力戰，乃引去。
HCH_012_327_000201	始，韃靼之來也，或在遼東、宣府、大同，或在寧夏、莊浪、甘肅，去來無常，為患不久。
HCH_012_327_000202	景泰初，始犯延慶，然部落少，不敢深入。
HCH_012_327_000203	天順間，有阿羅出者，率屬潛入河套居之，遂逼近西邊。
HCH_012_327_000204	河套，古朔方郡，唐張仁愿築三受降城處也。
HCH_012_327_000205	地在黃河南，自寧夏至偏頭關，延袤二千里，饒水草，外為東勝衞。
HCH_012_327_000206	東勝而外，土平衍，敵來，一騎不能隱，明初守之，後以曠絕內徙。
HCH_012_327_000207	至是，孛來與小王子、毛里孩等先後繼至，擄中國人為鄉導，抄掠延綏無虛時，而邊事以棘。
HCH_012_327_000208	二年夏，大入延綏。
HCH_012_327_000209	帝命楊信充總兵官，都督趙勝為副，率京軍及諸邊卒二萬人討之。
HCH_012_327_000210	信先以議事赴闕，未至。
HCH_012_327_000211	敵散掠平涼，入靈州及固原，長驅寇靜寧、隆德諸處。
HCH_012_327_000212	冬，復入延綏，參將湯胤績戰死。
HCH_012_327_000213	未幾，諸部內爭，孛來弒馬可古兒吉思，毛里孩殺孛來，更立他可汗。
HCH_012_327_000214	斡羅出者復與毛里孩相仇殺，毛里孩遂殺其所立可汗，逐斡羅出，而遣使入貢。
HCH_012_327_000215	尋渡河掠大同。
HCH_012_327_000216	三年春，帝命撫寧侯朱永等征之。
HCH_012_327_000217	會毛里孩再乞通貢，而別部長孛魯乃亦遣人來朝。
HCH_012_327_000218	帝許之，詔永等駐軍塞上。
HCH_012_327_000219	四年秋，給事中程萬里上言：「毛里孩久不朝貢，窺伺邊疆，其情叵測。然臣度其有可敗者三。近我邊地才二三日程，彼客我主，一也。兼并諸部，馳驅不息，既驕且疲。二也，比來散逐水草，部落四分，兵力不一，三也。宜選精兵二萬，每三千人為一軍，統以驍將，嚴其賞罰，使探毛里孩所在，潛師擣之，破之必矣。」
HCH_012_327_000220	帝壯之，而不能用。
HCH_012_327_000221	冬寇延綏。
HCH_012_327_000222	明年春再入，守將許寧等輒擊敗之。
